source,channel,slice,wid,median_intensity
nyquist,HOECHST,25,PB100082_G04,0.03187058
nyquist,HOECHST,26,PB100082_G04,0.030312065
nyquist,HOECHST,27,PB100082_G04,0.030145122
nyquist,HOECHST,28,PB100082_G04,0.030061902
nyquist,HOECHST,29,PB100082_G04,0.030124579
nyquist,HOECHST,30,PB100082_G04,0.029659025
nyquist,HOECHST,31,PB100082_G04,0.029306304
nyquist,HOECHST,32,PB100082_G04,0.029463422
nyquist,HOECHST,33,PB100082_G04,0.028882673
nyquist,HOECHST,34,PB100082_G04,0.028851692
nyquist,HOECHST,35,PB100082_G04,0.028846204
nyquist,HOECHST,36,PB100082_G04,0.029632501
nyquist,HOECHST,37,PB100082_G04,0.029734809
nyquist,HOECHST,38,PB100082_G04,0.028634412
nyquist,HOECHST,39,PB100082_G04,0.028596211
nyquist,HOECHST,40,PB100082_G04,0.029501513
nyquist,HOECHST,41,PB100082_G04,0.028834455
nyquist,HOECHST,42,PB100082_G04,0.027787346
nyquist,HOECHST,43,PB100082_G04,0.027242322
nyquist,HOECHST,0,PB100082_H01,0.02195238
nyquist,HOECHST,1,PB100082_H01,0.02466718
nyquist,HOECHST,2,PB100082_H01,0.024464315
nyquist,HOECHST,3,PB100082_H01,0.026448414
nyquist,HOECHST,4,PB100082_H01,0.024255697
nyquist,HOECHST,5,PB100082_H01,0.026972368
nyquist,HOECHST,6,PB100082_H01,0.02557324
nyquist,HOECHST,7,PB100082_H01,0.026668966
nyquist,HOECHST,8,PB100082_H01,0.026278287
nyquist,HOECHST,9,PB100082_H01,0.02804112
nyquist,HOECHST,10,PB100082_H01,0.028340917
nyquist,HOECHST,11,PB100082_H01,0.027268136
nyquist,HOECHST,12,PB100082_H01,0.028373288
nyquist,HOECHST,13,PB100082_H01,0.027562283
nyquist,HOECHST,14,PB100082_H01,0.02870086
nyquist,HOECHST,15,PB100082_H01,0.028612256
nyquist,HOECHST,16,PB100082_H01,0.027566379
nyquist,HOECHST,17,PB100082_H01,0.02868132
nyquist,HOECHST,18,PB100082_H01,0.027793393
nyquist,HOECHST,19,PB100082_H01,0.028039679
nyquist,HOECHST,20,PB100082_H01,0.027681358
nyquist,HOECHST,21,PB100082_H01,0.027937632
nyquist,HOECHST,22,PB100082_H01,0.029150426
nyquist,HOECHST,23,PB100082_H01,0.026747765
nyquist,HOECHST,24,PB100082_H01,0.027485507
nyquist,HOECHST,25,PB100082_H01,0.026752502
nyquist,HOECHST,26,PB100082_H01,0.02805865
nyquist,HOECHST,27,PB100082_H01,0.026577428
nyquist,HOECHST,28,PB100082_H01,0.026852056
nyquist,HOECHST,29,PB100082_H01,0.026955772
nyquist,HOECHST,30,PB100082_H01,0.025492791
nyquist,HOECHST,31,PB100082_H01,0.025275474
nyquist,HOECHST,32,PB100082_H01,0.025577959
nyquist,HOECHST,33,PB100082_H01,0.025868226
nyquist,HOECHST,34,PB100082_H01,0.026215734
nyquist,HOECHST,35,PB100082_H01,0.025799392
nyquist,HOECHST,36,PB100082_H01,0.024927918
nyquist,HOECHST,37,PB100082_H01,0.025985327
nyquist,HOECHST,38,PB100082_H01,0.026100403
nyquist,HOECHST,39,PB100082_H01,0.024763554
nyquist,HOECHST,40,PB100082_H01,0.024140103
nyquist,HOECHST,41,PB100082_H01,0.02351068
nyquist,HOECHST,42,PB100082_H01,0.023463536
nyquist,HOECHST,43,PB100082_H01,0.023458384
nyquist,HOECHST,0,PB100082_H07,0.03980151
nyquist,HOECHST,1,PB100082_H07,0.042209566
nyquist,HOECHST,2,PB100082_H07,0.042373966
nyquist,HOECHST,3,PB100082_H07,0.04269466
nyquist,HOECHST,4,PB100082_H07,0.042954303
nyquist,HOECHST,5,PB100082_H07,0.042499915
nyquist,HOECHST,6,PB100082_H07,0.043412678
nyquist,HOECHST,7,PB100082_H07,0.044321127
nyquist,HOECHST,8,PB100082_H07,0.045291662
nyquist,HOECHST,9,PB100082_H07,0.044966962
nyquist,HOECHST,10,PB100082_H07,0.045079608
nyquist,HOECHST,11,PB100082_H07,0.04511764
nyquist,HOECHST,12,PB100082_H07,0.045238815
nyquist,HOECHST,13,PB100082_H07,0.04412261
nyquist,HOECHST,14,PB100082_H07,0.04295609
