plate,kind,well,z,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_expert,n_pred,depth_um
PB000139,cell,C12,9,HT29,SN-38,0.33811649972094115,0.21283868227415784,0.5690993614003121,0.16666666666666666,0.11764705882352941,0.13793103448275862,2,15,10,17,12,45
PB000139,cell,C14,1,HT29,binimetinib,0.579159076181976,0.24209043332363836,0.6924899443529889,0.13043478260869565,0.13043478260869565,0.13043478260869565,3,20,20,23,23,5
PB000139,cell,C14,11,HT29,binimetinib,0.0,0.0,,,0.0,,0,7,0,7,0,55
PB000139,cell,C14,3,HT29,binimetinib,0.34007600727026066,0.17264292967760142,0.6410037118392853,0.2222222222222222,0.13953488372093023,0.17142857142857143,6,37,21,43,27,15
PB000139,cell,C14,5,HT29,binimetinib,0.303766081871345,0.22354319838717696,0.6194587414323088,0.2857142857142857,0.1875,0.22641509433962265,6,26,15,32,21,25
PB000139,cell,C14,7,HT29,binimetinib,0.13800832103073413,0.09889501836994766,0.5294478527607362,0.1,0.05555555555555555,0.07142857142857142,1,17,9,18,10,35
PB000139,cell,C14,9,HT29,binimetinib,0.0,0.0,,,0.0,,0,15,0,15,0,45
PB000139,cell,C23,1,HCT116,SN-38,0.4613963463476396,0.30402239225144306,0.6539423830440514,0.38461538461538464,0.25,0.30303030303030304,5,15,8,20,13,5
PB000139,cell,C23,11,HCT116,SN-38,0.307528726179007,0.28187560510823156,0.7351845076957659,0.25,0.2222222222222222,0.23529411764705882,2,7,6,9,8,55
PB000139,cell,C23,3,HCT116,SN-38,0.5557681409108426,0.21403412827987187,0.6776228659538025,0.09090909090909091,0.07407407407407407,0.08163265306122448,2,25,20,27,22,15
PB000139,cell,C23,5,HCT116,SN-38,0.3314842743008626,0.24080288205287848,0.6659743055524864,0.2222222222222222,0.16666666666666666,0.1904761904761905,4,20,14,24,18,25
PB000139,cell,C23,7,HCT116,SN-38,0.30113926886860204,0.23652674765318923,0.7216498544691516,0.16666666666666666,0.15,0.15789473684210525,3,17,15,20,18,35
PB000139,cell,C23,9,HCT116,SN-38,0.3677768427787553,0.3271181868734127,0.5781460376255134,0.15384615384615385,0.1111111111111111,0.12903225806451615,2,16,11,18,13,45
PB000139,cell,D06,1,HT29,SN-38,0.7190318225007918,0.611757578542575,0.6793163707323783,0.875,0.7777777777777778,0.823529411764706,7,2,1,9,8,5
PB000139,cell,D06,11,HT29,SN-38,0.3175076671580168,0.22039808816353257,0.6206944179515046,0.16666666666666666,0.1,0.125,2,18,10,20,12,55
PB000139,cell,D06,3,HT29,SN-38,0.6260251297870739,0.4012811645168437,0.6909126442566226,0.4375,0.3684210526315789,0.39999999999999997,7,12,9,19,16,15
PB000139,cell,D06,5,HT29,SN-38,0.527190089672963,0.2567018751227208,0.689084549978655,0.3181818181818182,0.2413793103448276,0.27450980392156865,7,22,15,29,22,25
PB000139,cell,D06,7,HT29,SN-38,0.5194133446799457,0.25234185460092406,0.6388211095809677,0.1724137931034483,0.14285714285714285,0.15625,5,30,24,35,29,35
PB000139,cell,D06,9,HT29,SN-38,0.39591619898654173,0.26920486810024813,0.6512293438621355,0.2857142857142857,0.21428571428571427,0.24489795918367344,6,22,15,28,21,45
PB000139,cell,D11,1,HCT116,binimetinib,0.49039482063256207,0.3425073640215579,0.8476073617829942,0.25,0.2,0.22222222222222224,2,8,6,10,8,5
PB000139,cell,D11,11,HCT116,binimetinib,0.5561774511473974,0.37247516613129106,0.6091290172254487,0.3333333333333333,0.25,0.28571428571428575,2,6,4,8,6,55
PB000139,cell,D11,3,HCT116,binimetinib,0.450747802950899,0.23374363509191914,0.6404148693661907,0.13043478260869565,0.11538461538461539,0.12244897959183673,3,23,20,26,23,15
PB000139,cell,D11,5,HCT116,binimetinib,0.2682028804007514,0.1446028892835307,0.7707969749854566,0.058823529411764705,0.045454545454545456,0.05128205128205128,1,21,16,22,17,25
PB000139,cell,D11,7,HCT116,binimetinib,0.4224272182627654,0.2482183153518425,0.6297371155782081,0.23529411764705882,0.14285714285714285,0.17777777777777778,4,24,13,28,17,35
PB000139,cell,D11,9,HCT116,binimetinib,0.32134010403765173,0.19134987636596348,0.6865046898324977,0.3,0.15,0.2,3,17,7,20,10,45
PB000139,cell,G08,1,HCT116,abemaciclib,0.7708209048405222,0.46043209003067953,0.7382836776936663,0.4166666666666667,0.37037037037037035,0.39215686274509803,10,17,14,27,24,5
PB000139,cell,G08,11,HCT116,abemaciclib,0.39417277628301944,0.3006128394535011,0.712152791472137,0.34285714285714286,0.24489795918367346,0.28571428571428575,12,37,23,49,35,55
PB000139,cell,G08,3,HCT116,abemaciclib,0.7050536508463967,0.3552809747944893,0.7198808516215865,0.29411764705882354,0.26785714285714285,0.2803738317757009,15,41,36,56,51,15
PB000139,cell,G08,5,HCT116,abemaciclib,0.5845051351563842,0.3874139334460373,0.633200970346014,0.3673469387755102,0.34615384615384615,0.3564356435643564,18,34,31,52,49,25
