;principal component 1;principal component 2;principal component 3;principal component 4;compound;conc;pert_type;ImageID;barcode;well_id;site
0;45.164316754594196;7.439991693193835;5.423543199179649;8.894080201073919;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;1
1;25.6318172064237;-3.285421006318607;6.046129050100092;6.280192450262625;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;2
2;11.264881154711992;-19.024836103600506;9.904722632964303;3.617414091291092;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;3
3;22.756073682568438;5.275196100251454;10.918729014036646;-1.2364668415538764;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;4
4;9.47703619073769;-7.755373962582972;2.720341485647187;1.086702020039263;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;5
5;66.21013267025751;-10.5873322664655;14.544004369280493;9.159380682266136;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;6
6;-10.134737625874989;7.644117894787664;6.830597899366381;4.446709188882702;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;7
7;22.938663127143112;3.70237559219682;9.58619485252007;-1.9188031699544432;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;8
8;19.272416345592955;-13.251049284104102;10.56151806377749;-2.3394921436735197;[tetr];2.5;poscon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02_9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;B02;9
9;5.2394920258666335;-18.04284998514212;9.73458878711046;-8.373357832358788;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05_1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;B05;1
10;-6.222218534075895;-21.323738291387258;8.743137576970165;2.59024901815688;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05_2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;B05;2
11;-7.476890072442217;-13.835548270743644;7.427949091288845;-2.555865589235714;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05_3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;B05;3
12;-9.001671371048186;0.4482051327858424;6.786884545065765;3.958508803139275;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05_4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;B05;4
13;1.1633955953442146;-20.7678255110761;9.390081081124986;-2.8583038223051886;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05_5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;B05;5
14;5.689848590659546;-21.39177568176776;8.088544563652311;2.217343181266504;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05_6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;B05;6
15;-0.7103459844116773;-15.106938090102608;9.37623605245564;-0.8005550742165966;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05_7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;B05;7
16;-5.324211502759475;-11.810149064721774;1.9386346630070022;-7.442716862767887;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23_1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;B23;1
17;-9.976345682121403;-4.653569381506993;0.55234447575443;-12.852159752829882;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23_2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;B23;2
18;10.304230383986843;-16.406290922499352;-3.8464613635267604;-10.133028856980282;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23_3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;B23;3
19;-16.362894162793886;0.5046062120013985;-2.654408647185171;2.6839523360374025;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23_4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;B23;4
20;-21.767901886305037;4.534585453162988;-5.138279071760709;-5.768555031027125;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23_5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;B23;5
21;-0.9608253812456078;-14.228660251596963;-5.363138121707124;-4.766306026882001;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23_6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;B23;6
22;-13.68047904165299;-16.471832945784634;-10.68364377008506;1.841365765278627;[dmso];0.1;negcon;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23_7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B23;B23;7
