;Count_nuclei;ObjectNumber_nuclei;ObjectNumber_cells;compound;conc;cmpd_conc
803;176.5;158.5;55.5;Dabraf;0.333;0.333
804;174.0;143.0;64.5;Dabraf;0.00833;0.00833
805;52.0;46.0;20.0;MK-177;10.0;10.0
806;174.0;141.5;63.0;Abemac;1.0;1.0
807;150.0;122.0;46.0;Linsit;0.333;0.333
808;103.0;81.5;40.5;Vinore;0.00833;0.00833
809;187.0;145.0;74.5;Nutlin;0.1;0.1
810;87.0;77.0;34.5;AMG 23;10.0;10.0
811;87.0;74.5;29.5;ABT-73;0.0333;0.0333
812;138.0;118.5;52.0;Ruxoli;1.0;1.0
813;187.0;167.0;70.0;[dmso];0.1;0.1
814;100.0;74.25;36.5;Taseli;0.1;0.1
815;94.0;69.5;29.5;MK-177;0.00833;0.00833
816;80.0;67.5;32.0;SB2167;1.0;1.0
817;114.0;106.5;47.5;MK-220;0.0333;0.0333
818;165.0;151.0;66.5;AZD454;0.0333;0.0333
819;102.0;89.5;39.5;AZD805;0.1;0.1
820;219.0;164.0;84.5;[dmso];0.1;0.1
821;135.0;121.0;49.0;SB5051;1.0;1.0
822;113.0;118.0;44.0;Vinore;0.0333;0.0333
823;170.5;136.5;65.0;SB2167;0.1;0.1
824;128.0;85.5;46.0;AZD776;0.0333;0.0333
825;197.0;163.5;70.5;Linsit;0.0333;0.0333
826;58.0;58.0;20.0;Navito;1.0;1.0
827;136.0;109.0;50.0;[flup];2.5;2.5
828;29.0;19.0;13.0;Navito;10.0;10.0
829;120.0;101.5;46.0;Velipa;0.0333;0.0333
830;58.0;51.0;25.0;BMS-75;0.0333;0.0333
831;161.0;137.0;58.0;LY2603;0.00833;0.00833
832;141.5;112.5;53.5;Abemac;0.333;0.333
833;228.0;187.0;90.25;[dmso];0.1;0.1
834;201.0;161.0;76.0;LGK974;0.00833;0.00833
835;223.0;186.0;80.0;AZD776;0.00833;0.00833
836;191.0;142.5;75.0;Ruxoli;0.333;0.333
837;214.0;179.0;68.0;[tetr];2.5;2.5
838;210.0;161.5;73.5;Nutlin;0.333;0.333
839;120.0;102.0;40.0;MK-220;1.0;1.0
840;248.0;189.5;91.0;Dabraf;0.0333;0.0333
841;214.0;181.5;76.0;SB5051;0.0333;0.0333
842;161.0;124.5;55.0;tricir;0.1;0.1
843;214.0;168.0;87.0;MK-177;0.0333;0.0333
844;215.0;175.0;84.0;Ruxoli;0.1;0.1
845;212.0;152.5;76.5;[dmso];0.1;0.1
846;229.0;181.5;88.0;LY2603;0.1;0.1
847;202.0;158.5;66.0;Dabraf;1.0;1.0
848;182.0;163.5;78.0;AMG 23;1.0;1.0
849;166.0;132.0;65.0;Linsit;1.0;1.0
850;170.5;143.25;59.75;SB2167;0.333;0.333
851;189.0;152.5;69.5;AZD454;0.0333;0.0333
852;146.0;130.5;54.0;SB5051;0.00833;0.00833
853;133.0;121.5;39.5;SB5051;0.0333;0.0333
854;35.0;26.5;15.0;MK-177;1.0;1.0
855;120.0;100.0;50.0;Dabraf;0.333;0.333
856;69.0;63.0;29.0;[etop];2.5;2.5
857;134.0;100.5;53.5;AZD454;0.333;0.333
858;132.0;101.0;52.0;Linsit;0.1;0.1
859;89.0;73.0;29.0;LGK974;0.1;0.1
860;89.0;75.5;33.0;Abemac;0.1;0.1
861;143.0;118.5;51.0;tricir;0.00833;0.00833
862;51.5;52.0;17.25;Taseli;10.0;10.0
863;195.0;191.5;78.0;[dmso];0.1;0.1
864;175.0;148.25;57.75;LY2603;0.333;0.333
865;231.5;198.75;91.0;[dmso];0.1;0.1
866;133.0;116.0;50.0;AZD776;0.333;0.333
867;115.0;95.5;42.0;tricir;10.0;10.0
868;174.0;150.0;67.5;AMG 23;0.0333;0.0333
869;51.0;60.5;25.0;Vinore;0.333;0.333
870;140.0;104.0;49.0;[berb];2.5;2.5
871;116.0;86.5;45.25;SB5051;0.1;0.1
872;140.0;109.0;49.5;SB2167;0.1;0.1
873;128.0;115.5;54.5;Nutlin;1.0;1.0
874;110.0;91.5;40.0;MK-220;0.1;0.1
875;129.0;97.0;48.0;tricir;0.333;0.333
876;51.0;48.0;21.0;Vinore;1.0;1.0
877;173.0;158.5;61.5;MK-220;0.00833;0.00833
878;197.0;150.0;68.0;AZD805;0.00833;0.00833
879;231.0;206.75;79.0;ABT-73;0.333;0.333
880;208.0;177.5;69.5;[dmso];0.1;0.1
881;196.0;176.0;67.0;Abemac;1.0;1.0
882;211.0;167.0;68.5;AZD776;0.1;0.1
883;141.0;132.0;62.0;AZD454;10.0;10.0
884;113.0;112.0;42.0;BMS-75;0.333;0.333
885;247.5;214.25;83.0;SB2167;10.0;10.0
886;219.0;176.0;75.5;Velipa;0.00833;0.00833
887;234.0;190.5;90.0;Ruxoli;10.0;10.0
888;240.5;192.75;84.0;MK-177;0.1;0.1
889;223.0;183.0;86.0;BMS-75;0.00833;0.00833
890;197.0;175.0;84.0;Navito;0.00833;0.00833
891;220.0;184.0;88.5;[dmso];0.1;0.1
892;113.0;101.5;42.0;MK-220;0.333;0.333
893;189.0;158.0;73.0;Nutlin;0.0333;0.0333
894;156.5;138.5;75.5;AMG 23;0.00833;0.00833
895;86.0;116.5;34.0;[fenb];2.5;2.5
896;92.0;74.0;34.0;AZD805;0.0333;0.0333
897;132.0;118.25;51.25;LGK974;0.333;0.333
898;89.0;71.5;33.5;[berb];2.5;2.5
899;38.0;27.5;13.0;BMS-75;1.0;1.0
900;95.0;80.5;36.0;BMS-75;0.1;0.1
901;152.0;134.5;52.0;Ruxoli;0.333;0.333
902;64.0;53.5;25.0;AZD805;1.0;1.0
903;117.0;91.0;44.5;AMG 23;0.1;0.1
904;73.0;59.0;26.0;ABT-73;0.1;0.1
905;136.0;109.25;49.75;Linsit;0.0333;0.0333
906;120.0;89.75;51.25;LGK974;10.0;10.0
907;154.0;135.5;61.5;Dabraf;0.1;0.1
908;254.0;195.5;92.0;ABT-73;0.00833;0.00833
909;218.0;185.0;81.0;tricir;0.0333;0.0333
910;196.0;167.0;62.5;[tetr];2.5;2.5
911;163.0;145.0;62.0;Ruxoli;1.0;1.0
912;231.0;175.5;88.0;Linsit;0.00833;0.00833
913;173.5;156.0;63.0;Velipa;1.0;1.0
914;115.0;99.0;43.0;tricir;0.333;0.333
915;91.0;65.5;29.0;Taseli;1.0;1.0
916;116.0;88.5;41.5;Abemac;0.00833;0.00833
917;20.5;9.0;9.0;AZD776;10.0;10.0
918;97.0;77.5;38.5;[dmso];0.1;0.1
919;77.0;76.25;27.25;AZD776;1.0;1.0
920;98.0;87.0;41.5;Dabraf;10.0;10.0
921;50.0;39.0;18.5;MK-177;10.0;10.0
922;167.0;136.5;66.0;SB5051;0.333;0.333
923;104.0;96.5;42.0;[dmso];0.1;0.1
924;117.5;121.5;42.25;Vinore;0.00833;0.00833
925;163.0;126.0;57.5;Velipa;1.0;1.0
926;164.0;141.5;63.0;Abemac;0.1;0.1
927;94.0;75.5;37.0;Navito;0.333;0.333
928;154.0;146.5;64.0;MK-177;0.1;0.1
929;201.0;166.0;74.0;LY2603;0.0333;0.0333
930;105.0;89.0;40.5;AZD805;0.1;0.1
931;176.0;159.5;70.0;Dabraf;0.333;0.333
932;179.0;157.0;69.0;AZD454;0.0333;0.0333
933;169.0;142.0;69.0;LGK974;0.1;0.1
934;223.0;201.0;74.0;Nutlin;1.0;1.0
935;165.0;146.25;69.0;LY2603;0.00833;0.00833
936;67.0;56.0;26.0;[etop];2.5;2.5
937;74.0;60.5;26.5;Linsit;1.0;1.0
938;162.0;123.0;66.0;AZD805;0.00833;0.00833
939;150.0;119.5;59.5;[dmso];0.1;0.1
940;130.0;111.5;38.0;Nutlin;0.333;0.333
941;127.0;117.0;59.0;SB2167;0.333;0.333
942;67.0;60.5;28.0;[flup];2.5;2.5
943;49.0;35.5;18.5;Taseli;1.0;1.0
944;107.0;91.5;40.0;Velipa;0.00833;0.00833
945;131.0;114.0;51.0;MK-220;0.0333;0.0333
946;45.0;42.5;18.0;[etop];2.5;2.5
947;50.0;42.0;20.5;MK-220;0.333;0.333
948;66.0;60.0;28.0;AZD805;0.00833;0.00833
949;69.0;64.75;21.0;AZD776;1.0;1.0
950;153.0;122.0;61.0;Ruxoli;0.333;0.333
951;196.0;181.5;73.0;Dabraf;0.00833;0.00833
952;193.0;161.0;72.0;MK-177;0.1;0.1
953;194.0;138.0;73.0;LY2603;0.00833;0.00833
954;72.0;67.0;26.0;BMS-75;1.0;1.0
955;149.0;128.0;56.0;AMG 23;10.0;10.0
956;17.0;8.0;10.0;Vinore;10.0;10.0
957;134.0;118.0;54.0;[dmso];0.1;0.1
958;172.0;151.5;74.0;AZD454;0.333;0.333
959;72.0;58.0;22.0;AZD454;10.0;10.0
960;101.0;79.5;41.0;BMS-75;0.00833;0.00833
961;38.0;31.0;12.5;Vinore;0.1;0.1
962;71.0;59.5;32.5;AMG 23;1.0;1.0
963;117.0;97.0;43.0;[berb];2.5;2.5
964;89.0;89.0;40.0;LGK974;0.00833;0.00833
965;145.0;117.0;54.0;tricir;0.333;0.333
966;158.0;140.0;66.5;SB2167;0.00833;0.00833
967;139.0;117.5;60.5;AMG 23;0.1;0.1
968;201.5;164.5;77.5;Linsit;0.00833;0.00833
969;187.0;162.0;62.0;[dmso];0.1;0.1
970;176.0;153.5;72.0;Ruxoli;0.1;0.1
971;81.0;83.5;32.0;Navito;1.0;1.0
972;58.5;40.75;24.75;Abemac;10.0;10.0
973;43.5;33.0;18.0;AZD776;10.0;10.0
974;206.0;162.0;71.5;Ruxoli;0.0333;0.0333
975;197.0;176.0;74.0;[dmso];0.1;0.1
976;159.5;147.25;57.75;Velipa;0.333;0.333
977;41.0;46.0;15.5;Taseli;10.0;10.0
978;119.0;89.0;46.5;Dabraf;0.0333;0.0333
979;131.0;105.5;55.0;MK-220;0.1;0.1
980;98.0;79.5;36.0;Taseli;1.0;1.0
981;161.0;142.5;65.0;AMG 23;0.333;0.333
982;92.0;84.5;33.0;AZD776;0.1;0.1
983;145.0;132.5;72.0;Dabraf;0.1;0.1
984;104.0;88.0;34.0;ABT-73;0.333;0.333
985;27.0;20.0;12.0;AZD805;10.0;10.0
986;76.0;62.0;26.0;Nutlin;0.1;0.1
987;62.0;53.0;25.0;Linsit;0.00833;0.00833
988;78.0;69.5;31.0;[tetr];2.5;2.5
989;115.0;103.5;47.75;Taseli;0.0333;0.0333
990;97.0;84.5;37.0;tricir;10.0;10.0
991;63.0;47.0;20.5;SB5051;0.0333;0.0333
992;48.0;35.0;18.75;ABT-73;10.0;10.0
993;87.0;71.0;33.5;Ruxoli;0.1;0.1
994;112.5;91.5;40.25;MK-220;0.0333;0.0333
995;172.0;154.5;70.0;[dmso];0.1;0.1
996;135.5;106.5;51.5;AZD454;0.00833;0.00833
997;40.0;37.5;17.0;MK-177;10.0;10.0
998;151.0;124.5;52.5;Linsit;0.0333;0.0333
999;132.0;113.5;49.0;LGK974;1.0;1.0
1000;152.0;146.0;70.5;SB2167;0.1;0.1
1001;139.0;119.5;54.5;ABT-73;0.00833;0.00833
1002;55.0;44.5;25.5;Abemac;10.0;10.0
1003;111.0;100.5;47.5;[berb];2.5;2.5
1004;101.0;86.0;37.0;SB5051;0.1;0.1
1005;98.0;71.5;37.0;Ruxoli;1.0;1.0
1006;112.0;93.0;38.5;LY2603;0.333;0.333
1007;92.0;67.0;30.5;AZD454;0.1;0.1
1008;101.0;81.0;39.0;Velipa;0.00833;0.00833
1009;109.0;93.5;40.0;Abemac;0.1;0.1
1010;93.0;89.0;33.0;MK-220;1.0;1.0
1011;148.0;116.0;58.0;SB2167;0.333;0.333
1012;141.0;122.0;45.0;MK-177;0.333;0.333
1013;152.0;120.0;59.0;MK-177;0.0333;0.0333
1014;140.0;118.0;60.5;LY2603;0.1;0.1
1015;150.0;124.75;46.75;[dmso];0.1;0.1
1016;169.0;145.5;61.5;Linsit;0.333;0.333
1017;94.0;78.5;35.5;BMS-75;0.333;0.333
1018;178.0;134.0;65.0;[tetr];2.5;2.5
1019;93.0;75.5;31.5;Linsit;10.0;10.0
1020;169.0;150.0;63.0;Taseli;0.00833;0.00833
1021;208.0;170.5;77.0;[dmso];0.1;0.1
1022;175.0;150.0;61.0;Taseli;0.0333;0.0333
1023;97.5;85.25;35.5;Navito;0.333;0.333
1024;192.0;161.5;70.5;Abemac;0.0333;0.0333
1025;134.0;105.0;54.0;LGK974;0.1;0.1
1026;124.0;107.0;45.0;LGK974;0.00833;0.00833
1027;96.0;86.0;37.0;AZD776;0.333;0.333
1028;134.0;106.75;49.0;SB2167;10.0;10.0
1029;121.0;90.5;38.0;AZD454;0.00833;0.00833
1030;52.0;37.5;21.5;BMS-75;0.1;0.1
1031;89.0;67.5;32.0;[dmso];0.1;0.1
1032;91.0;77.5;33.5;Navito;0.00833;0.00833
1033;116.0;91.0;45.0;tricir;0.1;0.1
1034;26.0;16.0;12.0;Navito;10.0;10.0
1035;70.0;62.0;31.0;Nutlin;1.0;1.0
1036;66.0;55.5;23.5;ABT-73;0.0333;0.0333
1037;89.0;91.5;34.0;Nutlin;0.1;0.1
1038;70.0;86.5;25.0;[fenb];2.5;2.5
1039;159.0;140.5;62.5;Abemac;0.00833;0.00833
1040;146.0;118.0;60.0;Dabraf;0.00833;0.00833
1041;159.0;124.5;58.5;tricir;0.00833;0.00833
1042;78.0;61.5;29.0;AZD805;0.1;0.1
1043;152.0;133.0;61.0;MK-220;0.1;0.1
1044;143.0;110.0;48.0;[flup];2.5;2.5
1045;110.5;86.75;43.0;SB5051;0.00833;0.00833
1046;97.0;81.0;38.0;Velipa;0.0333;0.0333
1047;118.0;90.5;41.5;LY2603;0.1;0.1
1048;96.0;84.25;36.25;[dmso];0.1;0.1
1049;27.0;10.5;9.0;AZD776;10.0;10.0
1050;46.0;43.5;15.5;Vinore;0.333;0.333
1051;25.5;18.25;10.75;Vinore;1.0;1.0
1052;116.0;90.0;38.5;tricir;0.1;0.1
1053;120.0;104.5;43.0;Ruxoli;0.333;0.333
1054;21.0;21.0;9.25;BMS-75;10.0;10.0
1055;31.0;30.0;12.5;AZD805;10.0;10.0
1056;148.0;129.5;61.0;Nutlin;0.333;0.333
1057;148.0;135.0;61.0;Velipa;0.1;0.1
1058;164.0;122.5;64.0;[dmso];0.1;0.1
1059;116.0;100.0;44.5;LGK974;0.333;0.333
1060;99.5;78.5;44.0;tricir;10.0;10.0
1061;26.5;16.5;11.0;Vinore;10.0;10.0
1062;124.0;106.0;45.5;BMS-75;0.0333;0.0333
1063;183.0;137.5;73.0;ABT-73;0.00833;0.00833
1064;74.0;99.0;29.0;[fenb];2.5;2.5
1065;53.0;47.5;20.0;SB5051;10.0;10.0
1066;157.0;128.0;59.0;Navito;0.00833;0.00833
1067;157.0;125.5;56.0;SB2167;0.1;0.1
1068;142.0;131.0;56.0;AMG 23;0.1;0.1
1069;149.0;126.5;53.5;AMG 23;0.0333;0.0333
1070;139.0;112.5;54.0;ABT-73;0.1;0.1
1071;119.0;89.0;50.0;SB5051;0.1;0.1
1072;121.0;93.5;37.5;[dmso];0.1;0.1
1073;84.0;75.0;33.0;Dabraf;0.0333;0.0333
1074;27.0;27.0;11.0;Navito;0.1;0.1
1075;62.0;51.5;20.0;AZD776;0.333;0.333
1076;93.0;71.5;32.5;AZD805;0.0333;0.0333
1077;120.0;107.0;47.0;Nutlin;10.0;10.0
1078;86.0;64.0;29.0;AZD454;0.1;0.1
1079;41.5;33.0;18.75;[etop];2.5;2.5
1080;69.0;68.0;29.0;SB5051;1.0;1.0
1081;119.0;109.5;34.5;SB2167;1.0;1.0
1082;169.0;134.5;59.0;LGK974;0.0333;0.0333
1083;85.0;72.5;35.0;AZD805;0.333;0.333
1084;175.0;146.5;74.0;[dmso];0.1;0.1
1085;141.0;90.5;55.0;MK-220;0.333;0.333
1086;130.0;91.5;51.0;SB5051;0.333;0.333
1087;113.0;84.5;41.0;MK-177;0.00833;0.00833
1088;63.0;67.5;21.0;MK-177;1.0;1.0
1089;51.0;50.0;22.0;Vinore;0.1;0.1
1090;68.0;57.5;27.5;MK-220;10.0;10.0
1091;104.0;88.5;44.5;Velipa;1.0;1.0
1092;49.0;64.5;23.0;Vinore;0.0333;0.0333
1093;102.0;78.5;37.0;[flup];2.5;2.5
1094;80.0;66.5;28.5;Linsit;0.1;0.1
1095;98.0;67.5;35.5;LGK974;10.0;10.0
1096;65.0;55.5;25.0;MK-220;10.0;10.0
1097;104.0;74.5;35.0;LY2603;0.0333;0.0333
