;Count_nuclei;ObjectNumber_nuclei;ObjectNumber_cells;compound;conc;cmpd_conc
1163;80.0;64.5;33.0;[berb];2.5;2.5
1164;62.0;63.0;29.0;ABT-73;1.0;1.0
1165;55.0;48.0;19.0;MK-177;0.333;0.333
1166;23.0;23.5;12.5;Vinore;1.0;1.0
1167;69.0;55.5;27.0;AZD454;1.0;1.0
1168;72.0;68.0;26.5;AZD776;0.00833;0.00833
1169;121.0;93.5;45.5;MK-220;0.00833;0.00833
1170;160.0;138.5;54.0;AMG 23;0.00833;0.00833
1171;141.0;117.0;54.0;SB2167;0.00833;0.00833
1172;120.0;104.5;43.5;LGK974;0.333;0.333
1173;83.0;75.5;28.0;Navito;1.0;1.0
1174;145.0;109.0;53.5;[dmso];0.1;0.1
1175;156.0;145.5;55.5;ABT-73;0.1;0.1
1176;123.0;89.5;50.0;[dmso];0.1;0.1
1177;26.0;22.5;14.0;BMS-75;10.0;10.0
1178;114.0;98.5;46.5;Ruxoli;10.0;10.0
1179;120.0;100.5;42.0;tricir;0.333;0.333
1180;102.0;92.5;40.0;tricir;0.0333;0.0333
1181;108.0;85.0;40.0;LY2603;1.0;1.0
1182;88.0;81.0;34.0;SB2167;1.0;1.0
1183;107.0;90.5;39.0;[dmso];0.1;0.1
1184;86.0;73.0;28.0;Ruxoli;10.0;10.0
1185;111.0;101.0;39.0;LGK974;0.0333;0.0333
1186;98.0;106.0;38.0;Linsit;0.333;0.333
1187;91.0;78.0;39.5;BMS-75;0.0333;0.0333
1188;131.5;123.75;47.75;ABT-73;1.0;1.0
1189;94.0;90.5;37.5;LY2603;0.333;0.333
1190;133.0;112.5;52.0;[dmso];0.1;0.1
1191;121.0;86.0;44.0;Abemac;1.0;1.0
1192;113.0;109.5;40.0;ABT-73;10.0;10.0
1193;117.0;89.5;42.5;Dabraf;1.0;1.0
1194;88.0;80.5;32.0;LY2603;10.0;10.0
1195;127.0;113.5;52.5;AMG 23;1.0;1.0
1196;118.0;123.5;54.0;SB2167;10.0;10.0
1197;61.0;55.0;23.0;AZD805;0.333;0.333
1198;160.0;136.5;63.0;AZD776;0.0333;0.0333
1199;128.5;101.25;46.5;tricir;0.00833;0.00833
1200;44.0;36.5;14.0;AZD805;1.0;1.0
1201;147.0;129.5;57.0;Nutlin;0.0333;0.0333
1202;97.0;80.0;33.0;Linsit;1.0;1.0
1203;91.0;71.0;33.0;Navito;0.1;0.1
1204;96.0;69.5;35.5;[tetr];2.5;2.5
1205;94.5;85.75;31.5;ABT-73;0.0333;0.0333
1206;44.0;37.0;15.0;AMG 23;10.0;10.0
1207;29.0;20.0;11.0;SB5051;10.0;10.0
1208;100.0;74.0;30.0;[dmso];0.1;0.1
1209;78.0;78.0;38.0;MK-177;0.0333;0.0333
1210;47.0;39.0;18.0;BMS-75;0.333;0.333
1211;77.0;68.0;24.5;AZD776;0.00833;0.00833
1212;55.0;41.0;27.0;Linsit;0.0333;0.0333
1213;40.0;45.0;18.0;[fenb];2.5;2.5
1214;39.0;45.5;13.0;AZD805;1.0;1.0
1215;142.0;120.5;60.0;Velipa;0.1;0.1
1216;81.0;70.0;30.0;Nutlin;10.0;10.0
1217;60.0;55.0;30.5;AZD454;10.0;10.0
1218;119.0;87.5;38.5;Abemac;1.0;1.0
1219;45.0;42.0;17.5;Vinore;0.333;0.333
1220;101.0;96.5;39.0;Navito;0.0333;0.0333
1221;147.0;129.0;49.0;Nutlin;0.00833;0.00833
1222;103.0;75.0;35.0;[dmso];0.1;0.1
1223;114.0;92.0;45.5;Dabraf;0.333;0.333
1224;48.0;44.5;18.5;BMS-75;0.1;0.1
1225;102.0;83.0;39.0;AZD454;0.0333;0.0333
1226;69.0;56.0;23.0;Velipa;10.0;10.0
