site_id,n_nuclei,n_cells
B02_s1,21,25
B04_s1,163,154
B06_s1,79,74
B07_s1,28,33
B08_s1,151,136
B09_s1,170,149
B10_s1,141,123
B11_s1,141,152
B12_s1,178,163
B14_s1,44,38
B15_s1,78,69
B18_s1,137,121
B19_s1,101,101
B20_s1,189,174
B21_s1,137,123
B22_s1,15,11
B23_s1,200,175
C02_s1,96,101
C04_s1,151,139
C05_s1,185,175
C06_s1,44,42
C07_s1,84,81
C08_s1,121,111
C10_s1,43,44
C11_s1,147,132
C12_s1,160,157
C13_s1,106,100
C14_s1,179,164
C16_s1,172,151
C17_s1,140,128
C19_s1,50,44
C21_s1,179,169
C22_s1,93,90
C23_s1,176,154
D03_s1,161,164
D05_s1,153,144
D06_s1,150,119
D07_s1,138,117
D08_s1,118,108
D09_s1,200,183
D10_s1,141,142
D11_s1,189,163
D12_s1,164,154
D14_s1,180,166
D15_s1,177,158
D16_s1,178,161
D17_s1,165,145
D18_s1,75,73
D19_s1,146,132
D20_s1,187,178
D21_s1,137,123
D22_s1,99,96
D23_s1,87,80
E02_s1,151,140
E04_s1,48,51
E05_s1,160,151
E06_s1,196,177
E07_s1,179,154
E08_s1,154,148
E09_s1,100,94
E10_s1,192,169
E12_s1,49,44
E13_s1,193,161
E14_s1,183,162
E15_s1,157,151
E16_s1,186,169
E17_s1,147,123
E18_s1,168,154
E19_s1,77,76
E20_s1,173,158
E21_s1,108,89
E22_s1,102,87
E23_s1,88,80
F02_s1,148,129
F04_s1,160,141
F05_s1,90,87
F06_s1,208,191
F07_s1,47,12
F08_s1,142,127
F09_s1,176,164
F10_s1,173,150
F11_s1,57,78
F12_s1,66,69
F13_s1,177,170
F14_s1,87,84
F15_s1,138,124
F16_s1,173,159
F17_s1,152,129
F18_s1,49,48
F19_s1,73,77
F23_s1,149,135
G02_s1,195,181
G03_s1,17,27
G05_s1,145,140
G07_s1,136,127
G08_s1,175,156
G09_s1,60,63
G10_s1,48,44
G11_s1,145,129
G12_s1,165,144
G13_s1,186,172
G15_s1,160,148
G17_s1,67,73
G18_s1,145,126
G19_s1,202,185
G20_s1,117,106
G22_s1,171,145
G23_s1,71,48
H02_s1,150,139
H04_s1,97,84
H05_s1,169,159
H07_s1,138,125
H08_s1,130,118
H09_s1,54,49
H10_s1,140,124
H11_s1,59,66
H12_s1,175,154
H13_s1,65,64
H14_s1,196,182
H15_s1,156,159
H16_s1,115,100
H17_s1,193,178
H18_s1,146,135
H19_s1,184,176
H20_s1,169,159
H21_s1,175,156
H22_s1,179,157
H23_s1,163,154
I02_s1,193,183
I03_s1,123,112
I04_s1,92,86
I05_s1,171,154
I06_s1,25,27
I07_s1,106,90
I08_s1,87,84
I09_s1,176,173
I10_s1,116,105
I11_s1,51,49
I12_s1,154,138
I14_s1,147,138
I15_s1,191,168
I17_s1,142,135
I18_s1,57,57
I20_s1,170,154
I21_s1,157,157
I23_s1,66,67
J02_s1,174,155
J05_s1,72,72
J06_s1,199,174
J08_s1,183,163
J09_s1,132,121
J11_s1,106,86
J12_s1,104,97
J14_s1,173,157
J15_s1,99,92
J16_s1,122,103
J17_s1,164,140
J20_s1,162,141
J21_s1,158,144
J22_s1,13,7
J23_s1,118,102
K02_s1,72,69
K03_s1,38,51
K04_s1,95,90
K05_s1,171,163
K06_s1,201,181
K07_s1,190,176
K08_s1,175,160
K09_s1,100,97
K10_s1,155,128
K11_s1,164,153
K12_s1,109,94
K13_s1,70,79
K14_s1,125,121
K15_s1,181,160
K16_s1,194,175
K17_s1,194,177
K18_s1,202,182
K19_s1,62,77
K20_s1,171,156
K21_s1,159,139
K22_s1,114,95
L02_s1,164,155
L03_s1,154,137
L04_s1,127,128
L05_s1,175,160
L06_s1,149,129
L07_s1,149,136
L08_s1,205,180
L09_s1,133,131
L11_s1,195,165
L12_s1,178,164
L13_s1,59,51
L15_s1,145,134
L16_s1,24,25
L17_s1,177,158
L18_s1,198,175
L19_s1,166,154
L20_s1,164,151
L21_s1,177,157
L22_s1,176,162
M02_s1,107,100
M04_s1,95,87
M05_s1,144,136
M06_s1,163,137
M07_s1,171,154
M08_s1,49,53
M09_s1,164,153
M10_s1,82,65
M11_s1,210,202
M12_s1,120,108
M14_s1,201,170
M15_s1,204,181
M16_s1,169,142
M17_s1,99,94
M18_s1,170,158
M19_s1,89,88
M20_s1,94,82
M22_s1,78,77
M23_s1,186,170
N02_s1,165,154
N03_s1,161,142
N06_s1,111,100
N07_s1,193,184
N08_s1,171,148
N09_s1,144,137
N12_s1,209,188
N15_s1,207,173
N16_s1,187,171
N17_s1,54,58
N18_s1,41,38
N19_s1,83,80
N20_s1,191,176
N21_s1,175,157
N23_s1,155,138
O02_s1,70,70
O04_s1,179,171
O05_s1,116,113
O06_s1,51,56
O07_s1,120,122
O08_s1,165,155
O09_s1,237,208
O10_s1,120,137
O11_s1,135,124
O12_s1,101,90
O13_s1,129,119
O15_s1,199,182
O16_s1,186,174
O17_s1,79,83
O18_s1,96,100
O19_s1,183,168
O20_s1,183,181
O22_s1,30,32
O23_s1,193,175
