EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000206075,SERPINB5,1.97958,1.31211e-7,0.000063474,123.918,protein_coding,14.6091,59.8221,3.98343,3.01688,4.1974,PI5;maspin,serpin family B member 5,"Predicted to enable serine-type endopeptidase inhibitor activity. Predicted to be involved in negative regulation of endopeptidase activity. Predicted to act upstream of or within several processes, including extracellular matrix organization; prostate gland morphogenesis; and regulation of epithelial cell proliferation. Located in cytoplasm. Biomarker of hepatocellular carcinoma. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000175305,CCNE2,-2.11321,1.35072e-7,0.000063474,121.454,protein_coding,13.4933,3.07104,1.54055,0.706381,4.1974,CYCE2,cyclin E2,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK2. This cyclin has been shown to specifically interact with CIP/KIP family of CDK inhibitors, and plays a role in cell cycle G1/S transition. The expression of this gene peaks at the G1-S phase and exhibits a pattern of tissue specificity distinct from that of cyclin E1. A significantly increased expression level of this gene was observed in tumor-derived cells. [provided by RefSeq, Jul 2008]."
ENSG00000159388,BTG2,2.08164,1.38658e-7,0.000063474,125.353,protein_coding,22.2043,91.1339,5.67572,13.2792,4.1974,APRO1;PC3;TIS21,BTG anti-proliferation factor 2,"The protein encoded by this gene is a member of the BTG/Tob family. This family has structurally related proteins that appear to have antiproliferative properties. This encoded protein is involved in the regulation of the G1/S transition of the cell cycle. [provided by RefSeq, Jul 2008]."
ENSG00000092853,CLSPN,-2.44498,1.53785e-7,0.00006634,122.952,protein_coding,78.1318,14.0996,17.5276,3.47867,4.17822,,claspin,"The product of this gene is an essential upstream regulator of checkpoint kinase 1 and triggers a checkpoint arrest of the cell cycle in response to replicative stress or DNA damage. The protein is also required for efficient DNA replication during a normal S phase. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010]."
ENSG00000302054,ENSG00000302054,4.10363,1.56691e-7,0.00006634,89.7267,lncRNA,0.14364,3.73461,0.17415,0.418477,4.17822,,,
ENSG00000277639,CHD9NB,2.94113,1.58943e-7,0.00006634,113.659,protein_coding,0.845128,7.25949,0.409214,0.868898,4.17822,PR-lncRNA-1,CHD9 neighbor,
ENSG00000169035,KLK7,1.63874,1.70638e-7,0.0000691866,116.218,protein_coding,24.2972,76.1274,2.40279,10.7327,4.15998,PRSS6;SCCE;hK7,kallikrein related peptidase 7,"This gene encodes a member of the kallikrein subfamily of serine proteases. These enzymes have diverse physiological functions and many kallikrein genes are biomarkers for cancer. The encoded protein has chymotrypsin-like activity and plays a role in the proteolysis of intercellular cohesive structures that precedes desquamation, the shedding of the outermost layer of the epidermis. The encoded protein may play a role in cancer invasion and metastasis, and increased expression of this gene is associated with unfavorable prognosis and progression of several types of cancer. Polymorphisms in this gene may play a role in the development of atopic dermatitis. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene, which is one of fifteen kallikrein subfamily members located in a gene cluster on chromosome 19. [provided by RefSeq, May 2011]."
ENSG00000051180,RAD51,-1.81289,1.81343e-7,0.0000714845,114.976,protein_coding,16.811,4.76643,2.03783,0.789917,4.14579,BRCC5;FANCR;HRAD51;HsRad51;HsT16930;MRMV2;RAD51A;RECA,RAD51 recombinase,"The protein encoded by this gene is a member of the RAD51 protein family. RAD51 family members are highly similar to bacterial RecA and Saccharomyces cerevisiae Rad51, and are known to be involved in the homologous recombination and repair of DNA. This protein can interact with the ssDNA-binding protein RPA and RAD52, and it is thought to play roles in homologous pairing and strand transfer of DNA. This protein is also found to interact with BRCA1 and BRCA2, which may be important for the cellular response to DNA damage. BRCA2 is shown to regulate both the intracellular localization and DNA-binding ability of this protein. Loss of these controls following BRCA2 inactivation may be a key event leading to genomic instability and tumorigenesis. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2009]."
ENSG00000137310,TCF19,-1.61385,1.87543e-7,0.0000719305,114.276,protein_coding,14.4778,4.61615,1.214,0.31337,4.14309,SC1;TCF-19,transcription factor 19,"This gene encodes a protein that contains a PHD-type zinc finger domain and likely functions as a transcription factor. The encoded protein plays a role proliferation and apoptosis of pancreatic beta cells. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]."
ENSG00000169403,PTAFR,2.58701,2.00534e-7,0.0000735184,113.292,protein_coding,1.86076,10.3566,0.63746,1.47721,4.1336,PAFR,platelet activating factor receptor,"This gene encodes a seven-transmembrane G-protein-coupled receptor for platelet-activating factor (PAF) that localizes to lipid rafts and/or caveolae in the cell membrane. PAF (1-0-alkyl-2-acetyl-sn-glycero-3-phosphorylcholine) is a phospholipid that plays a significant role in oncogenic transformation, tumor growth, angiogenesis, metastasis, and pro-inflammatory processes. Binding of PAF to the PAF-receptor (PAFR) stimulates numerous signal transduction pathways including phospholipase C, D, A2, mitogen-activated protein kinases (MAPKs), and the phosphatidylinositol-calcium second messenger system. Following PAFR activation, cells become rapidly desensitized and this refractory state is dependent on PAFR phosphorylation, internalization, and down-regulation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2011]."
