EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000146414,SHPRH,-0.0274031,0.860221,0.909795,0.032101,protein_coding,8.90831,8.69099,1.14998,1.78444,0.0410565,,,
ENSG00000105705,SUGP1,-0.0235223,0.860273,0.909795,0.0320767,protein_coding,12.2008,11.8961,0.859083,2.13564,0.0410565,,,
ENSG00000205220,PSMB10,-0.0318827,0.860469,0.909933,0.0320647,protein_coding,20.4716,20.5768,6.2601,3.2992,0.0409905,,,
ENSG00000144711,IQSEC1,0.0224253,0.860686,0.910094,0.0318849,protein_coding,13.917,13.6407,2.7715,0.784612,0.0409137,,,
ENSG00000107821,KAZALD1,0.0322387,0.86077,0.910113,0.0318467,protein_coding,3.29272,3.29336,0.580931,0.308587,0.0409045,,,
ENSG00000163867,ZMYM6,-0.0304809,0.86085,0.910129,0.0318091,protein_coding,10.1415,9.47893,2.13417,2.36081,0.0408968,,,
ENSG00000164144,ARFIP1,-0.0149092,0.861001,0.91022,0.0317393,protein_coding,39.8624,39.2216,2.51542,3.23669,0.0408536,,,
ENSG00000129521,EGLN3,0.0358011,0.861203,0.91034,0.0316469,protein_coding,2.8416,3.00554,0.332323,0.709704,0.0407964,,,
ENSG00000197168,NEK5,0.0322267,0.861245,0.91034,0.0316271,protein_coding,3.54138,3.60176,0.418209,0.71543,0.0407964,,,
ENSG00000303056,ENSG00000303056,0.044828,0.862,0.911068,0.0312806,lncRNA,2.74814,2.81936,0.53934,1.00219,0.040449,,,
ENSG00000240616,RPS6P25,0.040035,0.862376,0.911397,0.0311079,processed_pseudogene,3.73427,3.50547,1.52401,0.605038,0.0402922,,,
ENSG00000154305,MIA3,-0.0190632,0.862477,0.911435,0.0310613,protein_coding,21.2267,20.8781,1.66326,2.81516,0.0402743,,,
ENSG00000127415,IDUA,0.0399695,0.862833,0.911711,0.0308995,protein_coding,4.82859,4.51014,1.60213,1.37577,0.0401427,,,
ENSG00000140323,DISP2,-0.0395534,0.86287,0.911711,0.0308831,protein_coding,2.66191,2.76214,0.922263,0.335218,0.0401427,,,
ENSG00000183317,EPHA10,-0.0313673,0.862945,0.911722,0.0308481,protein_coding,4.87711,4.5869,1.14192,0.564087,0.0401374,,,
ENSG00000102119,EMD,-0.0125884,0.863108,0.911825,0.0307738,protein_coding,197.328,196.088,16.8757,6.46716,0.0400883,,,
ENSG00000065427,KARS1,-0.0116331,0.86349,0.912159,0.0306006,protein_coding,141.545,140.609,5.1722,8.05015,0.0399293,,,
ENSG00000169223,LMAN2,-0.0113879,0.863914,0.912539,0.0304085,protein_coding,193.696,192.447,9.35969,8.28294,0.0397487,,,
ENSG00000167625,ZNF526,-0.0238339,0.864092,0.912657,0.0303284,protein_coding,6.82634,6.6844,0.504861,0.944207,0.0396923,,,
ENSG00000231043,ENSG00000231043,0.0495213,0.864319,0.912717,0.0302273,processed_pseudogene,2.3308,2.2919,0.652784,0.99711,0.039664,,,
ENSG00000034693,PEX3,-0.0184221,0.864359,0.912717,0.030208,protein_coding,11.1617,10.9241,0.99342,0.273363,0.039664,,,
ENSG00000261064,LINC02256,-0.0561669,0.864534,0.912717,0.0301315,lncRNA,1.77895,1.6579,0.273934,0.872333,0.039664,,,
ENSG00000166946,CCNDBP1,-0.0164908,0.864543,0.912717,0.0301251,protein_coding,33.9867,33.3265,4.10181,2.02548,0.039664,,,
ENSG00000291152,SBDSP1,-0.0267586,0.864572,0.912717,0.0301123,lncRNA,8.93222,9.14408,2.25298,0.792796,0.039664,,,
ENSG00000171448,ZBTB26,-0.0456831,0.864625,0.912717,0.0300893,protein_coding,2.72277,2.44374,0.828416,0.769304,0.039664,,,
ENSG00000131844,MCCC2,-0.0138343,0.86469,0.912717,0.0300594,protein_coding,38.0069,37.6992,2.50457,1.96156,0.039664,,,
ENSG00000114859,CLCN2,0.0491119,0.864704,0.912717,0.0300623,protein_coding,4.66302,4.42965,2.38646,0.898882,0.039664,,,
ENSG00000215440,NPEPL1,-0.0240661,0.864738,0.912717,0.030038,protein_coding,5.55512,5.4455,0.233476,0.6695,0.039664,,,
ENSG00000155324,GRAMD2B,0.0218391,0.864853,0.91277,0.029986,protein_coding,8.82929,9.1937,1.3695,0.496442,0.0396388,,,
ENSG00000307172,ENSG00000307172,-0.035283,0.865018,0.912838,0.0299124,lncRNA,4.22903,3.96351,0.904292,0.921657,0.0396063,,,
ENSG00000130958,SLC35D2,0.0131792,0.865049,0.912838,0.0298983,protein_coding,33.7883,34.1467,1.66913,0.944556,0.0396063,,,
ENSG00000232112,TMA7,-0.0228708,0.865393,0.913132,0.0298197,protein_coding,312.885,309.05,70.3931,33.8328,0.0394664,,,
ENSG00000168291,PDHB,0.015791,0.865758,0.913448,0.0295816,protein_coding,41.5364,42.3333,5.35964,1.59583,0.0393162,,,
ENSG00000141458,NPC1,-0.0175974,0.865845,0.913471,0.0295429,protein_coding,26.6913,26.0221,3.28756,2.17841,0.0393054,,,
ENSG00000085377,PREP,0.0144022,0.867087,0.914711,0.0289929,protein_coding,45.9004,46.7384,4.42985,3.17947,0.0387159,,,
ENSG00000104957,YJU2B,0.0195047,0.867209,0.914772,0.0289388,protein_coding,11.8057,12.0811,1.0644,1.28915,0.0386872,,,
ENSG00000196422,PPP1R26,-0.0183621,0.867788,0.915205,0.0286845,protein_coding,17.3998,16.7756,2.60515,0.682681,0.0384818,,,
ENSG00000226200,SGMS1-AS1,-0.0649166,0.867816,0.915205,0.0286748,lncRNA,1.79841,1.48483,1.05951,0.751873,0.0384818,,,
ENSG00000235070,ENSG00000235070,0.0357154,0.867817,0.915205,0.0286723,lncRNA,3.55707,3.93938,1.33871,0.39777,0.0384818,,,
ENSG00000006194,ZNF263,-0.0173395,0.86813,0.915466,0.0285347,protein_coding,11.6319,11.3973,0.706442,0.632847,0.0383577,,,
ENSG00000198964,SGMS1,0.0194226,0.86842,0.915591,0.0284084,protein_coding,10.9948,11.0659,1.28377,0.702447,0.0382984,,,
ENSG00000264577,ENSG00000264577,0.0511765,0.868503,0.915591,0.0283755,lncRNA,1.39123,1.36349,0.357378,0.454642,0.0382984,,,
ENSG00000256060,TRAPPC2B,-0.0329188,0.868511,0.915591,0.0283687,protein_coding,4.54823,4.48411,0.614081,1.30958,0.0382984,,,
ENSG00000291313,ENSG00000291313,-0.0437347,0.868512,0.915591,0.0283719,protein_coding,1.40862,1.32801,0.187152,0.305868,0.0382984,,,
ENSG00000239523,MYLK-AS1,-0.0413102,0.868623,0.915611,0.0283213,lncRNA,1.82406,1.84016,0.429223,0.392701,0.0382888,,,
ENSG00000126524,SBDS,0.0244481,0.868662,0.915611,0.0283028,protein_coding,10.7234,11.3295,2.4835,1.11737,0.0382888,,,
ENSG00000250682,LINC00491,-0.0444555,0.868863,0.915754,0.0282159,lncRNA,2.79863,2.70958,0.931483,0.670621,0.0382212,,,
ENSG00000093167,LRRFIP2,-0.0170894,0.86897,0.915797,0.0281691,protein_coding,20.3299,19.8552,2.43741,1.31665,0.0382007,,,
ENSG00000151532,VTI1A,0.0137351,0.869049,0.915811,0.0281347,protein_coding,37.9296,38.2637,1.14006,3.49635,0.038194,,,
ENSG00000112218,GPR63,-0.0319661,0.869318,0.915916,0.0280181,protein_coding,4.47596,4.55978,0.416019,1.39726,0.0381444,,,
ENSG00000111786,SRSF9,0.011945,0.869345,0.915916,0.0280064,protein_coding,361.638,365.028,24.3901,20.2686,0.0381444,,,
ENSG00000135678,CPM,0.0378332,0.869346,0.915916,0.0280066,protein_coding,2.8235,2.61988,1.04083,0.36012,0.0381444,,,
ENSG00000285230,RALY-AS1,-0.0369416,0.869411,0.915916,0.0279791,lncRNA,2.02547,1.98157,0.0785298,0.418555,0.0381444,,,
ENSG00000254870,ATP6V1G2-DDX39B,-0.0105136,0.869608,0.915934,0.0278924,protein_coding,255.515,253.817,9.42051,8.89044,0.0381357,,,
ENSG00000144120,TMEM177,0.0233658,0.869636,0.915934,0.0278805,protein_coding,14.1201,14.1542,3.08976,0.76792,0.0381357,,,
ENSG00000214193,SH3D21,0.0652396,0.869793,0.915934,0.0278143,protein_coding,1.87349,1.81473,1.00142,0.640787,0.0381357,,,
ENSG00000159348,CYB5R1,-0.02356,0.86982,0.915934,0.0278009,protein_coding,6.82389,6.79142,0.824881,0.810248,0.0381357,,,
ENSG00000033800,PIAS1,0.016816,0.869856,0.915934,0.0277853,protein_coding,35.429,35.2822,5.3896,2.22323,0.0381357,,,
ENSG00000150995,ITPR1,0.0604788,0.86989,0.915934,0.0277732,protein_coding,1.89246,1.69533,1.07226,0.648076,0.0381357,,,
ENSG00000168310,IRF2,0.0242312,0.869891,0.915934,0.0277705,protein_coding,4.59416,4.76081,0.425369,0.386866,0.0381357,,,
ENSG00000164163,ABCE1,0.0105459,0.869954,0.915934,0.0277434,protein_coding,115.518,116.492,3.48372,4.30936,0.0381357,,,
