Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,drug,coll
prerank,HALLMARK_APOPTOSIS,0.3466994839285355,1.5049421368974214,0.003389830508474576,0.04949862503819338,0.178,44/123,20.77%,CDKN1A;FAS;BTG2;IGFBP6;GADD45A;BAX;PMAIP1;ANXA1;FDXR;TAP1;BIK;DAP;IFITM3;SATB1;ATF3;PPP2R5B;BCL2L1;CLU;KRT18;BIRC3;GPX1;EMP1;PDCD4;SAT1;GSN;CCND1;CFLAR;TIMP1;APP;ANKH;SQSTM1;ISG20;BCL10;LGALS3;PLAT;CD44;SOD1;H1-0;SOD2;TNFRSF12A;SLC20A1;VDAC2;SPTAN1;PRF1,5FU,H
prerank,HALLMARK_UV_RESPONSE_DN,0.33874543910817095,1.468753337796647,0.0035587188612099642,0.05665467625899281,0.228,23/119,8.43%,FHL2;CACNA1A;NRP1;SERPINE1;MGLL;GRK5;PTPRM;ADORA2B;FBLN5;SMAD3;LAMC1;ANXA4;F3;FYN;TGFBR2;APBB2;MT1E;IRS1;ANXA2;PIAS3;RND3;MYC;ICA1,5FU,H
prerank,HALLMARK_MYOGENESIS,0.3331621928116146,1.433382486841875,0.01694915254237288,0.06844254326268716,0.295,39/117,15.86%,CDKN1A;APOD;ATP2A1;AK1;IFRD1;STC2;NOTCH1;HBEGF;FXYD1;ITGB4;SORBS1;CLU;PLXNB2;KIFC3;ACHE;MYOM2;CHRNB1;GAA;MYBPH;PFKM;EIF4A2;SPEG;GABARAPL2;AGRN;TSC2;GSN;SIRT2;ABLIM1;MYL6B;FKBP1B;MAPRE3;APP;PICK1;SYNGR2;MRAS;TPD52L1;MEF2D;FLII;DES,5FU,H
prerank,HALLMARK_ALLOGRAFT_REJECTION,-0.3684427585656169,-1.4021039003558933,0.034782608695652174,0.14064389227965637,0.642,20/106,10.48%,BRCA1;SPI1;FYB1;CCL5;CCL22;CTSS;PTPRC;ITGB2;IGSF6;BCAT1;SRGN;TRAF2;HCLS1;MMP9;CD74;GCNT1;CCL2;STAB1;HLA-DMB;GALNT1,5FU,H
prerank,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.33034159646011146,-1.3245726062109955,0.04299583911234397,0.23274324337354046,0.86,40/159,14.85%,MYB;DHRS2;PLK4;GINS2;STIL;CDC6;IMPA2;S100A9;EMP2;SLC1A4;CDC20;TOP2A;IDH2;KIF20A;ADD3;FGFR3;JAK1;PRSS23;PRKAR2B;DNAJC1;SLC26A2;FOS;SNX10;KCNK5;OLFM1;RBBP8;NBL1;IL17RB;FKBP5;RNASEH2A;ID2;XRCC3;RAB31;BAG1;OPN3;XBP1;GLA;FARP1;CISH;NMU,5FU,H
prerank,HALLMARK_MYC_TARGETS_V2,-0.3796944325955508,-1.315491566930453,0.08385093167701864,0.2137505836849217,0.881,18/58,21.47%,PLK4;MCM5;MCM4;PLK1;TMEM97;UNG;MRTO4;NOP56;UTP20;TCOF1;MPHOSPH10;NOC4L;GNL3;CBX3;MAP3K6;PPAN;LAS1L;SLC19A1,5FU,H
prerank,HALLMARK_COAGULATION,0.32272611694888925,1.291503343642291,0.08256880733944955,0.18216993972389656,0.626,24/73,18.05%,SERPINA1;SERPINE1;GDA;PLAU;KLK8;ANXA1;DUSP14;F3;FYN;CAPN2;ISCU;BMP1;CLU;WDR1;GSN;SIRT2;TIMP1;MAFF;DPP4;CD9;RABIF;PLAT;PDGFB;F12,5FU,H
prerank,HALLMARK_KRAS_SIGNALING_UP,0.2954943966420191,1.2753453633857779,0.05019305019305019,0.18390398246513356,0.664,30/117,13.60%,TSPAN1;ALDH1A3;PRDM1;SEMA3B;NRP1;APOD;PLAU;CPE;KCNN4;ACE;SATB1;HBEGF;PRKG2;TMEM158;ANO1;RGS16;ANGPTL4;LAT2;FUCA1;BIRC3;GLRX;LIF;EMP1;PLAUR;PPP1R15A;SOX9;TRIB1;YRDC;AKAP12;ANKH,5FU,H
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.2971634402276249,1.27032976089408,0.046511627906976744,0.17484930974139606,0.676,26/117,10.33%,LAMA3;ACTA2;FAS;SERPINE1;GADD45A;NT5E;DKK1;IL32;FBLN5;LAMC1;COL16A1;VCAN;LAMC2;SDC4;BMP1;COL12A1;FUCA1;SNTB1;COL7A1;CCN2;LGALS1;PLAUR;ECM1;APLP1;CD59;SAT1,5FU,H
prerank,HALLMARK_MTORC1_SIGNALING,-0.29602307018561896,-1.2248835276124657,0.08111702127659574,0.36948960111075757,0.983,44/190,17.52%,CDC25A;MCM4;INSIG1;CCNF;DHFR;SLC1A4;BUB1;MCM2;AURKA;ITGB2;PLK1;BCAT1;HMGCS1;TMEM97;EBP;FADS1;ADD3;SLC7A11;UNG;SDF2L1;RRM2;ACSL3;IDI1;TUBA4A;NIBAN1;SLC37A4;SCD;FKBP2;STARD4;CORO1A;HSP90B1;SQLE;XBP1;DHCR24;ELOVL6;GLA;HMGCR;PHGDH;GMPS;CTH;CALR;HSPA5;ELOVL5;PSMC6,5FU,H
