Files	well_id	z_plane	channel	cell_line
detection_example_dataset/Well-B02-z35-SYTO.ome.tiff	B02	35	SYTO	HCT-116
detection_example_dataset/Well-B02-z36-HOECHST.ome.tiff	B02	36	HOECHST	HCT-116
detection_example_dataset/Well-B02-z36-SYTO.ome.tiff	B02	36	SYTO	HCT-116
detection_example_dataset/Well-B02-z37-HOECHST.ome.tiff	B02	37	HOECHST	HCT-116
detection_example_dataset/Well-B02-z37-SYTO.ome.tiff	B02	37	SYTO	HCT-116
detection_example_dataset/Well-B02-z38-HOECHST.ome.tiff	B02	38	HOECHST	HCT-116
detection_example_dataset/Well-B02-z38-SYTO.ome.tiff	B02	38	SYTO	HCT-116
detection_example_dataset/Well-B02-z39-HOECHST.ome.tiff	B02	39	HOECHST	HCT-116
detection_example_dataset/Well-B02-z39-SYTO.ome.tiff	B02	39	SYTO	HCT-116
detection_example_dataset/Well-B02-z4-HOECHST.ome.tiff	B02	4	HOECHST	HCT-116
detection_example_dataset/Well-B02-z4-SYTO.ome.tiff	B02	4	SYTO	HCT-116
detection_example_dataset/Well-B02-z40-HOECHST.ome.tiff	B02	40	HOECHST	HCT-116
detection_example_dataset/Well-B02-z40-SYTO.ome.tiff	B02	40	SYTO	HCT-116
detection_example_dataset/Well-B02-z41-HOECHST.ome.tiff	B02	41	HOECHST	HCT-116
detection_example_dataset/Well-B02-z41-SYTO.ome.tiff	B02	41	SYTO	HCT-116
detection_example_dataset/Well-B02-z42-HOECHST.ome.tiff	B02	42	HOECHST	HCT-116
detection_example_dataset/Well-B02-z42-SYTO.ome.tiff	B02	42	SYTO	HCT-116
detection_example_dataset/Well-B02-z43-HOECHST.ome.tiff	B02	43	HOECHST	HCT-116
detection_example_dataset/Well-B02-z43-SYTO.ome.tiff	B02	43	SYTO	HCT-116
detection_example_dataset/Well-B02-z44-HOECHST.ome.tiff	B02	44	HOECHST	HCT-116
detection_example_dataset/Well-B02-z44-SYTO.ome.tiff	B02	44	SYTO	HCT-116
detection_example_dataset/Well-B02-z45-HOECHST.ome.tiff	B02	45	HOECHST	HCT-116
detection_example_dataset/Well-B02-z45-SYTO.ome.tiff	B02	45	SYTO	HCT-116
detection_example_dataset/Well-B02-z46-HOECHST.ome.tiff	B02	46	HOECHST	HCT-116
detection_example_dataset/Well-B02-z46-SYTO.ome.tiff	B02	46	SYTO	HCT-116
detection_example_dataset/Well-B02-z47-HOECHST.ome.tiff	B02	47	HOECHST	HCT-116
detection_example_dataset/Well-B02-z47-SYTO.ome.tiff	B02	47	SYTO	HCT-116
detection_example_dataset/Well-B02-z48-HOECHST.ome.tiff	B02	48	HOECHST	HCT-116
detection_example_dataset/Well-B02-z48-SYTO.ome.tiff	B02	48	SYTO	HCT-116
detection_example_dataset/Well-B02-z49-HOECHST.ome.tiff	B02	49	HOECHST	HCT-116
detection_example_dataset/Well-B02-z49-SYTO.ome.tiff	B02	49	SYTO	HCT-116
detection_example_dataset/Well-B02-z5-HOECHST.ome.tiff	B02	5	HOECHST	HCT-116
detection_example_dataset/Well-B02-z5-SYTO.ome.tiff	B02	5	SYTO	HCT-116
detection_example_dataset/Well-B02-z50-HOECHST.ome.tiff	B02	50	HOECHST	HCT-116
detection_example_dataset/Well-B02-z50-SYTO.ome.tiff	B02	50	SYTO	HCT-116
detection_example_dataset/Well-B02-z51-HOECHST.ome.tiff	B02	51	HOECHST	HCT-116
detection_example_dataset/Well-B02-z51-SYTO.ome.tiff	B02	51	SYTO	HCT-116
detection_example_dataset/Well-B02-z52-HOECHST.ome.tiff	B02	52	HOECHST	HCT-116
detection_example_dataset/Well-B02-z52-SYTO.ome.tiff	B02	52	SYTO	HCT-116
detection_example_dataset/Well-B02-z53-HOECHST.ome.tiff	B02	53	HOECHST	HCT-116
detection_example_dataset/Well-B02-z53-SYTO.ome.tiff	B02	53	SYTO	HCT-116
detection_example_dataset/Well-B02-z54-HOECHST.ome.tiff	B02	54	HOECHST	HCT-116
detection_example_dataset/Well-B02-z54-SYTO.ome.tiff	B02	54	SYTO	HCT-116
detection_example_dataset/Well-B02-z55-HOECHST.ome.tiff	B02	55	HOECHST	HCT-116
detection_example_dataset/Well-B02-z55-SYTO.ome.tiff	B02	55	SYTO	HCT-116
detection_example_dataset/Well-B02-z6-HOECHST.ome.tiff	B02	6	HOECHST	HCT-116
detection_example_dataset/Well-B02-z6-SYTO.ome.tiff	B02	6	SYTO	HCT-116
detection_example_dataset/Well-B02-z7-HOECHST.ome.tiff	B02	7	HOECHST	HCT-116
detection_example_dataset/Well-B02-z7-SYTO.ome.tiff	B02	7	SYTO	HCT-116
detection_example_dataset/Well-B02-z8-HOECHST.ome.tiff	B02	8	HOECHST	HCT-116
detection_example_dataset/Well-B02-z8-SYTO.ome.tiff	B02	8	SYTO	HCT-116
detection_example_dataset/Well-B02-z9-HOECHST.ome.tiff	B02	9	HOECHST	HCT-116
detection_example_dataset/Well-B02-z9-SYTO.ome.tiff	B02	9	SYTO	HCT-116
detection_example_dataset/Well-B03-z0-HOECHST.ome.tiff	B03	0	HOECHST	HCT-116
detection_example_dataset/Well-B03-z0-SYTO.ome.tiff	B03	0	SYTO	HCT-116
detection_example_dataset/Well-B03-z1-HOECHST.ome.tiff	B03	1	HOECHST	HCT-116
detection_example_dataset/Well-B03-z1-SYTO.ome.tiff	B03	1	SYTO	HCT-116
detection_example_dataset/Well-B03-z10-HOECHST.ome.tiff	B03	10	HOECHST	HCT-116
detection_example_dataset/Well-B03-z10-SYTO.ome.tiff	B03	10	SYTO	HCT-116
detection_example_dataset/Well-B03-z11-HOECHST.ome.tiff	B03	11	HOECHST	HCT-116
detection_example_dataset/Well-B03-z11-SYTO.ome.tiff	B03	11	SYTO	HCT-116
detection_example_dataset/Well-B03-z12-HOECHST.ome.tiff	B03	12	HOECHST	HCT-116
detection_example_dataset/Well-B03-z12-SYTO.ome.tiff	B03	12	SYTO	HCT-116
detection_example_dataset/Well-B03-z13-HOECHST.ome.tiff	B03	13	HOECHST	HCT-116
detection_example_dataset/Well-B03-z13-SYTO.ome.tiff	B03	13	SYTO	HCT-116
detection_example_dataset/Well-B03-z14-HOECHST.ome.tiff	B03	14	HOECHST	HCT-116
detection_example_dataset/Well-B03-z14-SYTO.ome.tiff	B03	14	SYTO	HCT-116
detection_example_dataset/Well-B03-z15-HOECHST.ome.tiff	B03	15	HOECHST	HCT-116
detection_example_dataset/Well-B03-z15-SYTO.ome.tiff	B03	15	SYTO	HCT-116
detection_example_dataset/Well-B03-z16-HOECHST.ome.tiff	B03	16	HOECHST	HCT-116
detection_example_dataset/Well-B03-z16-SYTO.ome.tiff	B03	16	SYTO	HCT-116
detection_example_dataset/Well-B03-z17-HOECHST.ome.tiff	B03	17	HOECHST	HCT-116
detection_example_dataset/Well-B03-z17-SYTO.ome.tiff	B03	17	SYTO	HCT-116
detection_example_dataset/Well-B03-z18-HOECHST.ome.tiff	B03	18	HOECHST	HCT-116
detection_example_dataset/Well-B03-z18-SYTO.ome.tiff	B03	18	SYTO	HCT-116
detection_example_dataset/Well-B03-z19-HOECHST.ome.tiff	B03	19	HOECHST	HCT-116
detection_example_dataset/Well-B03-z19-SYTO.ome.tiff	B03	19	SYTO	HCT-116
detection_example_dataset/Well-B03-z2-HOECHST.ome.tiff	B03	2	HOECHST	HCT-116
detection_example_dataset/Well-B03-z2-SYTO.ome.tiff	B03	2	SYTO	HCT-116
detection_example_dataset/Well-B03-z20-HOECHST.ome.tiff	B03	20	HOECHST	HCT-116
detection_example_dataset/Well-B03-z20-SYTO.ome.tiff	B03	20	SYTO	HCT-116
detection_example_dataset/Well-B03-z21-HOECHST.ome.tiff	B03	21	HOECHST	HCT-116
detection_example_dataset/Well-B03-z21-SYTO.ome.tiff	B03	21	SYTO	HCT-116
detection_example_dataset/Well-B03-z22-HOECHST.ome.tiff	B03	22	HOECHST	HCT-116
detection_example_dataset/Well-B03-z22-SYTO.ome.tiff	B03	22	SYTO	HCT-116
detection_example_dataset/Well-B03-z23-HOECHST.ome.tiff	B03	23	HOECHST	HCT-116
detection_example_dataset/Well-B03-z23-SYTO.ome.tiff	B03	23	SYTO	HCT-116
detection_example_dataset/Well-B03-z24-HOECHST.ome.tiff	B03	24	HOECHST	HCT-116
detection_example_dataset/Well-B03-z24-SYTO.ome.tiff	B03	24	SYTO	HCT-116
detection_example_dataset/Well-B03-z25-HOECHST.ome.tiff	B03	25	HOECHST	HCT-116
detection_example_dataset/Well-B03-z25-SYTO.ome.tiff	B03	25	SYTO	HCT-116
detection_example_dataset/Well-B03-z26-HOECHST.ome.tiff	B03	26	HOECHST	HCT-116
detection_example_dataset/Well-B03-z26-SYTO.ome.tiff	B03	26	SYTO	HCT-116
detection_example_dataset/Well-B03-z27-HOECHST.ome.tiff	B03	27	HOECHST	HCT-116
detection_example_dataset/Well-B03-z27-SYTO.ome.tiff	B03	27	SYTO	HCT-116
detection_example_dataset/Well-B03-z28-HOECHST.ome.tiff	B03	28	HOECHST	HCT-116
detection_example_dataset/Well-B03-z28-SYTO.ome.tiff	B03	28	SYTO	HCT-116
detection_example_dataset/Well-B03-z29-HOECHST.ome.tiff	B03	29	HOECHST	HCT-116
detection_example_dataset/Well-B03-z29-SYTO.ome.tiff	B03	29	SYTO	HCT-116
detection_example_dataset/Well-B03-z3-HOECHST.ome.tiff	B03	3	HOECHST	HCT-116
detection_example_dataset/Well-B03-z3-SYTO.ome.tiff	B03	3	SYTO	HCT-116
detection_example_dataset/Well-B03-z30-HOECHST.ome.tiff	B03	30	HOECHST	HCT-116
detection_example_dataset/Well-B03-z30-SYTO.ome.tiff	B03	30	SYTO	HCT-116
detection_example_dataset/Well-B03-z31-HOECHST.ome.tiff	B03	31	HOECHST	HCT-116
detection_example_dataset/Well-B03-z31-SYTO.ome.tiff	B03	31	SYTO	HCT-116
detection_example_dataset/Well-B03-z32-HOECHST.ome.tiff	B03	32	HOECHST	HCT-116
detection_example_dataset/Well-B03-z32-SYTO.ome.tiff	B03	32	SYTO	HCT-116
detection_example_dataset/Well-B03-z33-HOECHST.ome.tiff	B03	33	HOECHST	HCT-116
detection_example_dataset/Well-B03-z33-SYTO.ome.tiff	B03	33	SYTO	HCT-116
detection_example_dataset/Well-B03-z34-HOECHST.ome.tiff	B03	34	HOECHST	HCT-116
detection_example_dataset/Well-B03-z34-SYTO.ome.tiff	B03	34	SYTO	HCT-116
detection_example_dataset/Well-B03-z35-HOECHST.ome.tiff	B03	35	HOECHST	HCT-116
detection_example_dataset/Well-B03-z35-SYTO.ome.tiff	B03	35	SYTO	HCT-116
detection_example_dataset/Well-B03-z36-HOECHST.ome.tiff	B03	36	HOECHST	HCT-116
detection_example_dataset/Well-B03-z36-SYTO.ome.tiff	B03	36	SYTO	HCT-116
detection_example_dataset/Well-B03-z37-HOECHST.ome.tiff	B03	37	HOECHST	HCT-116
detection_example_dataset/Well-B03-z37-SYTO.ome.tiff	B03	37	SYTO	HCT-116
detection_example_dataset/Well-B03-z38-HOECHST.ome.tiff	B03	38	HOECHST	HCT-116
detection_example_dataset/Well-B03-z38-SYTO.ome.tiff	B03	38	SYTO	HCT-116
detection_example_dataset/Well-B03-z39-HOECHST.ome.tiff	B03	39	HOECHST	HCT-116
detection_example_dataset/Well-B03-z39-SYTO.ome.tiff	B03	39	SYTO	HCT-116
detection_example_dataset/Well-B03-z4-HOECHST.ome.tiff	B03	4	HOECHST	HCT-116
detection_example_dataset/Well-B03-z4-SYTO.ome.tiff	B03	4	SYTO	HCT-116
detection_example_dataset/Well-B03-z40-HOECHST.ome.tiff	B03	40	HOECHST	HCT-116
detection_example_dataset/Well-B03-z40-SYTO.ome.tiff	B03	40	SYTO	HCT-116
detection_example_dataset/Well-B03-z41-HOECHST.ome.tiff	B03	41	HOECHST	HCT-116
detection_example_dataset/Well-B03-z41-SYTO.ome.tiff	B03	41	SYTO	HCT-116
detection_example_dataset/Well-B03-z42-HOECHST.ome.tiff	B03	42	HOECHST	HCT-116
detection_example_dataset/Well-B03-z42-SYTO.ome.tiff	B03	42	SYTO	HCT-116
detection_example_dataset/Well-B03-z43-HOECHST.ome.tiff	B03	43	HOECHST	HCT-116
detection_example_dataset/Well-B03-z43-SYTO.ome.tiff	B03	43	SYTO	HCT-116
detection_example_dataset/Well-B03-z44-HOECHST.ome.tiff	B03	44	HOECHST	HCT-116
detection_example_dataset/Well-B03-z44-SYTO.ome.tiff	B03	44	SYTO	HCT-116
detection_example_dataset/Well-B03-z45-HOECHST.ome.tiff	B03	45	HOECHST	HCT-116
detection_example_dataset/Well-B03-z45-SYTO.ome.tiff	B03	45	SYTO	HCT-116
detection_example_dataset/Well-B03-z46-HOECHST.ome.tiff	B03	46	HOECHST	HCT-116
detection_example_dataset/Well-B03-z46-SYTO.ome.tiff	B03	46	SYTO	HCT-116
detection_example_dataset/Well-B03-z47-HOECHST.ome.tiff	B03	47	HOECHST	HCT-116
detection_example_dataset/Well-B03-z47-SYTO.ome.tiff	B03	47	SYTO	HCT-116
detection_example_dataset/Well-B03-z48-HOECHST.ome.tiff	B03	48	HOECHST	HCT-116
detection_example_dataset/Well-B03-z48-SYTO.ome.tiff	B03	48	SYTO	HCT-116
detection_example_dataset/Well-B03-z49-HOECHST.ome.tiff	B03	49	HOECHST	HCT-116
detection_example_dataset/Well-B03-z49-SYTO.ome.tiff	B03	49	SYTO	HCT-116
detection_example_dataset/Well-B03-z5-HOECHST.ome.tiff	B03	5	HOECHST	HCT-116
detection_example_dataset/Well-B03-z5-SYTO.ome.tiff	B03	5	SYTO	HCT-116
detection_example_dataset/Well-B03-z50-HOECHST.ome.tiff	B03	50	HOECHST	HCT-116
detection_example_dataset/Well-B03-z50-SYTO.ome.tiff	B03	50	SYTO	HCT-116
detection_example_dataset/Well-B03-z51-HOECHST.ome.tiff	B03	51	HOECHST	HCT-116
detection_example_dataset/Well-B03-z51-SYTO.ome.tiff	B03	51	SYTO	HCT-116
detection_example_dataset/Well-B03-z52-HOECHST.ome.tiff	B03	52	HOECHST	HCT-116
detection_example_dataset/Well-B03-z52-SYTO.ome.tiff	B03	52	SYTO	HCT-116
detection_example_dataset/Well-B03-z53-HOECHST.ome.tiff	B03	53	HOECHST	HCT-116
detection_example_dataset/Well-B03-z53-SYTO.ome.tiff	B03	53	SYTO	HCT-116
detection_example_dataset/Well-B03-z54-HOECHST.ome.tiff	B03	54	HOECHST	HCT-116
detection_example_dataset/Well-B03-z54-SYTO.ome.tiff	B03	54	SYTO	HCT-116
detection_example_dataset/Well-B03-z55-HOECHST.ome.tiff	B03	55	HOECHST	HCT-116
detection_example_dataset/Well-B03-z55-SYTO.ome.tiff	B03	55	SYTO	HCT-116
detection_example_dataset/Well-B03-z6-HOECHST.ome.tiff	B03	6	HOECHST	HCT-116
detection_example_dataset/Well-B03-z6-SYTO.ome.tiff	B03	6	SYTO	HCT-116
detection_example_dataset/Well-B03-z7-HOECHST.ome.tiff	B03	7	HOECHST	HCT-116
detection_example_dataset/Well-B03-z7-SYTO.ome.tiff	B03	7	SYTO	HCT-116
detection_example_dataset/Well-B03-z8-HOECHST.ome.tiff	B03	8	HOECHST	HCT-116
detection_example_dataset/Well-B03-z8-SYTO.ome.tiff	B03	8	SYTO	HCT-116
detection_example_dataset/Well-B03-z9-HOECHST.ome.tiff	B03	9	HOECHST	HCT-116
detection_example_dataset/Well-B03-z9-SYTO.ome.tiff	B03	9	SYTO	HCT-116
detection_example_dataset/Well-B04-z0-HOECHST.ome.tiff	B04	0	HOECHST	HCT-116
detection_example_dataset/Well-B04-z0-SYTO.ome.tiff	B04	0	SYTO	HCT-116
detection_example_dataset/Well-B04-z1-HOECHST.ome.tiff	B04	1	HOECHST	HCT-116
detection_example_dataset/Well-B04-z1-SYTO.ome.tiff	B04	1	SYTO	HCT-116
detection_example_dataset/Well-B04-z10-HOECHST.ome.tiff	B04	10	HOECHST	HCT-116
detection_example_dataset/Well-B04-z10-SYTO.ome.tiff	B04	10	SYTO	HCT-116
detection_example_dataset/Well-B04-z11-HOECHST.ome.tiff	B04	11	HOECHST	HCT-116
detection_example_dataset/Well-B04-z11-SYTO.ome.tiff	B04	11	SYTO	HCT-116
detection_example_dataset/Well-B04-z12-HOECHST.ome.tiff	B04	12	HOECHST	HCT-116
detection_example_dataset/Well-B04-z12-SYTO.ome.tiff	B04	12	SYTO	HCT-116
detection_example_dataset/Well-B04-z13-HOECHST.ome.tiff	B04	13	HOECHST	HCT-116
detection_example_dataset/Well-B04-z13-SYTO.ome.tiff	B04	13	SYTO	HCT-116
detection_example_dataset/Well-B04-z14-HOECHST.ome.tiff	B04	14	HOECHST	HCT-116
detection_example_dataset/Well-B04-z14-SYTO.ome.tiff	B04	14	SYTO	HCT-116
detection_example_dataset/Well-B04-z15-HOECHST.ome.tiff	B04	15	HOECHST	HCT-116
detection_example_dataset/Well-B04-z15-SYTO.ome.tiff	B04	15	SYTO	HCT-116
detection_example_dataset/Well-B04-z16-HOECHST.ome.tiff	B04	16	HOECHST	HCT-116
detection_example_dataset/Well-B04-z16-SYTO.ome.tiff	B04	16	SYTO	HCT-116
detection_example_dataset/Well-B04-z17-HOECHST.ome.tiff	B04	17	HOECHST	HCT-116
detection_example_dataset/Well-B04-z17-SYTO.ome.tiff	B04	17	SYTO	HCT-116
detection_example_dataset/Well-B04-z18-HOECHST.ome.tiff	B04	18	HOECHST	HCT-116
detection_example_dataset/Well-B04-z18-SYTO.ome.tiff	B04	18	SYTO	HCT-116
detection_example_dataset/Well-B04-z19-HOECHST.ome.tiff	B04	19	HOECHST	HCT-116
detection_example_dataset/Well-B04-z19-SYTO.ome.tiff	B04	19	SYTO	HCT-116
detection_example_dataset/Well-B04-z2-HOECHST.ome.tiff	B04	2	HOECHST	HCT-116
detection_example_dataset/Well-B04-z2-SYTO.ome.tiff	B04	2	SYTO	HCT-116
detection_example_dataset/Well-B04-z20-HOECHST.ome.tiff	B04	20	HOECHST	HCT-116
detection_example_dataset/Well-B04-z20-SYTO.ome.tiff	B04	20	SYTO	HCT-116
detection_example_dataset/Well-B04-z21-HOECHST.ome.tiff	B04	21	HOECHST	HCT-116
detection_example_dataset/Well-B04-z21-SYTO.ome.tiff	B04	21	SYTO	HCT-116
detection_example_dataset/Well-B04-z22-HOECHST.ome.tiff	B04	22	HOECHST	HCT-116
detection_example_dataset/Well-B04-z22-SYTO.ome.tiff	B04	22	SYTO	HCT-116
detection_example_dataset/Well-B04-z23-HOECHST.ome.tiff	B04	23	HOECHST	HCT-116
detection_example_dataset/Well-B04-z23-SYTO.ome.tiff	B04	23	SYTO	HCT-116
detection_example_dataset/Well-B04-z24-HOECHST.ome.tiff	B04	24	HOECHST	HCT-116
detection_example_dataset/Well-B04-z24-SYTO.ome.tiff	B04	24	SYTO	HCT-116
detection_example_dataset/Well-B04-z25-HOECHST.ome.tiff	B04	25	HOECHST	HCT-116
detection_example_dataset/Well-B04-z25-SYTO.ome.tiff	B04	25	SYTO	HCT-116
detection_example_dataset/Well-B04-z26-HOECHST.ome.tiff	B04	26	HOECHST	HCT-116
detection_example_dataset/Well-B04-z26-SYTO.ome.tiff	B04	26	SYTO	HCT-116
detection_example_dataset/Well-B04-z27-HOECHST.ome.tiff	B04	27	HOECHST	HCT-116
detection_example_dataset/Well-B04-z27-SYTO.ome.tiff	B04	27	SYTO	HCT-116
