Files	experiment	experiment_description	data_type	condition	used_by	download_tier	size_bytes	sha256
processed_profiles/exp2_spheroid_size/sections/grit_section1_12planes.parquet	exp2_spheroid_size	Seeding density / spheroid size	Grit scores	section1_12planes	Suppl Fig 3c	required	940801	70feb38d30408bcf5472ba99e58f82fcd365709e4a8884219c111f2854ea7683
processed_profiles/exp2_spheroid_size/sections/grit_section2.parquet	exp2_spheroid_size	Seeding density / spheroid size	Grit scores	section2	Suppl Fig 3c	required	854213	50dee183c96f5c41cd403c60bc624ff0b40b089c7430ad115197966d3a74557c
processed_profiles/exp2_spheroid_size/sections/grit_section3.parquet	exp2_spheroid_size	Seeding density / spheroid size	Grit scores	section3	Suppl Fig 3c	required	843359	e5e08f869d626014154864a0c52cde32542b23d693ec94c126558b46f09856b0
processed_profiles/exp3_clearing_mag_z/sections/selected_10x.parquet	exp3_clearing_mag_z	Clearing, magnification, z-sampling density	Feature-selected profiles	10x	Suppl Fig 3d-e	required	1298176	aa3deb9d4eddee746f0e1321b072a8c42bf35f84b45059dee3d41539e096b3b0
processed_profiles/exp3_clearing_mag_z/sections/selected_20_40.parquet	exp3_clearing_mag_z	Clearing, magnification, z-sampling density	Feature-selected profiles	20_40	Suppl Fig 3d-e	required	1222444	0724972595801a07db42172b4b6953e563cd55f2dacd86d0fab08346592072fc
processed_profiles/exp3_clearing_mag_z/sections/selected_40x.parquet	exp3_clearing_mag_z	Clearing, magnification, z-sampling density	Feature-selected profiles	40x	Suppl Fig 3d-e	required	657314	46da87308f2ba38083d9aa48b4253be3b106d24f6b0014203e5c5d73a6c61719
processed_profiles/exp3_clearing_mag_z/sections/selected_noclear.parquet	exp3_clearing_mag_z	Clearing, magnification, z-sampling density	Feature-selected profiles	noclear	Suppl Fig 3d-e	required	894127	478067fc1531392bafdddd021057505a51e62de99acbfb4155b055a468132ced
processed_profiles/exp3_clearing_mag_z/sections/selected_nyquist_14planes.parquet	exp3_clearing_mag_z	Clearing, magnification, z-sampling density	Feature-selected profiles	nyquist_14planes	Suppl Fig 3d-e	required	852960	e4c74e2aa2042d1266b971c97999259c1ddb8ad841ffb67d8444fa8a5b7500c3
processed_profiles/exp3_clearing_mag_z/sections/selected_nyquist_all.parquet	exp3_clearing_mag_z	Clearing, magnification, z-sampling density	Feature-selected profiles	nyquist_all	Suppl Fig 3d-e	required	701065	1455bce4dd730822bc718a02ba94013efab9101566ecfd79cda0becf43c2b993
processed_profiles/exp4_objective/HT29_030625_SliceMedianAgg_Combined.parquet	exp4_objective	Air vs water-immersion objective	Per-slice aggregates, three acquisitions combined	HT29	input to exp4 feature selection	required	83793543	efe9aa04740722cdd560c0d979129ec40ce970dc79f16ff2bd543cbbe0f886ca
processed_profiles/exp4_objective/selected_data_HT29.parquet	exp4_objective	Air vs water-immersion objective	Feature-selected profiles	HT29	Suppl Fig 4h-i	required	3746025	5a258163fc94880b7430d671114ce7e40cc5f48cbdf1921c8f9fc8b3abc59745
