Drug1,Drug2,Similarity
AZD45,Sapit,0.5832722419487206
AZD45,Soraf,0.720305047371189
AZD45,Tanes,0.5070955055464818
AZD45,Tasel,0.5856299159308662
AZD45,Trame,0.6156436606758096
AZD45,Trici,0.13078164648453033
AZD45,Trifl,-0.008250699704731624
AZD45,Vemur,0.38009214786773654
AZD45,Vinor,0.457745941812732
AZD45,Vorin,0.569755351089178
AZD45,abema,0.6544535739286861
AZD77,AZD80,0.7556133334536671
AZD77,Adavo,0.8433856918885526
AZD77,Afati,0.7697376000567429
AZD77,Alpel,0.8199821418959273
AZD77,BMS-7,0.906527964627731
AZD77,Binim,0.7525365333512031
AZD77,Cobim,0.7680775538296611
AZD77,Crizo,0.825032974175659
AZD77,Dabra,0.7169961756647212
AZD77,Doram,-0.0941054672690707
AZD77,Encor,0.9141118261122758
AZD77,Fluor,0.23333955707064657
AZD77,Gefit,0.49357492509931905
AZD77,Gemci,0.34558363625210575
AZD77,Linsi,0.3092508664748027
AZD77,MK-22,0.46206380283720777
AZD77,Navit,0.14100063086838593
AZD77,Nutli,0.3469836399629674
AZD77,Olapa,0.2816974645675108
AZD77,Oxali,0.4970806261026689
AZD77,PD032,0.7059467394364085
AZD77,PI-10,0.8404766333036142
AZD77,Pacli,0.8500804185946002
AZD77,Palbo,0.5204741140735727
AZD77,Rabus,0.6746291034653239
AZD77,Regor,0.6629848739744297
AZD77,Ruxol,0.11205028935027367
AZD77,SB216,0.6916906763184698
AZD77,SB505,0.6595899134437353
AZD77,SN-38,0.7219261657117751
AZD77,Sapit,0.9238167191604808
AZD77,Soraf,0.5903631373537251
AZD77,Tanes,0.6780158796525098
AZD77,Tasel,0.9298580287219278
AZD77,Trame,0.7235391773685051
AZD77,Trici,0.13464552253951603
AZD77,Trifl,0.25197974651352295
AZD77,Vemur,0.40089672979740304
AZD77,Vinor,0.8271082859985746
AZD77,Vorin,0.6681614409200581
AZD77,abema,0.5976178496798619
AZD80,Adavo,0.7471083475235063
AZD80,Afati,0.8027463257404521
AZD80,Alpel,0.7820597573888094
AZD80,BMS-7,0.6317760260856033
AZD80,Binim,0.7357272115496997
AZD80,Cobim,0.6366384549724178
AZD80,Crizo,0.42815234637993493
AZD80,Dabra,0.6067359451421819
AZD80,Doram,0.24700667915208244
AZD80,Encor,0.8461201584392194
AZD80,Fluor,0.1001024347242854
AZD80,Gefit,0.5037051929864375
AZD80,Gemci,0.08803103758248321
AZD80,Linsi,0.5703629065722354
AZD80,MK-22,0.6836015097300874
AZD80,Navit,0.7918188824462645
AZD80,Nutli,-0.08615441418592452
AZD80,Olapa,-0.05374259833210921
AZD80,Oxali,0.35223639934355194
AZD80,PD032,0.65842137785506
AZD80,PI-10,0.9177642529238949
AZD80,Pacli,0.6205277406820431
AZD80,Palbo,0.22852380413717938
AZD80,Rabus,0.3857387034715409
AZD80,Regor,0.5989434958372892
AZD80,Ruxol,-0.06022851354239271
AZD80,SB216,0.3104176719940321
AZD80,SB505,0.5737580389212986
AZD80,SN-38,0.3187013985595437
AZD80,Sapit,0.5146364290761503
AZD80,Soraf,0.5418508045009818
AZD80,Tanes,0.5166476746774766
AZD80,Tasel,0.784317385634373
AZD80,Trame,0.6529253753265369
AZD80,Trici,-0.12683377180426908
AZD80,Trifl,-0.04798190541086372
AZD80,Vemur,0.1005781133215945
AZD80,Vinor,0.5209023401886785
AZD80,Vorin,0.3371679747331131
AZD80,abema,0.31925526681434013
Adavo,Afati,0.8464749445872743
Adavo,Alpel,0.760975861589437
Adavo,BMS-7,0.7766921313967324
Adavo,Binim,0.7401350512980223
Adavo,Cobim,0.7376714954614982
Adavo,Crizo,0.7733018870715561
Adavo,Dabra,0.7683147949304234
Adavo,Doram,-0.1336755024353286
Adavo,Encor,0.8306710632953975
Adavo,Fluor,0.3321119846307587
Adavo,Gefit,0.4963289014839317
Adavo,Gemci,0.4051810545994185
Adavo,Linsi,0.574357856722848
Adavo,MK-22,0.4498554351983161
Adavo,Navit,0.3134935394954292
Adavo,Nutli,0.5288264334615952
Adavo,Olapa,0.24518339209131212
Adavo,Oxali,0.6705281389952104
Adavo,PD032,0.7113533241253212
Adavo,PI-10,0.836078308923886
Adavo,Pacli,0.8532306023023133
Adavo,Palbo,0.7036280653271331
Adavo,Rabus,0.7539124641408034
Adavo,Regor,0.6249155692472669
Adavo,Ruxol,0.08219937609000924
Adavo,SB216,0.5400622352798327
Adavo,SB505,0.640339206704105
Adavo,SN-38,0.6147475917930513
Adavo,Sapit,0.6679310560146509
Adavo,Soraf,0.6825041006825865
Adavo,Tanes,0.8323740348627665
Adavo,Tasel,0.7650426951179397
Adavo,Trame,0.7412620007761679
Adavo,Trici,0.20142114096232408
Adavo,Trifl,0.25543433806237614
Adavo,Vemur,0.4823903878241988
Adavo,Vinor,0.7483241826780729
Adavo,Vorin,0.7117784159206282
Adavo,abema,0.7556941983202609
Afati,Alpel,0.6316406103500157
Afati,BMS-7,0.6119589092751704
Afati,Binim,0.7926876653708068
Afati,Cobim,0.7635603848009901
Afati,Crizo,0.7004557761310373
Afati,Dabra,0.7034910860177408
Afati,Doram,0.41548330049658333
