Drug1,Drug2,Similarity
5Z-7-,AMG23,0.32651499002702533
5Z-7-,AZD45,0.6629638653724453
5Z-7-,AZD77,0.7323059425581154
5Z-7-,AZD80,0.6049489728206054
5Z-7-,Adavo,0.6300195389261205
5Z-7-,Afati,0.7110306417849398
5Z-7-,Alpel,0.7056289813894405
5Z-7-,BMS-7,0.5873871927026391
5Z-7-,Binim,0.86111399912359
5Z-7-,Borte,0.39937816906763574
5Z-7-,Cobim,0.7634145912166626
5Z-7-,Crizo,0.506975293832906
5Z-7-,Dabra,0.7650188802667142
5Z-7-,Encor,0.7649768658143974
5Z-7-,Fluor,0.3904121538437507
5Z-7-,Gefit,0.736052902205559
5Z-7-,Gemci,0.4536807368958452
5Z-7-,MK-22,0.4634019069355739
5Z-7-,Nutli,0.2522129198970958
5Z-7-,Olapa,0.01409705646353137
5Z-7-,Oxali,0.696184120500714
5Z-7-,PD032,0.7633386329937831
5Z-7-,PI-10,0.6006680600910905
5Z-7-,Pacli,0.6093864235924369
5Z-7-,Palbo,0.271885447358671
5Z-7-,Regor,0.8094655766332866
5Z-7-,SB505,0.37231742839778703
5Z-7-,SN-38,0.6928098363503272
5Z-7-,Soraf,0.8671597055266083
5Z-7-,Tanes,0.645137434360893
5Z-7-,Tasel,0.7969995645269232
5Z-7-,Trame,0.7300691961018411
5Z-7-,Trifl,0.36097716514492684
5Z-7-,Velip,0.28618738236149693
5Z-7-,Vinor,0.6122679849447608
5Z-7-,Vorin,0.5442960867122849
5Z-7-,abema,0.4092643587174491
AMG23,AZD45,0.35518337471442424
AMG23,AZD77,0.5094555692375166
AMG23,AZD80,0.03262654127163636
AMG23,Adavo,0.6267655501677313
AMG23,Afati,0.27349107931010563
AMG23,Alpel,0.06364122079688625
AMG23,BMS-7,0.7475034419191734
AMG23,Binim,0.2753678144671585
AMG23,Borte,0.7979583168816493
AMG23,Cobim,0.12286348074493846
AMG23,Crizo,0.5963204184834818
AMG23,Dabra,0.2818641161085114
AMG23,Encor,0.12514229577328864
AMG23,Fluor,0.7712482677894612
AMG23,Gefit,0.09815805841330898
AMG23,Gemci,0.7746895153643147
AMG23,MK-22,0.004903710348763376
AMG23,Nutli,0.8807460095577633
AMG23,Olapa,0.5431940022026909
AMG23,Oxali,0.6089999637614318
AMG23,PD032,0.2419562549826363
AMG23,PI-10,-0.09968337900913454
AMG23,Pacli,0.6723952877962798
AMG23,Palbo,0.7773908044453841
AMG23,Regor,0.31002753991727516
AMG23,SB505,0.3980161507711187
AMG23,SN-38,0.8312407951418513
AMG23,Soraf,0.2850082682931071
AMG23,Tanes,0.482639204622392
AMG23,Tasel,0.074586957027024
AMG23,Trame,0.16910801386800195
AMG23,Trifl,0.7943793551012996
AMG23,Velip,0.3323609585413035
AMG23,Vinor,0.8002003326915805
AMG23,Vorin,0.6858334721836159
AMG23,abema,0.7958284839694116
AZD45,AZD77,0.6902388132507695
AZD45,AZD80,0.4082367646842401
AZD45,Adavo,0.6474107620099558
