site_id,n_nuclei,n_cells
B02_s1,23,9
B04_s1,118,140
B06_s1,7,10
B08_s1,19,1
B09_s1,7,1
B10_s1,37,38
B11_s1,53,58
B12_s1,299,273
B13_s1,110,108
B14_s1,121,115
B15_s1,42,38
B16_s1,154,158
B17_s1,68,60
B18_s1,293,276
B19_s1,50,44
B20_s1,64,63
B21_s1,347,306
B22_s1,237,256
B23_s1,251,253
C02_s1,78,95
C04_s1,12,1
C05_s1,229,231
C06_s1,147,130
C07_s1,194,202
C08_s1,124,118
C09_s1,96,92
C10_s1,15,19
C11_s1,189,187
C12_s1,253,220
C13_s1,369,332
C14_s1,328,299
C15_s1,307,297
C16_s1,152,148
C17_s1,216,186
C19_s1,81,74
C20_s1,94,80
C21_s1,249,238
C22_s1,272,249
C23_s1,50,46
D02_s1,225,209
D03_s1,241,236
D04_s1,13,1
D05_s1,360,321
D06_s1,119,99
D07_s1,169,151
D08_s1,99,125
D09_s1,313,285
D10_s1,92,89
D11_s1,94,80
D12_s1,350,307
D13_s1,330,292
D14_s1,282,254
D15_s1,297,264
D16_s1,49,56
D17_s1,280,257
D18_s1,257,239
D19_s1,236,222
D20_s1,263,255
D21_s1,210,208
D22_s1,202,217
D23_s1,84,98
E02_s1,124,121
E03_s1,23,16
E04_s1,261,233
E05_s1,110,95
E06_s1,193,202
E07_s1,70,76
E08_s1,275,258
E09_s1,3,0
E10_s1,252,246
E12_s1,81,77
E13_s1,299,275
E14_s1,289,259
E15_s1,257,253
E16_s1,285,283
E18_s1,92,65
E19_s1,243,214
E20_s1,321,292
E21_s1,110,104
E22_s1,203,176
E23_s1,204,206
F02_s1,229,230
F03_s1,53,69
F04_s1,269,246
F05_s1,165,152
F06_s1,226,232
F07_s1,118,119
F08_s1,254,254
F09_s1,146,133
F10_s1,134,157
F11_s1,89,77
F12_s1,84,86
F13_s1,256,237
F14_s1,252,255
F15_s1,203,182
F16_s1,209,189
F17_s1,240,227
F19_s1,287,262
F20_s1,280,260
F21_s1,287,276
F22_s1,43,67
F23_s1,264,263
G02_s1,225,200
G05_s1,181,178
G06_s1,241,234
G07_s1,346,309
G08_s1,271,252
G10_s1,201,183
G11_s1,248,255
G12_s1,94,88
G13_s1,288,261
G14_s1,56,50
G15_s1,223,233
G16_s1,216,205
G17_s1,72,77
G18_s1,233,230
G19_s1,257,236
G20_s1,259,231
G21_s1,64,61
G22_s1,239,233
G23_s1,288,270
H02_s1,242,224
H03_s1,95,90
H04_s1,93,92
H05_s1,310,302
H07_s1,117,130
H08_s1,151,152
H09_s1,64,57
H10_s1,316,297
H11_s1,24,30
H12_s1,246,223
H13_s1,217,206
H14_s1,234,238
H15_s1,304,295
H16_s1,232,211
H17_s1,82,77
H18_s1,275,251
H19_s1,325,305
H20_s1,287,253
H21_s1,272,267
H22_s1,193,183
H23_s1,280,264
I02_s1,53,39
I03_s1,205,200
I04_s1,117,130
I05_s1,194,211
I06_s1,88,87
I07_s1,149,174
I08_s1,61,70
I09_s1,111,116
I10_s1,250,244
I11_s1,90,79
I12_s1,102,99
I13_s1,41,56
I14_s1,205,199
I15_s1,225,226
I17_s1,194,204
I18_s1,28,41
I19_s1,216,195
I20_s1,199,236
I21_s1,210,217
I22_s1,57,54
I23_s1,160,151
J02_s1,131,159
J03_s1,263,242
J04_s1,16,16
J05_s1,38,58
J06_s1,15,11
J07_s1,47,52
J08_s1,151,179
J09_s1,40,43
J10_s1,42,54
J11_s1,251,226
J12_s1,94,79
J14_s1,273,244
J15_s1,266,262
J16_s1,231,215
J17_s1,218,223
J18_s1,36,57
J20_s1,254,256
J21_s1,306,275
J22_s1,69,59
J23_s1,309,296
K02_s1,63,83
K03_s1,67,72
K04_s1,126,148
K05_s1,222,201
K06_s1,59,51
K07_s1,269,271
K08_s1,331,290
K09_s1,4,1
K10_s1,140,159
K11_s1,75,76
K12_s1,44,38
K13_s1,133,129
K14_s1,215,201
K15_s1,202,203
K16_s1,205,227
K17_s1,281,258
K19_s1,65,54
K20_s1,258,238
K21_s1,68,66
K22_s1,237,232
L02_s1,114,127
L03_s1,0,0
L04_s1,230,218
L05_s1,203,225
L06_s1,29,2
L07_s1,237,234
L08_s1,59,65
L09_s1,193,167
L10_s1,152,140
L11_s1,302,294
L12_s1,318,274
L13_s1,56,60
L14_s1,56,61
L15_s1,90,86
L16_s1,123,111
L17_s1,80,87
L18_s1,248,239
L19_s1,309,276
L20_s1,228,247
L21_s1,245,230
L22_s1,266,258
L23_s1,54,61
M02_s1,64,74
M03_s1,51,52
M04_s1,116,112
M05_s1,174,177
M06_s1,270,244
M07_s1,154,162
M08_s1,56,72
M09_s1,84,80
M10_s1,74,76
M11_s1,252,264
M12_s1,65,62
M13_s1,15,32
M14_s1,283,294
M15_s1,295,263
M16_s1,236,226
M17_s1,214,248
M18_s1,244,254
M19_s1,275,272
M20_s1,49,55
M21_s1,222,223
M22_s1,171,205
M23_s1,301,286
N02_s1,136,143
N03_s1,84,86
N04_s1,20,6
N05_s1,266,263
N06_s1,190,185
N07_s1,175,183
N08_s1,191,201
N09_s1,6,1
N10_s1,246,232
N12_s1,284,282
N14_s1,169,224
N15_s1,235,226
N16_s1,255,243
N17_s1,159,133
N18_s1,55,53
N19_s1,58,86
N20_s1,282,299
N21_s1,132,132
N22_s1,219,218
N23_s1,244,231
O02_s1,28,58
O03_s1,106,125
O04_s1,83,85
O05_s1,53,52
O07_s1,31,13
O08_s1,39,31
O09_s1,80,76
O10_s1,3,2
O11_s1,5,2
O12_s1,204,192
O13_s1,286,264
O15_s1,65,63
O16_s1,247,223
O17_s1,258,245
O18_s1,19,24
O19_s1,45,46
O20_s1,106,139
O21_s1,101,101
O22_s1,31,44
O23_s1,148,175
