EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000278133,ENSG00000278133,0.138348,0.635216,0.887554,0.237831,lncRNA,3.73637,4.70076,2.00227,0.960659,0.0518051,,,
ENSG00000299531,ENSG00000299531,0.122113,0.635238,0.887554,0.237462,lncRNA,1.37932,1.53803,0.140605,0.2213,0.0518051,,,
ENSG00000203778,FAM229B,0.125484,0.63557,0.887929,0.237316,protein_coding,4.90128,5.78333,1.63169,1.67774,0.0516217,,,
ENSG00000185340,GAS2L1,-0.0849735,0.635722,0.888052,0.237026,protein_coding,16.6949,16.352,4.38367,1.43105,0.0515618,,,
ENSG00000100320,RBFOX2,-0.0576016,0.635794,0.888062,0.23672,protein_coding,91.0163,87.6283,8.3005,4.86429,0.0515567,,,
ENSG00000284431,ENSG00000284431,0.0589676,0.635858,0.888062,0.23663,protein_coding,39.0215,40.8496,2.95717,2.85223,0.0515567,,,
ENSG00000196453,ZNF777,0.0706181,0.63602,0.888096,0.236402,protein_coding,16.4261,17.0206,1.89233,2.07913,0.05154,,,
ENSG00000005187,ACSM3,0.102343,0.636067,0.888096,0.236376,protein_coding,3.15349,3.48599,0.417535,0.659432,0.05154,,,
ENSG00000005059,MCUB,0.100913,0.636074,0.888096,0.236586,protein_coding,31.3895,34.8013,10.6736,2.31583,0.05154,,,
ENSG00000163125,RPRD2,-0.0915372,0.636189,0.888168,0.236423,protein_coding,35.4569,34.0141,9.58416,4.58054,0.051505,,,
ENSG00000298094,ENSG00000298094,-0.0773772,0.636426,0.888409,0.235839,lncRNA,5.65506,5.45371,0.616166,0.334317,0.0513871,,,
ENSG00000176884,GRIN1,0.0857108,0.63655,0.88847,0.23566,protein_coding,6.75754,6.84537,1.17197,1.01359,0.051357,,,
ENSG00000139044,B4GALNT3,0.14781,0.636598,0.88847,0.235879,protein_coding,4.29703,4.12319,2.19985,0.559542,0.051357,,,
ENSG00000102572,STK24,0.126592,0.636786,0.888566,0.235579,protein_coding,94.827,105.173,38.447,5.36317,0.0513105,,,
