name_y,5Z-7-,ABT-7,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Doram,Encor,Fluor,Gefit,Gemci,LGK-9,Linsi,MK-22,Navit,Nutli,Olapa,Oxali,PD032,Pacli,Palbo,Rabus,Regor,Ruxol,SB505,SN-38,Sapit,Soraf,Tanes,Tasel,Trame,Trici,Trifl,Velip,Vemur,Vinor,Vorin,abema
5Z-7-,1.0000000000000009,0.0017674811863194694,0.32751276379022876,0.47755988989586956,0.3891848880165901,0.7690984586914469,0.7527066430735557,0.6158119753602267,0.7299531609889975,0.6776156190929195,0.9400444234361593,0.6662630099931709,0.9308846006348386,0.5297567370819675,0.8954459550947796,0.08639140814735172,0.9359292103548471,0.4838943091866107,0.7056526973343136,0.4501179790446834,0.007054687885188662,0.7036745122455871,0.7092008198292803,0.3236105983191258,0.3399241811457415,0.4265899488026079,0.5922067577246524,0.8978923079588242,0.6341626848034713,0.5007734976675359,0.7333089020463353,0.47652266848378516,0.2764730542669183,0.8246806313631532,0.7857784932213111,-0.007056251625530216,0.28103729298691527,0.7968247456265083,0.744865935953227,0.9191620033783992,0.11916554470875718,0.47906965381536265,0.13702161631585297,0.9187488986167376,0.7266064759101576,0.535314252074096,0.5895512890292988
ABT-7,0.0017674811863194694,1.000000000000001,-0.24951883535159478,0.47942649696435236,0.7208235210176401,0.3697456705147291,0.6584410174819568,-0.08247383271740699,0.6927376081559166,0.2132633850475257,0.5313146115689579,0.19978624847223816,-0.07657321486304393,0.2787810332829646,0.17516443700480416,0.6635166333327779,-0.007618678657647721,-0.5627170011615141,0.7632444433481885,-0.44821171405952864,0.656411724635265,0.48639307143770427,-0.30636038301576785,0.6055476234502926,-0.3646947368766036,-0.2147968105455359,-0.29036051590529166,-0.1582173152660022,0.24452706701160026,-0.28183702878258043,0.007306167674128845,0.7948941512440716,-0.6533954558135988,-0.2808118149476777,0.08536796865053356,0.8486892747314744,0.6743004246511262,0.047554580210929245,0.42280505452662553,-0.13112773860129345,0.6615528452041963,-0.3804723622824782,-0.11057928676259915,0.8224801407931848,0.14808099119226387,0.8127034819141588,-0.25765875839924923
AMG23,0.32751276379022876,-0.24951883535159478,0.9999999999999981,0.04859564123844845,0.014465531238043942,0.2827700046158561,0.25796648832076274,0.10407980147665365,0.16535842969202533,-0.017462200635002284,0.293259055441892,0.2890835705540796,0.2555980922761164,-0.010317744349680438,0.16241571913367833,-0.28250780284977356,0.28775938749160834,0.17355518723454977,0.051176940857362054,0.14188471403407854,-0.3877536332755567,0.05391679560040118,0.4606867866055804,-0.16763812491354105,0.2776690981979921,-0.03659221401261445,0.2790351066104173,0.23804529810101194,0.11279333873824969,0.229717110785672,0.4350510430210847,-0.2226260065273467,0.27442357833792075,0.06958480883307966,0.29994332030671816,-0.29072981243212015,-0.23432970365842273,0.3207865425522939,0.2725975635284972,0.24082068661974224,-0.3650881075556833,0.1980373852700671,-0.04595649874657427,0.21064125090917302,0.20728586496748191,-0.08357508319726126,0.22163489925997976
AZD45,0.47755988989586956,0.47942649696435236,0.04859564123844845,1.0000000000000004,0.339454990393077,0.39555331875670374,0.33355633162185894,0.6948422227496127,0.40247027688390985,0.44364874159657797,0.45556081306670615,0.5575975978932217,0.5851022901533466,0.574893806439514,0.5963946957384456,0.6772408372275875,0.6109189575859315,-0.05439205344833564,0.8198070153580019,-0.00511847977697771,0.5412273608752173,0.25825363099443666,0.7286194859544219,0.39929119985233386,0.03522608935243028,-0.05331498045835838,-0.015614150073580487,0.412520400281128,0.25406678140229905,0.5340934626878591,0.5365562723073234,0.5178842715991605,-0.17243679852135366,0.1568484142385482,0.3492215354783947,0.5686688820999621,0.5720514346655958,0.6376866828785468,0.4166387930864044,0.48672234947727344,0.6291655448745187,-0.04883843974887863,-0.048958291872991284,0.5028609930336484,0.4226285784433567,0.40110551393206134,0.5444025396798855
AZD77,0.3891848880165901,0.7208235210176401,0.014465531238043942,0.339454990393077,1.0000000000000004,0.4728857721339047,0.6687919696313274,0.33822215327077,0.6701382883432963,0.7357176920104698,0.5529895692413047,0.679362506576041,0.3641248386808593,0.5799512581382498,0.35687281816425254,0.4803345538528224,0.2765290726413954,-0.00921885451376564,0.630985205366762,0.032427058236754285,0.5860508298102276,0.6293303982523819,0.10208923858205754,0.5565113149648949,0.09943543377832592,0.26833304025245,0.28785336176673004,0.27008374349455233,0.6827734850597033,0.06832293384073418,0.5295823583417424,0.617182832934472,-0.23859726020019745,0.2678294594544566,0.6570507031503612,0.7310559655493885,0.5658360426842175,0.4732069174718456,0.5803640711330853,0.2736468302369882,0.4514369148327345,0.11576511189861036,0.20707734876089356,0.6975474286545496,0.6089720951075468,0.7218884622760426,0.20410019675978675
AZD80,0.7690984586914469,0.3697456705147291,0.2827700046158561,0.39555331875670374,0.4728857721339047,0.9999999999999996,0.6166926826827173,0.5934178710180225,0.7821581635886034,0.8339715036398954,0.7657324333501122,0.4578840131163314,0.7579632646620367,0.45431405774528055,0.7934882230249971,0.38784710512296416,0.7894952187823825,0.30832756685397117,0.6244093304960804,0.18685134654778776,0.4537753124502334,0.8352655586345274,0.6890455997955494,0.7512582050919995,0.06420132309002871,0.05049711011692884,0.4865468548752924,0.8091072114607103,0.44554457921540197,0.24285817145895403,0.5847677893681706,0.6238475393704507,0.15874793391749742,0.58217283957058,0.5981185972231287,0.41606415499192156,0.5382170569813214,0.6855638222257572,0.8352537509207466,0.772424855803878,0.32053894500065633,0.2651726811678291,-0.14678321816686402,0.813391920586163,0.5173635744537974,0.612288404687419,0.2998513703955899
Adavo,0.7527066430735557,0.6584410174819568,0.25796648832076274,0.33355633162185894,0.6687919696313274,0.6166926826827173,1.0000000000000004,0.5717160248548818,0.5726681580931874,0.7615389170068402,0.7168169543274243,0.731639474090801,0.6811520118253834,0.7760199019274334,0.6593102225805387,0.4750003617509302,0.7219290700137889,0.4866861427154856,0.5440010902334445,0.3726289939838544,0.5322559493406007,0.5427020490486255,0.5044023850266682,0.5432901569407723,0.28317232537044357,0.4039817022122398,0.617484025617345,0.690495263411356,0.882518356694572,0.3924872997743899,0.8272236421902518,0.5651652458523675,0.144491757328859,0.6943148460530375,0.8040213830573635,0.6316069004437376,0.5008550974513004,0.7171932854423584,0.6060776766728277,0.6756730975942117,0.3468761180774093,0.3851478484916736,0.1372021942052412,0.6901668332140592,0.7779574700763296,0.8413008103821789,0.49823426681252675
Afati,0.6158119753602267,-0.08247383271740699,0.10407980147665365,0.6948422227496127,0.33822215327077,0.5934178710180225,0.5717160248548818,1.0000000000000009,0.44438181890624284,0.6526696698165786,0.567720111377793,0.6879962580932617,0.6128581890602645,0.6716834341172403,0.5798316612024272,0.3307427866051614,0.5862726507287221,0.5574989710001599,0.7652679392808973,0.5077303957217478,0.14904272691259726,0.6902127385833567,0.6716315853579413,0.44780021708009876,0.4157906276350667,0.6147160188705956,0.6862521167365266,0.5457727286411735,0.42325088099421304,0.6385251047914362,0.60706711735183,0.4671766917393215,0.24880898800018336,0.6261513822732985,0.5556778276806635,-0.06814081071268407,0.2707309101511076,0.6347370745957596,0.5418339288519493,0.5156527720049522,0.27515917416070745,0.5467227135043871,0.28689915124068355,0.6197672763134029,0.5421028793607742,0.42548783571788723,0.647017532780176
Alpel,0.7299531609889975,0.6927376081559166,0.16535842969202533,0.40247027688390985,0.6701382883432963,0.7821581635886034,0.5726681580931874,0.44438181890624284,1.0000000000000004,0.759541525345274,0.7381245707378403,0.3224719090265433,0.4908167779862756,0.5103962514678517,0.7036063996708903,0.6463891364708106,0.598713334584369,0.014620719348632053,0.7818926572386331,-0.02727043961565934,0.6774775726584998,0.700497414686716,0.3522225033052542,0.7258858328398899,0.005095942088213037,0.05619555923500051,0.26297549953585914,0.5714539129351016,0.35266591758862315,0.17415898756719733,0.5119643595125425,0.7610289523508131,-0.3551389487296927,0.35307560447361663,0.3705904302067131,0.8018662527496043,0.6021380198910382,0.5102950913878326,0.8207895488763215,0.5010405477719795,0.6220431500450501,-0.03243149767238717,0.025919328625534248,0.8182831006271871,0.3852979682924815,0.724353641788132,0.15586476593559745
BMS-7,0.6776156190929195,0.2132633850475257,-0.017462200635002284,0.44364874159657797,0.7357176920104698,0.8339715036398954,0.7615389170068402,0.6526696698165786,0.759541525345274,1.0000000000000004,0.745280121941084,0.5543112808292991,0.5159829687625168,0.6012806421400455,0.7856294710922345,0.3045771583894755,0.7200348103469213,0.4539685385440428,0.5025565140391817,0.4080979159719291,0.3033042151899448,0.9284476647591611,0.4144596585320915,0.6203001857439623,0.31393198269516415,0.5567004934305274,0.7110919769763806,0.7054806518054251,0.6193969334108506,0.4009257559439108,0.5910792821720947,0.6555765847024021,-0.0871557592818805,0.6775239856753841,0.6666865530556882,0.2849813549300511,0.4480445528502046,0.681446804400617,0.8616985140560851,0.5459698201651115,0.3344384742663089,0.4582800277592514,0.26610501946890935,0.7430180058470698,0.6810838126840568,0.679712214565927,0.4556824641038078
