,Metadata_name,Metadata_cmpdname,Metadata_cmpd_conc,Metadata_conc_step,Metadata_PlateWell,grit,data_type,cell_line
1478,dmso,dmso,0.1,1.0,PB000137_B22,0.0920590936843701,aggregates,HCT116
1482,dmso,dmso,0.1,1.0,PB000137_C05,-0.22881458790628326,aggregates,HCT116
1495,fenb,fenb,2.5,1.0,PB000137_C19,3.1009140660168577,aggregates,HCT116
1509,dmso,dmso,0.1,1.0,PB000137_D12,-0.1841702317112775,aggregates,HCT116
1520,etop,etop,2.5,1.0,PB000137_D23,7.81933482311063,aggregates,HCT116
1533,dmso,dmso,0.1,1.0,PB000137_E16,0.2725572831823193,aggregates,HCT116
1545,dmso,dmso,0.1,1.0,PB000137_F06,-0.08563752375736085,aggregates,HCT116
1558,dmso,dmso,0.1,1.0,PB000137_F20,-0.12059240223721407,aggregates,HCT116
1562,dmso,dmso,0.1,1.0,PB000137_G02,0.1626895213671014,aggregates,HCT116
1572,dmso,dmso,0.1,1.0,PB000137_G13,-0.1720175218587469,aggregates,HCT116
1591,dmso,dmso,0.1,1.0,PB000137_H10,-0.16851433333576116,aggregates,HCT116
1598,dmso,dmso,0.1,1.0,PB000137_H17,0.02331752076532156,aggregates,HCT116
1609,fenb,fenb,2.5,1.0,PB000137_I06,2.858809236549496,aggregates,HCT116
1624,dmso,dmso,0.1,1.0,PB000137_I21,-0.13142684963046297,aggregates,HCT116
1628,dmso,dmso,0.1,1.0,PB000137_J03,-0.13775733557836575,aggregates,HCT116
1638,dmso,dmso,0.1,1.0,PB000137_J14,-0.04675802088320728,aggregates,HCT116
1656,dmso,dmso,0.1,1.0,PB000137_K11,0.16446520245160037,aggregates,HCT116
1667,stau,stau,0.1,1.0,PB000137_K22,1.8208048824688692,aggregates,HCT116
1672,dmso,dmso,0.1,1.0,PB000137_L07,0.0180446706461139,aggregates,HCT116
1683,dmso,dmso,0.1,1.0,PB000137_L18,-0.1773155573028947,aggregates,HCT116
1688,etop,etop,2.5,1.0,PB000137_M02,6.103690367320756,aggregates,HCT116
1707,dmso,dmso,0.1,1.0,PB000137_M23,0.04966247881044361,aggregates,HCT116
1717,dmso,dmso,0.1,1.0,PB000137_N15,0.0404011632286331,aggregates,HCT116
1732,dmso,dmso,0.1,1.0,PB000137_O09,-0.36492045763245573,aggregates,HCT116
1762,dmso,dmso,0.1,1.0,PB000138_B22,-0.13106980822849898,aggregates,HCT116
1766,dmso,dmso,0.1,1.0,PB000138_C05,-0.03251639044059296,aggregates,HCT116
1779,fenb,fenb,2.5,1.0,PB000138_C19,4.1157172597603235,aggregates,HCT116
1793,dmso,dmso,0.1,1.0,PB000138_D12,-0.1600923015831869,aggregates,HCT116
1804,etop,etop,2.5,1.0,PB000138_D23,7.274016581678533,aggregates,HCT116
1817,dmso,dmso,0.1,1.0,PB000138_E16,-0.3193556569457033,aggregates,HCT116
1828,dmso,dmso,0.1,1.0,PB000138_F06,0.08237043674431492,aggregates,HCT116
1841,dmso,dmso,0.1,1.0,PB000138_F20,0.017792695909321248,aggregates,HCT116
1845,dmso,dmso,0.1,1.0,PB000138_G02,0.018784981267922,aggregates,HCT116
1853,dmso,dmso,0.1,1.0,PB000138_G13,0.04636678125516611,aggregates,HCT116
1871,dmso,dmso,0.1,1.0,PB000138_H10,-0.16662944333610563,aggregates,HCT116
1878,dmso,dmso,0.1,1.0,PB000138_H17,-0.12343707687218664,aggregates,HCT116
1889,fenb,fenb,2.5,1.0,PB000138_I06,4.147643074885283,aggregates,HCT116
1903,dmso,dmso,0.1,1.0,PB000138_I21,0.05415125083400069,aggregates,HCT116
1907,dmso,dmso,0.1,1.0,PB000138_J03,-0.07656246025107852,aggregates,HCT116
1917,dmso,dmso,0.1,1.0,PB000138_J14,-0.10420779928774433,aggregates,HCT116
1935,dmso,dmso,0.1,1.0,PB000138_K11,0.0364035755697206,aggregates,HCT116
1945,stau,stau,0.1,1.0,PB000138_K22,1.2686984548118365,aggregates,HCT116
1950,dmso,dmso,0.1,1.0,PB000138_L07,0.1142570007704806,aggregates,HCT116
1961,dmso,dmso,0.1,1.0,PB000138_L18,0.01495605520543001,aggregates,HCT116
1967,etop,etop,2.5,1.0,PB000138_M02,4.540927650362529,aggregates,HCT116
1988,dmso,dmso,0.1,1.0,PB000138_M23,-0.03898401984308284,aggregates,HCT116
1991,dmso,dmso,0.1,1.0,PB000138_N04,0.17068139717225334,aggregates,HCT116
2000,dmso,dmso,0.1,1.0,PB000138_N15,0.20292134848472837,aggregates,HCT116
2015,dmso,dmso,0.1,1.0,PB000138_O09,0.0435156503396624,aggregates,HCT116
2030,abema,abemaciclib (LY2835219),3.0,3.0,PB000139_B03,3.5580265408936946,aggregates,HCT116
