name_y,5Z-7-,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Gefit,Gemci,Linsi,MK-22,Oxali,PD032,Pacli,Palbo,Rabus,Regor,SN-38,Tanes,Tasel,Trici,Trifl,Vemur,Vorin,abema
5Z-7-,1.0000000000000009,0.7122908731157174,0.7305873197897339,0.755349413943031,0.38395381042412935,0.640592575664082,0.7122397303464019,0.8445487547685631,0.9170547847614795,0.42352034588914744,0.8134876728374587,0.6382388907203196,0.891940045827211,0.8725212405066747,0.7356906192112843,0.271565153723095,0.8148962443434885,0.6793765054613812,0.785762865442262,0.8532975111214204,0.6156644678166339,0.42822582741026355,0.6409740679730257,0.6011215320102385,0.7564936552382787,0.5827456532630261,0.8805803817543066,-0.04238105418236808,0.24391876971512366,0.8564174501596089,0.7480888690126051,0.3933627921359647
AZD45,0.7122908731157174,1.0,0.7419824355538865,0.5552318630798193,0.4452711396938307,0.5342804047040774,0.6404767734964427,0.6352507920853232,0.7100980792829943,0.47059384607636157,0.6425966107565495,0.5483304841960387,0.6953045475794724,0.695070782893561,0.49991903936227566,0.33464933869262514,0.7352372493877951,0.48945877597211307,0.6029581914390416,0.5919907620711142,0.586615612939259,0.6728129409849479,0.6873162647654372,0.43262063951358976,0.754593579302413,0.5847477885383312,0.7151897466450658,0.08572479148679246,0.3538055061122978,0.6524049534083987,0.5368430777704092,0.5269655854334568
AZD77,0.7305873197897339,0.7419824355538865,1.000000000000002,0.5625454341370617,0.6413342834104895,0.600130056860158,0.63895801962196,0.6924176484406132,0.7017357818180784,0.4532872710324981,0.6220345674635572,0.5824869551664732,0.6694268061372323,0.6522394227133735,0.5021803312800321,0.4057761205980172,0.7271208586700989,0.4670441176870454,0.637816725716778,0.6430563135434043,0.6082964814215834,0.5771906125451608,0.7240975938492458,0.4523043203212499,0.7078488654290448,0.6209314811537654,0.6742988967726924,0.10537198465060428,0.34411367180044183,0.6689983345875116,0.5774152508421798,0.45506708071275326
AZD80,0.755349413943031,0.5552318630798193,0.5625454341370617,1.0000000000000007,0.296187087085087,0.7046852105904051,0.6784909426181864,0.8497768571139863,0.82509368643199,0.44270422122313186,0.7367679107860591,0.7370744157963443,0.7930765220750345,0.8082537865743373,0.8668631259490147,0.5449019321613175,0.8918833988304617,0.7711860806638504,0.7746682085303268,0.8319081992725115,0.6127622910846406,0.39390205638225445,0.6023193709842212,0.7798037367278798,0.6264573085508878,0.6035147709843197,0.7914126231679082,0.013476468360318489,0.4188491554529308,0.8315201653701906,0.8685117406524638,0.42402829168380973
Adavo,0.38395381042412935,0.4452711396938307,0.6413342834104895,0.296187087085087,0.9999999999999998,0.3674570501433202,0.4355535977476165,0.38138945892066417,0.36259387943673543,0.36519175212577526,0.2967391993650903,0.25620901396071855,0.35952986177310176,0.36053020067261055,0.3365133990119601,0.2036288499353274,0.3637564833614489,0.22618333103631322,0.3901202714452247,0.29416866977943534,0.45619681438713994,0.44977096505277425,0.5978664162553886,0.29054531507586556,0.5458594995039021,0.47068793154787925,0.42949919091701705,0.006671257147744827,0.1884580190199734,0.39221209031324156,0.24862851423972757,0.39152718252375523
Afati,0.640592575664082,0.5342804047040774,0.600130056860158,0.7046852105904051,0.3674570501433202,1.0000000000000002,0.5938209183322625,0.6575273351703776,0.6348630533430686,0.4105405819233432,0.5742851777372417,0.5967273664215054,0.6307353848430904,0.6372842653836935,0.6924391388689541,0.3722687077098361,0.6994304744827597,0.671012011884604,0.6024440868262606,0.5851075162670356,0.5127792227992107,0.47662365313103994,0.660343115402847,0.6774450024932716,0.6570604072159891,0.5187057539646495,0.6931403276808021,0.03632338212599009,0.37302811851547746,0.6326760551957789,0.6481975898517142,0.4166648706706565
Alpel,0.7122397303464019,0.6404767734964427,0.63895801962196,0.6784909426181864,0.4355535977476165,0.5938209183322625,1.0,0.6587719428445504,0.7002041697997035,0.39803195570344535,0.6148783143397348,0.526216029808493,0.729569851752965,0.7679327790703583,0.6455795366395347,0.3592174973180263,0.7222096927322403,0.6305657613542817,0.7037004247641216,0.6343776697416854,0.5409153573248173,0.5410050462622004,0.5236209572320277,0.6338902568816084,0.6364611655981264,0.6620120882592377,0.7892636439493894,0.05028826838535535,0.3470355867687248,0.73359010260808,0.6151462628720445,0.47940701515485257
BMS-7,0.8445487547685631,0.6352507920853232,0.6924176484406132,0.8497768571139863,0.38138945892066417,0.6575273351703776,0.6587719428445504,1.0000000000000004,0.8832407266821831,0.41026238881136856,0.8584487724173957,0.8219955607453711,0.8939312617908365,0.8611907213346095,0.817992077772177,0.3185964319983897,0.8893920337510268,0.75447397006588,0.7103884356837994,0.8972431460600454,0.5794163846371483,0.35233313917619924,0.6706300948910876,0.6389065410856385,0.7114185387238294,0.5720100314399695,0.8396508515224443,-0.050649085418579015,0.2604196701185377,0.8204457562787362,0.8409472669274258,0.2949000081146214
Binim,0.9170547847614795,0.7100980792829943,0.7017357818180784,0.82509368643199,0.36259387943673543,0.6348630533430686,0.7002041697997035,0.8832407266821831,1.0000000000000002,0.41685750601030896,0.8694255089798866,0.7118768397106023,0.9275561594365366,0.9080726831875332,0.7742218160115669,0.36065022687775594,0.8738437375855601,0.6983994808671112,0.7871089039832133,0.8854881706729538,0.6134979471430595,0.39572751328520517,0.7351364396479725,0.6489326449412951,0.7766635606512955,0.5847245345376728,0.8572444961392507,-0.048636837877200065,0.27103250052693717,0.84279654709505,0.8065593374849369,0.3528420343601423
Borte,0.42352034588914744,0.47059384607636157,0.4532872710324981,0.44270422122313186,0.36519175212577526,0.4105405819233432,0.39803195570344535,0.41026238881136856,0.41685750601030896,0.9999999999999997,0.41755007712156517,0.3824345467493122,0.4333759582671771,0.4556913724319154,0.5365329608297733,0.42846567954941317,0.6191325271035101,0.45064067529949214,0.4307293869189731,0.501758983197764,0.5842688215921203,0.47450970417252225,0.5300169403133125,0.628132725183914,0.546010769668759,0.6412395538684283,0.5633636509689599,0.06577627524280515,0.5394707141145583,0.4664313556691626,0.4693354949688512,0.47332099008117656
Cobim,0.8134876728374587,0.6425966107565495,0.6220345674635572,0.7367679107860591,0.2967391993650903,0.5742851777372417,0.6148783143397348,0.8584487724173957,0.8694255089798866,0.41755007712156517,1.0000000000000009,0.698105083693864,0.8949385763067557,0.8746945510863193,0.7537548931399752,0.20497170902207656,0.8104459118848453,0.6544408156030574,0.6809581280566588,0.8451816929785008,0.5415125036932882,0.357189322907291,0.7379697189338512,0.5698316603154088,0.7690113354267407,0.4700872228211582,0.8257857102331518,-0.13700071056242652,0.1758118491063065,0.751165465676091,0.777357813438344,0.3371862545343116
Crizo,0.6382388907203196,0.5483304841960387,0.5824869551664732,0.7370744157963443,0.25620901396071855,0.5967273664215054,0.526216029808493,0.8219955607453711,0.7118768397106023,0.3824345467493122,0.698105083693864,0.9999999999999996,0.7372459790118016,0.6829011886884506,0.713034342367367,0.46641322362680937,0.7529403035421078,0.7802928512929077,0.6965249380262932,0.7870709787335348,0.5398041107850806,0.42600317160354784,0.6281996502248368,0.7259912634559904,0.6820856134415944,0.4632042857933713,0.6523648847136471,0.0923911620654407,0.4330467718295751,0.6201663516262117,0.6633901495432545,0.44247207945122913
