,Granularity_13_PHAandWGA_nuclei,Granularity_14_PHAandWGA_nuclei,Granularity_11_PHAandWGA_nuclei,Granularity_16_PHAandWGA_nuclei,Granularity_15_PHAandWGA_nuclei,Granularity_10_PHAandWGA_nuclei,Granularity_16_SYTO_nuclei,Granularity_12_SYTO_cells,Granularity_15_CONC_nuclei,Granularity_9_PHAandWGA_nuclei,Granularity_16_CONC_nuclei,Granularity_5_HOECHST_cytoplasm,Granularity_14_CONC_nuclei,Granularity_3_SYTO_cells,Granularity_6_HOECHST_cells,AreaShape_Zernike_3_1_cytoplasm,Granularity_3_CONC_cytoplasm,Intensity_StdIntensity_SYTO_cytoplasm,Granularity_12_PHAandWGA_nuclei,Granularity_7_HOECHST_cells,RadialDistribution_ZernikePhase_PHAandWGA_7_1_cells,Correlation_Correlation_CONC_PHAandWGA_nuclei,Granularity_4_CONC_nuclei,Granularity_8_PHAandWGA_nuclei,RadialDistribution_MeanFrac_CONC_1of4_cells,RadialDistribution_ZernikePhase_CONC_7_1_cells,Granularity_8_PHAandWGA_cytoplasm,RadialDistribution_ZernikePhase_SYTO_8_0_nuclei,Granularity_1_HOECHST_nuclei,Granularity_7_PHAandWGA_cells,RadialDistribution_MeanFrac_PHAandWGA_1of4_cytoplasm,Location_MaxIntensity_X_PHAandWGA_nuclei,AreaShape_BoundingBoxMinimum_X_cytoplasm,Granularity_2_SYTO_cells,AreaShape_Zernike_9_5_cells,RadialDistribution_ZernikePhase_SYTO_3_1_cytoplasm,RadialDistribution_MeanFrac_PHAandWGA_1of4_cells,AreaShape_Zernike_8_6_nuclei,Granularity_8_HOECHST_nuclei,Correlation_Overlap_MITO_PHAandWGA_cytoplasm
"5-FU
(10.0 µM)",-0.15630598251732672,-0.23168730600947873,-0.6091392237179781,-0.2853698716915349,-0.36427590810243754,-0.309417265549641,0.17072666550266494,-0.40400815061964196,-0.5638089821249628,-0.11274645541177702,1.976296909653222,0.7488254426303119,0.7511914657680534,-0.320205397456395,0.30984310282573574,-0.9301706074160079,0.9640083769371801,0.9928260994730919,-0.24001186667840477,-0.16507357469985348,-0.7467578194895967,-0.22754117580300295,1.8380889960160351,0.28246926602765743,1.1768257144999228,-0.7192276300881455,0.23969870040506006,-0.906569317765509,0.40400716157013994,-0.04483326623286775,0.4867121432898468,2.410439684722762,-0.5969493533938047,-1.0425733434421944,0.34204361509114023,-0.027090187436035123,0.6836388588523183,1.7530404923000382,-0.7551000196404261,0.6284260478910596
"Olaparib
(3.0 µM)",-0.8389842329302946,-0.5330633520498783,-0.5969963772282519,-0.5780999267865864,-0.3276959641142592,-0.9451593971604264,-1.0038799660538464,-0.679278372733147,-0.7532848959359165,-0.6811668191818813,-0.9595564793286271,-1.0660991519121803,-1.0199580760767675,-0.7346424666223031,-0.9659463970583991,-0.09926291312270241,-1.0058734133077636,0.029107282728446753,-0.6752644278848968,-1.0711974110460019,-0.5305407019872264,-0.764557307767731,-0.8601555553249774,-0.748907853073417,0.47676503920897806,-0.2931973004925314,-1.1434318911731507,0.24782470169061338,2.052401945069422,-0.7561903475356702,0.4209497664690851,-0.17983859647868156,-3.1041542215874998,-0.12061689661336554,-0.8985457782061169,0.025772495610196962,0.2628221405612537,-0.01050599512309035,-0.987645706053816,1.440979688709497
"Etoposide
(2.5 µM)",-0.6451387677300444,-0.2458877761934417,-0.30703786029633023,-0.2710826019269729,-0.4680160291571249,-0.28689539753319365,-1.2380048433709765,-0.4976266881747441,-0.20279634712953423,-0.6841302938047057,0.5877133738143142,-1.1100736382201704,-0.0958238417282557,-0.1887013660338484,-0.9114069527958817,2.080742386921964,-0.7083755121031284,0.21422006036230526,-0.12221938105353229,-0.38696653776345147,2.032884453064439,0.892758070907656,-1.2342671162185044,-0.6579566293115888,-0.7755728461296432,1.8271041499862282,-0.8557390719582539,0.2264889946980533,0.7735137781398322,-0.16195970686948571,-2.0205473032692502,-0.7499224962103556,0.15780514979600074,0.5470625586235556,0.3160047983205498,0.06984620179493188,-2.265897760156946,-0.881913019434145,-0.39141484775258534,0.2247275393705725
"Nutlin
(3.0 µM)",-0.6942728179753295,-0.6059305524368341,-0.6688910567585429,-0.7261025302236345,-0.34749761727845285,-0.9451593971604264,-1.118419762557134,-0.6272518871168233,-0.8894328602284143,-1.055301431430277,-0.5466360136118439,-0.9472644603751643,-0.7073773573837263,-0.032498353850422705,-0.7778194815084924,-1.2768551464655515,-0.406396809586645,0.24159971373908937,-1.0131149295039878,-0.9245025460130891,1.6655861980401294,-0.639113852284038,0.27877072671856806,-0.8861784247666888,0.7096143961344726,1.5057272014097178,-0.6148112051997402,-0.010847216828527883,0.8390223758525929,-0.4868349336263527,-0.1949799826491066,0.9657767559646052,-0.11962791340500628,0.11528229315973759,-1.62169828727965,-1.5890904320438586,-0.6380245529232096,-0.09359016321825382,-0.8701623225324132,0.7741603836612445
"AMG232
(0.3 µM)",7.184291126935702,7.256088050498417,5.290867975820493,5.323448413434276,5.381879775080447,4.986130136744318,4.624968954323209,4.179356652001804,3.9082803331682703,3.6304119137235142,3.6435869435509733,2.895962269742365,3.317972727935498,3.296028267768332,2.6428726327405023,1.7199563510703342,2.607036050834237,3.569606710294515,2.689168011559782,2.5054289806116565,-1.0132584496665684,2.6368850231304606,1.6809977164572645,2.464770954978444,3.086163983396938,-1.294193591215488,2.2792867625421596,-2.978983467377542,-1.639006311256895,2.563326516033015,-2.192884313980641,-0.4882735476076425,-0.9537146420633533,2.4443031985884613,1.6362934773149447,1.9520665132118653,-1.6984932823924705,1.9276669298047917,1.9519853704715922,-1.785940432943869
