case,kind,compound,r
nyquist_14planes,replicate,abemaciclib,0.6179930339077496
nyquist_14planes,replicate,binimetinib,0.4115779854995202
nyquist_14planes,replicate,fluorouracil,0.4758798074894584
nyquist_14planes,replicate,gemcitabine,0.41916152876420354
nyquist_14planes,replicate,sn-38,0.34346040670044514
nyquist_14planes,replicate,trifluridine,0.49007112398407626
nyquist_14planes,null,,0.12373680935006783
nyquist_14planes,null,,0.23276309104620024
nyquist_14planes,null,,0.1691975173264088
nyquist_14planes,null,,0.31608047736972206
nyquist_14planes,null,,0.22327785890261584
nyquist_14planes,null,,0.18998205615015012
nyquist_14planes,null,,0.326262191524844
nyquist_14planes,null,,0.3066538307053528
nyquist_14planes,null,,0.2816669729351891
nyquist_14planes,null,,0.25829655018410014
nyquist_14planes,null,,0.3871376386401597
nyquist_14planes,null,,0.35665346321067454
nyquist_14planes,null,,0.3246734965112787
nyquist_14planes,null,,0.21525974030859066
nyquist_14planes,null,,0.3269348794906878
nyquist_14planes,null,,0.25830372795931145
nyquist_14planes,null,,0.25111079791193164
nyquist_14planes,null,,0.35838332668558304
nyquist_14planes,null,,0.32463287659960716
nyquist_14planes,null,,0.2221586375981037
nyquist_14planes,null,,0.29702892768090217
nyquist_14planes,null,,0.30990320062371535
nyquist_14planes,null,,0.2857132965858071
nyquist_14planes,null,,0.28030958067939765
nyquist_14planes,null,,0.3124835852553879
nyquist_14planes,null,,0.17859467437802704
nyquist_14planes,null,,0.20779219294209797
nyquist_14planes,null,,0.3162928521392641
nyquist_14planes,null,,0.12559459919201893
nyquist_14planes,null,,0.2708475661989796
nyquist_14planes,null,,0.3606270789705602
nyquist_14planes,null,,0.2753918892683646
nyquist_14planes,null,,0.2676234415423648
nyquist_14planes,null,,0.19669150257759824
nyquist_14planes,null,,0.1978791826665197
nyquist_14planes,null,,0.3181722576385147
nyquist_14planes,null,,0.20563155545490552
nyquist_14planes,null,,0.16808607052860777
nyquist_14planes,null,,0.25073394455862374
nyquist_14planes,null,,0.29702892768090217
nyquist_14planes,null,,0.2865297451137897
nyquist_14planes,null,,0.27927316502641375
nyquist_14planes,null,,0.14484006053298315
nyquist_14planes,null,,0.15887298061509456
nyquist_14planes,null,,0.17277466125643479
nyquist_14planes,null,,0.3424250065841296
nyquist_14planes,null,,0.2468024662540312
nyquist_14planes,null,,0.3626944472143962
nyquist_14planes,null,,0.2671186990464658
nyquist_14planes,null,,0.2221586375981037
nyquist_14planes,null,,0.22100947068153987
nyquist_14planes,null,,0.2356666791011264
nyquist_14planes,null,,0.3036843492642763
nyquist_14planes,null,,0.16163036577635975
nyquist_14planes,null,,0.2644922384930465
nyquist_14planes,null,,0.22532841778129997
nyquist_14planes,null,,0.4027724632006617
nyquist_14planes,null,,0.322285615638248
nyquist_14planes,null,,0.21107412924810814
nyquist_14planes,null,,0.4406197685717122
nyquist_14planes,null,,0.22100947068153987
nyquist_14planes,null,,0.29430000598317213
nyquist_14planes,null,,0.2644922384930465
nyquist_14planes,null,,0.14484006053298315
nyquist_14planes,null,,0.22532841778129997
nyquist_14planes,null,,0.28344346861086983
nyquist_14planes,null,,0.22052679759179575
nyquist_14planes,null,,0.33177385275718224
nyquist_14planes,null,,0.22532841778129997
nyquist_14planes,null,,0.2627581867332341
nyquist_14planes,null,,0.24053415539347436
nyquist_14planes,null,,0.21610568432056365
nyquist_14planes,null,,0.4343862405273359
nyquist_14planes,null,,0.30503379407938624
nyquist_14planes,null,,0.3617531214104414
nyquist_14planes,null,,0.3288409347067432
nyquist_14planes,null,,0.2851944730635224
nyquist_14planes,null,,0.2865297451137897
nyquist_14planes,null,,0.3102825515320473
nyquist_14planes,null,,0.23077597125704746
nyquist_14planes,null,,0.2579342068080537
nyquist_14planes,null,,0.17859467437802704
nyquist_14planes,null,,0.2675730805407496
nyquist_14planes,null,,0.33552917277822547
nyquist_14planes,null,,0.12002505637139499
nyquist_14planes,null,,0.2753918892683646
nyquist_14planes,null,,0.3254765483087719
nyquist_14planes,null,,0.1263128774670455
nyquist_14planes,null,,0.2660234902639566
nyquist_14planes,null,,0.3222144202706819
nyquist_14planes,null,,0.12922529567099478
nyquist_14planes,null,,0.18584022040754744
nyquist_14planes,null,,0.1859058598383184
nyquist_14planes,null,,0.18553008825171666
nyquist_14planes,null,,0.21610568432056365
nyquist_14planes,null,,0.2586490675101112
nyquist_14planes,null,,0.15488818095784784
nyquist_14planes,null,,0.16533867151696416
nyquist_14planes,null,,0.22729708702897294
nyquist_14planes,null,,0.1614017285685528
nyquist_14planes,null,,0.2851622076419609
nyquist_14planes,null,,0.3521045591305561
nyquist_14planes,null,,0.30077093583912456
nyquist_14planes,null,,0.4310809291384333
nyquist_14planes,null,,0.21255478644997317
nyquist_14planes,null,,0.2435968791715719
nyquist_14planes,null,,0.2468024662540312
nyquist_14planes,null,,0.16728517612789423
nyquist_14planes,null,,0.27506595601950823
nyquist_14planes,null,,0.4209632332253422
nyquist_14planes,null,,0.14484006053298315
nyquist_14planes,null,,0.2804278581596528
nyquist_14planes,null,,0.27091416511660404
nyquist_14planes,null,,0.3373039150484015
nyquist_14planes,null,,0.2728913054039498
nyquist_14planes,null,,0.3508551955226554
nyquist_14planes,null,,0.33968372426020677
nyquist_14planes,null,,0.336477640406565
nyquist_14planes,null,,0.1405712893145224
nyquist_14planes,null,,0.426998211082655
nyquist_14planes,null,,0.21550457938910847
nyquist_14planes,null,,0.32611637133627996
nyquist_14planes,null,,0.25882035543767673
nyquist_14planes,null,,0.4004689929644248
nyquist_14planes,null,,0.2367361477098366
nyquist_14planes,null,,0.06751539891134135
nyquist_14planes,null,,0.24374342739771643
nyquist_14planes,null,,0.35743268166782005
nyquist_14planes,null,,0.28553544303771694
nyquist_14planes,null,,0.15268236799476592
nyquist_14planes,null,,0.27839420815411636
nyquist_14planes,null,,0.14111144377750676
nyquist_14planes,null,,0.2865297451137897
nyquist_14planes,null,,0.28433588755563155
nyquist_14planes,null,,0.2660234902639566
nyquist_14planes,null,,0.2972829693363911
nyquist_14planes,null,,0.2435968791715719
nyquist_14planes,null,,0.25830372795931145
nyquist_14planes,null,,0.20077267640681767
nyquist_14planes,null,,0.1822459329882579
nyquist_14planes,null,,0.2468024662540312
nyquist_14planes,null,,0.3098271767816725
nyquist_14planes,null,,0.2912303600161474
nyquist_14planes,null,,0.2221586375981037
nyquist_14planes,null,,0.21916059336137275
nyquist_14planes,null,,0.28081120769119833
nyquist_14planes,null,,0.2592189161682932
nyquist_14planes,null,,0.2838364024411015
nyquist_14planes,null,,0.3424250065841296
nyquist_14planes,null,,0.2569706703564609
nyquist_14planes,null,,0.17546515669775845
nyquist_14planes,null,,0.35743268166782005
nyquist_14planes,null,,0.36788854143990285
nyquist_14planes,null,,0.20779219294209797
nyquist_14planes,null,,0.29702892768090217
nyquist_14planes,null,,0.2418556243188683
nyquist_14planes,null,,0.2754865477530075
nyquist_14planes,null,,0.17969566108077142
nyquist_14planes,null,,0.32307929208125535
nyquist_14planes,null,,0.134559046635466
nyquist_14planes,null,,0.2367361477098366
nyquist_14planes,null,,0.21610568432056365
nyquist_14planes,null,,0.22327785890261584
nyquist_14planes,null,,0.231438732795942
nyquist_14planes,null,,0.23276309104620024
nyquist_14planes,null,,0.25829655018410014
nyquist_14planes,null,,0.2399087688007487
nyquist_14planes,null,,0.22534091295071793
nyquist_14planes,null,,0.10616244577912906
nyquist_14planes,null,,0.26520474691371076
nyquist_14planes,null,,0.21460754409306676
nyquist_14planes,null,,0.40766837529855965
nyquist_14planes,null,,0.3973942888068361
nyquist_14planes,null,,0.2753918892683646
nyquist_14planes,null,,0.22048118784301718
nyquist_14planes,null,,0.2644922384930465
nyquist_14planes,null,,0.1634733047284248
nyquist_14planes,null,,0.3288409347067432
nyquist_14planes,null,,0.3641130018699568
nyquist_14planes,null,,0.22089269931078745
nyquist_14planes,null,,0.3269923338212967
nyquist_14planes,null,,0.30919853421324267
nyquist_14planes,null,,0.20779219294209797
nyquist_14planes,null,,0.31908898062054875
nyquist_14planes,null,,0.37412087600504257
nyquist_14planes,null,,0.20816316509783728
nyquist_14planes,null,,0.3641130018699568
nyquist_14planes,null,,0.2759266342964958
nyquist_14planes,null,,0.25882035543767673
nyquist_14planes,null,,0.36671323496642666
nyquist_14planes,null,,0.30058410660256285
nyquist_14planes,null,,0.2676234415423648
nyquist_14planes,null,,0.3172023915108682
nyquist_14planes,null,,0.2078130144385731
nyquist_14planes,null,,0.39838031447803435
nyquist_14planes,null,,0.30503379407938624
nyquist_14planes,null,,0.2099718990278646
nyquist_14planes,null,,0.32611637133627996
nyquist_14planes,null,,0.1974020649713317
nyquist_14planes,null,,0.20324295181574278
nyquist_14planes,null,,0.21622185011686187
nyquist_14planes,null,,0.2498253243531899
nyquist_14planes,null,,0.27927316502641375
nyquist_14planes,null,,0.29811395290180287
nyquist_14planes,null,,0.29519542432268614
nyquist_14planes,null,,0.19526121016242
nyquist_14planes,null,,0.2399087688007487
nyquist_14planes,null,,0.368843643663311
nyquist_14planes,null,,0.25052064341543334
nyquist_14planes,null,,0.1974020649713317
nyquist_14planes,null,,0.18584022040754744
nyquist_14planes,null,,0.39551407242796305
nyquist_14planes,null,,0.30919853421324267
nyquist_14planes,null,,0.2652876641848933
nyquist_14planes,null,,0.28211893697137785
nyquist_14planes,null,,0.3262624440263034
nyquist_14planes,null,,0.37497111805243394
nyquist_14planes,null,,0.2924318201497485
nyquist_14planes,null,,0.11281106678038402
nyquist_14planes,null,,0.2759266342964958
nyquist_14planes,null,,0.2671186990464658
nyquist_14planes,null,,0.28344346861086983
nyquist_14planes,null,,0.35207282046963545
nyquist_14planes,null,,0.17486780260390586
nyquist_14planes,null,,0.17486780260390586
nyquist_14planes,null,,0.1623006918400976
nyquist_14planes,null,,0.2676234415423648
nyquist_14planes,null,,0.2418556243188683
nyquist_14planes,null,,0.2418556243188683
nyquist_14planes,null,,0.27927316502641375
nyquist_14planes,null,,0.26871973763422
nyquist_14planes,null,,0.21107412924810814
nyquist_14planes,null,,0.3035486180513732
nyquist_14planes,null,,0.2930833724932948
nyquist_14planes,null,,0.32857053351134724
nyquist_14planes,null,,0.3269348794906878
nyquist_14planes,null,,0.3383946365759606
nyquist_14planes,null,,0.30543919101625605
nyquist_14planes,null,,0.3383946365759606
nyquist_14planes,null,,0.34038813926234174
nyquist_14planes,null,,0.18630600217313042
