cond,z,wid,n_objects
20_40,11,PB100082_J13,7
20_40,11,PB100082_K16,143
20_40,11,PB100082_L11,133
20_40,11,PB100082_M14,162
20_40,11,PB100082_N09,116
20_40,11,PB100082_O12,101
20_40,11,PB100082_P09,181
20_40,11,PB100082_P15,161
20_40,11,PB100083_I10,117
20_40,11,PB100083_I16,160
20_40,11,PB100083_J13,165
20_40,11,PB100083_K16,144
20_40,11,PB100083_L11,151
20_40,11,PB100083_M14,151
20_40,11,PB100083_N09,146
20_40,11,PB100083_P09,125
20_40,11,PB100083_P15,192
20_40,12,PB100082_I16,164
20_40,12,PB100082_J13,3
20_40,12,PB100082_K16,122
20_40,12,PB100082_L11,127
20_40,12,PB100082_M14,153
20_40,12,PB100082_N09,99
20_40,12,PB100082_O12,91
20_40,12,PB100082_P09,175
20_40,12,PB100082_P15,155
20_40,12,PB100083_I10,113
20_40,12,PB100083_I16,161
20_40,12,PB100083_J13,172
20_40,12,PB100083_K16,145
20_40,12,PB100083_L11,164
20_40,12,PB100083_M14,145
20_40,12,PB100083_N09,132
20_40,12,PB100083_P09,128
20_40,12,PB100083_P15,178
20_40,13,PB100082_I16,156
20_40,13,PB100082_K16,121
20_40,13,PB100082_L11,122
20_40,13,PB100082_M14,148
20_40,13,PB100082_N09,96
20_40,13,PB100082_O12,99
20_40,13,PB100082_P09,183
20_40,13,PB100082_P15,144
20_40,13,PB100083_I10,104
20_40,13,PB100083_I16,158
20_40,13,PB100083_J13,181
20_40,13,PB100083_K16,132
20_40,13,PB100083_L11,151
20_40,13,PB100083_M14,134
20_40,13,PB100083_N09,152
20_40,13,PB100083_P09,131
20_40,13,PB100083_P15,168
noclear,0,PB100082_I02,13
noclear,0,PB100082_I08,6
noclear,0,PB100082_J05,24
noclear,0,PB100082_K08,23
noclear,0,PB100082_L03,8
noclear,0,PB100082_O04,22
noclear,0,PB100082_P01,29
noclear,0,PB100082_P07,18
noclear,0,PB100083_I02,49
noclear,0,PB100083_I08,4
noclear,0,PB100083_J05,30
noclear,0,PB100083_K08,20
noclear,0,PB100083_L03,23
noclear,0,PB100083_M06,29
noclear,0,PB100083_O04,9
noclear,0,PB100083_P01,29
noclear,0,PB100083_P07,5
noclear,1,PB100082_I02,27
noclear,1,PB100082_I08,21
noclear,1,PB100082_J05,34
noclear,1,PB100082_K08,46
noclear,1,PB100082_L03,25
noclear,1,PB100082_M06,30
noclear,1,PB100082_N01,16
noclear,1,PB100082_O04,33
noclear,1,PB100082_P01,43
noclear,1,PB100082_P07,26
noclear,1,PB100083_I02,63
noclear,1,PB100083_I08,9
noclear,1,PB100083_J05,56
noclear,1,PB100083_K08,33
noclear,1,PB100083_L03,32
noclear,1,PB100083_M06,39
noclear,1,PB100083_O04,28
noclear,1,PB100083_P01,48
noclear,1,PB100083_P07,27
noclear,2,PB100082_I02,46
noclear,2,PB100082_I08,28
noclear,2,PB100082_J05,62
noclear,2,PB100082_K08,74
noclear,2,PB100082_L03,55
noclear,2,PB100082_M06,39
noclear,2,PB100082_N01,33
noclear,2,PB100082_O04,60
noclear,2,PB100082_P01,58
noclear,2,PB100082_P07,56
noclear,2,PB100083_I02,71
noclear,2,PB100083_I08,28
noclear,2,PB100083_J05,86
noclear,2,PB100083_K08,62
noclear,2,PB100083_L03,48
noclear,2,PB100083_M06,60
noclear,2,PB100083_O04,47
noclear,2,PB100083_P01,59
noclear,2,PB100083_P07,59
noclear,3,PB100082_I02,71
noclear,3,PB100082_I08,50
noclear,3,PB100082_J05,104
noclear,3,PB100082_K08,110
noclear,3,PB100082_L03,77
noclear,3,PB100082_M06,65
noclear,3,PB100082_N01,58
noclear,3,PB100082_O04,95
noclear,3,PB100082_P01,61
noclear,3,PB100082_P07,91
noclear,3,PB100083_I02,79
noclear,3,PB100083_I08,63
noclear,3,PB100083_J05,110
noclear,3,PB100083_K08,91
noclear,3,PB100083_L03,89
noclear,3,PB100083_M06,84
noclear,3,PB100083_O04,67
noclear,3,PB100083_P01,67
noclear,3,PB100083_P07,77
noclear,4,PB100082_I02,85
noclear,4,PB100082_I08,88
noclear,4,PB100082_J05,123
noclear,4,PB100082_K08,123
noclear,4,PB100082_L03,105
noclear,4,PB100082_M06,104
noclear,4,PB100082_N01,74
noclear,4,PB100082_O04,136
noclear,4,PB100082_P01,81
noclear,4,PB100082_P07,129
noclear,4,PB100083_I02,98
noclear,4,PB100083_I08,98
noclear,4,PB100083_J05,112
noclear,4,PB100083_K08,108
noclear,4,PB100083_L03,116
noclear,4,PB100083_M06,91
noclear,4,PB100083_O04,83
noclear,4,PB100083_P01,76
noclear,4,PB100083_P07,107
noclear,5,PB100082_I02,100
noclear,5,PB100082_I08,110
noclear,5,PB100082_J05,126
noclear,5,PB100082_K08,135
noclear,5,PB100082_L03,111
noclear,5,PB100082_M06,128
noclear,5,PB100082_N01,112
noclear,5,PB100082_O04,166
noclear,5,PB100082_P01,82
noclear,5,PB100082_P07,145
noclear,5,PB100083_I02,98
noclear,5,PB100083_I08,108
noclear,5,PB100083_J05,127
noclear,5,PB100083_K08,127
noclear,5,PB100083_L03,128
noclear,5,PB100083_M06,102
noclear,5,PB100083_O04,95
noclear,5,PB100083_P01,90
noclear,5,PB100083_P07,121
noclear,6,PB100082_I02,112
noclear,6,PB100082_I08,133
noclear,6,PB100082_J05,118
noclear,6,PB100082_K08,137
noclear,6,PB100082_L03,119
noclear,6,PB100082_M06,137
noclear,6,PB100082_N01,135
noclear,6,PB100082_O04,156
noclear,6,PB100082_P01,78
noclear,6,PB100082_P07,160
noclear,6,PB100083_I02,94
noclear,6,PB100083_I08,132
noclear,6,PB100083_J05,122
noclear,6,PB100083_K08,132
noclear,6,PB100083_L03,131
noclear,6,PB100083_M06,93
noclear,6,PB100083_O04,99
noclear,6,PB100083_P01,97
noclear,6,PB100083_P07,123
noclear,7,PB100082_I02,114
noclear,7,PB100082_I08,145
noclear,7,PB100082_J05,101
noclear,7,PB100082_K08,113
noclear,7,PB100082_L03,130
noclear,7,PB100082_M06,163
noclear,7,PB100082_N01,129
noclear,7,PB100082_O04,151
noclear,7,PB100082_P01,77
