cond,z,wid,n_objects
v1,1,PB000137_F20,49
v1,1,PB000137_G02,47
v1,1,PB000137_G13,66
v1,1,PB000137_H10,38
v1,1,PB000137_H17,29
v1,1,PB000137_I21,47
v1,1,PB000137_J03,58
v1,1,PB000137_J14,26
v1,1,PB000137_K11,32
v1,1,PB000137_L07,67
v1,1,PB000137_L18,69
v1,1,PB000137_M23,38
v1,1,PB000137_N15,29
v1,1,PB000137_O09,44
v1,1,PB000138_B22,69
v1,1,PB000138_C05,61
v1,1,PB000138_D12,32
v1,1,PB000138_E16,26
v1,1,PB000138_F06,19
v1,1,PB000138_F20,30
v1,1,PB000138_G02,65
v1,1,PB000138_G13,33
v1,1,PB000138_H10,46
v1,1,PB000138_H17,42
v1,1,PB000138_I21,45
v1,1,PB000138_J03,62
v1,1,PB000138_J14,44
v1,1,PB000138_K11,18
v1,1,PB000138_L07,34
v1,1,PB000138_L18,86
v1,1,PB000138_M23,31
v1,1,PB000138_N04,9
v1,1,PB000138_N15,56
v1,1,PB000138_O09,20
v1,1,PB000139_B04,29
v1,1,PB000139_C10,53
v1,1,PB000139_G03,37
v1,1,PB000139_H12,50
v1,1,PB000139_I06,68
v1,1,PB000139_K09,43
v1,1,PB000139_N05,33
v1,1,PB000139_O07,55
v1,1,PB000139_O11,28
v1,1,PB000140_B04,45
v1,1,PB000140_C10,23
v1,1,PB000140_E02,53
v1,1,PB000140_G03,42
v1,1,PB000140_H12,41
v1,1,PB000140_I06,71
v1,1,PB000140_K09,65
v1,1,PB000140_N05,43
v1,1,PB000140_O07,17
v1,1,PB000140_O11,75
v1,2,PB000137_B22,48
v1,2,PB000137_C05,114
v1,2,PB000137_D12,90
v1,2,PB000137_E16,65
v1,2,PB000137_F06,57
v1,2,PB000137_F20,74
v1,2,PB000137_G02,60
v1,2,PB000137_G13,82
v1,2,PB000137_H10,40
v1,2,PB000137_H17,49
v1,2,PB000137_I21,62
v1,2,PB000137_J03,83
v1,2,PB000137_J14,43
v1,2,PB000137_K11,49
v1,2,PB000137_L07,92
v1,2,PB000137_L18,96
v1,2,PB000137_M23,56
v1,2,PB000137_N15,59
v1,2,PB000137_O09,79
v1,2,PB000138_B22,103
v1,2,PB000138_C05,78
v1,2,PB000138_D12,52
v1,2,PB000138_E16,39
v1,2,PB000138_F06,43
v1,2,PB000138_F20,58
v1,2,PB000138_G02,82
v1,2,PB000138_G13,58
v1,2,PB000138_H10,85
v1,2,PB000138_H17,54
v1,2,PB000138_I21,70
v1,2,PB000138_J03,98
v1,2,PB000138_J14,69
v1,2,PB000138_K11,24
v1,2,PB000138_L07,60
v1,2,PB000138_L18,111
v1,2,PB000138_M23,62
v1,2,PB000138_N04,9
v1,2,PB000138_N15,90
v1,2,PB000138_O09,31
v1,2,PB000139_B04,45
v1,2,PB000139_C10,62
v1,2,PB000139_G03,61
v1,2,PB000139_H12,65
v1,2,PB000139_I06,85
v1,2,PB000139_K09,55
v1,2,PB000139_N05,44
v1,2,PB000139_O07,74
v1,2,PB000139_O11,60
v1,2,PB000140_B04,49
v1,2,PB000140_C10,57
v1,2,PB000140_E02,83
v1,2,PB000140_G03,66
v1,2,PB000140_H12,62
v1,2,PB000140_I06,76
v1,2,PB000140_K09,90
v1,2,PB000140_N05,76
v1,2,PB000140_O07,46
v1,2,PB000140_O11,93
v1,3,PB000137_B22,71
v1,3,PB000137_C05,124
v1,3,PB000137_D12,115
v1,3,PB000137_E16,94
v1,3,PB000137_F06,77
v1,3,PB000137_F20,107
v1,3,PB000137_G02,71
v1,3,PB000137_G13,117
v1,3,PB000137_H10,48
v1,3,PB000137_H17,71
v1,3,PB000137_I21,69
v1,3,PB000137_J03,105
v1,3,PB000137_J14,60
v1,3,PB000137_K11,73
v1,3,PB000137_L07,113
v1,3,PB000137_L18,133
v1,3,PB000137_M23,80
v1,3,PB000137_N15,74
v1,3,PB000137_O09,108
v1,3,PB000138_B22,118
v1,3,PB000138_C05,98
v1,3,PB000138_D12,77
v1,3,PB000138_E16,65
v1,3,PB000138_F06,68
v1,3,PB000138_F20,82
v1,3,PB000138_G02,106
v1,3,PB000138_G13,75
v1,3,PB000138_H10,115
v1,3,PB000138_H17,54
v1,3,PB000138_I21,87
v1,3,PB000138_J03,134
v1,3,PB000138_J14,106
v1,3,PB000138_K11,39
v1,3,PB000138_L07,80
v1,3,PB000138_L18,139
v1,3,PB000138_M23,91
v1,3,PB000138_N04,15
v1,3,PB000138_N15,116
v1,3,PB000138_O09,42
v1,3,PB000139_B04,59
v1,3,PB000139_C10,78
v1,3,PB000139_G03,86
v1,3,PB000139_H12,88
v1,3,PB000139_I06,106
v1,3,PB000139_K09,77
v1,3,PB000139_N05,49
v1,3,PB000139_O07,84
v1,3,PB000139_O11,84
v1,3,PB000140_B04,59
v1,3,PB000140_C10,77
v1,3,PB000140_E02,110
v1,3,PB000140_G03,85
v1,3,PB000140_H12,97
v1,3,PB000140_I06,103
v1,3,PB000140_K09,118
v1,3,PB000140_N05,98
v1,3,PB000140_O07,70
v1,3,PB000140_O11,118
v1,4,PB000137_B22,80
v1,4,PB000137_C05,162
v1,4,PB000137_D12,134
v1,4,PB000137_E16,113
v1,4,PB000137_F06,104
v1,4,PB000137_F20,129
v1,4,PB000137_G02,99
v1,4,PB000137_G13,135
v1,4,PB000137_H10,73
v1,4,PB000137_H17,90
v1,4,PB000137_I21,83
v1,4,PB000137_J03,128
v1,4,PB000137_J14,97
v1,4,PB000137_K11,91
v1,4,PB000137_L07,119
v1,4,PB000137_L18,154
v1,4,PB000137_M23,103
v1,4,PB000137_N15,91
v1,4,PB000137_O09,136
v1,4,PB000138_B22,138
v1,4,PB000138_C05,120
v1,4,PB000138_D12,121
v1,4,PB000138_E16,93
v1,4,PB000138_F06,88
v1,4,PB000138_F20,106
v1,4,PB000138_G02,127
v1,4,PB000138_G13,99
v1,4,PB000138_H10,134
v1,4,PB000138_H17,59
v1,4,PB000138_I21,113
v1,4,PB000138_J03,154
v1,4,PB000138_J14,137
v1,4,PB000138_K11,45
v1,4,PB000138_L07,111
v1,4,PB000138_L18,154
v1,4,PB000138_M23,109
v1,4,PB000138_N04,18
v1,4,PB000138_N15,136
v1,4,PB000138_O09,43
v1,4,PB000139_B04,77
v1,4,PB000139_C10,108
v1,4,PB000139_G03,104
v1,4,PB000139_H12,111
v1,4,PB000139_I06,119
v1,4,PB000139_K09,109
v1,4,PB000139_N05,56
v1,4,PB000139_O07,98
v1,4,PB000139_O11,110
v1,4,PB000140_B04,60
v1,4,PB000140_C10,99
v1,4,PB000140_E02,143
v1,4,PB000140_G03,101
v1,4,PB000140_H12,110
v1,4,PB000140_I06,125
v1,4,PB000140_K09,122
v1,4,PB000140_N05,133
v1,4,PB000140_O07,95
v1,4,PB000140_O11,127
v1,5,PB000137_B22,91
v1,5,PB000137_C05,167
v1,5,PB000137_D12,143
v1,5,PB000137_E16,117
v1,5,PB000137_F06,120
v1,5,PB000137_F20,147
v1,5,PB000137_G02,112
v1,5,PB000137_G13,149
v1,5,PB000137_H10,89
v1,5,PB000137_H17,121
v1,5,PB000137_I21,105
v1,5,PB000137_J03,148
v1,5,PB000137_J14,118
v1,5,PB000137_K11,121
v1,5,PB000137_L07,126
v1,5,PB000137_L18,164
v1,5,PB000137_M23,122
v1,5,PB000137_N15,112
v1,5,PB000137_O09,160
v1,5,PB000138_B22,142
v1,5,PB000138_C05,132
v1,5,PB000138_D12,150
v1,5,PB000138_E16,114
v1,5,PB000138_F06,111
v1,5,PB000138_F20,129
v1,5,PB000138_G02,158
v1,5,PB000138_G13,111
v1,5,PB000138_H10,141
v1,5,PB000138_H17,51
v1,5,PB000138_I21,128
v1,5,PB000138_J03,153
v1,5,PB000138_J14,159
v1,5,PB000138_K11,50
v1,5,PB000138_L07,137
v1,5,PB000138_L18,178
v1,5,PB000138_M23,127
v1,5,PB000138_N04,17
v1,5,PB000138_N15,155
v1,5,PB000138_O09,50
v1,5,PB000139_B04,95
v1,5,PB000139_C10,131
v1,5,PB000139_G03,121
v1,5,PB000139_H12,134
v1,5,PB000139_I06,132
v1,5,PB000139_K09,132
v1,5,PB000139_N05,73
v1,5,PB000139_O07,114
v1,5,PB000139_O11,130
v1,5,PB000140_B04,61
v1,5,PB000140_C10,117
v1,5,PB000140_E02,164
v1,5,PB000140_G03,122
v1,5,PB000140_H12,111
v1,5,PB000140_I06,133
v1,5,PB000140_K09,141
v1,5,PB000140_N05,151
v1,5,PB000140_O07,120
v1,5,PB000140_O11,136
v1,6,PB000137_B22,86
v1,6,PB000137_C05,175
v1,6,PB000137_D12,154
v1,6,PB000137_E16,126
v1,6,PB000137_F06,135
v1,6,PB000137_F20,161
v1,6,PB000137_G02,117
v1,6,PB000137_G13,158
v1,6,PB000137_H10,96
v1,6,PB000137_H17,140
v1,6,PB000137_I21,122
v1,6,PB000137_J03,157
v1,6,PB000137_J14,144
v1,6,PB000137_K11,129
v1,6,PB000137_L07,131
v1,6,PB000137_L18,169
v1,6,PB000137_M23,138
v1,6,PB000137_N15,130
v1,6,PB000137_O09,179
v1,6,PB000138_B22,160
v1,6,PB000138_C05,151
v1,6,PB000138_D12,178
v1,6,PB000138_E16,133
v1,6,PB000138_F06,127
v1,6,PB000138_F20,154
v1,6,PB000138_G02,147
v1,6,PB000138_G13,132
v1,6,PB000138_H10,161
v1,6,PB000138_H17,47
v1,6,PB000138_I21,139
v1,6,PB000138_J03,166
v1,6,PB000138_J14,167
v1,6,PB000138_K11,52
v1,6,PB000138_L07,150
v1,6,PB000138_L18,158
v1,6,PB000138_M23,154
v1,6,PB000138_N04,20
v1,6,PB000138_N15,150
v1,6,PB000138_O09,55
v1,6,PB000139_B04,111
v1,6,PB000139_C10,135
v1,6,PB000139_G03,129
v1,6,PB000139_H12,147
v1,6,PB000139_I06,145
v1,6,PB000139_K09,133
v1,6,PB000139_N05,79
v1,6,PB000139_O07,124
v1,6,PB000139_O11,155
v1,6,PB000140_B04,66
v1,6,PB000140_C10,122
v1,6,PB000140_E02,169
v1,6,PB000140_G03,120
v1,6,PB000140_H12,129
v1,6,PB000140_I06,150
v1,6,PB000140_K09,143
v1,6,PB000140_N05,162
v1,6,PB000140_O07,119
v1,6,PB000140_O11,129
v1,7,PB000137_B22,83
v1,7,PB000137_C05,179
v1,7,PB000137_D12,174
v1,7,PB000137_E16,131
v1,7,PB000137_F06,132
v1,7,PB000137_F20,174
v1,7,PB000137_G02,123
v1,7,PB000137_G13,148
v1,7,PB000137_H10,121
v1,7,PB000137_H17,150
v1,7,PB000137_I21,128
v1,7,PB000137_J03,160
v1,7,PB000137_J14,156
v1,7,PB000137_K11,138
v1,7,PB000137_L07,127
v1,7,PB000137_L18,172
v1,7,PB000137_M23,158
v1,7,PB000137_N15,142
v1,7,PB000137_O09,182
v1,7,PB000138_B22,159
v1,7,PB000138_C05,170
v1,7,PB000138_D12,175
v1,7,PB000138_E16,159
v1,7,PB000138_F06,145
v1,7,PB000138_F20,165
v1,7,PB000138_G02,143
v1,7,PB000138_G13,165
v1,7,PB000138_H10,168
v1,7,PB000138_H17,48
v1,7,PB000138_I21,150
v1,7,PB000138_J03,147
v1,7,PB000138_J14,162
v1,7,PB000138_K11,50
v1,7,PB000138_L07,162
v1,7,PB000138_L18,155
v1,7,PB000138_M23,168
v1,7,PB000138_N04,14
v1,7,PB000138_N15,175
v1,7,PB000138_O09,67
v1,7,PB000139_B04,118
v1,7,PB000139_C10,138
v1,7,PB000139_G03,124
v1,7,PB000139_H12,166
v1,7,PB000139_I06,138
v1,7,PB000139_K09,132
v1,7,PB000139_N05,87
v1,7,PB000139_O07,112
v1,7,PB000139_O11,158
v1,7,PB000140_B04,82
v1,7,PB000140_C10,139
v1,7,PB000140_E02,179
v1,7,PB000140_G03,124
v1,7,PB000140_H12,133
v1,7,PB000140_I06,166
v1,7,PB000140_K09,136
v1,7,PB000140_N05,176
v1,7,PB000140_O07,111
v1,7,PB000140_O11,141
v1,8,PB000137_B22,85
v1,8,PB000137_C05,187
v1,8,PB000137_D12,178
v1,8,PB000137_E16,144
v1,8,PB000137_F06,147
v1,8,PB000137_F20,172
v1,8,PB000137_G02,137
v1,8,PB000137_G13,158
v1,8,PB000137_H10,122
v1,8,PB000137_H17,164
v1,8,PB000137_I21,136
v1,8,PB000137_J03,155
v1,8,PB000137_J14,175
v1,8,PB000137_K11,145
v1,8,PB000137_L07,114
v1,8,PB000137_L18,167
v1,8,PB000137_M23,166
v1,8,PB000137_N15,143
v1,8,PB000137_O09,200
v1,8,PB000138_B22,153
v1,8,PB000138_C05,159
v1,8,PB000138_D12,200
v1,8,PB000138_E16,176
v1,8,PB000138_F06,139
v1,8,PB000138_F20,170
v1,8,PB000138_G02,146
v1,8,PB000138_G13,170
v1,8,PB000138_H10,163
v1,8,PB000138_H17,34
v1,8,PB000138_I21,153
v1,8,PB000138_J03,167
v1,8,PB000138_J14,160
v1,8,PB000138_K11,46
v1,8,PB000138_L07,165
v1,8,PB000138_L18,143
v1,8,PB000138_M23,175
v1,8,PB000138_N04,10
v1,8,PB000138_N15,164
v1,8,PB000138_O09,64
v1,8,PB000139_B04,117
v1,8,PB000139_C10,122
v1,8,PB000139_G03,143
v1,8,PB000139_H12,181
v1,8,PB000139_I06,135
v1,8,PB000139_K09,130
v1,8,PB000139_N05,101
v1,8,PB000139_O07,110
v1,8,PB000139_O11,169
v1,8,PB000140_B04,70
v1,8,PB000140_C10,156
v1,8,PB000140_E02,169
v1,8,PB000140_G03,120
v1,8,PB000140_H12,127
v1,8,PB000140_I06,159
v1,8,PB000140_K09,131
v1,8,PB000140_N05,170
v1,8,PB000140_O07,124
v1,8,PB000140_O11,139
v1,9,PB000137_B22,89
v1,9,PB000137_C05,186
v1,9,PB000137_D12,187
v1,9,PB000137_E16,137
v1,9,PB000137_F06,149
v1,9,PB000137_F20,170
v1,9,PB000137_G02,135
v1,9,PB000137_G13,161
v1,9,PB000137_H10,121
v1,9,PB000137_H17,143
v1,9,PB000137_I21,135
v1,9,PB000137_J03,164
v1,9,PB000137_J14,178
v1,9,PB000137_K11,150
v1,9,PB000137_L07,126
v1,9,PB000137_L18,168
v1,9,PB000137_M23,171
v1,9,PB000137_N15,148
v1,9,PB000137_O09,196
v1,9,PB000138_B22,148
v1,9,PB000138_C05,159
v1,9,PB000138_D12,199
v1,9,PB000138_E16,184
v1,9,PB000138_F06,143
v1,9,PB000138_F20,168
v1,9,PB000138_G02,142
v1,9,PB000138_G13,169
v1,9,PB000138_H10,172
v1,9,PB000138_H17,28
v1,9,PB000138_I21,140
v1,9,PB000138_J03,160
v1,9,PB000138_J14,151
v1,9,PB000138_K11,33
v1,9,PB000138_L07,156
v1,9,PB000138_L18,157
v1,9,PB000138_M23,172
v1,9,PB000138_N04,8
v1,9,PB000138_N15,163
v1,9,PB000138_O09,59
v1,9,PB000139_B04,122
v1,9,PB000139_C10,125
v1,9,PB000139_G03,149
v1,9,PB000139_H12,180
v1,9,PB000139_I06,154
v1,9,PB000139_K09,127
v1,9,PB000139_N05,104
v1,9,PB000139_O07,97
v1,9,PB000139_O11,156
v1,9,PB000140_B04,82
v1,9,PB000140_C10,147
v1,9,PB000140_E02,183
v1,9,PB000140_G03,112
v1,9,PB000140_H12,126
v1,9,PB000140_I06,147
v1,9,PB000140_K09,131
v1,9,PB000140_N05,179
v1,9,PB000140_O07,124
v1,9,PB000140_O11,147
v1,10,PB000137_B22,79
v1,10,PB000137_C05,178
v1,10,PB000137_D12,183
v1,10,PB000137_E16,141
v1,10,PB000137_F06,148
v1,10,PB000137_F20,173
v1,10,PB000137_G02,133
v1,10,PB000137_G13,143
v1,10,PB000137_H10,128
v1,10,PB000137_H17,160
v1,10,PB000137_I21,140
v1,10,PB000137_J03,156
v1,10,PB000137_J14,172
v1,10,PB000137_K11,159
v1,10,PB000137_L07,122
v1,10,PB000137_L18,169
v1,10,PB000137_M23,163
v1,10,PB000137_N15,157
v1,10,PB000137_O09,197
v1,10,PB000138_B22,136
v1,10,PB000138_C05,145
v1,10,PB000138_D12,203
v1,10,PB000138_E16,169
v1,10,PB000138_F06,155
v1,10,PB000138_F20,171
v1,10,PB000138_G02,141
v1,10,PB000138_G13,179
v1,10,PB000138_H10,184
v1,10,PB000138_H17,25
v1,10,PB000138_I21,132
v1,10,PB000138_J03,135
v1,10,PB000138_J14,161
v1,10,PB000138_K11,25
v1,10,PB000138_L07,156
v1,10,PB000138_L18,141
v1,10,PB000138_M23,177
v1,10,PB000138_N04,10
v1,10,PB000138_N15,159
v1,10,PB000138_O09,47
v1,10,PB000139_B04,123
v1,10,PB000139_C10,130
v1,10,PB000139_G03,155
v1,10,PB000139_H12,179
v1,10,PB000139_I06,140
v1,10,PB000139_K09,129
v1,10,PB000139_N05,107
v1,10,PB000139_O07,100
v1,10,PB000139_O11,163
v1,10,PB000140_B04,91
v1,10,PB000140_C10,149
v1,10,PB000140_E02,183
v1,10,PB000140_G03,111
v1,10,PB000140_H12,129
v1,10,PB000140_I06,140
v1,10,PB000140_K09,139
v1,10,PB000140_N05,174
v1,10,PB000140_O07,140
v1,10,PB000140_O11,135
v1,11,PB000137_B22,91
v1,11,PB000137_C05,173
v1,11,PB000137_D12,195
v1,11,PB000137_E16,129
v1,11,PB000137_F06,141
v1,11,PB000137_F20,174
v1,11,PB000137_G02,137
v1,11,PB000137_G13,150
v1,11,PB000137_H10,145
v1,11,PB000137_H17,150
v1,11,PB000137_I21,148
v1,11,PB000137_J03,143
v1,11,PB000137_J14,183
v1,11,PB000137_K11,155
v1,11,PB000137_L07,116
v1,11,PB000137_L18,149
v1,11,PB000137_M23,170
v1,11,PB000137_N15,147
v1,11,PB000137_O09,218
v1,11,PB000138_B22,118
v1,11,PB000138_C05,135
v1,11,PB000138_D12,200
v1,11,PB000138_E16,179
v1,11,PB000138_F06,162
v1,11,PB000138_F20,179
v1,11,PB000138_G02,128
v1,11,PB000138_G13,179
v1,11,PB000138_H10,171
v1,11,PB000138_H17,24
v1,11,PB000138_I21,133
v1,11,PB000138_J03,131
v1,11,PB000138_J14,162
v1,11,PB000138_K11,27
v1,11,PB000138_L07,151
v1,11,PB000138_L18,128
v1,11,PB000138_M23,185
v1,11,PB000138_N04,4
v1,11,PB000138_N15,164
v1,11,PB000138_O09,36
v1,11,PB000139_B04,131
v1,11,PB000139_C10,123
v1,11,PB000139_G03,149
v1,11,PB000139_H12,162
v1,11,PB000139_I06,130
v1,11,PB000139_K09,134
v1,11,PB000139_N05,113
v1,11,PB000139_O07,108
v1,11,PB000139_O11,152
v1,11,PB000140_B04,76
v1,11,PB000140_C10,147
v1,11,PB000140_E02,190
v1,11,PB000140_G03,119
v1,11,PB000140_H12,135
v1,11,PB000140_I06,143
v1,11,PB000140_K09,138
v1,11,PB000140_N05,167
v1,11,PB000140_O07,141
v1,11,PB000140_O11,142
v1,12,PB000137_B22,83
v1,12,PB000137_C05,166
v1,12,PB000137_D12,173
v1,12,PB000137_E16,118
v1,12,PB000137_F06,121
v1,12,PB000137_F20,163
v1,12,PB000137_G02,118
v1,12,PB000137_G13,150
v1,12,PB000137_H10,123
v1,12,PB000137_H17,151
v1,12,PB000137_I21,122
v1,12,PB000137_J03,133
v1,12,PB000137_J14,178
v1,12,PB000137_K11,139
v1,12,PB000137_L07,108
v1,12,PB000137_L18,141
v1,12,PB000137_M23,173
v1,12,PB000137_N15,135
v1,12,PB000137_O09,203
v1,12,PB000138_B22,100
v1,12,PB000138_C05,123
v1,12,PB000138_D12,183
v1,12,PB000138_E16,169
v1,12,PB000138_F06,172
v1,12,PB000138_F20,158
v1,12,PB000138_G02,121
v1,12,PB000138_G13,151
v1,12,PB000138_H10,181
v1,12,PB000138_H17,29
v1,12,PB000138_I21,134
v1,12,PB000138_J03,126
v1,12,PB000138_J14,140
v1,12,PB000138_K11,22
v1,12,PB000138_L07,154
v1,12,PB000138_L18,127
v1,12,PB000138_M23,176
v1,12,PB000138_N15,151
v1,12,PB000138_O09,34
v1,12,PB000139_B04,130
v1,12,PB000139_C10,99
v1,12,PB000139_G03,144
v1,12,PB000139_H12,169
v1,12,PB000139_I06,133
v1,12,PB000139_K09,117
v1,12,PB000139_N05,108
v1,12,PB000139_O07,110
v1,12,PB000139_O11,146
v1,12,PB000140_B04,78
v1,12,PB000140_C10,144
v1,12,PB000140_E02,178
v1,12,PB000140_G03,116
v1,12,PB000140_H12,134
v1,12,PB000140_I06,158
v1,12,PB000140_K09,124
v1,12,PB000140_N05,175
v1,12,PB000140_O07,139
v1,12,PB000140_O11,127
