name_y,5Z-7-,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Gefit,Gemci,Linsi,MK-22,Migli,Navit,Oxali,PD032,Pacli,Palbo,Regor,SB216,SN-38,Soraf,Tanes,Tasel,Temoz,Trame,Trifl,Vinor,Vorin,abema
5Z-7-,1.0000000000000018,0.8036147090768252,0.8515075405606618,0.7861738491899937,0.7890260540236471,0.8293981496345952,0.8426028846437617,0.8099113783535474,0.8479583214544583,0.9004384467104335,0.5959316185373104,0.9002567121000649,0.3531284176613442,0.7203098736089034,0.9394725394103007,0.6851972377648825,0.8042476461291084,0.6579524346654708,0.7214458679795328,-0.10349960141019612,0.4589268527117715,0.8112981323935401,0.8915076776004038,0.8280260502857715,0.7518647077087139,0.7063154038267975,0.07644619924226037,0.9049889404292741,0.8580866911262162,0.8693985654629854,0.9099453177978543,0.0509611095770568,0.8794746174923392,0.6598710494498059,0.7984313709419834,0.56575636717985,0.7773304178526607
AMG23,0.8036147090768252,1.0000000000000004,0.8475930293763819,0.6662856373275793,0.7882399954134117,0.803543844631817,0.7378588985854448,0.7666550259895495,0.7187460732792232,0.7978379606401107,0.5755610156353598,0.7714852618955952,0.40103089444292417,0.8099525113733239,0.7963530633137307,0.5716091839709851,0.8047837353875613,0.7079347362755131,0.48731457911890774,-0.08497821398076628,0.5036338215981515,0.7961618149463171,0.7816208485600615,0.7495848919255177,0.8619221451252653,0.6869722666814406,0.07448184475798227,0.9193596557315176,0.8630801015534287,0.8472501391480711,0.8238386095236603,0.15189995731908706,0.7556536219327066,0.702851016973691,0.8821306030575634,0.646696628023417,0.8914274123241877
AZD45,0.8515075405606618,0.8475930293763819,1.0000000000000002,0.5920123594038724,0.8563170519981387,0.8214016424363993,0.6532582689355378,0.7696436609511887,0.6392062194920649,0.8248794569644662,0.6642638071042296,0.7819028250866253,0.20566067331868615,0.7664497017888225,0.8002117353571886,0.6590888711668188,0.7969895351552616,0.6461066266501572,0.5372247945528548,-0.10858443498450668,0.3444827174896257,0.7830017763526838,0.8665935079401754,0.7815146993718527,0.6679292650385944,0.6959041474992143,0.017136144642847708,0.8852808477059914,0.8988829254018889,0.8266398475694041,0.7348998231004286,0.07347547226176092,0.7906593730415914,0.7147807423352991,0.8783082442847212,0.6662711706123804,0.7346957782853382
AZD77,0.7861738491899937,0.6662856373275793,0.5920123594038724,1.0000000000000004,0.6050439421006634,0.7171601711450334,0.8457369749185357,0.6836661635798671,0.8353115057590754,0.8144287448800214,0.43231315341412113,0.8225073429942353,0.49854985572241545,0.6334854471324491,0.7869530118033887,0.5457950090501398,0.8254373213676377,0.6547454535787646,0.8036940359390763,-0.16680240199347632,0.33742827229688416,0.5955753928160923,0.8026673272723284,0.6278999588482183,0.6127363655983584,0.7270270100360349,-0.0017033873775258099,0.764144827198401,0.6484567306121142,0.8471816205748249,0.7432927293144557,0.06542479280995808,0.6682942366838867,0.5266845226481439,0.6724409939592528,0.6555728691064872,0.6597899070760616
AZD80,0.7890260540236471,0.7882399954134117,0.8563170519981387,0.6050439421006634,1.0,0.8444114694677483,0.6401225574019133,0.7431910833687528,0.7421291376656691,0.812449930135031,0.6171358237293283,0.7714312162439374,0.1607349743438945,0.753820009340903,0.7831849367349226,0.7578951495387043,0.815758183345052,0.7534227612056639,0.5590145296031708,0.015807863255928957,0.39328596627573836,0.7839052289995498,0.8439347422451082,0.8133506027159708,0.666225683124009,0.7552433384230441,0.10022276302508708,0.8255084392679755,0.8884123940711527,0.8399974099709278,0.7747419542505212,0.23618058433315225,0.8214083034833685,0.6956808891882764,0.8115896143363086,0.7552596491619137,0.6838379936400485
Adavo,0.8293981496345952,0.803543844631817,0.8214016424363993,0.7171601711450334,0.8444114694677483,1.0000000000000013,0.790392554603353,0.6907951603760429,0.7895564878343473,0.817319862634079,0.5950088029932981,0.8311134866368711,0.3612447986792182,0.7150519342620133,0.7982234847090532,0.7904200891999283,0.9063499019741577,0.6490967516065371,0.6056630937982113,-0.003451213850012083,0.3133516585445556,0.755153285794619,0.8497994646110241,0.8679584740238662,0.7400076017558254,0.8221637625605624,0.22389593136500513,0.8611896561581263,0.8371788891358554,0.9204271450568835,0.7770834248316295,0.2817237407933161,0.909827538691024,0.8001328732735351,0.79671167422649,0.7611240358179403,0.7038096208301317
Afati,0.8426028846437617,0.7378588985854448,0.6532582689355378,0.8457369749185357,0.6401225574019133,0.790392554603353,1.0,0.7459605637478679,0.8681724026851976,0.8461891385580971,0.3440239936830812,0.8644035496243023,0.34882793298439396,0.6620822679688986,0.8495355090713812,0.6101205077182135,0.884350616657583,0.6539049022293447,0.7013024622685082,-0.22040497581407914,0.3970293914747987,0.6107834731136003,0.8553651909520265,0.6841503340397121,0.6961748416614171,0.7758978648672072,0.040228489006234346,0.8400167512730888,0.6599612526306424,0.9126125481991534,0.8220511840233442,0.13171571789647066,0.7352250268809453,0.594417927777834,0.6905387191142429,0.68910857243342,0.7491618873739014
Alpel,0.8099113783535474,0.7666550259895495,0.7696436609511887,0.6836661635798671,0.7431910833687528,0.6907951603760429,0.7459605637478679,1.0000000000000004,0.7438722787501788,0.8201341339387946,0.3248711086874959,0.7965919406834162,0.33330717326681225,0.8701924775257708,0.7923075881215509,0.5977023335303955,0.6941525525420553,0.8007300116484717,0.6265093264558432,-0.11773836915966877,0.719889458862287,0.6486080067851333,0.7308800310495539,0.6314812946928257,0.7139979569359202,0.7515139802708637,0.02009770883401281,0.8080194734323041,0.8256299079434621,0.7488407742864327,0.9000808992994088,0.11117917932965159,0.6627081322599793,0.4591956745536006,0.6895686543953321,0.686401745905832,0.797397513358482
BMS-7,0.8479583214544583,0.7187460732792232,0.6392062194920649,0.8353115057590754,0.7421291376656691,0.7895564878343473,0.8681724026851976,0.7438722787501788,1.000000000000001,0.7805390371807743,0.34632203979886156,0.8073689983218135,0.4430489751018952,0.6595934632535567,0.7849018995956879,0.6320417018827624,0.8602988244169892,0.7695609382628201,0.7195251481640169,-0.2213496585305764,0.4404853121731593,0.5786705965956632,0.8226043057502148,0.6759921892541134,0.7099442696476668,0.7975200004905564,-0.029334815248617623,0.7879897180390569,0.6884608356422022,0.8608612584628375,0.8155491441635458,0.08710667572779371,0.726316257209791,0.6286627841327601,0.6974259489255625,0.8168542359144831,0.7435690507689586
Binim,0.9004384467104335,0.7978379606401107,0.8248794569644662,0.8144287448800214,0.812449930135031,0.817319862634079,0.8461891385580971,0.8201341339387946,0.7805390371807743,1.0000000000000016,0.66601457939143,0.9231849073956929,0.3731626063811457,0.7424899358293746,0.9048426490410002,0.6788220808223449,0.8302317925347378,0.6904072916306345,0.7419723838095542,-0.04721684805776334,0.4645005307364337,0.8674654552897706,0.8987444657626463,0.8924042915273458,0.7472266950522114,0.7578660729187754,0.08847272723744476,0.897185331598043,0.8848130701982355,0.8655079394563405,0.8879801301110744,0.05852024094704826,0.8890398271052762,0.6559366020742718,0.8890874010211398,0.6853061662170368,0.7435402522129084
Borte,0.5959316185373104,0.5755610156353598,0.6642638071042296,0.43231315341412113,0.6171358237293283,0.5950088029932981,0.3440239936830812,0.3248711086874959,0.34632203979886156,0.66601457939143,1.0000000000000002,0.5265774375716611,0.07736659183383168,0.471862928784677,0.5432393279270515,0.4807142789976219,0.6770589633532993,0.284567580482505,0.28096548702010243,-0.13309724611266915,0.039943126323227336,0.6667038742044251,0.649506973159,0.7121770908567464,0.3585434520179754,0.3754255368370819,0.12385504851418688,0.6023372653613137,0.606415358032409,0.6172338201041043,0.44042538257102987,0.1877170711442676,0.6162969044807585,0.7441526982751766,0.7739593148323887,0.4724629078471453,0.54608088955971
