,Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um,total_per_spheroid
319,PB000142_N04,2,HT29,48.0,61.0,181078,PB000142,N04,10,1007.0
320,PB000138_F06,2,HCT116,43.0,53.0,133664,PB000138,F06,10,1383.0
321,PB000139_I17,2,HT29,58.0,70.0,192738,PB000139,I17,10,889.0
322,PB000138_C05,2,HCT116,78.0,90.0,257444,PB000138,C05,10,1564.0
323,PB000139_E13,2,HT29,36.0,45.0,150884,PB000139,E13,10,1102.0
324,PB000138_K11,2,HCT116,24.0,29.0,76000,PB000138,K11,10,447.0
325,PB000141_L18,2,HT29,40.0,48.0,151307,PB000141,L18,10,1036.0
326,PB000137_M23,2,HCT116,56.0,64.0,194291,PB000137,M23,10,1559.0
327,PB000140_O22,2,HT29,36.0,44.0,129492,PB000140,O22,10,821.0
328,PB000141_G02,2,HT29,51.0,60.5,213972,PB000141,G02,10,1022.0
329,PB000142_N15,2,HT29,45.0,50.0,168003,PB000142,N15,10,941.0
330,PB000142_J14,2,HT29,37.0,43.0,149582,PB000142,J14,10,810.0
331,PB000139_G03,2,HCT116,61.0,73.0,200058,PB000139,G03,10,1422.0
332,PB000138_F20,2,HCT116,58.0,67.0,174258,PB000138,F20,10,1585.0
333,PB000138_N15,2,HCT116,90.0,109.0,274506,PB000138,N15,10,1713.0
334,PB000141_D12,2,HT29,27.0,33.5,113240,PB000141,D12,10,977.0
335,PB000142_D12,2,HT29,45.0,48.0,179780,PB000142,D12,10,1098.0
336,PB000137_I21,2,HCT116,62.0,69.0,160416,PB000137,I21,10,1320.0
337,PB000142_K11,2,HT29,44.0,48.0,178281,PB000142,K11,10,970.0
338,PB000139_H23,3,HT29,21.0,27.0,92146,PB000139,H23,15,333.0
339,PB000142_B22,3,HT29,42.0,53.0,160489,PB000142,B22,15,609.0
340,PB000137_H10,3,HCT116,48.0,66.0,144491,PB000137,H10,15,1161.0
341,PB000139_I06,3,HCT116,106.0,126.0,323902,PB000139,I06,15,1525.0
342,PB000138_F20,3,HCT116,82.0,97.0,246643,PB000138,F20,15,1585.0
343,PB000140_G14,3,HT29,59.0,76.0,238741,PB000140,G14,15,1316.0
344,PB000137_G02,3,HCT116,71.0,99.0,204920,PB000137,G02,15,1310.0
345,PB000138_D12,3,HCT116,77.0,109.0,268175,PB000138,D12,15,1785.0
346,PB000139_O22,3,HT29,68.0,81.0,248838,PB000139,O22,15,911.0
347,PB000141_H17,3,HT29,64.0,79.5,222945,PB000141,H17,15,1074.0
348,PB000137_O09,3,HCT116,108.0,130.0,333920,PB000137,O09,15,1928.0
349,PB000139_B15,3,HT29,34.0,46.0,131373,PB000139,B15,15,897.0
350,PB000138_I21,3,HCT116,87.0,108.0,281178,PB000138,I21,15,1440.0
351,PB000137_F20,3,HCT116,107.0,133.0,304954,PB000137,F20,15,1721.0
352,PB000139_K09,3,HCT116,77.0,105.0,244514,PB000139,K09,15,1341.0
353,PB000140_K20,3,HT29,51.0,66.0,216738,PB000140,K20,15,1061.0
354,PB000140_O18,3,HT29,70.0,85.0,268987,PB000140,O18,15,1011.0
355,PB000137_M23,3,HCT116,80.0,104.0,264159,PB000137,M23,15,1559.0
356,PB000138_B22,3,HCT116,118.0,149.0,349046,PB000138,B22,15,1588.0
357,PB000140_E02,3,HCT116,110.0,130.0,369567,PB000140,E02,15,1830.0
358,PB000142_J03,3,HT29,16.0,20.0,70802,PB000142,J03,15,254.0
359,PB000142_I21,3,HT29,34.0,48.0,131725,PB000142,I21,15,486.0
360,PB000140_H23,3,HT29,73.0,86.0,258646,PB000140,H23,15,1092.0
361,PB000138_H10,3,HCT116,115.0,137.0,337761,PB000138,H10,15,1739.0
362,PB000141_D12,3,HT29,41.0,48.5,163902,PB000141,D12,15,977.0
363,PB000139_N16,3,HT29,40.0,50.0,176322,PB000139,N16,15,930.0
364,PB000140_G03,3,HCT116,85.0,110.0,264763,PB000140,G03,15,1262.0
365,PB000139_I17,3,HT29,58.0,75.0,216818,PB000139,I17,15,889.0
366,PB000138_C05,3,HCT116,98.0,118.0,310997,PB000138,C05,15,1564.0
367,PB000142_H17,3,HT29,44.0,55.5,152922,PB000142,H17,15,484.0
368,PB000139_E13,3,HT29,61.0,79.0,218768,PB000139,E13,15,1102.0
369,PB000137_J14,3,HCT116,60.0,76.0,191689,PB000137,J14,15,1549.0
370,PB000138_J03,3,HCT116,134.0,167.5,386015,PB000138,J03,15,1666.0
371,PB000140_N05,3,HCT116,98.0,121.0,346354,PB000140,N05,15,1727.0
372,PB000142_F06,3,HT29,56.0,69.0,211832,PB000142,F06,15,915.0
373,PB000140_C10,3,HCT116,77.0,95.0,254220,PB000140,C10,15,1394.0
374,PB000142_O09,3,HT29,43.0,48.0,168461,PB000142,O09,15,789.0
375,PB000139_O18,3,HT29,52.0,65.0,196686,PB000139,O18,15,701.0
376,PB000141_G02,3,HT29,58.0,78.5,245852,PB000141,G02,15,1022.0
377,PB000138_N15,3,HCT116,116.0,149.0,341276,PB000138,N15,15,1713.0
378,PB000140_O22,3,HT29,50.0,60.5,190101,PB000140,O22,15,821.0
379,PB000139_C21,3,HT29,29.0,36.0,122834,PB000139,C21,15,542.0
380,PB000139_C10,3,HCT116,78.0,95.0,227637,PB000139,C10,15,1344.0
381,PB000139_O07,3,HCT116,84.0,109.0,277235,PB000139,O07,15,1220.0
382,PB000138_G02,3,HCT116,106.0,138.5,346055,PB000138,G02,15,1540.0
383,PB000137_E16,3,HCT116,94.0,119.0,273096,PB000137,E16,15,1422.0
384,PB000141_G13,3,HT29,73.0,91.0,248742,PB000141,G13,15,1164.0
385,PB000141_J14,3,HT29,42.0,52.0,154393,PB000141,J14,15,889.0
386,PB000138_J14,3,HCT116,106.0,125.0,343600,PB000138,J14,15,1641.0
387,PB000142_L18,3,HT29,47.0,64.0,174739,PB000142,L18,15,743.0
388,PB000138_F06,3,HCT116,68.0,85.5,200189,PB000138,F06,15,1383.0
389,PB000137_N15,3,HCT116,74.0,90.0,218939,PB000137,N15,15,1383.0
390,PB000139_N05,3,HCT116,49.0,59.0,152799,PB000139,N05,15,975.0
391,PB000140_H12,3,HCT116,97.0,118.0,312664,PB000140,H12,15,1359.0
392,PB000141_H10,3,HT29,40.0,45.0,152114,PB000141,H10,15,634.0
393,PB000141_L18,3,HT29,55.0,70.0,205935,PB000141,L18,15,1036.0
394,PB000141_F06,3,HT29,53.0,63.0,214482,PB000141,F06,15,1068.0
395,PB000141_K11,3,HT29,60.0,76.0,232265,PB000141,K11,15,1102.0
396,PB000138_G13,3,HCT116,75.0,93.0,232742,PB000138,G13,15,1541.0
397,PB000137_J03,3,HCT116,105.0,133.0,329323,PB000137,J03,15,1619.0
398,PB000142_M23,3,HT29,30.0,38.0,114326,PB000142,M23,15,678.0
399,PB000142_E16,3,HT29,29.0,41.5,117266,PB000142,E16,15,528.0
400,PB000142_H10,3,HT29,44.0,56.5,148679,PB000142,H10,15,661.0
401,PB000139_O11,3,HCT116,84.0,98.0,265825,PB000139,O11,15,1527.0
402,PB000138_L07,3,HCT116,80.0,100.0,249876,PB000138,L07,15,1531.0
403,PB000138_M23,3,HCT116,91.0,108.0,290510,PB000138,M23,15,1644.0
404,PB000140_K09,3,HCT116,118.0,151.5,355960,PB000140,K09,15,1513.0
405,PB000142_F20,3,HT29,50.0,59.0,189696,PB000142,F20,15,851.0
406,PB000138_H17,3,HCT116,54.0,75.0,159758,PB000138,H17,15,522.0
407,PB000141_I21,3,HT29,61.0,73.0,197831,PB000141,I21,15,955.0
408,PB000140_I06,3,HCT116,103.0,122.0,317934,PB000140,I06,15,1621.0
409,PB000140_I17,3,HT29,42.0,47.0,166207,PB000140,I17,15,903.0
410,PB000140_B15,3,HT29,38.0,41.0,121575,PB000140,B15,15,596.0
411,PB000137_L18,3,HCT116,133.0,162.0,410636,PB000137,L18,15,1787.0
412,PB000137_I21,3,HCT116,69.0,84.0,207435,PB000137,I21,15,1320.0
413,PB000140_O07,3,HCT116,70.0,89.0,259639,PB000140,O07,15,1257.0
414,PB000140_O11,3,HCT116,118.0,151.0,378585,PB000140,O11,15,1553.0
415,PB000142_G13,3,HT29,47.0,58.0,178200,PB000142,G13,15,898.0
416,PB000141_O09,3,HT29,76.0,88.0,288990,PB000141,O09,15,1362.0
417,PB000138_L18,3,HCT116,139.0,172.5,429203,PB000138,L18,15,1728.0
418,PB000142_L07,3,HT29,64.0,79.0,231820,PB000142,L07,15,792.0
419,PB000141_B22,3,HT29,11.0,13.0,37289,PB000141,B22,15,131.0
420,PB000142_J14,3,HT29,51.0,62.0,202038,PB000142,J14,15,810.0
421,PB000142_N04,3,HT29,59.0,73.0,222503,PB000142,N04,15,1007.0
422,PB000137_C05,3,HCT116,124.0,153.0,395727,PB000137,C05,15,1949.0
423,PB000139_G14,3,HT29,69.0,85.0,240328,PB000139,G14,15,1127.0
424,PB000141_M23,3,HT29,50.0,64.5,204025,PB000141,M23,15,945.0
425,PB000142_K11,3,HT29,61.0,70.0,233800,PB000142,K11,15,970.0
426,PB000138_E16,3,HCT116,65.0,80.0,216156,PB000138,E16,15,1514.0
427,PB000140_B04,3,HCT116,59.0,73.0,186950,PB000140,B04,15,855.0
428,PB000139_B04,3,HCT116,59.0,73.0,184502,PB000139,B04,15,1173.0
429,PB000137_K11,3,HCT116,73.0,87.0,239733,PB000137,K11,15,1401.0
430,PB000139_H12,3,HCT116,88.0,112.0,285749,PB000139,H12,15,1663.0
431,PB000137_G13,3,HCT116,117.0,143.0,338101,PB000137,G13,15,1660.0
432,PB000140_N16,3,HT29,58.0,63.0,215773,PB000140,N16,15,986.0
433,PB000141_L07,3,HT29,56.0,73.0,200553,PB000141,L07,15,826.0
434,PB000141_N15,3,HT29,55.0,65.5,215061,PB000141,N15,15,1083.0
435,PB000138_N04,3,HCT116,15.0,22.5,53905,PB000138,N04,15,141.0
436,PB000140_E13,3,HT29,85.0,101.0,319443,PB000140,E13,15,1352.0
437,PB000139_K20,3,HT29,47.0,55.0,155168,PB000139,K20,15,524.0
438,PB000142_C05,3,HT29,15.0,21.0,55664,PB000142,C05,15,216.0
439,PB000137_L07,3,HCT116,113.0,147.0,346631,PB000137,L07,15,1401.0
440,PB000138_O09,3,HCT116,42.0,49.0,130458,PB000138,O09,15,558.0
441,PB000137_F06,3,HCT116,77.0,91.0,217749,PB000137,F06,15,1377.0
442,PB000137_B22,3,HCT116,71.0,87.0,239893,PB000137,B22,15,946.0
443,PB000137_D12,3,HCT116,115.0,137.5,339960,PB000137,D12,15,1813.0
444,PB000142_N15,3,HT29,58.0,72.0,204512,PB000142,N15,15,941.0
445,PB000139_G03,3,HCT116,86.0,108.0,276811,PB000139,G03,15,1422.0
446,PB000142_D12,3,HT29,60.0,75.0,248922,PB000142,D12,15,1098.0
447,PB000137_H17,3,HCT116,71.0,88.0,214586,PB000137,H17,15,1431.0
448,PB000141_E16,3,HT29,54.0,75.0,217343,PB000141,E16,15,961.0
449,PB000141_C05,3,HT29,70.0,82.0,267226,PB000141,C05,15,1062.0
450,PB000138_K11,3,HCT116,40.0,46.0,115340,PB000138,K11,15,447.0
451,PB000139_I06,4,HCT116,119.0,144.0,362879,PB000139,I06,20,1525.0
452,PB000138_B22,4,HCT116,138.0,167.0,421325,PB000138,B22,20,1588.0
453,PB000140_H23,4,HT29,82.0,100.0,285551,PB000140,H23,20,1092.0
454,PB000137_F06,4,HCT116,104.0,120.0,305602,PB000137,F06,20,1377.0
455,PB000138_D12,4,HCT116,121.0,148.0,380808,PB000138,D12,20,1785.0
456,PB000137_J14,4,HCT116,97.0,121.0,293987,PB000137,J14,20,1549.0
457,PB000140_O07,4,HCT116,95.0,115.0,331795,PB000140,O07,20,1257.0
458,PB000139_C21,4,HT29,34.0,43.5,147331,PB000139,C21,20,542.0
459,PB000142_G13,4,HT29,59.0,68.0,233619,PB000142,G13,20,898.0
460,PB000139_O18,4,HT29,51.0,63.0,196950,PB000139,O18,20,701.0
461,PB000141_O09,4,HT29,88.0,114.0,332719,PB000141,O09,20,1362.0
462,PB000139_K20,4,HT29,47.0,55.0,159278,PB000139,K20,20,524.0
463,PB000138_M23,4,HCT116,109.0,130.5,343089,PB000138,M23,20,1644.0
464,PB000140_K20,4,HT29,71.0,88.0,272259,PB000140,K20,20,1061.0
465,PB000138_G02,4,HCT116,127.0,159.0,386437,PB000138,G02,20,1540.0
466,PB000141_J14,4,HT29,59.0,73.0,213025,PB000141,J14,20,889.0
467,PB000137_M23,4,HCT116,103.0,131.0,330129,PB000137,M23,20,1559.0
468,PB000141_D12,4,HT29,65.0,79.0,252432,PB000141,D12,20,977.0
469,PB000138_K11,4,HCT116,45.0,65.0,129319,PB000138,K11,20,447.0
470,PB000138_H10,4,HCT116,134.0,175.0,418066,PB000138,H10,20,1739.0
471,PB000142_H10,4,HT29,46.0,60.5,169896,PB000142,H10,20,661.0
472,PB000142_B22,4,HT29,50.0,63.0,186747,PB000142,B22,20,609.0
473,PB000138_C05,4,HCT116,120.0,143.0,369189,PB000138,C05,20,1564.0
474,PB000139_G03,4,HCT116,104.0,135.0,327275,PB000139,G03,20,1422.0
475,PB000139_B15,4,HT29,46.0,58.0,184834,PB000139,B15,20,897.0
476,PB000140_O22,4,HT29,61.0,78.0,236790,PB000140,O22,20,821.0
477,PB000141_B22,4,HT29,12.0,15.0,43603,PB000141,B22,20,131.0
478,PB000138_E16,4,HCT116,93.0,110.0,290034,PB000138,E16,20,1514.0
479,PB000139_N16,4,HT29,60.0,75.0,231680,PB000139,N16,20,930.0
480,PB000137_F20,4,HCT116,129.0,160.5,367588,PB000137,F20,20,1721.0
481,PB000140_N05,4,HCT116,133.0,163.0,440724,PB000140,N05,20,1727.0
482,PB000140_B15,4,HT29,43.0,52.0,140185,PB000140,B15,20,596.0
483,PB000140_O11,4,HCT116,127.0,156.0,397574,PB000140,O11,20,1553.0
484,PB000142_F06,4,HT29,65.0,80.0,258302,PB000142,F06,20,915.0
485,PB000137_L18,4,HCT116,154.0,190.0,471566,PB000137,L18,20,1787.0
486,PB000142_I21,4,HT29,38.0,55.0,145705,PB000142,I21,20,486.0
487,PB000137_K11,4,HCT116,91.0,115.0,297871,PB000137,K11,20,1401.0
488,PB000142_K11,4,HT29,65.0,79.0,247850,PB000142,K11,20,970.0
489,PB000142_E16,4,HT29,40.0,52.0,143547,PB000142,E16,20,528.0
490,PB000139_O07,4,HCT116,98.0,119.0,305288,PB000139,O07,20,1220.0
491,PB000137_N15,4,HCT116,91.0,111.0,277311,PB000137,N15,20,1383.0
492,PB000140_H12,4,HCT116,110.0,140.0,362554,PB000140,H12,20,1359.0
493,PB000141_H17,4,HT29,65.0,81.0,247734,PB000141,H17,20,1074.0
494,PB000138_G13,4,HCT116,99.0,113.0,318439,PB000138,G13,20,1541.0
495,PB000137_G02,4,HCT116,99.0,125.0,290447,PB000137,G02,20,1310.0
496,PB000137_H10,4,HCT116,73.0,87.0,219587,PB000137,H10,20,1161.0
497,PB000141_F06,4,HT29,72.0,82.5,265444,PB000141,F06,20,1068.0
498,PB000142_J03,4,HT29,20.0,28.0,85276,PB000142,J03,20,254.0
499,PB000138_N15,4,HCT116,136.0,158.0,409069,PB000138,N15,20,1713.0
500,PB000137_L07,4,HCT116,119.0,158.0,377844,PB000137,L07,20,1401.0
501,PB000139_K09,4,HCT116,109.0,140.5,332166,PB000139,K09,20,1341.0
502,PB000138_N04,4,HCT116,18.0,23.0,62072,PB000138,N04,20,141.0
503,PB000140_I06,4,HCT116,125.0,167.0,396152,PB000140,I06,20,1621.0
504,PB000140_C10,4,HCT116,99.0,117.0,300117,PB000140,C10,20,1394.0
505,PB000141_E16,4,HT29,70.0,89.0,258119,PB000141,E16,20,961.0
506,PB000139_C10,4,HCT116,108.0,136.0,304084,PB000139,C10,20,1344.0
507,PB000137_H17,4,HCT116,90.0,107.0,276744,PB000137,H17,20,1431.0
508,PB000137_B22,4,HCT116,80.0,95.0,241915,PB000137,B22,20,946.0
509,PB000141_K11,4,HT29,74.0,95.5,278659,PB000141,K11,20,1102.0
510,PB000140_O18,4,HT29,72.0,92.0,288008,PB000140,O18,20,1011.0
511,PB000142_H17,4,HT29,47.0,61.333333333333336,159305,PB000142,H17,20,484.0
512,PB000139_E13,4,HT29,90.0,104.0,296053,PB000139,E13,20,1102.0
513,PB000141_G13,4,HT29,73.0,96.0,286727,PB000141,G13,20,1164.0
514,PB000141_L18,4,HT29,74.0,89.0,257587,PB000141,L18,20,1036.0
515,PB000141_L07,4,HT29,65.0,74.0,246027,PB000141,L07,20,826.0
516,PB000142_L07,4,HT29,71.0,97.0,245422,PB000142,L07,20,792.0
517,PB000137_G13,4,HCT116,135.0,182.0,375013,PB000137,G13,20,1660.0
518,PB000140_I17,4,HT29,44.0,58.0,185123,PB000140,I17,20,903.0
519,PB000139_G14,4,HT29,72.0,88.0,251198,PB000139,G14,20,1127.0
520,PB000141_N15,4,HT29,73.0,84.0,270135,PB000141,N15,20,1083.0
521,PB000140_B04,4,HCT116,60.0,67.0,191803,PB000140,B04,20,855.0
522,PB000137_J03,4,HCT116,128.0,149.0,371732,PB000137,J03,20,1619.0
523,PB000137_O09,4,HCT116,136.0,177.0,408712,PB000137,O09,20,1928.0
524,PB000142_O09,4,HT29,56.0,65.0,212223,PB000142,O09,20,789.0
525,PB000138_L07,4,HCT116,111.0,146.5,339606,PB000138,L07,20,1531.0
526,PB000138_J14,4,HCT116,137.0,164.0,417646,PB000138,J14,20,1641.0
527,PB000140_E02,4,HCT116,143.0,173.0,451473,PB000140,E02,20,1830.0
528,PB000142_D12,4,HT29,72.0,88.5,292034,PB000142,D12,20,1098.0
529,PB000138_J03,4,HCT116,154.0,188.0,466570,PB000138,J03,20,1666.0
530,PB000140_E13,4,HT29,99.0,127.0,380875,PB000140,E13,20,1352.0
531,PB000141_M23,4,HT29,72.0,88.0,255135,PB000141,M23,20,945.0
532,PB000141_I21,4,HT29,73.0,90.0,237744,PB000141,I21,20,955.0
533,PB000139_O22,4,HT29,65.0,91.0,253882,PB000139,O22,20,911.0
534,PB000138_H17,4,HCT116,59.0,74.0,163489,PB000138,H17,20,522.0
535,PB000142_J14,4,HT29,61.0,80.66666666666667,235448,PB000142,J14,20,810.0
536,PB000139_N05,4,HCT116,56.0,73.0,164865,PB000139,N05,20,975.0
537,PB000137_I21,4,HCT116,83.0,102.0,240374,PB000137,I21,20,1320.0
538,PB000140_N16,4,HT29,61.0,74.0,231547,PB000140,N16,20,986.0
539,PB000138_O09,4,HCT116,43.0,55.0,152715,PB000138,O09,20,558.0
540,PB000139_O11,4,HCT116,110.0,134.0,356950,PB000139,O11,20,1527.0
541,PB000142_N04,4,HT29,68.0,93.0,258663,PB000142,N04,20,1007.0
542,PB000140_G03,4,HCT116,101.0,129.0,316540,PB000140,G03,20,1262.0
543,PB000139_H23,4,HT29,24.0,31.0,97899,PB000139,H23,20,333.0
544,PB000141_G02,4,HT29,79.0,104.0,292098,PB000141,G02,20,1022.0
545,PB000137_D12,4,HCT116,134.0,160.0,404181,PB000137,D12,20,1813.0
546,PB000142_M23,4,HT29,37.0,49.5,138283,PB000142,M23,20,678.0
547,PB000141_C05,4,HT29,75.0,94.0,286541,PB000141,C05,20,1062.0
548,PB000141_H10,4,HT29,50.0,58.5,184929,PB000141,H10,20,634.0
549,PB000142_C05,4,HT29,20.0,27.0,68600,PB000142,C05,20,216.0
550,PB000139_I17,4,HT29,64.0,87.0,258017,PB000139,I17,20,889.0
551,PB000142_L18,4,HT29,49.0,66.5,185130,PB000142,L18,20,743.0
552,PB000138_L18,4,HCT116,154.0,201.0,476734,PB000138,L18,20,1728.0
553,PB000137_E16,4,HCT116,113.0,139.0,328469,PB000137,E16,20,1422.0
554,PB000137_C05,4,HCT116,162.0,201.0,486288,PB000137,C05,20,1949.0
555,PB000138_F06,4,HCT116,88.0,102.0,260223,PB000138,F06,20,1383.0
556,PB000142_N15,4,HT29,64.0,83.0,244301,PB000142,N15,20,941.0
557,PB000138_I21,4,HCT116,113.0,142.0,346329,PB000138,I21,20,1440.0
558,PB000139_H12,4,HCT116,111.0,145.0,394206,PB000139,H12,20,1663.0
559,PB000142_F20,4,HT29,59.0,74.0,232177,PB000142,F20,20,851.0
560,PB000138_F20,4,HCT116,106.0,129.5,323414,PB000138,F20,20,1585.0
561,PB000140_K09,4,HCT116,122.0,156.5,379731,PB000140,K09,20,1513.0
562,PB000140_G14,4,HT29,79.0,99.0,308309,PB000140,G14,20,1316.0
563,PB000139_B04,4,HCT116,77.0,103.0,236197,PB000139,B04,20,1173.0
564,PB000140_O11,5,HCT116,136.0,179.0,441517,PB000140,O11,25,1553.0
565,PB000139_B04,5,HCT116,95.0,122.0,272822,PB000139,B04,25,1173.0
566,PB000142_L18,5,HT29,59.0,76.0,209211,PB000142,L18,25,743.0
567,PB000142_N15,5,HT29,74.0,89.0,292004,PB000142,N15,25,941.0
568,PB000137_O09,5,HCT116,160.0,207.0,486851,PB000137,O09,25,1928.0
569,PB000138_N15,5,HCT116,155.0,190.5,449416,PB000138,N15,25,1713.0
570,PB000139_N16,5,HT29,77.0,100.0,271281,PB000139,N16,25,930.0
571,PB000142_L07,5,HT29,76.0,92.0,255951,PB000142,L07,25,792.0
572,PB000138_H17,5,HCT116,51.0,69.0,148782,PB000138,H17,25,522.0
573,PB000141_I21,5,HT29,75.0,102.5,268093,PB000141,I21,25,955.0
574,PB000142_B22,5,HT29,53.0,67.5,200501,PB000142,B22,25,609.0
575,PB000142_K11,5,HT29,76.0,96.0,292559,PB000142,K11,25,970.0
576,PB000138_N04,5,HCT116,17.0,21.0,61846,PB000138,N04,25,141.0
577,PB000138_B22,5,HCT116,142.0,171.0,435673,PB000138,B22,25,1588.0
578,PB000140_B15,5,HT29,45.0,53.0,147304,PB000140,B15,25,596.0
579,PB000139_O11,5,HCT116,130.0,157.0,406755,PB000139,O11,25,1527.0
580,PB000137_J03,5,HCT116,148.0,185.0,452628,PB000137,J03,25,1619.0
581,PB000138_D12,5,HCT116,150.0,191.0,446950,PB000138,D12,25,1785.0
582,PB000137_E16,5,HCT116,117.0,153.5,347257,PB000137,E16,25,1422.0
583,PB000138_G02,5,HCT116,158.0,182.0,452496,PB000138,G02,25,1540.0
584,PB000140_K09,5,HCT116,141.0,192.0,429499,PB000140,K09,25,1513.0
585,PB000141_G13,5,HT29,95.0,116.0,322535,PB000141,G13,25,1164.0
586,PB000139_C10,5,HCT116,131.0,162.0,359796,PB000139,C10,25,1344.0
587,PB000138_M23,5,HCT116,127.0,155.0,386703,PB000138,M23,25,1644.0
588,PB000140_H12,5,HCT116,111.0,156.5,351574,PB000140,H12,25,1359.0
589,PB000140_K20,5,HT29,75.0,102.0,289518,PB000140,K20,25,1061.0
590,PB000138_E16,5,HCT116,114.0,133.5,349524,PB000138,E16,25,1514.0
591,PB000137_J14,5,HCT116,118.0,147.0,358900,PB000137,J14,25,1549.0
592,PB000137_G02,5,HCT116,112.0,144.0,331665,PB000137,G02,25,1310.0
593,PB000138_L07,5,HCT116,137.0,175.0,410691,PB000138,L07,25,1531.0
594,PB000139_I17,5,HT29,72.0,89.5,283737,PB000139,I17,25,889.0
595,PB000139_E13,5,HT29,97.0,118.0,337770,PB000139,E13,25,1102.0
596,PB000139_C21,5,HT29,54.0,66.0,213198,PB000139,C21,25,542.0
597,PB000137_L07,5,HCT116,126.0,161.0,389913,PB000137,L07,25,1401.0
598,PB000142_M23,5,HT29,43.0,60.0,172153,PB000142,M23,25,678.0
599,PB000141_E16,5,HT29,77.0,105.0,282924,PB000141,E16,25,961.0
600,PB000142_J14,5,HT29,61.0,76.0,229999,PB000142,J14,25,810.0
601,PB000138_G13,5,HCT116,111.0,144.0,362140,PB000138,G13,25,1541.0
602,PB000141_D12,5,HT29,76.0,91.0,279465,PB000141,D12,25,977.0
603,PB000140_I06,5,HCT116,133.0,186.0,427618,PB000140,I06,25,1621.0
604,PB000139_O07,5,HCT116,114.0,150.0,352602,PB000139,O07,25,1220.0
605,PB000139_O22,5,HT29,72.0,94.0,262042,PB000139,O22,25,911.0
606,PB000140_E13,5,HT29,104.0,130.5,399710,PB000140,E13,25,1352.0
607,PB000137_G13,5,HCT116,149.0,201.0,434702,PB000137,G13,25,1660.0
608,PB000137_H10,5,HCT116,89.0,102.0,272858,PB000137,H10,25,1161.0
609,PB000138_O09,5,HCT116,50.0,62.0,172871,PB000138,O09,25,558.0
610,PB000142_E16,5,HT29,47.0,60.0,155367,PB000142,E16,25,528.0
611,PB000139_H12,5,HCT116,134.0,163.5,467729,PB000139,H12,25,1663.0
612,PB000141_L07,5,HT29,61.0,87.0,252294,PB000141,L07,25,826.0
613,PB000137_C05,5,HCT116,167.0,212.0,543730,PB000137,C05,25,1949.0
614,PB000140_O18,5,HT29,68.0,98.0,295021,PB000140,O18,25,1011.0
615,PB000137_F06,5,HCT116,120.0,150.0,355742,PB000137,F06,25,1377.0
616,PB000141_G02,5,HT29,80.0,112.0,304622,PB000141,G02,25,1022.0
617,PB000141_B22,5,HT29,17.0,22.5,65723,PB000141,B22,25,131.0
618,PB000137_F20,5,HCT116,147.0,199.0,418982,PB000137,F20,25,1721.0
619,PB000142_H17,5,HT29,42.0,55.666666666666664,140522,PB000142,H17,25,484.0
620,PB000140_E02,5,HCT116,164.0,191.5,485613,PB000140,E02,25,1830.0
621,PB000141_H10,5,HT29,52.0,71.5,197707,PB000141,H10,25,634.0
622,PB000137_I21,5,HCT116,105.0,140.0,281827,PB000137,I21,25,1320.0
623,PB000142_O09,5,HT29,58.0,77.0,243173,PB000142,O09,25,789.0
624,PB000141_K11,5,HT29,85.0,112.5,311504,PB000141,K11,25,1102.0
625,PB000137_H17,5,HCT116,121.0,149.0,359384,PB000137,H17,25,1431.0
626,PB000138_K11,5,HCT116,50.0,62.0,150236,PB000138,K11,25,447.0
627,PB000139_K20,5,HT29,44.0,55.0,148095,PB000139,K20,25,524.0
628,PB000138_I21,5,HCT116,128.0,179.0,394184,PB000138,I21,25,1440.0
629,PB000138_C05,5,HCT116,132.0,163.0,434170,PB000138,C05,25,1564.0
630,PB000142_C05,5,HT29,23.0,29.0,86186,PB000142,C05,25,216.0
631,PB000140_G14,5,HT29,99.0,121.0,359421,PB000140,G14,25,1316.0
632,PB000141_N15,5,HT29,75.0,95.0,283246,PB000141,N15,25,1083.0
633,PB000140_I17,5,HT29,61.0,86.0,223651,PB000140,I17,25,903.0
634,PB000139_O18,5,HT29,57.0,81.0,227412,PB000139,O18,25,701.0
635,PB000140_O22,5,HT29,72.0,91.0,263394,PB000140,O22,25,821.0
636,PB000141_F06,5,HT29,84.0,104.0,307044,PB000141,F06,25,1068.0
637,PB000138_F06,5,HCT116,111.0,124.0,344679,PB000138,F06,25,1383.0
638,PB000141_H17,5,HT29,75.0,101.0,286363,PB000141,H17,25,1074.0
639,PB000142_H10,5,HT29,47.0,63.0,158364,PB000142,H10,25,661.0
640,PB000138_J14,5,HCT116,159.0,197.0,471237,PB000138,J14,25,1641.0
641,PB000138_H10,5,HCT116,141.0,187.0,435170,PB000138,H10,25,1739.0
642,PB000139_B15,5,HT29,60.0,71.0,229503,PB000139,B15,25,897.0
643,PB000139_G03,5,HCT116,121.0,150.5,382823,PB000139,G03,25,1422.0
644,PB000138_J03,5,HCT116,153.0,181.0,466692,PB000138,J03,25,1666.0
645,PB000141_M23,5,HT29,77.0,93.0,275252,PB000141,M23,25,945.0
646,PB000138_F20,5,HCT116,129.0,167.5,404934,PB000138,F20,25,1585.0
647,PB000141_J14,5,HT29,71.0,86.0,252303,PB000141,J14,25,889.0
