barcode,well,plane,depth_um,seg_type,cell_line,treatment,binary_iou,instance_iou,n_objects,depth_bin
PB000140,G05,7,35,cell,HCT116,binimetinib,0.29113394781833046,,18,20-40µm
PB000139,G08,1,5,cell,HCT116,abemaciclib,0.7708209048405222,,27,0-20µm
PB000139,J06,5,25,cell,HCT116,SN-38,0.41862287148056687,,26,20-40µm
PB000137,D12,7,35,cell,HCT116,DMSO,0.7867144981193166,,224,20-40µm
PB000141,M23,3,15,nuclei,HT29,DMSO,0.6798941249021279,,60,0-20µm
PB000140,J17,7,35,nuclei,HT29,SN-38,0.5890993410719431,,61,20-40µm
PB000139,C12,3,15,nuclei,HT29,SN-38,0.6420991026141241,,40,0-20µm
PB000140,D22,7,35,cell,HT29,binimetinib,0.3967002113631345,,18,20-40µm
PB000141,M23,11,55,nuclei,HT29,DMSO,0.5766436572625999,,88,40-60µm
PB000139,C12,11,55,nuclei,HT29,SN-38,0.2810305672296327,,9,40-60µm
PB000140,I13,3,15,cell,HT29,binimetinib,0.40152521621340004,,48,0-20µm
PB000140,G19,7,35,nuclei,HT29,abemaciclib,0.7979396187624305,,63,20-40µm
PB000139,J06,1,5,nuclei,HCT116,SN-38,0.6394855895472809,,15,0-20µm
PB000139,D11,11,55,cell,HCT116,binimetinib,0.574229283579914,,8,40-60µm
PB000139,J15,3,15,cell,HT29,abemaciclib,0.7627001752346583,,46,0-20µm
PB000141,M23,9,45,cell,HT29,DMSO,0.48784718207257,,72,40-60µm
PB000140,H23,1,5,cell,HT29,DMSO,0.7694419030192132,,30,0-20µm
PB000141,G02,3,15,cell,HT29,DMSO,0.7650855550621956,,73,0-20µm
PB000140,G08,7,35,nuclei,HCT116,abemaciclib,0.5820649701409164,,93,20-40µm
PB000140,G19,1,5,cell,HT29,abemaciclib,0.4329864451246174,,6,0-20µm
PB000140,I13,11,55,cell,HT29,binimetinib,0.10202552681405201,,19,40-60µm
PB000139,J15,11,55,cell,HT29,abemaciclib,0.35412859907664695,,12,40-60µm
PB000139,C12,9,45,nuclei,HT29,SN-38,0.3290942526353959,,17,40-60µm
PB000141,G02,11,55,cell,HT29,DMSO,0.2709938176503121,,45,40-60µm
PB000139,D11,9,45,cell,HCT116,binimetinib,0.32134010403765173,,20,40-60µm
PB000140,N05,7,35,nuclei,HCT116,DMSO,0.7943278799174235,,220,20-40µm
PB000139,G08,5,25,cell,HCT116,abemaciclib,0.5845017311214581,,52,20-40µm
PB000140,I13,9,45,cell,HT29,binimetinib,0.17385228507841208,,35,40-60µm
PB000140,C23,7,35,cell,HCT116,SN-38,0.3143716086497565,,17,20-40µm
PB000140,N05,1,5,cell,HCT116,DMSO,0.7036575120151539,,36,0-20µm
PB000141,M23,5,25,cell,HT29,DMSO,0.7486543691393615,,78,20-40µm
PB000139,C14,1,5,nuclei,HT29,binimetinib,0.547653340827654,,29,0-20µm
PB000141,G02,9,45,cell,HT29,DMSO,0.5591437477925707,,75,40-60µm
PB000139,D06,1,5,cell,HT29,SN-38,0.7190318225007918,,9,0-20µm
PB000139,G08,1,5,nuclei,HCT116,abemaciclib,0.7649544284534814,,26,0-20µm
PB000137,D12,7,35,nuclei,HCT116,DMSO,0.7481013806391675,,226,20-40µm
PB000140,B14,3,15,cell,HT29,abemaciclib,0.7242741913042096,,42,0-20µm
PB000140,G05,7,35,nuclei,HCT116,binimetinib,0.36645081435191473,,20,20-40µm
