,Metadata_Site,Location_Center_X_cells,Location_Center_Y_cells
400324,10,811.5437,422.16412
400325,10,277.14328,454.41235
400326,10,439.40067,432.66373
400327,10,770.5611,451.606
400328,10,682.399,447.43118
400329,10,636.92755,472.3653
400330,10,724.0855,466.8311
400331,10,346.64645,477.95395
400332,10,397.43716,476.26923
400333,10,150.46277,487.6117
400334,10,439.97275,482.2595
400335,10,237.8403,507.7961
400336,10,748.8487,508.51505
400337,10,806.21704,519.06256
400338,10,625.58484,526.97144
400339,10,701.2223,536.7722
400340,10,329.8071,532.1663
400341,10,402.79208,551.5003
400342,10,752.13275,559.7048
400343,10,661.4464,565.5654
400344,10,481.2694,557.3039
400345,10,245.06168,560.713
400346,10,160.69035,569.99945
400347,10,304.23373,578.5351
400348,10,808.159,591.14496
400349,10,365.69498,596.6196
400350,10,758.8185,613.0248
400351,10,431.98682,620.6686
400352,10,618.53467,627.061
400353,10,237.26228,616.65924
400354,10,307.12726,643.3893
400355,10,676.01117,648.4586
400356,10,562.834,675.8074
400357,10,777.45703,666.8004
400358,10,488.88956,666.38275
400359,10,722.6186,667.3247
400360,10,188.83813,663.56573
400361,10,238.22623,666.7617
400362,10,363.6641,675.2889
400363,10,425.20404,676.2747
400364,10,623.375,680.2289
400365,10,289.3897,706.5176
400366,10,688.65643,720.7476
400367,10,499.6571,720.6158
400368,10,222.12128,725.8112
400369,10,739.5922,724.4159
400370,10,372.47296,722.2821
400371,10,437.7061,725.2537
400372,10,555.23804,729.361
400373,10,612.7944,732.7879
400374,10,299.83524,751.2728
400375,10,697.1372,768.6235
400376,10,458.2636,767.1607
400377,10,521.46173,778.3581
400378,10,579.1534,772.37573
400379,10,385.95496,766.33167
400380,10,643.7131,787.0573
400381,10,269.60638,787.6559
400382,10,362.00504,809.00586
400383,10,471.7395,818.5807
400384,10,552.3376,837.13306
400385,10,466.86642,854.4172
448140,11,509.36307,132.84428
448141,11,393.87405,142.04451
448142,11,634.6691,180.0998
448143,11,444.58502,154.08742
448144,11,573.17114,169.58871
448145,11,483.36734,166.8964
448146,11,526.9359,182.98492
448147,11,723.8002,216.95319
448148,11,435.8239,211.41196
448149,11,496.523,215.86763
448150,11,234.13359,216.71297
448151,11,675.7771,244.68353
448152,11,783.10925,263.2788
448153,11,376.3103,267.9727
448154,11,242.18954,264.43073
448155,11,492.87512,272.27667
448156,11,607.0322,270.3369
448157,11,433.63016,286.51047
448158,11,559.5219,303.65607
448159,11,312.49435,300.50177
448160,11,747.2023,304.019
448161,11,708.9211,330.65897
448162,11,246.32692,321.50797
448163,11,649.13617,324.3141
448164,11,813.09247,323.97253
448165,11,358.70123,338.83264
448166,11,403.28394,334.05386
448167,11,467.5926,347.23026
448168,11,594.10724,370.0327
448169,11,786.0946,367.01892
448170,11,307.0201,358.24313
448171,11,702.42883,396.0299
448172,11,420.8903,385.93347
448173,11,166.77003,398.0662
448174,11,362.40417,411.67734
448175,11,755.3458,402.74036
448176,11,120.96933,402.14688
448177,11,311.00525,396.76892
448178,11,808.67664,419.29913
448179,11,270.78363,414.93314
448180,11,506.4203,436.52997
448181,11,771.1401,456.72507
448182,11,232.08693,465.80524
448183,11,284.434,461.08804
448184,11,411.5418,474.14423
448185,11,346.7505,477.17297
448186,11,502.62622,502.00986
448187,11,708.47656,511.03436
448188,11,568.0205,516.65063
448189,11,130.79256,500.9468
448190,11,174.89189,519.0821
448191,11,810.99554,520.879
448192,11,326.18152,535.1469
448193,11,627.86316,532.1848
448194,11,406.57596,566.6782
448195,11,490.3422,553.3194
