name_y,5Z-7-,ABT-7,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Cobim,Crizo,Dabra,Doram,Encor,Fluor,Gefit,Gemci,Linsi,MK-22,Navit,Nutli,Olapa,Oxali,PD032,PI-10,Pacli,Palbo,Rabus,Regor,Ruxol,SB216,SB505,SN-38,Sapit,Soraf,Tanes,Tasel,Trame,Trici,Trifl,Vemur,Vinor,Vorin,abema
5Z-7-,1.000000000000001,0.43191521911372316,0.4800958707671419,0.562671123888505,0.7524174781469442,0.66066884591053,0.7618351498159014,0.7707473826967917,0.5299905308354078,0.65652385048349,0.8307460360497732,0.8879545257124107,0.6391445535921695,0.6689523187790675,0.3455350741494957,0.7547200770012171,0.6556353367313678,0.51788873719472,0.6635986919189035,0.42413901724069303,0.4089272521157322,0.5148729044212506,0.4987097142312311,0.4471219441089658,0.6530126780858505,0.8664656726893689,0.6854315570956571,0.6208887132602557,0.5824586870773475,0.4779795477419691,0.6340496991958015,0.2635149281702532,0.43917633062476225,0.6306229124234031,0.7018662189941063,0.3495911723680838,0.6497785729076839,0.7177674935536998,0.5627976221233839,0.8783151278966919,0.28242759177364435,0.551474288026814,0.24945404884762407,0.61541656237108,0.6028186980557957,0.6750518194811489
ABT-7,0.43191521911372316,1.0,0.14863854887074565,0.6208799995824852,0.8077941218112585,0.5706694796496854,0.7766075743766733,0.6620521286794426,0.7394394692654963,0.4154995995691009,0.6151170986324194,0.6486292118865872,0.2795093973099244,0.7767618211405648,-0.15134450048927567,0.712204719739588,-0.34440893234011355,0.562200511114101,-0.1780639186899774,0.3347729151285033,0.40254716274224733,0.2070739581718234,0.08406860286519756,-0.2254510465073477,0.1866842674624724,0.6036368161683265,0.6754786637750668,0.3568767560871804,0.43566233746084226,0.5883583836549559,0.6470218907286553,0.03846379196116932,0.7821104081660504,0.19332246365291922,0.23476557487028904,0.8358031210153334,0.5384143751681572,0.33309498033056467,0.796399285306826,0.536272661269852,0.008743978375215324,-0.20926261823562167,0.37201784738282534,0.33383947573793227,0.4669736701596301,0.47065022111166893
AMG23,0.4800958707671419,0.14863854887074565,1.000000000000001,0.3633179288342099,0.3595649367041964,-0.05033644855675448,0.5788283956940429,0.49129664138660667,0.028344940505993593,0.6485904525152908,0.2988461336472964,0.43036651509015567,0.5600654916497627,0.46126727883259183,0.4158919059536503,0.4484345105551069,0.7455246094907118,0.11634552110543081,0.6631381149134106,0.07899496037575628,0.1951052890835165,-0.09735592281214336,0.9634643783361111,0.7435896135866934,0.7561183649104595,0.4044506692076033,0.07297341677704951,0.296831199558566,0.9078006395966577,0.2301075550442501,0.14306465918560518,0.28598718257495676,0.4628112494106617,0.2517585642238153,0.7487066691973266,0.2047217788890576,0.43586674232016215,0.6570283843296478,0.22500546772596364,0.39881114802250267,0.6594627896404404,0.7815036216284887,0.45440752098018294,0.4783644904430916,0.5252968781474455,0.8682497524795669
AZD45,0.562671123888505,0.6208799995824852,0.3633179288342099,1.000000000000001,0.6218932973851683,0.4843923746576631,0.5738624182494133,0.6863631723442919,0.4819814811655694,0.5032988994330836,0.6017113037537797,0.6751044891552673,0.6300768840504246,0.5645878744452244,0.38068735894771916,0.6920538717131751,-0.036586971485842334,0.7871124659796743,0.11064225932381175,0.13191974513569804,0.6750776302418136,0.12542551022047782,0.33086633803395893,-0.10654950873375309,0.4155411937017865,0.5607872135004258,0.5594255720418965,0.40661689629763925,0.7454655964449914,0.6270209375534763,0.7226944347927289,0.3439179280258996,0.6214715935210111,0.42823383124410125,0.26221200275771817,0.5832722419487212,0.7203050473711887,0.5070955055464816,0.5856299159308658,0.6156436606758096,0.1307816464845304,-0.008250699704731627,0.38009214786773604,0.4577459418127317,0.569755351089178,0.6544535739286865
AZD77,0.7524174781469442,0.8077941218112585,0.3595649367041964,0.6218932973851683,1.0000000000000004,0.7556133334536679,0.8433856918885534,0.7697376000567431,0.8199821418959272,0.9065279646277312,0.7525365333512032,0.7680775538296613,0.8250329741756595,0.7169961756647206,-0.09410546726907053,0.9141118261122763,0.23333955707064657,0.49357492509931944,0.34558363625210525,0.3092508664748025,0.46206380283720716,0.1410006308683856,0.3469836399629674,0.28169746456751094,0.4970806261026691,0.7059467394364078,0.8404766333036144,0.8500804185946006,0.5204741140735729,0.6746291034653241,0.6629848739744297,0.11205028935027353,0.6916906763184703,0.659589913443735,0.7219261657117741,0.9238167191604809,0.5903631373537248,0.678015879652509,0.9298580287219278,0.7235391773685054,0.13464552253951606,0.25197974651352273,0.40089672979740265,0.8271082859985733,0.6681614409200576,0.5976178496798621
AZD80,0.66066884591053,0.5706694796496854,-0.05033644855675448,0.4843923746576631,0.7556133334536679,1.0000000000000009,0.7471083475235064,0.8027463257404528,0.7820597573888098,0.6317760260856038,0.7357272115497001,0.6366384549724186,0.42815234637993516,0.6067359451421819,0.24700667915208213,0.84612015843922,0.10010243472428537,0.5037051929864378,0.08803103758248333,0.5703629065722352,0.6836015097300869,0.7918188824462651,-0.08615441418592452,-0.053742598332109245,0.35223639934355194,0.6584213778550604,0.9177642529238961,0.6205277406820439,0.22852380413717965,0.3857387034715411,0.5989434958372897,-0.060228513542392705,0.31041767199403236,0.5737580389212993,0.31870139855954394,0.5146364290761506,0.5418508045009819,0.5166476746774762,0.7843173856343729,0.6529253753265378,-0.12683377180426902,-0.04798190541086382,0.10057811332159439,0.5209023401886788,0.3371679747331134,0.3192552668143406
Adavo,0.7618351498159014,0.7766075743766733,0.5788283956940429,0.5738624182494133,0.8433856918885534,0.7471083475235064,1.0000000000000013,0.8464749445872736,0.7609758615894362,0.7766921313967323,0.7401350512980222,0.7376714954614983,0.7733018870715562,0.7683147949304232,-0.13367550243532858,0.8306710632953971,0.33211198463075875,0.4963289014839315,0.40518105459941844,0.5743578567228476,0.44985543519831656,0.3134935394954289,0.5288264334615952,0.24518339209131235,0.670528138995211,0.7113533241253203,0.8360783089238861,0.8532306023023133,0.7036280653271336,0.7539124641408029,0.6249155692472669,0.08219937609000925,0.5400622352798325,0.6403392067041054,0.6147475917930507,0.6679310560146503,0.6825041006825858,0.8323740348627675,0.7650426951179389,0.7412620007761676,0.20142114096232405,0.25543433806237636,0.4823903878241982,0.7483241826780729,0.7117784159206284,0.7556941983202611
Afati,0.7707473826967917,0.6620521286794426,0.49129664138660667,0.6863631723442919,0.7697376000567431,0.8027463257404528,0.8464749445872736,1.0000000000000009,0.6316406103500156,0.6119589092751706,0.7926876653708066,0.76356038480099,0.7004557761310369,0.7034910860177408,0.4154833004965829,0.8984500161016251,0.20918665162133984,0.7233573212715102,0.1912808631507224,0.6215405979580267,0.5212408545994658,0.6032011018508817,0.4422960072028874,0.13971099601909223,0.4620183668561848,0.7773234541326475,0.8268218784262944,0.6223400253703854,0.7403688173213395,0.4590572510183268,0.750725901906712,0.4208459164533559,0.645298746036059,0.5728209010217368,0.5428960210296893,0.5697589901019371,0.7637678843734232,0.747870846270427,0.7215010033116247,0.7670156807292903,0.1165065367645915,0.0950033799096417,0.5611302232398141,0.7469062449533774,0.7644535436452052,0.7550288454340193
Alpel,0.5299905308354078,0.7394394692654963,0.028344940505993593,0.4819814811655694,0.8199821418959272,0.7820597573888098,0.7609758615894362,0.6316406103500156,0.9999999999999998,0.35470289971309454,0.7257939434068251,0.7737946202615039,0.19571533494565596,0.7606838920974828,0.06348633410150188,0.8167364102490272,-0.3243180121551243,0.4187770397823158,-0.1574168023283594,0.5004445223848258,0.3901279663425374,0.3797107854518878,-0.014234530764121935,-0.26513682510380643,0.15504250905359435,0.6710751966208036,0.8775248392963119,0.42485912201029,0.28405795898492625,0.5212388070634042,0.6615191185630193,-0.15702648805925445,0.5154331757761347,0.12415383438679573,0.10586956726973659,0.8047376976547629,0.6275033209924322,0.27710268354840883,0.9575244595330988,0.6462048208933763,0.03267779128307718,-0.2775724158547879,0.07698811957939258,0.2922340916618004,0.3393584381692214,0.39403600279737455
BMS-7,0.65652385048349,0.4154995995691009,0.6485904525152908,0.5032988994330836,0.9065279646277312,0.6317760260856038,0.7766921313967323,0.6119589092751706,0.35470289971309454,1.0000000000000009,0.6757560059204716,0.6663727363018519,0.8711020513354139,0.5947814929469973,0.30494486379150054,0.5778144677785189,0.5224644506997905,0.28553094276909763,0.5870170158761779,0.45984424462012874,0.41002262443661874,0.6981943266220283,0.6350111708384585,0.6412320614370306,0.5863602311467861,0.6351965984784762,0.5010674490556919,0.8151990688456017,0.6530163034688269,0.29007332696629917,0.40490780961088624,0.11133835983495724,0.596652379499887,0.5166309433192754,0.6191090595971559,0.44679146802939673,0.5217337908814125,0.5811023702780255,0.5618993548024211,0.6493166179040397,0.3202847645047959,0.524359888070749,0.46722831660010766,0.7044134663652705,0.536300082301871,0.663686487805706
Binim,0.8307460360497732,0.6151170986324194,0.2988461336472964,0.6017113037537797,0.7525365333512032,0.7357272115497001,0.7401350512980222,0.7926876653708066,0.7257939434068251,0.6757560059204716,1.000000000000002,0.9531525937071377,0.6249024725998392,0.9196814963163414,0.3325595489808127,0.8378023668256216,0.12106556918662928,0.6227346970614688,0.29400041054170867,0.3815076332822345,0.48482226481482615,0.43146105772100585,0.2553252140680252,-0.010701157005528164,0.5657610085500554,0.9468674650902169,0.7196976387145202,0.691567400055603,0.5228327302259581,0.42984386795657686,0.8990154143655831,0.24640374949931645,0.5896215670969384,0.6513109380485532,0.346770515686107,0.6746658851176582,0.7890045305543764,0.7316281550451313,0.7878037694855,0.9631223428831084,0.10283369631020575,0.10433046682128419,0.24332905981861513,0.5749048097600014,0.479060777376758,0.578581554789819
Cobim,0.8879545257124107,0.6486292118865872,0.43036651509015567,0.6751044891552673,0.7680775538296613,0.6366384549724186,0.7376714954614983,0.76356038480099,0.7737946202615039,0.6663727363018519,0.9531525937071377,1.0000000000000004,0.6312774377521562,0.8522357556960753,0.31023067068491594,0.8101194672691978,0.2970719314366096,0.6511724267538154,0.44173099516966396,0.36276853749653704,0.5565846822078439,0.3827435837436604,0.38749267936278525,0.13720438816040337,0.6043451244129404,0.956195521657743,0.7152155365105022,0.6260412059101523,0.6691911601176886,0.5710585693380856,0.8473724909733737,0.3401705480345199,0.6105195484905548,0.6743429057303815,0.4910499926634489,0.6580524656150246,0.8133708784702011,0.7595735461893396,0.7693030532303802,0.9724161923595941,0.1660432927841371,0.3076704863929902,0.4535436092911071,0.5225547286838602,0.5880695731719285,0.6475195086630412
Crizo,0.6391445535921695,0.2795093973099244,0.5600654916497627,0.6300768840504246,0.8250329741756595,0.42815234637993516,0.7733018870715562,0.7004557761310369,0.19571533494565596,0.8711020513354139,0.6249024725998392,0.6312774377521562,1.0000000000000007,0.5469267771976167,0.41307088360994576,0.5301500971500536,0.4443873703247364,0.4521436584641616,0.4607822777990672,0.365685540123842,0.5076075287562138,0.2009795122777371,0.5742474730764915,0.5014936157652599,0.4973292298848012,0.661321369602727,0.37553902529572764,0.7577515604214617,0.7996072890332235,0.6304958288708098,0.4003575123073838,0.4436357814841658,0.47189885739376436,0.5826906304859019,0.42189215914275,0.21219968477923173,0.5137069498507284,0.6050131038197283,0.33688782355089475,0.6490062537626111,0.23938360506722847,0.41892903149652533,0.5367936124429108,0.6305631447382173,0.525169560465401,0.6063180046363795
Dabra,0.6689523187790675,0.7767618211405648,0.46126727883259183,0.5645878744452244,0.7169961756647206,0.6067359451421819,0.7683147949304232,0.7034910860177408,0.7606838920974828,0.5947814929469973,0.9196814963163414,0.8522357556960753,0.5469267771976167,1.0,0.3226096823754287,0.8547110537037261,0.14414133733893686,0.6683058280413638,0.19920181692513858,0.5671735110184697,0.44394631373090565,0.5198025311097352,0.3893008748223699,0.1993518334820486,0.4069086106319967,0.8633224538729722,0.673239915799339,0.4139239239792334,0.3901470446251058,0.5089986599598539,0.9150119310640562,0.19360825000720255,0.5945969224109355,0.4653790119186754,0.3126136572101702,0.6785857053479651,0.7877802451427978,0.4852722489177354,0.7972231247437633,0.7226326369360624,-0.09552669201886438,0.22292583428337806,0.7479346559019314,0.3772081998228453,0.3677030464369382,0.49659082108829133
