Metadata_Well,Drug,yH2AX_foci_per_nucleus,edu_fraction,n_nuclei
M11,DMSO,0.9717057396928052,0.3597413096200485,1237
M12,DMSO,1.2954292084726868,0.4693422519509476,897
M13,DMSO,1.2816,0.2976,1250
M14,DMSO,1.672401927047488,0.4060564349621473,1453
N11,DMSO,0.7203947368421053,0.3363486842105263,1216
N12,DMSO,0.9772570640937285,0.36250861474844936,1451
N13,DMSO,0.4270428015564202,0.21498054474708173,1028
N14,DMSO,0.647673314339981,0.3922127255460589,1053
O13,DMSO,0.8693743139407245,0.34796926454445665,911
P11,DMSO,1.271371769383698,0.3518886679920477,1006
P12,DMSO,0.6325581395348837,0.30930232558139537,860
P13,DMSO,0.3107947805456702,0.29537366548042704,843
P14,DMSO,0.5853174603174603,0.314484126984127,1008
I11,5-FU,1.7445972495088409,0.04518664047151277,509
I12,5-FU,2.46356783919598,0.1658291457286432,796
I13,5-FU,1.060063224446786,0.04952581664910432,949
J11,5-FU,0.966728280961183,0.059149722735674676,541
J12,5-FU,1.9833134684147795,0.14183551847437426,839
J13,5-FU,1.076555023923445,0.07655502392344497,1045
J14,5-FU,3.408366533864542,0.14840637450199204,1004
K11,5-FU,1.8854886475814412,0.07502467917077986,1013
K12,5-FU,1.892753623188406,0.09710144927536232,690
K14,5-FU,2.859217877094972,0.1452513966480447,895
L12,5-FU,0.3369098712446352,0.055793991416309016,466
L13,5-FU,1.8975770925110131,0.034140969162995596,908
L14,5-FU,1.2858880778588808,0.07785888077858881,822
E11,Olaparib,1.5859598853868195,0.09312320916905444,698
E12,Olaparib,3.571597633136095,0.16331360946745563,845
E14,Olaparib,6.166666666666667,0.19144144144144143,888
F11,Olaparib,4.947151114781173,0.18909991742361684,1211
F12,Olaparib,4.836734693877551,0.23696145124716553,882
F13,Olaparib,4.6128318584070795,0.2079646017699115,904
G11,Olaparib,5.022388059701493,0.15458422174840086,938
G12,Olaparib,5.025280898876405,0.1947565543071161,1068
G13,Olaparib,5.743321718931475,0.1602787456445993,861
H11,Olaparib,3.2857142857142856,0.1402359108781127,763
H12,Olaparib,4.982843137254902,0.1948529411764706,816
H13,Olaparib,1.9670975323149236,0.10928319623971798,851
H14,Olaparib,4.637605042016807,0.15861344537815125,952
A14,Etoposide,16.089668615984404,0.0,513
B14,Etoposide,17.116,0.0,500
C11,Etoposide,15.986220472440944,0.0,508
C12,Etoposide,20.48172757475083,0.0033222591362126247,301
C14,Etoposide,12.805507745266782,0.0,581
D12,Etoposide,9.663066954643629,0.0,463
D13,Etoposide,7.157009345794393,0.0,535
D14,Etoposide,19.534671532846716,0.0036496350364963502,548
