,barcode,well,cell_line,n_unique_cells,n_total_detections,avg_detections_per_cell,median_detections,expected_z_span_slices
81,PB000140,O07_s1,HCT116,569,2052,3.606326889279438,3.0,3.0
82,PB000140,O11_s1,HCT116,653,2357,3.609494640122512,3.0,3.0
83,PB000140,O18_s1,HT29,391,1929,4.933503836317136,4.0,3.0
84,PB000140,O22_s1,HT29,326,1438,4.411042944785276,4.0,3.0
85,PB000141,B08_s1,HT29,356,1599,4.491573033707865,4.0,3.0
86,PB000141,B22_s1,HT29,15,15,1.0,1.0,3.0
87,PB000141,C05_s1,HT29,435,1888,4.340229885057472,3.0,3.0
88,PB000141,D12_s1,HT29,387,1618,4.180878552971576,4.0,3.0
89,PB000141,E16_s1,HT29,391,1827,4.672634271099744,4.0,3.0
90,PB000141,F06_s1,HT29,468,1896,4.051282051282051,3.0,3.0
91,PB000141,G02_s1,HT29,459,1894,4.126361655773421,3.0,3.0
92,PB000141,G13_s1,HT29,440,1885,4.284090909090909,3.0,3.0
93,PB000141,H10_s1,HT29,297,1238,4.168350168350169,3.0,3.0
94,PB000141,H17_s1,HT29,434,1887,4.347926267281106,3.0,3.0
95,PB000141,I21_s1,HT29,406,1810,4.458128078817734,3.0,3.0
96,PB000141,J14_s1,HT29,381,1645,4.31758530183727,3.0,3.0
97,PB000141,K11_s1,HT29,411,1759,4.2798053527980535,3.0,3.0
98,PB000141,L07_s1,HT29,358,1592,4.446927374301676,4.0,3.0
99,PB000141,L18_s1,HT29,417,1888,4.52757793764988,4.0,3.0
100,PB000141,M23_s1,HT29,397,1790,4.508816120906801,4.0,3.0
101,PB000141,N15_s1,HT29,408,1826,4.475490196078432,3.0,3.0
102,PB000141,O09_s1,HT29,524,2341,4.467557251908397,4.0,3.0
103,PB000141,O20_s1,HT29,396,1764,4.454545454545454,4.0,3.0
104,PB000142,B08_s1,HT29,283,973,3.4381625441696118,2.0,3.0
105,PB000142,B22_s1,HT29,270,1038,3.844444444444445,3.0,3.0
106,PB000142,C05_s1,HT29,3,5,1.6666666666666667,1.0,3.0
107,PB000142,D12_s1,HT29,401,1849,4.610972568578553,4.0,3.0
108,PB000142,E16_s1,HT29,232,761,3.280172413793104,2.0,3.0
109,PB000142,F06_s1,HT29,386,1619,4.194300518134715,3.0,3.0
110,PB000142,F20_s1,HT29,343,1668,4.862973760932944,4.0,3.0
111,PB000142,G02_s1,HT29,0,0,0.0,0.0,3.0
112,PB000142,G13_s1,HT29,390,1681,4.31025641025641,4.0,3.0
113,PB000142,H10_s1,HT29,299,1250,4.180602006688964,3.0,3.0
114,PB000142,H17_s1,HT29,109,343,3.146788990825688,3.0,3.0
115,PB000142,I21_s1,HT29,173,701,4.052023121387284,3.0,3.0
116,PB000142,J03_s1,HT29,28,54,1.9285714285714288,2.0,3.0
117,PB000142,J14_s1,HT29,369,1619,4.387533875338754,4.0,3.0
118,PB000142,K11_s1,HT29,385,1708,4.4363636363636365,3.0,3.0
119,PB000142,L07_s1,HT29,355,1446,4.073239436619718,3.0,3.0
120,PB000142,L18_s1,HT29,349,1560,4.469914040114613,3.0,3.0
121,PB000142,M23_s1,HT29,252,881,3.496031746031746,3.0,3.0
122,PB000142,N04_s1,HT29,374,1721,4.601604278074866,4.0,3.0
123,PB000142,N15_s1,HT29,389,1638,4.210796915167095,3.0,3.0
124,PB000142,O09_s1,HT29,364,1498,4.115384615384615,3.0,3.0
125,PB000142,O20_s1,HT29,353,1441,4.0821529745042495,3.0,3.0
