name_y,5Z-7-,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Gefit,Gemci,Linsi,MK-22,Migli,Navit,Oxali,PD032,Pacli,Palbo,Regor,SB216,SN-38,Soraf,Tanes,Tasel,Temoz,Trame,Trifl,Vinor,Vorin,abema
5Z-7-,1.0000000000000009,0.8036147090768251,0.8515075405606611,0.7861738491899948,0.789026054023646,0.8293981496345946,0.8426028846437625,0.8099113783535479,0.8479583214544593,0.9004384467104332,0.5959316185373102,0.9002567121000647,0.3531284176613443,0.7203098736089031,0.9394725394103007,0.6851972377648825,0.8042476461291079,0.6579524346654713,0.7214458679795329,-0.10349960141019601,0.4589268527117718,0.81129813239354,0.8915076776004036,0.8280260502857716,0.7518647077087134,0.7063154038267975,0.0764461992422604,0.9049889404292739,0.858086691126216,0.8693985654629852,0.9099453177978545,0.050961109577056775,0.8794746174923385,0.6598710494498059,0.7984313709419835,0.5657563671798508,0.777330417852661
AMG23,0.8036147090768251,1.0000000000000009,0.8475930293763821,0.6662856373275791,0.7882399954134117,0.8035438446318168,0.7378588985854448,0.7666550259895498,0.7187460732792228,0.7978379606401105,0.5755610156353594,0.7714852618955952,0.4010308944429244,0.8099525113733235,0.7963530633137306,0.5716091839709853,0.8047837353875604,0.7079347362755127,0.4873145791189076,-0.0849782139807662,0.5036338215981515,0.7961618149463174,0.7816208485600621,0.7495848919255184,0.8619221451252652,0.6869722666814411,0.07448184475798217,0.9193596557315176,0.8630801015534286,0.847250139148071,0.8238386095236596,0.15189995731908687,0.7556536219327066,0.7028510169736908,0.8821306030575639,0.6466966280234167,0.8914274123241881
AZD45,0.8515075405606611,0.8475930293763821,1.0,0.5920123594038722,0.8563170519981385,0.8214016424363993,0.6532582689355381,0.7696436609511883,0.6392062194920644,0.8248794569644662,0.6642638071042293,0.7819028250866256,0.20566067331868626,0.7664497017888224,0.8002117353571887,0.6590888711668191,0.7969895351552616,0.6461066266501576,0.5372247945528547,-0.1085844349845066,0.3444827174896254,0.7830017763526838,0.8665935079401759,0.7815146993718525,0.6679292650385945,0.6959041474992143,0.01713614464284773,0.885280847705991,0.8988829254018896,0.8266398475694039,0.7348998231004281,0.07347547226176085,0.7906593730415914,0.7147807423352996,0.8783082442847211,0.6662711706123805,0.7346957782853385
AZD77,0.7861738491899948,0.6662856373275791,0.5920123594038722,1.0000000000000004,0.6050439421006638,0.717160171145033,0.845736974918536,0.683666163579867,0.8353115057590756,0.8144287448800215,0.43231315341412085,0.8225073429942359,0.4985498557224149,0.6334854471324494,0.7869530118033885,0.5457950090501398,0.8254373213676383,0.6547454535787646,0.8036940359390763,-0.16680240199347612,0.337428272296884,0.5955753928160915,0.802667327272328,0.627899958848218,0.6127363655983584,0.7270270100360349,-0.0017033873775257977,0.7641448271984012,0.6484567306121145,0.847181620574825,0.7432927293144556,0.06542479280995808,0.6682942366838871,0.526684522648144,0.6724409939592526,0.6555728691064867,0.6597899070760614
AZD80,0.789026054023646,0.7882399954134117,0.8563170519981385,0.6050439421006638,1.0000000000000013,0.8444114694677478,0.6401225574019144,0.743191083368753,0.7421291376656701,0.8124499301350314,0.6171358237293284,0.7714312162439373,0.16073497434389455,0.7538200093409035,0.7831849367349227,0.7578951495387043,0.815758183345052,0.7534227612056643,0.5590145296031708,0.01580786325592897,0.39328596627573875,0.7839052289995494,0.8439347422451083,0.8133506027159707,0.6662256831240092,0.7552433384230444,0.10022276302508723,0.8255084392679759,0.8884123940711534,0.839997409970928,0.7747419542505213,0.23618058433315228,0.8214083034833685,0.6956808891882778,0.8115896143363082,0.7552596491619135,0.6838379936400498
Adavo,0.8293981496345946,0.8035438446318168,0.8214016424363993,0.717160171145033,0.8444114694677478,1.000000000000001,0.7903925546033527,0.690795160376043,0.7895564878343466,0.8173198626340783,0.5950088029932978,0.8311134866368706,0.36124479867921855,0.7150519342620123,0.798223484709053,0.7904200891999282,0.9063499019741575,0.6490967516065367,0.6056630937982107,-0.0034512138500120953,0.3133516585445552,0.7551532857946184,0.8497994646110233,0.867958474023866,0.7400076017558253,0.822163762560562,0.22389593136500519,0.861189656158126,0.8371788891358553,0.920427145056883,0.7770834248316291,0.2817237407933162,0.909827538691024,0.8001328732735347,0.7967116742264899,0.7611240358179396,0.7038096208301317
Afati,0.8426028846437625,0.7378588985854448,0.6532582689355381,0.845736974918536,0.6401225574019144,0.7903925546033527,1.0000000000000007,0.7459605637478687,0.8681724026851985,0.8461891385580961,0.3440239936830813,0.8644035496243031,0.34882793298439424,0.6620822679688989,0.8495355090713808,0.6101205077182142,0.8843506166575827,0.6539049022293446,0.7013024622685076,-0.22040497581407908,0.397029391474799,0.6107834731136004,0.8553651909520268,0.6841503340397124,0.6961748416614167,0.7758978648672082,0.04022848900623435,0.8400167512730896,0.6599612526306431,0.9126125481991529,0.8220511840233442,0.1317157178964706,0.7352250268809462,0.5944179277778339,0.690538719114243,0.6891085724334197,0.749161887373902
Alpel,0.8099113783535479,0.7666550259895498,0.7696436609511883,0.683666163579867,0.743191083368753,0.690795160376043,0.7459605637478687,1.0,0.7438722787501785,0.8201341339387946,0.3248711086874958,0.7965919406834165,0.3333071732668122,0.8701924775257709,0.7923075881215502,0.5977023335303961,0.6941525525420547,0.8007300116484719,0.626509326455843,-0.11773836915966862,0.719889458862287,0.6486080067851328,0.7308800310495542,0.6314812946928259,0.7139979569359204,0.7515139802708646,0.0200977088340128,0.808019473432304,0.8256299079434617,0.7488407742864321,0.9000808992994086,0.1111791793296515,0.662708132259979,0.45919567455360083,0.6895686543953315,0.6864017459058318,0.7973975133584829
BMS-7,0.8479583214544593,0.7187460732792228,0.6392062194920644,0.8353115057590756,0.7421291376656701,0.7895564878343466,0.8681724026851985,0.7438722787501785,1.000000000000001,0.7805390371807749,0.34632203979886145,0.8073689983218137,0.4430489751018951,0.6595934632535562,0.7849018995956881,0.632041701882763,0.8602988244169882,0.7695609382628197,0.719525148164017,-0.22134965853057614,0.44048531217315945,0.5786705965956628,0.8226043057502151,0.6759921892541136,0.7099442696476667,0.7975200004905573,-0.029334815248617623,0.7879897180390574,0.6884608356422017,0.860861258462837,0.8155491441635452,0.08710667572779368,0.7263162572097912,0.62866278413276,0.6974259489255623,0.8168542359144821,0.7435690507689586
Binim,0.9004384467104332,0.7978379606401105,0.8248794569644662,0.8144287448800215,0.8124499301350314,0.8173198626340783,0.8461891385580961,0.8201341339387946,0.7805390371807749,1.000000000000001,0.6660145793914305,0.9231849073956925,0.3731626063811454,0.7424899358293735,0.9048426490410004,0.6788220808223451,0.830231792534738,0.6904072916306341,0.741972383809553,-0.04721684805776325,0.4645005307364333,0.8674654552897698,0.8987444657626461,0.8924042915273457,0.7472266950522108,0.7578660729187756,0.08847272723744477,0.8971853315980429,0.8848130701982356,0.8655079394563394,0.8879801301110746,0.05852024094704821,0.8890398271052766,0.6559366020742718,0.8890874010211396,0.6853061662170368,0.743540252212908
