umap1,umap2,kmeans_cluster,pathway
30.388128,17.493347,3,PI3K/Akt/mTOR
29.483145,17.024044,5,PI3K/Akt/mTOR
28.222368,11.587987,5,DNA Damage
23.761957,16.966156,2,Cytoskeletal Signaling
-2.9710376,5.220729,1,DNA Damage
31.65121,12.62803,5,Protein Tyrosine Kinase
29.48774,14.645889,5,Protein Tyrosine Kinase
40.2377,22.925629,0,MAPK
33.096573,24.648317,3,MAPK
-1.6870577,6.8040347,1,DNA Damage
23.477175,17.958307,2,Cell Cycle
-4.5484657,8.731981,1,PI3K/Akt/mTOR
-3.8394468,8.473727,1,PI3K/Akt/mTOR
27.589075,9.051858,5,DNA Damage
-2.148611,7.836908,1,DNA Damage
34.150543,17.09996,4,Cell Cycle
36.305134,18.33474,4,Protein Tyrosine Kinase
37.973812,13.829492,4,PI3K/Akt/mTOR
-4.6193924,7.6790643,1,PI3K/Akt/mTOR
29.507355,20.625158,3,PI3K/Akt/mTOR
-3.078662,7.1264443,1,DNA Damage
34.87719,13.751413,4,MAPK
-1.7721874,9.102397,1,DNA Damage
-2.3003552,6.231574,1,DNA Damage
24.383038,17.64996,2,Cell Cycle
-1.9940944,5.009952,1,DNA Damage
30.236362,14.065195,5,Protein Tyrosine Kinase
35.352867,20.092924,4,MAPK
27.32327,20.697475,3,Protein Tyrosine Kinase
33.869423,14.286706,4,MAPK
33.75518,24.620451,3,MAPK
31.203238,21.76459,3,MAPK
30.044718,20.875189,3,MAPK
39.250465,14.304761,4,MAPK
33.50671,23.846022,3,MAPK
27.693617,10.419941,5,DNA Damage
22.961632,17.586508,2,Cytoskeletal Signaling
28.671776,16.292562,5,Protein Tyrosine Kinase
36.931107,13.663656,4,Protein Tyrosine Kinase
30.5716,21.578556,3,Protein Tyrosine Kinase
39.06093,16.823317,4,Protein Tyrosine Kinase
-0.525384,5.4058704,1,DNA Damage
29.653713,21.662073,3,PI3K/Akt/mTOR
22.892393,15.233611,2,Cell Cycle
24.041483,18.0823,2,Cell Cycle
38.361687,18.183987,4,Protein Tyrosine Kinase
35.417255,17.552101,4,Protein Tyrosine Kinase
33.72897,22.191017,3,Protein Tyrosine Kinase
-2.0052874,5.880959,1,DNA Damage
32.46149,19.573679,3,Protein Tyrosine Kinase
28.941942,21.767836,3,Protein Tyrosine Kinase
30.726698,20.404425,3,PI3K/Akt/mTOR
38.06091,15.33516,4,Cytoskeletal Signaling
22.66859,16.212498,2,Cell Cycle
-0.31683397,5.0079484,1,DNA Damage
-3.0810537,9.374768,1,DNA Damage
35.209694,22.927668,0,MAPK
-1.6300757,8.164613,1,DNA Damage
35.060604,18.64211,4,PI3K/Akt/mTOR
33.093967,16.823732,4,Cytoskeletal Signaling
35.78453,15.150161,4,Protein Tyrosine Kinase
35.68779,11.489781,4,Cell Cycle
28.665194,15.05833,5,Protein Tyrosine Kinase
32.440407,16.234241,5,Cytoskeletal Signaling
25.139856,17.280336,2,Cell Cycle
34.556965,24.624905,0,MAPK
37.261463,12.702626,4,Protein Tyrosine Kinase
33.841618,18.768764,4,Protein Tyrosine Kinase
31.999807,17.635206,3,PI3K/Akt/mTOR
31.422287,8.992976,5,DNA Damage
28.910587,19.817898,3,PI3K/Akt/mTOR
-3.9551198,4.4731584,1,DNA Damage
34.5639,12.476304,4,Protein Tyrosine Kinase
29.627693,15.293958,5,Protein Tyrosine Kinase
36.471085,24.525412,0,MAPK
-1.6922092,5.428398,1,DNA Damage
-3.8576937,7.829219,1,PI3K/Akt/mTOR
-5.0698857,8.086265,1,PI3K/Akt/mTOR
-0.76119053,7.6958733,1,DNA Damage
35.51347,12.363839,4,Cell Cycle
37.30872,18.000122,4,Protein Tyrosine Kinase
32.783543,17.68638,4,PI3K/Akt/mTOR
26.406025,15.400567,2,Cell Cycle
30.552788,18.45339,3,PI3K/Akt/mTOR
-2.9724138,6.50923,1,DNA Damage
28.782257,18.907665,3,MAPK
37.312077,16.957457,4,Protein Tyrosine Kinase
-3.470754,6.593044,1,DNA Damage
30.445044,24.044394,3,Protein Tyrosine Kinase
-0.6257078,6.464374,1,DNA Damage
29.277893,23.26821,3,Protein Tyrosine Kinase
35.696438,19.198582,4,MAPK
32.438602,13.067846,5,Protein Tyrosine Kinase
34.3465,25.200842,0,MAPK
35.921925,16.396559,4,MAPK
35.912003,14.216016,4,MAPK
38.790302,21.912466,0,MAPK
30.269352,9.414695,5,DNA Damage
25.429317,16.038069,2,Cytoskeletal Signaling
35.045746,14.513951,4,Protein Tyrosine Kinase
31.966265,9.319047,5,DNA Damage
