,Metadata_name,Metadata_conc_step,cell_line,MIP,Aggregates,Metadata_pathway
49,Vinor,1.0,HCT116,0.2092317381482151,0.206905072294663,Cytoskeletal Signaling
50,Vorin,1.0,HCT116,0.1895106091907164,0.5251805593762231,Epigenetics
51,abema,1.0,HCT116,0.529902479100301,0.6447830483107103,Cell Cycle
52,5Z-7-,2.0,HCT116,0.7194903491203062,0.6839294866405876,MAPK
53,ABT-7,2.0,HCT116,-0.0199051040798472,0.1265289478996872,Apoptosis
54,AMG23,2.0,HCT116,0.745119025616531,0.8589384977815732,Apoptosis
55,AZD45,2.0,HCT116,-0.0119283835101034,0.2990635780039289,Angiogenesis
56,AZD77,2.0,HCT116,0.1813466410495524,0.4216096909847208,Cell Cycle
57,AZD80,2.0,HCT116,0.2018173988939255,0.5626204018961782,PI3K/Akt/mTOR
58,Adavo,2.0,HCT116,0.1690890271955804,0.5416750467964356,Cell Cycle
59,Afati,2.0,HCT116,0.0681382694401886,0.3117275588169282,Protein Tyrosine Kinase
60,Alpel,2.0,HCT116,0.2691558821694512,0.3276456549115055,PI3K/Akt/mTOR
61,BMS-7,2.0,HCT116,0.2342884363134355,0.5563051382979085,Protein Tyrosine Kinase
62,Binim,2.0,HCT116,0.714236483100319,0.723407742454814,MAPK
63,Borte,2.0,HCT116,0.2749279464323393,0.6633718144577565,Proteases
64,Cobim,2.0,HCT116,0.7528547787921549,0.7714905499652899,MAPK
65,Crizo,2.0,HCT116,0.2038250409316827,0.4056009785063054,Protein Tyrosine Kinase
66,Dabra,2.0,HCT116,0.2514544237299918,0.4376898028875449,MAPK
67,Doram,2.0,HCT116,0.0525278602652028,0.3237962787615224,MAPK
68,Encor,2.0,HCT116,0.3098094451777387,0.3085148632311169,MAPK
69,Fluor,2.0,HCT116,0.0281809653447065,0.2687908467746799,DNA Damage
70,Gefit,2.0,HCT116,0.0020360216390932,0.3033146979337435,Protein Tyrosine Kinase
71,Gemci,2.0,HCT116,0.2281023641726935,0.7018098066875227,DNA Damage
72,LGK-9,2.0,HCT116,,0.3770655467591018,Stem Cells & Wnt
73,Linsi,2.0,HCT116,0.0269796385124597,-0.0973481793871718,Protein Tyrosine Kinase
74,MK-22,2.0,HCT116,0.1284753679117477,0.2855515504918159,PI3K/Akt/mTOR
75,Migli,2.0,HCT116,0.7369388555004044,0.5006059348763819,Others
76,Navit,2.0,HCT116,0.1320763481608698,0.0355424688838446,Apoptosis
77,Nutli,2.0,HCT116,0.0267418572397665,0.1949563848943673,Apoptosis
78,Olapa,2.0,HCT116,0.0111563741406577,0.064488937700686,DNA Damage
79,Oxali,2.0,HCT116,0.46410344882212,0.7068670158157877,DNA Damage
80,PD032,2.0,HCT116,0.257014866461012,0.615468324230541,MAPK
81,PI-10,2.0,HCT116,0.0013285178933755,0.1260416165409642,PI3K/Akt/mTOR
82,Pacli,2.0,HCT116,0.2080242265517242,0.5923223821320485,Cytoskeletal Signaling
83,Palbo,2.0,HCT116,0.4499824686764281,0.6059610420473392,Cell Cycle
84,Phenf,2.0,HCT116,-0.0138218034584553,0.1163963569904301,PI3K/Akt/mTOR
85,Rabus,2.0,HCT116,0.0664069033080563,-0.0439163331630041,Cell Cycle
86,Regor,2.0,HCT116,0.0163602564372799,0.4532262904899848,Protein Tyrosine Kinase
87,Ruxol,2.0,HCT116,-0.0045463242616608,0.1330901626882594,JAK/STAT
88,SB216,2.0,HCT116,0.1276334927746601,0.3421112646386563,PI3K/Akt/mTOR
89,SB505,2.0,HCT116,-0.02153466842521,0.0162985469406905,TGF-beta/Smad
90,SN-38,2.0,HCT116,0.6970682654001418,0.70365443144712,DNA Damage
91,Sapit,2.0,HCT116,0.0819262938160184,-0.008026276353364,Protein Tyrosine Kinase
92,Soraf,2.0,HCT116,0.0688313567870729,0.1847332786222075,MAPK
93,Tanes,2.0,HCT116,0.2149343288373085,0.6187884809959469,Cytoskeletal Signaling
94,Tasel,2.0,HCT116,0.5413272421534948,0.5512861668371863,PI3K/Akt/mTOR
95,Temoz,2.0,HCT116,-0.0366893472671288,0.0804916910981456,DNA Damage
96,Trame,2.0,HCT116,-0.0413815070355366,0.1365968870082639,MAPK
97,Trici,2.0,HCT116,-0.0240590266932492,0.2534671405894025,PI3K/Akt/mTOR
98,Trifl,2.0,HCT116,0.019677424750177,0.3919963450566651,DNA Damage
99,Velip,2.0,HCT116,-0.0204566368913745,0.3426526142413539,DNA Damage
100,Vemur,2.0,HCT116,-0.1172748865243246,-0.0173809883200341,MAPK
101,Vinor,2.0,HCT116,0.6249841815547397,0.6181971474117081,Cytoskeletal Signaling
102,Vorin,2.0,HCT116,0.0905028783725959,0.5684895690682945,Epigenetics
103,abema,2.0,HCT116,0.5144517124845303,0.6986711662648362,Cell Cycle
104,5Z-7-,3.0,HCT116,0.7293013627961553,0.3878952291857175,MAPK
105,ABT-7,3.0,HCT116,-0.041794776318261,0.0033256746769544,Apoptosis
106,AMG23,3.0,HCT116,0.5343707703679788,0.5395460008144894,Apoptosis
107,AZD45,3.0,HCT116,0.1767160538555518,0.2616101563706764,Angiogenesis
108,AZD77,3.0,HCT116,0.2840027388069286,0.5608255420506356,Cell Cycle
109,AZD80,3.0,HCT116,0.2512952791797736,0.4829287502037254,PI3K/Akt/mTOR
110,Adavo,3.0,HCT116,0.2792737645755487,0.5921897364030068,Cell Cycle
111,Afati,3.0,HCT116,0.1542733572738593,0.5340872601481887,Protein Tyrosine Kinase
112,Alpel,3.0,HCT116,0.473559004321421,0.6223510319460144,PI3K/Akt/mTOR
113,BMS-7,3.0,HCT116,0.2404140943616888,0.6952248385697767,Protein Tyrosine Kinase
114,Binim,3.0,HCT116,0.6040023129981894,0.6442084138104909,MAPK
115,Cobim,3.0,HCT116,0.8052286093972426,0.8617909723755305,MAPK
116,Crizo,3.0,HCT116,0.6737229882902935,0.8858783500421574,Protein Tyrosine Kinase
117,Dabra,3.0,HCT116,0.5378842336558107,0.5915898039672016,MAPK
118,Doram,3.0,HCT116,-0.0489037230028295,0.1786403852623389,MAPK
119,Encor,3.0,HCT116,0.7987507422737938,0.6319166611787848,MAPK
120,Fluor,3.0,HCT116,0.0580588636806543,0.1937651980655075,DNA Damage
121,Gefit,3.0,HCT116,0.1114741329198766,0.3874281543665465,Protein Tyrosine Kinase
122,Gemci,3.0,HCT116,0.3027497430875692,0.6777557425119745,DNA Damage
123,LGK-9,3.0,HCT116,0.0705456129871334,-0.0229263460592076,Stem Cells & Wnt
124,Linsi,3.0,HCT116,0.1648741140484185,0.2110080131378736,Protein Tyrosine Kinase
125,MK-22,3.0,HCT116,0.1717262898216917,0.3328448937392186,PI3K/Akt/mTOR
126,Migli,3.0,HCT116,0.0016254000026969,-0.0260803288259084,Others
127,Navit,3.0,HCT116,0.0271129699100282,-0.0377555231211535,Apoptosis
128,Nutli,3.0,HCT116,0.0657183966931929,0.5843322632755698,Apoptosis
129,Olapa,3.0,HCT116,0.1657614219775713,0.4335336579681965,DNA Damage
130,Oxali,3.0,HCT116,,0.6752502878745348,DNA Damage
131,PD032,3.0,HCT116,0.4443822951248205,0.5661661608076651,MAPK
132,PI-10,3.0,HCT116,0.1243322225797449,0.5231571296642338,PI3K/Akt/mTOR
133,Pacli,3.0,HCT116,0.306598618356633,0.671034279059311,Cytoskeletal Signaling
134,Palbo,3.0,HCT116,0.4843346536385973,0.6564329323493672,Cell Cycle
135,Phenf,3.0,HCT116,0.0292757784139058,0.0936737095011126,PI3K/Akt/mTOR
136,Rabus,3.0,HCT116,0.045908567522336,0.2951798239174551,Cell Cycle
137,Regor,3.0,HCT116,0.2823939869481345,0.6724947090748243,Protein Tyrosine Kinase
138,Ruxol,3.0,HCT116,0.0959670533636985,0.3085142218456477,JAK/STAT
139,SB216,3.0,HCT116,-0.0665626757828347,0.1690473808225174,PI3K/Akt/mTOR
140,SB505,3.0,HCT116,0.0632634225533289,0.3271524295262498,TGF-beta/Smad
141,SN-38,3.0,HCT116,0.6896622770936067,0.7562128283925067,DNA Damage
142,Sapit,3.0,HCT116,-0.1083633528086655,0.124544945429204,Protein Tyrosine Kinase
143,Soraf,3.0,HCT116,0.3212363092173233,0.6977257966055933,MAPK
144,Tanes,3.0,HCT116,0.2566127408493511,0.663419559503842,Cytoskeletal Signaling
145,Tasel,3.0,HCT116,0.5038631406788245,0.6120750499002114,PI3K/Akt/mTOR
146,Temoz,3.0,HCT116,0.3331841461053817,0.1174526178354391,DNA Damage
147,Trame,3.0,HCT116,0.4445020942526208,0.5420856451828573,MAPK
148,Trici,3.0,HCT116,0.0569215309679221,0.3549095198108598,PI3K/Akt/mTOR
149,Trifl,3.0,HCT116,0.0752798949788052,0.6545507479254973,DNA Damage
150,Velip,3.0,HCT116,0.1981074023660117,0.5187222843284186,DNA Damage
151,Vemur,3.0,HCT116,0.2500550990921589,0.3605258864139832,MAPK
152,Vinor,3.0,HCT116,0.7992748525085969,0.7765775977893582,Cytoskeletal Signaling
153,Vorin,3.0,HCT116,0.271734745213012,0.3684474703997058,Epigenetics
154,abema,3.0,HCT116,0.5296234762993701,0.6508597990132627,Cell Cycle
155,ABT-7,4.0,HCT116,0.0399344377807915,0.0605211596752697,Apoptosis
156,AMG23,4.0,HCT116,0.6600350014428672,0.8087865535695522,Apoptosis
157,AZD45,4.0,HCT116,0.6973919103925387,0.7223459685610448,Angiogenesis
158,AZD77,4.0,HCT116,,,Cell Cycle
159,AZD80,4.0,HCT116,0.2645407991928539,0.6719902532856263,PI3K/Akt/mTOR
160,Adavo,4.0,HCT116,0.1787050815768598,0.6967352851789517,Cell Cycle
161,Afati,4.0,HCT116,0.4127725330016855,0.705339426363029,Protein Tyrosine Kinase
162,Alpel,4.0,HCT116,0.6432638587272816,0.5881675602503053,PI3K/Akt/mTOR
163,BMS-7,4.0,HCT116,0.1127569720303769,0.526375065475773,Protein Tyrosine Kinase
164,Binim,4.0,HCT116,0.6493247309668064,0.6150946556562402,MAPK
165,Dabra,4.0,HCT116,0.4928623426628185,0.4320791649532163,MAPK
166,Doram,4.0,HCT116,0.1911640356228867,0.3888851027273115,MAPK
167,Encor,4.0,HCT116,0.6881666768406869,0.7405855703581041,MAPK
168,Fluor,4.0,HCT116,0.1063279971537568,0.6153431562729258,DNA Damage
169,Gefit,4.0,HCT116,0.2512883245152046,0.4473153535343431,Protein Tyrosine Kinase
170,Gemci,4.0,HCT116,0.4324343180532456,0.7485902183150186,DNA Damage
171,LGK-9,4.0,HCT116,-0.05085310676638,-0.1768186357331489,Stem Cells & Wnt
172,Linsi,4.0,HCT116,0.206725460328934,0.3835774350617963,Protein Tyrosine Kinase
173,MK-22,4.0,HCT116,0.5141270804071547,0.8675535017058971,PI3K/Akt/mTOR
174,Migli,4.0,HCT116,0.0055596858579575,0.2260255079655446,Others
175,Navit,4.0,HCT116,0.0391971606713308,0.2176246726344659,Apoptosis
176,Nutli,4.0,HCT116,0.1834082883049441,0.5942320950949165,Apoptosis
177,Olapa,4.0,HCT116,0.1896075837831197,-0.0535780993472207,DNA Damage
178,Oxali,4.0,HCT116,0.7485582890721671,0.8325317944863719,DNA Damage
179,PD032,4.0,HCT116,,,MAPK
180,PI-10,4.0,HCT116,0.0077955256249366,0.2172084663138392,PI3K/Akt/mTOR
181,Pacli,4.0,HCT116,0.3633383172174542,0.7786264700177132,Cytoskeletal Signaling
182,Phenf,4.0,HCT116,-0.0173963510643628,0.0585393822031959,PI3K/Akt/mTOR
183,Rabus,4.0,HCT116,0.0656434064556988,0.2828616739577199,Cell Cycle
184,Regor,4.0,HCT116,0.2570728920019579,0.5558461467681042,Protein Tyrosine Kinase
185,Ruxol,4.0,HCT116,0.0325662932293161,-0.0132771864893256,JAK/STAT
186,SB216,4.0,HCT116,0.3194477536654392,0.10421508752431,PI3K/Akt/mTOR
187,SB505,4.0,HCT116,0.1617889336880388,0.4350692557477164,TGF-beta/Smad
188,SN-38,4.0,HCT116,0.6461577207377589,0.7277975337107085,DNA Damage
189,Sapit,4.0,HCT116,-0.029780009771313,-0.065298860834972,Protein Tyrosine Kinase
190,Soraf,4.0,HCT116,0.5194199559085577,0.4012401897760803,MAPK
191,Tanes,4.0,HCT116,0.419409953979969,0.6950441245410708,Cytoskeletal Signaling
