name_y,5Z-7-,ABT-7,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Doram,Encor,Fluor,Gefit,Gemci,LGK-9,Linsi,MK-22,Navit,Nutli,Olapa,Oxali,PD032,Pacli,Palbo,Rabus,Regor,Ruxol,SB505,SN-38,Sapit,Soraf,Tanes,Tasel,Trame,Trici,Trifl,Velip,Vemur,Vinor,Vorin,abema
5Z-7-,1.0000000000000007,0.0017674811863194542,0.32751276379022926,0.47755988989586934,0.3891848880165902,0.7690984586914468,0.7527066430735555,0.615811975360227,0.7299531609889972,0.6776156190929198,0.940044423436159,0.6662630099931709,0.9308846006348387,0.5297567370819679,0.8954459550947792,0.08639140814735172,0.9359292103548474,0.483894309186611,0.7056526973343118,0.45011797904468354,0.00705468788518864,0.7036745122455872,0.7092008198292804,0.32361059831912564,0.3399241811457413,0.42658994880260814,0.5922067577246525,0.8978923079588237,0.634162684803471,0.5007734976675359,0.7333089020463346,0.476522668483785,0.2764730542669183,0.8246806313631538,0.7857784932213114,-0.007056251625530198,0.28103729298691527,0.7968247456265087,0.7448659359532264,0.9191620033783992,0.119165544708757,0.479069653815363,0.13702161631585305,0.9187488986167387,0.7266064759101578,0.5353142520740958,0.5895512890292989
ABT-7,0.0017674811863194542,1.000000000000001,-0.24951883535159497,0.4794264969643527,0.7208235210176395,0.3697456705147292,0.6584410174819568,-0.08247383271740698,0.6927376081559162,0.2132633850475257,0.531314611568958,0.19978624847223797,-0.07657321486304396,0.2787810332829642,0.17516443700480386,0.6635166333327772,-0.007618678657647638,-0.5627170011615137,0.7632444433481882,-0.44821171405952814,0.6564117246352643,0.48639307143770427,-0.30636038301576785,0.6055476234502932,-0.36469473687660353,-0.21479681054553562,-0.29036051590529144,-0.15821731526600213,0.24452706701160012,-0.28183702878258016,0.007306167674128759,0.7948941512440719,-0.6533954558135988,-0.2808118149476779,0.08536796865053342,0.8486892747314745,0.6743004246511263,0.047554580210929245,0.4228050545266253,-0.1311277386012934,0.6615528452041965,-0.3804723622824781,-0.11057928676259912,0.8224801407931845,0.14808099119226384,0.8127034819141586,-0.2576587583992493
AMG23,0.32751276379022926,-0.24951883535159497,0.9999999999999992,0.04859564123844846,0.014465531238043929,0.2827700046158564,0.2579664883207629,0.10407980147665383,0.16535842969202555,-0.017462200635002298,0.29325905544189196,0.2890835705540798,0.25559809227611663,-0.010317744349680472,0.16241571913367833,-0.2825078028497734,0.28775938749160856,0.17355518723454982,0.051176940857362026,0.14188471403407865,-0.3877536332755571,0.05391679560040118,0.4606867866055807,-0.16763812491354124,0.2776690981979924,-0.036592214012614484,0.2790351066104175,0.238045298101012,0.11279333873824991,0.22971711078567222,0.4350510430210848,-0.222626006527347,0.27442357833792086,0.06958480883307971,0.2999433203067184,-0.2907298124321207,-0.2343297036584231,0.3207865425522943,0.2725975635284975,0.24082068661974237,-0.3650881075556834,0.19803738527006728,-0.04595649874657426,0.2106412509091733,0.20728586496748208,-0.08357508319726131,0.2216348992599796
AZD45,0.47755988989586934,0.4794264969643527,0.04859564123844846,1.0000000000000016,0.3394549903930775,0.3955533187567035,0.33355633162185905,0.6948422227496125,0.40247027688390974,0.44364874159657797,0.45556081306670626,0.5575975978932214,0.5851022901533464,0.5748938064395139,0.5963946957384458,0.677240837227588,0.6109189575859316,-0.05439205344833563,0.8198070153580004,-0.005118479776977668,0.5412273608752176,0.25825363099443666,0.7286194859544214,0.39929119985233413,0.03522608935243023,-0.053314980458358356,-0.015614150073580507,0.4125204002811276,0.25406678140229894,0.5340934626878588,0.5365562723073226,0.5178842715991611,-0.1724367985213535,0.15684841423854817,0.34922153547839446,0.5686688820999628,0.5720514346655955,0.6376866828785467,0.41663879308640384,0.4867223494772726,0.6291655448745197,-0.048838439748878575,-0.04895829187299126,0.5028609930336486,0.42262857844335655,0.4011055139320612,0.5444025396798854
AZD77,0.3891848880165902,0.7208235210176395,0.014465531238043929,0.3394549903930775,1.0000000000000009,0.4728857721339046,0.6687919696313271,0.3382221532707702,0.6701382883432956,0.7357176920104701,0.5529895692413047,0.6793625065760409,0.3641248386808591,0.5799512581382501,0.35687281816425254,0.48033455385282237,0.2765290726413952,-0.009218854513765605,0.6309852053667614,0.032427058236754326,0.5860508298102274,0.6293303982523818,0.10208923858205753,0.5565113149648946,0.09943543377832598,0.26833304025245,0.2878533617667297,0.27008374349455205,0.6827734850597028,0.06832293384073418,0.529582358341742,0.6171828329344718,-0.23859726020019706,0.26782945945445663,0.6570507031503603,0.7310559655493887,0.5658360426842174,0.4732069174718452,0.5803640711330851,0.2736468302369879,0.45143691483273396,0.11576511189861048,0.20707734876089356,0.6975474286545496,0.6089720951075465,0.7218884622760418,0.20410019675978666
AZD80,0.7690984586914468,0.3697456705147292,0.2827700046158564,0.3955533187567035,0.4728857721339046,1.0000000000000013,0.616692682682717,0.5934178710180217,0.7821581635886035,0.8339715036398943,0.7657324333501127,0.45788401311633153,0.7579632646620373,0.4543140577452801,0.7934882230249977,0.3878471051229641,0.789495218782382,0.3083275668539715,0.6244093304960795,0.1868513465477878,0.4537753124502337,0.835265558634527,0.6890455997955497,0.7512582050919993,0.0642013230900287,0.0504971101169289,0.4865468548752932,0.8091072114607103,0.4455445792154026,0.2428581714589542,0.584767789368171,0.6238475393704506,0.15874793391749736,0.5821728395705812,0.5981185972231285,0.4160641549919216,0.5382170569813213,0.6855638222257578,0.8352537509207465,0.7724248558038774,0.3205389450006566,0.2651726811678294,-0.1467832181668641,0.8133919205861635,0.5173635744537978,0.6122884046874195,0.29985137039558996
Adavo,0.7527066430735555,0.6584410174819568,0.2579664883207629,0.33355633162185905,0.6687919696313271,0.616692682682717,1.0000000000000013,0.5717160248548822,0.5726681580931873,0.7615389170068401,0.7168169543274244,0.7316394740908003,0.6811520118253833,0.7760199019274345,0.6593102225805382,0.4750003617509298,0.7219290700137893,0.4866861427154855,0.5440010902334442,0.37262899398385474,0.5322559493406006,0.5427020490486254,0.5044023850266686,0.5432901569407724,0.2831723253704436,0.4039817022122398,0.6174840256173445,0.690495263411356,0.8825183566945719,0.3924872997743897,0.827223642190252,0.5651652458523677,0.144491757328859,0.6943148460530377,0.8040213830573637,0.631606900443738,0.5008550974513001,0.7171932854423588,0.6060776766728273,0.6756730975942111,0.34687611807740937,0.38514784849167344,0.13720219420524118,0.6901668332140597,0.7779574700763298,0.8413008103821786,0.4982342668125263
Afati,0.615811975360227,-0.08247383271740698,0.10407980147665383,0.6948422227496125,0.3382221532707702,0.5934178710180217,0.5717160248548822,1.0000000000000024,0.4443818189062427,0.6526696698165773,0.5677201113777934,0.6879962580932617,0.6128581890602645,0.671683434117241,0.5798316612024275,0.3307427866051609,0.5862726507287227,0.5574989710001594,0.7652679392808962,0.5077303957217472,0.14904272691259718,0.6902127385833566,0.6716315853579417,0.44780021708009843,0.41579062763506625,0.6147160188705956,0.6862521167365252,0.5457727286411738,0.42325088099421293,0.6385251047914359,0.6070671173518294,0.4671766917393215,0.24880898800018347,0.6261513822732983,0.5556778276806634,-0.0681408107126841,0.2707309101511076,0.6347370745957596,0.5418339288519485,0.5156527720049523,0.2751591741607076,0.5467227135043865,0.2868991512406833,0.619767276313403,0.5421028793607744,0.42548783571788684,0.6470175327801766
Alpel,0.7299531609889972,0.6927376081559162,0.16535842969202555,0.40247027688390974,0.6701382883432956,0.7821581635886035,0.5726681580931873,0.4443818189062427,1.0000000000000002,0.759541525345274,0.7381245707378401,0.3224719090265434,0.4908167779862758,0.510396251467851,0.7036063996708906,0.6463891364708102,0.5987133345843694,0.014620719348632091,0.7818926572386329,-0.027270439615659343,0.6774775726584993,0.700497414686716,0.3522225033052543,0.7258858328398905,0.005095942088212998,0.05619555923500051,0.2629754995358588,0.5714539129351018,0.352665917588623,0.1741589875671973,0.5119643595125426,0.7610289523508131,-0.35513894872969254,0.35307560447361674,0.3705904302067131,0.8018662527496039,0.6021380198910372,0.5102950913878325,0.8207895488763215,0.5010405477719796,0.6220431500450498,-0.03243149767238709,0.025919328625534283,0.8182831006271867,0.38529796829248153,0.7243536417881312,0.1558647659355976
BMS-7,0.6776156190929198,0.2132633850475257,-0.017462200635002298,0.44364874159657797,0.7357176920104701,0.8339715036398943,0.7615389170068401,0.6526696698165773,0.759541525345274,0.9999999999999997,0.7452801219410838,0.5543112808292994,0.5159829687625164,0.6012806421400448,0.7856294710922337,0.30457715838947524,0.7200348103469206,0.4539685385440425,0.5025565140391808,0.4080979159719294,0.30330421518994466,0.9284476647591605,0.4144596585320912,0.620300185743962,0.31393198269516415,0.5567004934305277,0.7110919769763804,0.7054806518054244,0.6193969334108507,0.40092575594391067,0.5910792821720945,0.6555765847024021,-0.08715575928188049,0.6775239856753846,0.666686553055688,0.2849813549300514,0.4480445528502047,0.6814468044006171,0.8616985140560843,0.5459698201651109,0.3344384742663088,0.45828002775925136,0.2661050194689093,0.7430180058470702,0.6810838126840568,0.6797122145659271,0.45568246410380797
