,cmpd_code,cmpdname,z,channel,mean_laplacian_var,std_laplacian_var,mean_normalized_var,std_normalized_var,n_wells
32,colo-040,SN-38,6,MITO,54080.313927283656,13425.067162910906,4921.852133597577,636.8778901433634,26
37,colo-040,SN-38,7,MITO,54720.11410757212,13639.572986226727,4856.689038833316,607.3775323123856,26
42,colo-040,SN-38,8,MITO,55507.74353966346,13958.638790435363,4782.699098937683,584.8182438474846,26
47,colo-040,SN-38,9,MITO,55687.66781850962,14006.460308282505,4662.444524718245,563.9265427637242,26
52,colo-040,SN-38,10,MITO,56052.76577524038,14182.585307950445,4542.182393739242,545.7122080153352,26
57,colo-040,SN-38,11,MITO,56226.99924879808,14361.73139959367,4390.663547426423,529.12577878415,26
62,colo-040,SN-38,12,MITO,56672.39272836538,14516.315168693925,4235.494446207553,523.2116689958507,26
67,colo-040,SN-38,13,MITO,57041.573918269234,14720.44919124942,4056.8031645800374,521.5315784386992,26
72,colo-040,SN-38,14,MITO,57511.314002403844,14852.980603611719,3866.3029539469862,514.3196887704015,26
77,colo-040,SN-38,15,MITO,58015.10366586538,14849.492757053069,3667.7353473284675,502.33275536677064,26
