,Neighbors_PercentTouching_Adjacent_nuclei,AreaShape_Orientation_cells,AreaShape_Extent_cytoplasm,Neighbors_SecondClosestDistance_Adjacent_nuclei,AreaShape_Zernike_9_5_cells,AreaShape_Zernike_5_5_nuclei,AreaShape_Zernike_2_2_cytoplasm,AreaShape_FormFactor_cytoplasm,AreaShape_Zernike_6_2_cells,AreaShape_Zernike_0_0_cytoplasm,AreaShape_Zernike_7_7_nuclei,AreaShape_Zernike_4_0_cells,AreaShape_Zernike_3_3_cells,AreaShape_Zernike_8_4_nuclei,AreaShape_Zernike_8_0_cells,Neighbors_NumberOfNeighbors_Adjacent_cells,Location_Center_Y_cytoplasm,AreaShape_Zernike_1_1_cells,AreaShape_Zernike_6_0_nuclei,AreaShape_Zernike_6_0_cells,AreaShape_Orientation_cytoplasm,AreaShape_Zernike_5_1_cytoplasm,AreaShape_Zernike_7_5_nuclei,AreaShape_Zernike_7_1_cytoplasm,AreaShape_Zernike_8_8_cells,AreaShape_Zernike_6_4_cells,AreaShape_Zernike_0_0_nuclei,AreaShape_Zernike_4_2_nuclei,AreaShape_EquivalentDiameter_nuclei,AreaShape_Zernike_0_0_cells,AreaShape_Zernike_9_5_cytoplasm,AreaShape_Zernike_9_7_cells,AreaShape_Zernike_9_1_cells,AreaShape_Zernike_8_2_cells,AreaShape_Zernike_8_6_cells,AreaShape_Solidity_cytoplasm,AreaShape_Zernike_5_1_cells,AreaShape_Zernike_2_0_cells,AreaShape_Zernike_4_0_nuclei,AreaShape_Eccentricity_nuclei,AreaShape_Zernike_6_6_nuclei,AreaShape_Zernike_2_2_cells,AreaShape_Zernike_8_4_cells,AreaShape_FormFactor_cells,AreaShape_EulerNumber_cytoplasm,AreaShape_Zernike_5_3_cells,AreaShape_Eccentricity_cytoplasm,AreaShape_Zernike_9_3_nuclei,AreaShape_Zernike_3_3_nuclei,AreaShape_Zernike_5_1_nuclei,AreaShape_Zernike_8_0_nuclei,AreaShape_Zernike_9_1_nuclei,AreaShape_Eccentricity_cells,AreaShape_Zernike_3_3_cytoplasm,AreaShape_MaximumRadius_nuclei,AreaShape_Zernike_3_1_cytoplasm,AreaShape_Zernike_7_1_cells,Neighbors_AngleBetweenNeighbors_Adjacent_nuclei,AreaShape_Zernike_2_0_nuclei,AreaShape_Zernike_7_5_cells,AreaShape_Zernike_1_1_nuclei,AreaShape_Zernike_9_1_cytoplasm,AreaShape_Zernike_4_2_cells,Neighbors_SecondClosestDistance_Adjacent_cells,AreaShape_Zernike_9_9_cells,AreaShape_Zernike_7_5_cytoplasm,AreaShape_Zernike_6_4_nuclei,Neighbors_FirstClosestDistance_Adjacent_nuclei,AreaShape_Zernike_2_0_cytoplasm,AreaShape_Zernike_7_7_cells,AreaShape_Compactness_cytoplasm,AreaShape_Zernike_9_9_nuclei,AreaShape_Zernike_8_2_nuclei,AreaShape_Zernike_4_4_nuclei,AreaShape_Zernike_4_4_cells,AreaShape_Zernike_9_3_cells,AreaShape_Zernike_2_2_nuclei,AreaShape_Compactness_cells,AreaShape_Zernike_9_3_cytoplasm,AreaShape_Zernike_3_1_cells,AreaShape_Zernike_5_3_cytoplasm,AreaShape_Zernike_1_1_cytoplasm,AreaShape_Zernike_8_6_nuclei,AreaShape_Orientation_nuclei,AreaShape_Zernike_7_3_nuclei,AreaShape_Zernike_6_6_cells,AreaShape_Zernike_9_5_nuclei,Neighbors_FirstClosestDistance_Adjacent_cells,AreaShape_Zernike_5_5_cells,AreaShape_Zernike_6_2_nuclei,AreaShape_Zernike_7_1_nuclei,AreaShape_Zernike_9_7_nuclei,Count_nuclei,AreaShape_MedianRadius_cytoplasm,AreaShape_Zernike_7_3_cells,block
5-FU,0.04759713207420556,0.10194406677677931,-0.12753592670987202,-0.6927069273131768,0.6073239738761872,-0.6757531768530888,0.7431986549970411,-0.3156440691128455,0.8187928661842624,-0.24871017773818593,-0.5729175712876707,-0.2734523463452405,0.48517135894137636,-0.3098386745029965,-0.5903365125843208,1.20382184820973,0.6393761130358246,0.42694031674548116,0.5434947809561661,-0.9660194985745992,0.09488101639445133,-0.09745107929054007,-0.7287217334249234,0.6742268059091091,0.18401730330034974,0.017535284041923817,0.8032146070836299,0.007957578324685187,0.07896789883066299,-0.02391310835359507,0.018567189169305474,0.3832949677364529,0.22623278457482118,-0.04187236337760383,-0.06754213081216606,-0.13781954908007144,0.6620493197163078,0.7197127565681251,0.9388150675647464,-0.7398478573699041,-0.8186077865729766,0.7811405503302109,0.6765078506598783,0.07232749580964282,-0.6627559413186488,0.2297206356052958,0.13058954020666058,-0.7223075466840666,-0.8364251055144405,-1.0856647740382603,0.1226313224471907,-0.43877147597434085,0.14017819457762193,0.3349620301093471,0.3115426123101024,-0.35403623584433574,0.4822665094276001,1.2234289594524568,-0.37957106836997523,0.29372310875539137,-0.92483841250925,0.5665619130845212,-0.07366912064935904,-0.9297124860416678,0.4496773765951258,-0.040286424857768094,-0.2358768540318208,-0.2848421577990203,-0.6196692923896693,0.588231526929558,0.1906605031614798,-0.5044060413442825,0.13855577053068016,-1.147606153997341,0.643243055012347,0.5013963277458486,-0.2456094680983956,-0.13829176200831667,-0.10977900959583659,-0.3460287883134805,-0.13071895863889152,-0.6251208271144292,-0.6784394371537393,-0.48387777101690654,-0.8011193185610503,0.27287614256809883,-0.910496448373613,-0.6162713756654314,0.5469926260116331,-0.6453812160148724,-0.6005047665298034,-0.7554002348742936,1.3279853618208133,0.038035931288265636,0.6430290456701806,2D
olaparib,0.2750632437534204,0.47817958019819623,-0.379293150803855,-0.7770649736092531,0.5989968672611786,-0.4154417704166678,0.3393526048855909,-0.4801799898045322,0.8720837000127113,-0.4679905310836908,-0.43525549651133133,-0.31923264246605776,0.34265594940866556,-0.6380157659018794,-0.5258171276902784,1.2472131160660744,1.0567131208009715,0.26117961101579173,0.0006316113043587342,-0.92806336070342,0.20187151611348558,-0.37387412651282964,-0.5602354875939753,0.16140753796756138,0.15778559312641094,0.04727795365727807,0.45777107177982806,-0.2422551097963393,0.06485933626062389,-0.07792021722491052,0.20600464852450756,0.24118804487069065,0.18180837848015854,-0.052848738413966916,-0.12416211638552516,-0.3287768552436656,0.4893027007602169,0.8097687959010798,0.7068099414534128,-0.29401228931678414,-0.4733617646197291,0.578470409315389,0.6853386908992709,0.06015478370574265,-0.39069446573462724,0.06389607253470893,0.04162192857555191,-0.3734630677511883,-0.7021528135147092,-0.552561306230276,-0.10194514066197358,-0.42958983632849856,0.0784852183373198,0.27271187805989267,0.230221199975089,-0.6217714062286164,0.2336082020376517,1.2408871519730562,0.20215154339282465,0.33641295431662394,-0.6549466882295639,0.23882006442009016,0.2708011876883162,-0.9532110879562257,0.20005952110527409,0.05568705600642728,-0.2175070781394017,-0.37060345657573035,-0.6869692198138916,0.3488606903883187,0.39704767166104576,-0.422218135714428,0.6216835419671868,-0.4985154668814818,0.3752499632579913,0.2070798410054693,0.14046714652847825,-0.1269720821437609,-0.19559231622945292,-0.39372299287038465,0.03937637622430917,-0.90722355516867,-0.4270735818949623,-0.18795998686921014,-0.6430845297143887,0.3029031666517262,-0.39840008702611984,-0.5946027094484996,0.4546549911122986,-0.1048302639559631,-0.5344426885141743,-0.5986267638269858,1.6508673783920937,-0.12875584491856845,0.5571236232221338,2D
5-FU,0.04759713207420556,0.10194406677677931,-0.12753592670987202,-0.6927069273131768,0.6073239738761872,-0.6757531768530888,0.7431986549970411,-0.3156440691128455,0.8187928661842624,-0.24871017773818593,-0.5729175712876707,-0.2734523463452405,0.48517135894137636,-0.3098386745029965,-0.5903365125843208,1.20382184820973,0.6393761130358246,0.42694031674548116,0.5434947809561661,-0.9660194985745992,0.09488101639445133,-0.09745107929054007,-0.7287217334249234,0.6742268059091091,0.18401730330034974,0.017535284041923817,0.8032146070836299,0.007957578324685187,0.07896789883066299,-0.02391310835359507,0.018567189169305474,0.3832949677364529,0.22623278457482118,-0.04187236337760383,-0.06754213081216606,-0.13781954908007144,0.6620493197163078,0.7197127565681251,0.9388150675647464,-0.7398478573699041,-0.8186077865729766,0.7811405503302109,0.6765078506598783,0.07232749580964282,-0.6627559413186488,0.2297206356052958,0.13058954020666058,-0.7223075466840666,-0.8364251055144405,-1.0856647740382603,0.1226313224471907,-0.43877147597434085,0.14017819457762193,0.3349620301093471,0.3115426123101024,-0.35403623584433574,0.4822665094276001,1.2234289594524568,-0.37957106836997523,0.29372310875539137,-0.92483841250925,0.5665619130845212,-0.07366912064935904,-0.9297124860416678,0.4496773765951258,-0.040286424857768094,-0.2358768540318208,-0.2848421577990203,-0.6196692923896693,0.588231526929558,0.1906605031614798,-0.5044060413442825,0.13855577053068016,-1.147606153997341,0.643243055012347,0.5013963277458486,-0.2456094680983956,-0.13829176200831667,-0.10977900959583659,-0.3460287883134805,-0.13071895863889152,-0.6251208271144292,-0.6784394371537393,-0.48387777101690654,-0.8011193185610503,0.27287614256809883,-0.910496448373613,-0.6162713756654314,0.5469926260116331,-0.6453812160148724,-0.6005047665298034,-0.7554002348742936,1.3279853618208133,0.038035931288265636,0.6430290456701806,3D
olaparib,0.2750632437534204,0.47817958019819623,-0.379293150803855,-0.7770649736092531,0.5989968672611786,-0.4154417704166678,0.3393526048855909,-0.4801799898045322,0.8720837000127113,-0.4679905310836908,-0.43525549651133133,-0.31923264246605776,0.34265594940866556,-0.6380157659018794,-0.5258171276902784,1.2472131160660744,1.0567131208009715,0.26117961101579173,0.0006316113043587342,-0.92806336070342,0.20187151611348558,-0.37387412651282964,-0.5602354875939753,0.16140753796756138,0.15778559312641094,0.04727795365727807,0.45777107177982806,-0.2422551097963393,0.06485933626062389,-0.07792021722491052,0.20600464852450756,0.24118804487069065,0.18180837848015854,-0.052848738413966916,-0.12416211638552516,-0.3287768552436656,0.4893027007602169,0.8097687959010798,0.7068099414534128,-0.29401228931678414,-0.4733617646197291,0.578470409315389,0.6853386908992709,0.06015478370574265,-0.39069446573462724,0.06389607253470893,0.04162192857555191,-0.3734630677511883,-0.7021528135147092,-0.552561306230276,-0.10194514066197358,-0.42958983632849856,0.0784852183373198,0.27271187805989267,0.230221199975089,-0.6217714062286164,0.2336082020376517,1.2408871519730562,0.20215154339282465,0.33641295431662394,-0.6549466882295639,0.23882006442009016,0.2708011876883162,-0.9532110879562257,0.20005952110527409,0.05568705600642728,-0.2175070781394017,-0.37060345657573035,-0.6869692198138916,0.3488606903883187,0.39704767166104576,-0.422218135714428,0.6216835419671868,-0.4985154668814818,0.3752499632579913,0.2070798410054693,0.14046714652847825,-0.1269720821437609,-0.19559231622945292,-0.39372299287038465,0.03937637622430917,-0.90722355516867,-0.4270735818949623,-0.18795998686921014,-0.6430845297143887,0.3029031666517262,-0.39840008702611984,-0.5946027094484996,0.4546549911122986,-0.1048302639559631,-0.5344426885141743,-0.5986267638269858,1.6508673783920937,-0.12875584491856845,0.5571236232221338,3D
