name_y,5Z-7-,AZD45,AZD77,AZD80,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Fluor,Gefit,Gemci,Linsi,MK-22,Oxali,PD032,Pacli,Palbo,Rabus,Regor,SB505,SN-38,Tanes,Tasel,Trici,Trifl,Vemur,Vorin,abema
5Z-7-,1.0000000000000009,0.6434704576473076,0.6356731567197457,0.7670459686973138,0.7309645739642405,0.7285703335130408,0.8247331650320746,0.931740860562954,0.4413208811232521,0.8919112915643057,0.5769522234542378,0.9319739220594285,0.9106169545864206,0.4019711426291562,0.8430906662795199,0.15685851490560404,0.8598495622787656,0.6232825660733571,0.6640287057033923,0.88548273029217,0.6741315671852434,0.25495475900417747,0.6685427005958392,0.6062672014535868,0.15977656650000918,0.7052506240963494,0.7727290691094401,0.8589508614622272,-0.25305768222339786,0.09963930644195186,0.8681449828726561,0.8001584741450635,0.0839050572810814
AZD45,0.6434704576473076,1.0000000000000007,0.7949766617587624,0.640325313997519,0.6087000200943993,0.7445640335830529,0.6776196055245471,0.62435018508871,0.5480697024369477,0.6073645860606008,0.662993329267036,0.6368748755695832,0.6159519371817362,0.47847231661328693,0.7762365468136678,0.4251355425515111,0.7420720114190327,0.5482812821105154,0.5526890390046648,0.5293154050136815,0.6473920378873093,0.5649144015549042,0.5829173048987354,0.6093087559600079,0.2391146418006022,0.7080545700701929,0.7196882018136187,0.7630046818630685,0.1317590008084329,0.41478789216883016,0.7025539579383624,0.652413991560164,0.44249459707454875
AZD77,0.6356731567197457,0.7949766617587624,1.0000000000000004,0.6985044462075799,0.6033787387242375,0.7250940047041033,0.8136227868456797,0.6301127451238943,0.6253746910428922,0.6525415280759028,0.6525591692343342,0.6014434650785301,0.6062781150334463,0.5764855345927123,0.7739853024248482,0.4141750751842343,0.8107931582102681,0.5025666601297115,0.6293670068846998,0.602961095218661,0.7004925600920695,0.4667583913304666,0.6682268552669478,0.5782064408148193,0.23741332908300988,0.7183429413758977,0.7670789087026624,0.7558151317361943,0.18193583969039961,0.4485458413306176,0.6984119592906817,0.6973951981778035,0.41411632670317156
AZD80,0.7670459686973138,0.640325313997519,0.6985044462075799,1.0000000000000013,0.691891890488176,0.7663441027551028,0.7763020923113392,0.8019795770642678,0.5290692779454038,0.7110745751306222,0.6197741501087642,0.7423187267907582,0.6977824794774775,0.5065469066899927,0.7692323964880072,0.3214839393754353,0.8758937621718753,0.7865265099328185,0.7716227895259756,0.7348747288150533,0.5729980564570174,0.24280147815650888,0.6291526414979062,0.7271499041022953,0.44967536687810816,0.6254991158885859,0.7954900339512676,0.8383407318947544,-0.10356196946688997,0.20277457674528337,0.8639203959936298,0.8038303282127536,0.24162630582883007
Afati,0.7309645739642405,0.6087000200943993,0.6033787387242375,0.691891890488176,1.0000000000000002,0.6662675417224437,0.6586908164854649,0.6827617945211703,0.583076258405965,0.6240868492318017,0.6314765732640718,0.6361383885561089,0.660279031115904,0.4784978883688367,0.7081988697334813,0.2739997595677234,0.69862147646845,0.6239052329116436,0.6405746156001577,0.5995129318674146,0.7076382853847057,0.33393298478792116,0.6018035805772215,0.7283810214861329,0.24191060265467476,0.6444626201834627,0.6783085064194625,0.7187042773864857,-0.024849430583220145,0.2908478547396551,0.7255532459046588,0.6987444264670433,0.2676384297320996
Alpel,0.7285703335130408,0.7445640335830529,0.7250940047041033,0.7663441027551028,0.6662675417224437,1.0,0.6972152542055885,0.6969821657010592,0.6236089735630613,0.6723735303181251,0.6447307562189423,0.7211775942239191,0.6889207142929422,0.5543459114494029,0.7246032932304709,0.3143147104712273,0.8022502590598819,0.5200931765904139,0.7315429048058336,0.6072693710707507,0.5727259741588211,0.33681704109276245,0.6270529043392175,0.6418195835848668,0.24974140936908412,0.6433756935880193,0.7287964653100886,0.8017799467266482,0.07118057273607278,0.36505657392486934,0.7360181105197008,0.6533712653866677,0.3663554230048328
BMS-7,0.8247331650320746,0.6776196055245471,0.8136227868456797,0.7763020923113392,0.6586908164854649,0.6972152542055885,1.0000000000000002,0.8294972320996108,0.549519519552253,0.7695172359127052,0.6770962395792688,0.8172341310843407,0.8006605448815705,0.6431872957751146,0.7941359414295807,0.23206823228863466,0.8439961228745567,0.5648213309489687,0.7472737014371584,0.8035359136186415,0.5604067206658567,0.20217111177651972,0.5354459756918497,0.5623654578542232,0.05949630426281776,0.5797098633467137,0.7056224928836194,0.8130555203403838,0.0811025429379237,0.4482800688943514,0.8610845482521486,0.721471463680976,0.23678420081145468
Binim,0.931740860562954,0.62435018508871,0.6301127451238943,0.8019795770642678,0.6827617945211703,0.6969821657010592,0.8294972320996108,1.000000000000001,0.3892146341129116,0.9314072071954721,0.5514523258376632,0.9240242435873873,0.9221349752360264,0.3499673672142668,0.8236962192919882,0.1415772615511019,0.8409704144896388,0.6710623547604693,0.69156374204983,0.895253702740574,0.6252626324223721,0.2510240316967852,0.71003346345311,0.6002370940045525,0.20515643961993282,0.7634847264901083,0.7469918190301963,0.8614182436173261,-0.2813260590079089,0.03428216368592326,0.8540509603859076,0.829904328792364,0.028990728867975595
Borte,0.4413208811232521,0.5480697024369477,0.6253746910428922,0.5290692779454038,0.583076258405965,0.6236089735630613,0.549519519552253,0.3892146341129116,1.0000000000000013,0.37635858688058355,0.6468914269428006,0.32145307653316624,0.2976503475032635,0.5995314636629581,0.49516382760562144,0.6428364596181474,0.615856467709914,0.48928737678399087,0.6364291806453729,0.3874272094118548,0.6437233455934456,0.5268645750974816,0.5353936370453184,0.6204022473559333,0.35580634120509724,0.6889246863990997,0.5527774829103496,0.5146666359420589,0.25775774458423145,0.5489842713840656,0.5347880304553224,0.46597658521943963,0.673596892378789
Cobim,0.8919112915643057,0.6073645860606008,0.6525415280759028,0.7110745751306222,0.6240868492318017,0.6723735303181251,0.7695172359127052,0.9314072071954721,0.37635858688058355,0.9999999999999991,0.48223755890998604,0.8924747029897926,0.9255297789649519,0.3970394520384005,0.8257670671870883,0.15371714687752047,0.8274183438838179,0.5774335657969832,0.5964909475298318,0.8939769636633078,0.6598874730687518,0.26107894896748757,0.7386480080350737,0.4737444048937293,0.06593353054660768,0.7622982364151505,0.71286818393216,0.8042081069203696,-0.3280838342889051,-0.000697086335540352,0.8142444230539414,0.8138112653219126,0.016425359794385114
