name_y,5Z-7-,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Fluor,Gefit,Gemci,MK-22,Nutli,Olapa,Oxali,PD032,PI-10,Pacli,Palbo,Regor,SB505,SN-38,Soraf,Tanes,Tasel,Trame,Trifl,Velip,Vinor,Vorin,abema
5Z-7-,0.9999999999999998,0.326514990027025,0.6629638653724453,0.7323059425581144,0.604948972820605,0.6300195389261196,0.7110306417849397,0.7056289813894407,0.587387192702639,0.8611139991235895,0.39937816906763574,0.7634145912166621,0.506975293832906,0.7650188802667137,0.7649768658143973,0.39041215384375066,0.7360529022055587,0.4536807368958452,0.46340190693557376,0.2522129198970957,0.014097056463531377,0.6961841205007144,0.7633386329937824,0.6006680600910906,0.6093864235924367,0.2718854473586709,0.8094655766332871,0.37231742839778653,0.692809836350327,0.8671597055266085,0.6451374343608924,0.796999564526923,0.7300691961018405,0.3609771651449266,0.28618738236149693,0.6122679849447604,0.5442960867122847,0.4092643587174489
AMG23,0.326514990027025,1.0000000000000004,0.35518337471442407,0.5094555692375162,0.03262654127163638,0.6267655501677312,0.2734910793101054,0.06364122079688607,0.7475034419191731,0.2753678144671582,0.7979583168816494,0.12286348074493852,0.5963204184834817,0.2818641161085114,0.1251422957732885,0.7712482677894614,0.09815805841330888,0.7746895153643147,0.004903710348763428,0.8807460095577626,0.5431940022026912,0.6089999637614323,0.24195625498263615,-0.09968337900913452,0.6723952877962794,0.7773908044453837,0.31002753991727516,0.39801615077111857,0.8312407951418515,0.28500826829310694,0.4826392046223915,0.07458695702702414,0.16910801386800203,0.794379355101299,0.3323609585413035,0.8002003326915804,0.6858334721836159,0.7958284839694121
AZD45,0.6629638653724453,0.35518337471442407,0.9999999999999998,0.6902388132507692,0.40823676468423997,0.6474107620099557,0.6906228349049311,0.5580017959401783,0.6686480621824018,0.6537477141958019,0.352298589204278,0.5641904526709385,0.6817768906641793,0.6224581722872282,0.7138889225468068,0.3825166435349205,0.7331611587716955,0.5626971591158018,0.3285102864634278,0.35154538938880936,0.15609225483217018,0.43424069125895065,0.7028272216480944,0.4482183941387282,0.5886253925658742,0.3608947893535157,0.6401642810520523,0.43965989450606724,0.5983882632116503,0.6954213261406735,0.6147059099380683,0.617683468195305,0.5552368305927657,0.4477745592420796,0.33733315590924273,0.4057977835832645,0.5177168346267991,0.5167243502058069
AZD77,0.7323059425581144,0.5094555692375162,0.6902388132507692,0.9999999999999996,0.4517422759420542,0.7217696672856755,0.6478728048697958,0.5166386094866406,0.6659771188057577,0.6306228710568961,0.6130590096804618,0.54031728132232,0.6509379108568571,0.7512712334745778,0.6503514427424452,0.46979017118946337,0.7111096238898902,0.6917894018625401,0.35164331207767685,0.49348540352685566,0.18718622481188088,0.5701987257122803,0.6557627870333592,0.5794911321692788,0.5750549837467207,0.38989163419207934,0.7734384919784498,0.5825305794801613,0.7347312478559307,0.7247805893304963,0.6823329513303505,0.602367165363044,0.5387155425580499,0.6304325194625792,0.49966663913658466,0.6264919764120909,0.6677844078691255,0.4857421469482591
AZD80,0.604948972820605,0.03262654127163638,0.40823676468423997,0.4517422759420542,1.0000000000000004,0.6966963791683125,0.6916089554556988,0.7813108798723177,0.4140355522999104,0.6928924121105018,0.1352758244781986,0.6879291264630258,0.13433956717666878,0.6740030489089209,0.6846166587796221,0.07606907247352807,0.5640135668207179,0.22650617657555464,0.45781093607056156,-0.028665580174646807,0.06259173013468369,0.5415238352189797,0.6769419809993824,0.7752427540686625,0.5762135622316579,-0.17192366057707026,0.4819630153702197,0.27331827340303005,0.41655746896176415,0.6395902016989867,0.561233174839351,0.7979163376250242,0.686872905516861,0.014060388563667717,0.07233812126772364,0.2919678903323822,0.331227795394734,0.10367308089671204
Adavo,0.6300195389261196,0.6267655501677312,0.6474107620099557,0.7217696672856755,0.6966963791683125,1.0,0.6107847933115653,0.5417427222702532,0.7649755656275434,0.5675001971063716,0.7215304102140294,0.5711234004043413,0.5915667741130675,0.6048852239948443,0.5058802798322057,0.5531266038576886,0.5058427365774383,0.7347754233280062,0.34749080932517445,0.6029513876955429,0.4656952852344047,0.7277574062685428,0.6094018152706715,0.5070574782687101,0.8107001963512749,0.36384917056312166,0.4290512791446853,0.6005352398997261,0.8345002206315305,0.6163710951183947,0.5810628730825166,0.6897694890987834,0.6679167038046179,0.7125370813290003,0.32029619926787045,0.7605856447258803,0.6160407734703257,0.5801122994507925
Afati,0.7110306417849397,0.2734910793101054,0.6906228349049311,0.6478728048697958,0.6916089554556988,0.6107847933115653,1.0000000000000009,0.7312516951481502,0.5575535637471394,0.6872127179699078,0.19573700752700762,0.7058679057626335,0.6560169792163019,0.8083513413506611,0.7748327055238833,0.39424567217944195,0.7883031705064725,0.42638739010936605,0.6039659960729141,0.19485773699931952,-0.06732125865155925,0.3072987209927024,0.7442299374507994,0.7691015667562137,0.623760775518359,0.19385438762841242,0.7372929108627273,0.4449618283821779,0.5990581342186946,0.7467186471347109,0.6638438515191943,0.8397163013373946,0.6037142855287256,0.28799760715418987,0.32224260091027956,0.3964209866216105,0.3011598214733387,0.5527847807903625
Alpel,0.7056289813894407,0.06364122079688607,0.5580017959401783,0.5166386094866406,0.7813108798723177,0.5417427222702532,0.7312516951481502,1.0000000000000009,0.46907109369887456,0.758792440087444,0.04624805706476549,0.716054147549613,0.362883254211681,0.6710538659563734,0.7671016644311973,0.2895437813358891,0.6423493162906551,0.16800764075236135,0.4659614094606204,-0.02556441387655574,-0.21512146235443916,0.440247911491245,0.7072075881999786,0.7773852929665648,0.4949385464473475,-0.02406436619623209,0.5907380130782405,0.2771980985994081,0.5708748714130433,0.6673440896726897,0.5666737927714293,0.8698469465588317,0.6720952362429091,0.01126740277835896,0.01885148908705147,0.3608555722624882,0.19758836833340515,0.2712099275153884
BMS-7,0.587387192702639,0.7475034419191731,0.6686480621824018,0.6659771188057577,0.4140355522999104,0.7649755656275434,0.5575535637471394,0.46907109369887456,1.0000000000000002,0.4638608158470524,0.6278656753100189,0.38905884840568095,0.7139861090616473,0.5304586693418005,0.4917129274422859,0.6410547304139624,0.569453520450493,0.7288593025893989,0.19862505913070683,0.68297760243255,0.4279627008721274,0.521617575069438,0.49017847362443334,0.3746154733619692,0.757304566448342,0.5727820878105383,0.47077121091558977,0.5598833148187217,0.788205800150654,0.575343419150963,0.5153814943549865,0.5199148426098148,0.4469607281919084,0.6777857381280941,0.4384523054542613,0.596918994929168,0.7540687114036234,0.6182468027206419
Binim,0.8611139991235895,0.2753678144671582,0.6537477141958019,0.6306228710568961,0.6928924121105018,0.5675001971063716,0.6872127179699078,0.758792440087444,0.4638608158470524,1.0000000000000002,0.2051427783263482,0.9060063161240746,0.5800591965788077,0.6697016642064888,0.8933337567078716,0.21562228717321894,0.7090903215452806,0.33601459974777736,0.6498938437779562,0.030978970711175835,-0.034574906929656396,0.5257602568387093,0.8839298325403303,0.6022712490672002,0.5487141975848009,0.1656944790837789,0.7115905245257091,0.29957313081220915,0.6582262222305562,0.8125632664463102,0.763117514326333,0.8327458225636561,0.8383326437406546,0.18080477389463495,0.10170672109809804,0.46240071212833667,0.3172072162451948,0.2910766879019463
