name_y,5Z-7-,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Gefit,Gemci,Linsi,MK-22,Oxali,PD032,Pacli,Palbo,Rabus,Regor,SN-38,Tanes,Tasel,Trici,Trifl,Vemur,Vorin,abema
5Z-7-,1.0000000000000007,0.712290873115717,0.7305873197897341,0.7553494139430303,0.38395381042412935,0.6405925756640822,0.7122397303464019,0.844548754768563,0.9170547847614796,0.42352034588914744,0.8134876728374578,0.6382388907203194,0.8919400458272109,0.8725212405066753,0.7356906192112846,0.2715651537230951,0.8148962443434876,0.6793765054613814,0.7857628654422625,0.8532975111214208,0.6156644678166336,0.4282258274102634,0.6409740679730255,0.6011215320102384,0.756493655238279,0.5827456532630262,0.8805803817543068,-0.042381054182368025,0.24391876971512372,0.8564174501596098,0.7480888690126049,0.3933627921359646
AZD45,0.712290873115717,1.0,0.7419824355538862,0.5552318630798188,0.4452711396938307,0.5342804047040777,0.6404767734964427,0.6352507920853235,0.7100980792829941,0.47059384607636134,0.6425966107565488,0.5483304841960388,0.6953045475794719,0.6950707828935607,0.49991903936227555,0.33464933869262525,0.735237249387795,0.48945877597211274,0.6029581914390414,0.591990762071114,0.586615612939259,0.6728129409849476,0.6873162647654366,0.43262063951358953,0.7545935793024134,0.5847477885383311,0.7151897466450654,0.08572479148679249,0.3538055061122978,0.6524049534083983,0.5368430777704094,0.5269655854334565
AZD77,0.7305873197897341,0.7419824355538862,1.0000000000000004,0.5625454341370619,0.6413342834104894,0.6001300568601579,0.6389580196219597,0.6924176484406128,0.701735781818078,0.4532872710324982,0.6220345674635567,0.5824869551664726,0.6694268061372324,0.6522394227133728,0.5021803312800317,0.40577612059801677,0.7271208586700988,0.46704411768704573,0.6378167257167786,0.6430563135434044,0.6082964814215839,0.57719061254516,0.7240975938492447,0.4523043203212498,0.7078488654290442,0.6209314811537658,0.6742988967726918,0.10537198465060416,0.34411367180044156,0.6689983345875125,0.577415250842179,0.4550670807127528
AZD80,0.7553494139430303,0.5552318630798188,0.5625454341370619,1.0000000000000007,0.2961870870850868,0.7046852105904057,0.6784909426181872,0.8497768571139869,0.8250936864319898,0.44270422122313224,0.736767910786059,0.7370744157963448,0.7930765220750351,0.8082537865743384,0.8668631259490154,0.5449019321613178,0.8918833988304621,0.7711860806638504,0.7746682085303274,0.8319081992725119,0.6127622910846402,0.3939020563822541,0.6023193709842212,0.7798037367278795,0.6264573085508873,0.6035147709843204,0.7914126231679084,0.013476468360318438,0.418849155452931,0.83152016537019,0.8685117406524643,0.42402829168381007
Adavo,0.38395381042412935,0.4452711396938307,0.6413342834104894,0.2961870870850868,1.0000000000000004,0.3674570501433204,0.4355535977476165,0.38138945892066434,0.3625938794367357,0.3651917521257756,0.29673919936509013,0.2562090139607186,0.3595298617731018,0.36053020067261043,0.33651339901196003,0.20362884993532748,0.36375648336144906,0.22618333103631333,0.3901202714452247,0.29416866977943545,0.45619681438713966,0.44977096505277425,0.5978664162553893,0.2905453150758656,0.5458594995039023,0.47068793154787936,0.42949919091701694,0.0066712571477448536,0.18845801901997344,0.39221209031324145,0.24862851423972765,0.3915271825237549
Afati,0.6405925756640822,0.5342804047040777,0.6001300568601579,0.7046852105904057,0.3674570501433204,1.0000000000000009,0.5938209183322627,0.6575273351703783,0.634863053343069,0.41054058192334375,0.5742851777372415,0.5967273664215058,0.6307353848430907,0.6372842653836936,0.6924391388689548,0.37226870770983617,0.6994304744827597,0.6710120118846052,0.6024440868262613,0.5851075162670365,0.512779222799211,0.4766236531310398,0.6603431154028476,0.6774450024932719,0.6570604072159898,0.51870575396465,0.6931403276808028,0.03632338212599013,0.37302811851547757,0.6326760551957789,0.6481975898517145,0.4166648706706566
Alpel,0.7122397303464019,0.6404767734964427,0.6389580196219597,0.6784909426181872,0.4355535977476165,0.5938209183322627,1.0000000000000002,0.6587719428445505,0.7002041697997032,0.3980319557034454,0.6148783143397347,0.5262160298084928,0.729569851752965,0.7679327790703585,0.6455795366395349,0.35921749731802655,0.7222096927322397,0.6305657613542821,0.7037004247641223,0.6343776697416861,0.5409153573248175,0.5410050462622001,0.523620957232028,0.6338902568816085,0.6364611655981266,0.6620120882592382,0.7892636439493892,0.050288268385355356,0.3470355867687251,0.7335901026080796,0.6151462628720443,0.4794070151548523
BMS-7,0.844548754768563,0.6352507920853235,0.6924176484406128,0.8497768571139869,0.38138945892066434,0.6575273351703783,0.6587719428445505,1.0000000000000022,0.883240726682183,0.4102623888113687,0.8584487724173959,0.8219955607453711,0.8939312617908368,0.8611907213346102,0.8179920777721776,0.3185964319983897,0.8893920337510273,0.7544739700658801,0.7103884356837996,0.8972431460600463,0.5794163846371481,0.35233313917619935,0.6706300948910877,0.6389065410856387,0.7114185387238301,0.5720100314399695,0.8396508515224442,-0.05064908541857907,0.26041967011853784,0.8204457562787368,0.8409472669274257,0.2949000081146213
Binim,0.9170547847614796,0.7100980792829941,0.701735781818078,0.8250936864319898,0.3625938794367357,0.634863053343069,0.7002041697997032,0.883240726682183,1.0000000000000004,0.4168575060103087,0.8694255089798866,0.7118768397106019,0.9275561594365367,0.9080726831875332,0.7742218160115669,0.3606502268777557,0.8738437375855602,0.6983994808671119,0.7871089039832133,0.8854881706729538,0.6134979471430597,0.39572751328520517,0.7351364396479725,0.6489326449412951,0.7766635606512958,0.5847245345376726,0.8572444961392515,-0.04863683787719997,0.27103250052693706,0.8427965470950508,0.8065593374849371,0.3528420343601423
Borte,0.42352034588914744,0.47059384607636134,0.4532872710324982,0.44270422122313224,0.3651917521257756,0.41054058192334375,0.3980319557034454,0.4102623888113687,0.4168575060103087,0.9999999999999997,0.4175500771215651,0.3824345467493121,0.433375958267177,0.45569137243191543,0.5365329608297732,0.42846567954941334,0.61913252710351,0.4506406752994918,0.43072938691897295,0.5017589831977642,0.5842688215921203,0.47450970417252186,0.5300169403133128,0.6281327251839135,0.5460107696687593,0.6412395538684281,0.5633636509689596,0.06577627524280508,0.5394707141145586,0.46643135566916283,0.46933549496885096,0.4733209900811769
