name_y,5Z-7-,AZD45,AZD77,AZD80,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Fluor,Gefit,Gemci,Linsi,MK-22,Oxali,PD032,Pacli,Palbo,Rabus,Regor,SB505,SN-38,Tanes,Tasel,Trici,Trifl,Vemur,Vorin,abema
5Z-7-,1.0000000000000004,0.6434704576473071,0.6356731567197458,0.7670459686973135,0.7309645739642402,0.7285703335130401,0.8247331650320745,0.9317408605629538,0.44132088112325146,0.8919112915643054,0.5769522234542378,0.9319739220594285,0.9106169545864207,0.4019711426291562,0.8430906662795196,0.15685851490560396,0.8598495622787652,0.6232825660733565,0.6640287057033923,0.8854827302921691,0.6741315671852441,0.2549547590041774,0.6685427005958391,0.6062672014535864,0.15977656650000904,0.7052506240963492,0.7727290691094397,0.858950861462227,-0.2530576822233981,0.09963930644195186,0.868144982872656,0.8001584741450619,0.08390505728108141
AZD45,0.6434704576473071,1.0000000000000007,0.7949766617587626,0.6403253139975196,0.6087000200943992,0.7445640335830528,0.6776196055245467,0.62435018508871,0.5480697024369476,0.6073645860606013,0.6629933292670362,0.6368748755695828,0.6159519371817372,0.478472316613287,0.7762365468136679,0.4251355425515111,0.7420720114190327,0.5482812821105151,0.5526890390046649,0.5293154050136818,0.6473920378873098,0.5649144015549045,0.5829173048987351,0.609308755960008,0.23911464180060202,0.7080545700701929,0.7196882018136184,0.7630046818630688,0.13175900080843292,0.41478789216883005,0.7025539579383624,0.6524139915601634,0.44249459707454886
AZD77,0.6356731567197458,0.7949766617587626,1.0000000000000007,0.6985044462075799,0.6033787387242378,0.7250940047041039,0.8136227868456799,0.6301127451238941,0.6253746910428917,0.6525415280759035,0.6525591692343343,0.6014434650785302,0.6062781150334472,0.5764855345927131,0.7739853024248485,0.4141750751842342,0.8107931582102681,0.5025666601297117,0.6293670068847002,0.602961095218661,0.70049256009207,0.46675839133046637,0.6682268552669479,0.5782064408148193,0.23741332908300988,0.718342941375897,0.7670789087026623,0.7558151317361956,0.1819358396903995,0.44854584133061753,0.698411959290682,0.6973951981778034,0.41411632670317156
AZD80,0.7670459686973135,0.6403253139975196,0.6985044462075799,1.0000000000000009,0.6918918904881761,0.7663441027551027,0.7763020923113393,0.8019795770642668,0.5290692779454024,0.7110745751306223,0.6197741501087649,0.7423187267907589,0.6977824794774782,0.506546906689993,0.7692323964880079,0.3214839393754349,0.8758937621718754,0.7865265099328174,0.7716227895259766,0.7348747288150532,0.5729980564570175,0.2428014781565088,0.6291526414979063,0.7271499041022946,0.4496753668781074,0.6254991158885858,0.7954900339512667,0.8383407318947556,-0.10356196946688989,0.20277457674528357,0.8639203959936301,0.8038303282127528,0.2416263058288296
Afati,0.7309645739642402,0.6087000200943992,0.6033787387242378,0.6918918904881761,1.0,0.6662675417224437,0.6586908164854652,0.6827617945211706,0.5830762584059643,0.6240868492318021,0.6314765732640724,0.6361383885561093,0.6602790311159047,0.47849788836883683,0.7081988697334811,0.27399975956772316,0.6986214764684495,0.6239052329116432,0.6405746156001582,0.5995129318674148,0.7076382853847065,0.3339329847879212,0.601803580577221,0.7283810214861328,0.2419106026546745,0.644462620183463,0.6783085064194622,0.7187042773864867,-0.024849430583220034,0.2908478547396552,0.7255532459046592,0.6987444264670424,0.2676384297320995
Alpel,0.7285703335130401,0.7445640335830528,0.7250940047041039,0.7663441027551027,0.6662675417224437,1.0000000000000002,0.6972152542055883,0.696982165701059,0.6236089735630609,0.6723735303181251,0.6447307562189426,0.721177594223919,0.6889207142929428,0.5543459114494033,0.724603293230471,0.3143147104712273,0.8022502590598819,0.5200931765904138,0.7315429048058337,0.607269371070751,0.5727259741588215,0.33681704109276256,0.627052904339217,0.6418195835848668,0.24974140936908373,0.6433756935880193,0.7287964653100892,0.8017799467266489,0.07118057273607264,0.36505657392486973,0.7360181105197008,0.653371265386667,0.3663554230048324
BMS-7,0.8247331650320745,0.6776196055245467,0.8136227868456799,0.7763020923113393,0.6586908164854652,0.6972152542055883,1.0000000000000013,0.8294972320996106,0.5495195195522526,0.769517235912705,0.677096239579269,0.8172341310843421,0.8006605448815715,0.6431872957751147,0.7941359414295809,0.23206823228863455,0.8439961228745563,0.5648213309489686,0.7472737014371587,0.8035359136186422,0.5604067206658574,0.20217111177651992,0.5354459756918505,0.5623654578542232,0.0594963042628177,0.5797098633467143,0.7056224928836196,0.8130555203403843,0.08110254293792375,0.44828006889435124,0.8610845482521493,0.7214714636809754,0.23678420081145465
Binim,0.9317408605629538,0.62435018508871,0.6301127451238941,0.8019795770642668,0.6827617945211706,0.696982165701059,0.8294972320996106,1.0000000000000018,0.3892146341129111,0.931407207195472,0.5514523258376636,0.9240242435873876,0.922134975236027,0.34996736721426674,0.8236962192919886,0.14157726155110184,0.8409704144896382,0.6710623547604694,0.69156374204983,0.8952537027405741,0.6252626324223726,0.2510240316967852,0.7100334634531106,0.6002370940045523,0.20515643961993263,0.7634847264901088,0.7469918190301962,0.8614182436173263,-0.2813260590079092,0.03428216368592335,0.8540509603859079,0.8299043287923634,0.028990728867975553
Borte,0.44132088112325146,0.5480697024369476,0.6253746910428917,0.5290692779454024,0.5830762584059643,0.6236089735630609,0.5495195195522526,0.3892146341129111,0.9999999999999993,0.3763585868805834,0.6468914269428006,0.32145307653316635,0.2976503475032636,0.5995314636629574,0.4951638276056214,0.6428364596181465,0.6158564677099138,0.48928737678399015,0.6364291806453721,0.38742720941185455,0.6437233455934455,0.5268645750974814,0.535393637045318,0.6204022473559329,0.3558063412050964,0.6889246863990998,0.5527774829103491,0.5146666359420587,0.2577577445842311,0.5489842713840649,0.534788030455322,0.46597658521943874,0.6735968923787876
Cobim,0.8919112915643054,0.6073645860606013,0.6525415280759035,0.7110745751306223,0.6240868492318021,0.6723735303181251,0.769517235912705,0.931407207195472,0.3763585868805834,1.0000000000000009,0.48223755890998665,0.8924747029897927,0.925529778964953,0.39703945203840074,0.8257670671870879,0.15371714687752044,0.8274183438838184,0.5774335657969836,0.5964909475298323,0.8939769636633081,0.6598874730687531,0.2610789489674879,0.7386480080350745,0.47374440489372965,0.06593353054660762,0.7622982364151514,0.7128681839321603,0.8042081069203698,-0.3280838342889056,-0.0006970863355403537,0.8142444230539421,0.8138112653219116,0.016425359794385135
Crizo,0.5769522234542378,0.6629933292670362,0.6525591692343343,0.6197741501087649,0.6314765732640724,0.6447307562189426,0.677096239579269,0.5514523258376636,0.6468914269428006,0.48223755890998665,1.0000000000000009,0.5414975708540057,0.4966692750295918,0.4521923421943494,0.6644258207544851,0.4195487446346441,0.6774315924836888,0.567739090900836,0.6905122659039433,0.4966364127737317,0.5931729811630024,0.3915502696024331,0.41733159286035326,0.660683979180411,0.21799816549131446,0.5682506650053886,0.6286358988696175,0.6125131126904099,0.11227979808199391,0.5535518527181257,0.6414048728765799,0.5298871532639602,0.4138079482494992
Dabra,0.9319739220594285,0.6368748755695828,0.6014434650785302,0.7423187267907589,0.6361383885561093,0.721177594223919,0.8172341310843421,0.9240242435873876,0.32145307653316635,0.8924747029897927,0.5414975708540057,1.0000000000000013,0.9093781474182651,0.3758502274517548,0.8092388262086241,0.04409064560797191,0.8527168120992952,0.5868513490993696,0.6377230899486462,0.8950693094913871,0.5950783035338769,0.18572818035313993,0.6619669112849862,0.5047029679850966,0.08153037712236583,0.6757160896389806,0.7191042361905665,0.8636924343871509,-0.32486243048482377,0.004043206058425716,0.8758555354982573,0.7965383116453785,-0.08187624968302272
Encor,0.9106169545864207,0.6159519371817372,0.6062781150334472,0.6977824794774782,0.6602790311159047,0.6889207142929428,0.8006605448815715,0.922134975236027,0.2976503475032636,0.925529778964953,0.4966692750295918,0.9093781474182651,1.0000000000000013,0.3693515424909824,0.80426115810978,0.06324625575297262,0.8247686687153972,0.5936521081096804,0.6045359407176274,0.896736507950403,0.6519276373724636,0.27398112270348923,0.6755794997196725,0.5560848280616092,0.1292988851085488,0.7065064608647325,0.7437194493099422,0.8458531612131621,-0.2753236190529741,0.01943261781415192,0.8485338221883291,0.792322754764416,0.024942930196982536
Fluor,0.4019711426291562,0.478472316613287,0.5764855345927131,0.506546906689993,0.47849788836883683,0.5543459114494033,0.6431872957751147,0.34996736721426674,0.5995314636629574,0.39703945203840074,0.4521923421943494,0.3758502274517548,0.3693515424909824,0.9999999999999998,0.448602355420277,0.5189843390243672,0.6562005557012665,0.22825186901665911,0.7758749095571109,0.390431436113103,0.38497933932538175,0.36092936831811456,0.49801429960524884,0.4413505581338738,0.19760728178127357,0.41044616059438527,0.5001723408702718,0.6835865167265156,0.35054335789410884,0.6090927405678795,0.5856523000760324,0.34827768812101273,0.4476766654872738
Gefit,0.8430906662795196,0.7762365468136679,0.7739853024248485,0.7692323964880079,0.7081988697334811,0.724603293230471,0.7941359414295809,0.8236962192919886,0.4951638276056214,0.8257670671870879,0.6644258207544851,0.8092388262086241,0.80426115810978,0.448602355420277,0.9999999999999993,0.20779888252205936,0.8814572354972537,0.6327932745658019,0.6488179587155616,0.7883113874150403,0.676999919738617,0.3805438923172227,0.6402917836337564,0.6462690114600456,0.17266790028515394,0.7336498859325774,0.7891112884205103,0.8449222680165183,-0.11903556275445548,0.22112329789476476,0.8507435202263485,0.8233650284254259,0.15772461262623952
Gemci,0.15685851490560396,0.4251355425515111,0.4141750751842342,0.3214839393754349,0.27399975956772316,0.3143147104712273,0.23206823228863455,0.14157726155110184,0.6428364596181465,0.15371714687752044,0.4195487446346441,0.04409064560797191,0.06324625575297262,0.5189843390243672,0.20779888252205936,1.0000000000000009,0.3225518913587837,0.38830171665493196,0.47000347035877543,0.1609270865146551,0.5308289067271028,0.8166192965677295,0.3664970111914445,0.4438491703086627,0.4781777668458029,0.8082775928467822,0.40677837624938373,0.3579245513961142,0.670860351948683,0.8493295695760522,0.27757952351766063,0.23679708497337076,0.807802178668861
Linsi,0.8598495622787652,0.7420720114190327,0.8107931582102681,0.8758937621718754,0.6986214764684495,0.8022502590598819,0.8439961228745563,0.8409704144896382,0.6158564677099138,0.8274183438838184,0.6774315924836888,0.8527168120992952,0.8247686687153972,0.6562005557012665,0.8814572354972537,0.3225518913587837,1.0000000000000002,0.6539672412825817,0.7874391915008835,0.8193979815572254,0.6061376252060691,0.3389908112299366,0.6731825467302821,0.7431136649797982,0.2659497051820232,0.6948050654260951,0.7923415198915678,0.8882079866376847,0.11584725276097235,0.4885017642311923,0.903027282147831,0.810806632181374,0.316310213097681
MK-22,0.6232825660733565,0.5482812821105151,0.5025666601297117,0.7865265099328174,0.6239052329116432,0.5200931765904138,0.5648213309489686,0.6710623547604694,0.48928737678399015,0.5774335657969836,0.567739090900836,0.5868513490993696,0.5936521081096804,0.22825186901665911,0.6327932745658019,0.38830171665493196,0.6539672412825817,0.9999999999999991,0.567169331782036,0.5543047566450826,0.5932654068647047,0.36801417105720324,0.5450936603094045,0.7005595160280482,0.4417691760902537,0.5512544825030969,0.7316797669129151,0.5559695203662522,-0.09715917253686407,0.20557316292776795,0.646144071587381,0.7311916144588941,0.2976938568037348
Oxali,0.6640287057033923,0.5526890390046649,0.6293670068847002,0.7716227895259766,0.6405746156001582,0.7315429048058337,0.7472737014371587,0.69156374204983,0.6364291806453721,0.5964909475298323,0.6905122659039433,0.6377230899486462,0.6045359407176274,0.7758749095571109,0.6488179587155616,0.47000347035877543,0.7874391915008835,0.567169331782036,1.0000000000000004,0.6128066761272175,0.5108569834922357,0.26599507024452074,0.5264830421215436,0.690006805211316,0.34213822763280444,0.5548794746081079,0.6416363143312425,0.7487112339747403,0.2324618184028086,0.6581841946881488,0.7605333645261051,0.6177961423163286,0.43824476303116117
PD032,0.8854827302921691,0.5293154050136818,0.602961095218661,0.7348747288150532,0.5995129318674148,0.607269371070751,0.8035359136186422,0.8952537027405741,0.38742720941185455,0.8939769636633081,0.4966364127737317,0.8950693094913871,0.896736507950403,0.390431436113103,0.7883113874150403,0.1609270865146551,0.8193979815572254,0.5543047566450826,0.6128066761272175,1.0000000000000013,0.5857734978673934,0.13382315184995033,0.6845433776158132,0.48532269914415394,0.16497159205813283,0.6628712691999217,0.7214498628893802,0.8029852934742975,-0.2865332255713188,0.017737635166444183,0.8525264031369281,0.803934124360947,-0.001179813978465144
Pacli,0.6741315671852441,0.6473920378873098,0.70049256009207,0.5729980564570175,0.7076382853847065,0.5727259741588215,0.5604067206658574,0.6252626324223726,0.6437233455934455,0.6598874730687531,0.5931729811630024,0.5950783035338769,0.6519276373724636,0.38497933932538175,0.676999919738617,0.5308289067271028,0.6061376252060691,0.5932654068647047,0.5108569834922357,0.5857734978673934,1.0,0.6571749083718139,0.7456893239719357,0.6016367776352242,0.22228122261871797,0.8198455778260523,0.7403227122168858,0.6273285387124449,-0.028349262999162034,0.29816915145273926,0.5975657438837849,0.6719416458378737,0.46861478144529334
Palbo,0.2549547590041774,0.5649144015549045,0.46675839133046637,0.2428014781565088,0.3339329847879212,0.33681704109276256,0.20217111177651992,0.2510240316967852,0.5268645750974814,0.2610789489674879,0.3915502696024331,0.18572818035313993,0.27398112270348923,0.36092936831811456,0.3805438923172227,0.8166192965677295,0.3389908112299366,0.36801417105720324,0.26599507024452074,0.13382315184995033,0.6571749083718139,1.0000000000000004,0.41968902824682114,0.3469412917167607,0.333902429404039,0.6418926823295233,0.4547225916618175,0.41611372874965447,0.7006064613872957,0.678183359758474,0.21884803213688664,0.2872467431829647,0.8244970477296143
Rabus,0.6685427005958391,0.5829173048987351,0.6682268552669479,0.6291526414979063,0.601803580577221,0.627052904339217,0.5354459756918505,0.7100334634531106,0.535393637045318,0.7386480080350745,0.41733159286035326,0.6619669112849862,0.6755794997196725,0.49801429960524884,0.6402917836337564,0.3664970111914445,0.6731825467302821,0.5450936603094045,0.5264830421215436,0.6845433776158132,0.7456893239719357,0.41968902824682114,1.0,0.48784585357051796,0.18412298723008944,0.7699715473406333,0.7226668223141066,0.63706678789061,-0.22218245107506995,0.027054961274841513,0.6286524923243004,0.7456192646519271,0.24409414264167525
Regor,0.6062672014535864,0.609308755960008,0.5782064408148193,0.7271499041022946,0.7283810214861328,0.6418195835848668,0.5623654578542232,0.6002370940045523,0.6204022473559329,0.47374440489372965,0.660683979180411,0.5047029679850966,0.5560848280616092,0.4413505581338738,0.6462690114600456,0.4438491703086627,0.7431136649797982,0.7005595160280482,0.690006805211316,0.48532269914415394,0.6016367776352242,0.3469412917167607,0.48784585357051796,1.000000000000001,0.5308508781200575,0.6050954938251719,0.72612275362177,0.6625321423225381,0.2142111361248532,0.5152574977190945,0.7174015696517488,0.6542457865353241,0.4290430651658161
SB505,0.15977656650000904,0.23911464180060202,0.23741332908300988,0.4496753668781074,0.2419106026546745,0.24974140936908373,0.0594963042628177,0.20515643961993263,0.3558063412050964,0.06593353054660762,0.21799816549131446,0.08153037712236583,0.1292988851085488,0.19760728178127357,0.17266790028515394,0.4781777668458029,0.2659497051820232,0.4417691760902537,0.34213822763280444,0.16497159205813283,0.22228122261871797,0.333902429404039,0.18412298723008944,0.5308508781200575,0.999999999999998,0.32226350828805217,0.4327152086096471,0.231504238647952,0.45969162559554744,0.38462865926355316,0.364048556751531,0.3267399775600592,0.39058480795441153
SN-38,0.7052506240963492,0.7080545700701929,0.718342941375897,0.6254991158885858,0.644462620183463,0.6433756935880193,0.5797098633467143,0.7634847264901088,0.6889246863990998,0.7622982364151514,0.5682506650053886,0.6757160896389806,0.7065064608647325,0.41044616059438527,0.7336498859325774,0.8082775928467822,0.6948050654260951,0.5512544825030969,0.5548794746081079,0.6628712691999217,0.8198455778260523,0.6418926823295233,0.7699715473406333,0.6050954938251719,0.32226350828805217,1.0000000000000007,0.7713901524532402,0.70245125981526,0.3705784448479999,0.637222573561565,0.6661363193460736,0.7098899668217313,0.7472541199853012
Tanes,0.7727290691094397,0.7196882018136184,0.7670789087026623,0.7954900339512667,0.6783085064194622,0.7287964653100892,0.7056224928836196,0.7469918190301962,0.5527774829103491,0.7128681839321603,0.6286358988696175,0.7191042361905665,0.7437194493099422,0.5001723408702718,0.7891112884205103,0.40677837624938373,0.7923415198915678,0.7316797669129151,0.6416363143312425,0.7214498628893802,0.7403227122168858,0.4547225916618175,0.7226668223141066,0.72612275362177,0.4327152086096471,0.7713901524532402,0.9999999999999998,0.7363120357696213,0.25866534636402344,0.5116418614526815,0.7926403214156605,0.806503730144292,0.330548299363269
Tasel,0.858950861462227,0.7630046818630688,0.7558151317361956,0.8383407318947556,0.7187042773864867,0.8017799467266489,0.8130555203403843,0.8614182436173263,0.5146666359420587,0.8042081069203698,0.6125131126904099,0.8636924343871509,0.8458531612131621,0.6835865167265156,0.8449222680165183,0.3579245513961142,0.8882079866376847,0.5559695203662522,0.7487112339747403,0.8029852934742975,0.6273285387124449,0.41611372874965447,0.63706678789061,0.6625321423225381,0.231504238647952,0.70245125981526,0.7363120357696213,1.0000000000000016,0.19962940677856914,0.4726211150754247,0.8704726123223907,0.8060293924698867,0.4304285137414392
Trici,-0.2530576822233981,0.13175900080843292,0.1819358396903995,-0.10356196946688989,-0.024849430583220034,0.07118057273607264,0.08110254293792375,-0.2813260590079092,0.2577577445842311,-0.3280838342889056,0.11227979808199391,-0.32486243048482377,-0.2753236190529741,0.35054335789410884,-0.11903556275445548,0.670860351948683,0.11584725276097235,-0.09715917253686407,0.2324618184028086,-0.2865332255713188,-0.028349262999162034,0.7006064613872957,-0.22218245107506995,0.2142111361248532,0.45969162559554744,0.3705784448479999,0.25866534636402344,0.19962940677856914,1.000000000000001,0.6671076305748823,-0.0649279368919708,-0.17105303198812527,0.5715283991451163
Trifl,0.09963930644195186,0.41478789216883005,0.44854584133061753,0.20277457674528357,0.2908478547396552,0.36505657392486973,0.44828006889435124,0.03428216368592335,0.5489842713840649,-0.0006970863355403537,0.5535518527181257,0.004043206058425716,0.01943261781415192,0.6090927405678795,0.22112329789476476,0.8493295695760522,0.4885017642311923,0.20557316292776795,0.6581841946881488,0.017737635166444183,0.29816915145273926,0.678183359758474,0.027054961274841513,0.5152574977190945,0.38462865926355316,0.637222573561565,0.5116418614526815,0.4726211150754247,0.6671076305748823,0.9999999999999999,0.3068674676307355,0.09388352045502052,0.6698345906815306
Vemur,0.868144982872656,0.7025539579383624,0.698411959290682,0.8639203959936301,0.7255532459046592,0.7360181105197008,0.8610845482521493,0.8540509603859079,0.534788030455322,0.8142444230539421,0.6414048728765799,0.8758555354982573,0.8485338221883291,0.5856523000760324,0.8507435202263485,0.27757952351766063,0.903027282147831,0.646144071587381,0.7605333645261051,0.8525264031369281,0.5975657438837849,0.21884803213688664,0.6286524923243004,0.7174015696517488,0.364048556751531,0.6661363193460736,0.7926403214156605,0.8704726123223907,-0.0649279368919708,0.3068674676307355,1.0000000000000013,0.8142794741088868,0.18412384882847407
Vorin,0.8001584741450619,0.6524139915601634,0.6973951981778034,0.8038303282127528,0.6987444264670424,0.653371265386667,0.7214714636809754,0.8299043287923634,0.46597658521943874,0.8138112653219116,0.5298871532639602,0.7965383116453785,0.792322754764416,0.34827768812101273,0.8233650284254259,0.23679708497337076,0.810806632181374,0.7311916144588941,0.6177961423163286,0.803934124360947,0.6719416458378737,0.2872467431829647,0.7456192646519271,0.6542457865353241,0.3267399775600592,0.7098899668217313,0.806503730144292,0.8060293924698867,-0.17105303198812527,0.09388352045502052,0.8142794741088868,0.9999999999999992,0.12095463537000309
abema,0.08390505728108141,0.44249459707454886,0.41411632670317156,0.2416263058288296,0.2676384297320995,0.3663554230048324,0.23678420081145465,0.028990728867975553,0.6735968923787876,0.016425359794385135,0.4138079482494992,-0.08187624968302272,0.024942930196982536,0.4476766654872738,0.15772461262623952,0.807802178668861,0.316310213097681,0.2976938568037348,0.43824476303116117,-0.001179813978465144,0.46861478144529334,0.8244970477296143,0.24409414264167525,0.4290430651658161,0.39058480795441153,0.7472541199853012,0.330548299363269,0.4304285137414392,0.5715283991451163,0.6698345906815306,0.18412384882847407,0.12095463537000309,1.0000000000000009
