name_y,5Z-7-,ABT-7,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Cobim,Crizo,Dabra,Doram,Encor,Fluor,Gefit,Gemci,Linsi,MK-22,Navit,Nutli,Olapa,Oxali,PD032,PI-10,Pacli,Palbo,Rabus,Regor,Ruxol,SB216,SB505,SN-38,Sapit,Soraf,Tanes,Tasel,Trame,Trici,Trifl,Vemur,Vinor,Vorin,abema
5Z-7-,1.0000000000000013,0.4319152191137234,0.48009587076714144,0.5626711238885045,0.752417478146946,0.6606688459105294,0.7618351498159004,0.7707473826967907,0.5299905308354076,0.6565238504834899,0.8307460360497732,0.8879545257124093,0.6391445535921698,0.6689523187790674,0.34553507414949536,0.7547200770012171,0.6556353367313676,0.5178887371947201,0.6635986919189036,0.42413901724069303,0.4089272521157324,0.5148729044212508,0.49870971423123067,0.44712194410896555,0.6530126780858498,0.8664656726893685,0.685431557095656,0.620888713260256,0.5824586870773469,0.4779795477419688,0.6340496991958011,0.26351492817025357,0.43917633062476236,0.6306229124234034,0.701866218994107,0.34959117236808396,0.6497785729076835,0.7177674935537,0.5627976221233839,0.8783151278966914,0.28242759177364435,0.5514742880268138,0.24945404884762468,0.6154165623710809,0.6028186980557955,0.6750518194811478
ABT-7,0.4319152191137234,1.0000000000000009,0.1486385488707457,0.6208799995824854,0.8077941218112576,0.570669479649685,0.7766075743766728,0.6620521286794416,0.7394394692654972,0.41549959956910065,0.6151170986324193,0.6486292118865873,0.2795093973099246,0.7767618211405646,-0.15134450048927547,0.7122047197395877,-0.34440893234011394,0.5622005111141006,-0.1780639186899775,0.3347729151285035,0.402547162742247,0.20707395817182336,0.08406860286519757,-0.22545104650734793,0.18668426746247252,0.6036368161683261,0.6754786637750667,0.3568767560871805,0.4356623374608422,0.5883583836549553,0.6470218907286542,0.03846379196116932,0.7821104081660499,0.19332246365291902,0.23476557487028887,0.835803121015334,0.538414375168157,0.3330949803305648,0.7963992853068255,0.536272661269852,0.008743978375215348,-0.20926261823562192,0.37201784738282595,0.3338394757379328,0.4669736701596303,0.4706502211116692
AMG23,0.48009587076714144,0.1486385488707457,1.0000000000000007,0.36331792883421,0.3595649367041963,-0.05033644855675444,0.578828395694043,0.49129664138660667,0.028344940505993607,0.6485904525152907,0.2988461336472967,0.43036651509015605,0.5600654916497633,0.46126727883259167,0.4158919059536506,0.4484345105551067,0.7455246094907114,0.11634552110543088,0.6631381149134108,0.07899496037575628,0.19510528908351651,-0.09735592281214339,0.9634643783361093,0.7435896135866927,0.7561183649104588,0.40445066920760325,0.07297341677704947,0.2968311995585662,0.9078006395966585,0.2301075550442499,0.14306465918560513,0.2859871825749569,0.4628112494106616,0.25175856422381493,0.7487066691973263,0.2047217788890577,0.4358667423201621,0.6570283843296473,0.2250054677259638,0.3988111480225026,0.6594627896404404,0.7815036216284893,0.4544075209801828,0.4783644904430918,0.5252968781474456,0.8682497524795674
AZD45,0.5626711238885045,0.6208799995824854,0.36331792883421,1.0000000000000018,0.6218932973851679,0.4843923746576628,0.5738624182494134,0.6863631723442917,0.4819814811655693,0.503298899433083,0.60171130375378,0.6751044891552676,0.630076884050425,0.5645878744452244,0.3806873589477192,0.6920538717131755,-0.03658697148584232,0.7871124659796745,0.11064225932381178,0.13191974513569807,0.6750776302418133,0.12542551022047788,0.3308663380339587,-0.10654950873375325,0.41554119370178627,0.5607872135004257,0.5594255720418959,0.40661689629763936,0.7454655964449909,0.6270209375534762,0.7226944347927287,0.3439179280258999,0.6214715935210104,0.42823383124410086,0.26221200275771817,0.5832722419487214,0.7203050473711891,0.5070955055464819,0.5856299159308662,0.6156436606758097,0.1307816464845304,-0.008250699704731614,0.3800921478677363,0.4577459418127322,0.5697553510891784,0.6544535739286865
AZD77,0.752417478146946,0.8077941218112576,0.3595649367041963,0.6218932973851679,1.0000000000000004,0.7556133334536673,0.8433856918885527,0.7697376000567426,0.8199821418959272,0.9065279646277313,0.7525365333512024,0.7680775538296609,0.8250329741756596,0.7169961756647207,-0.0941054672690707,0.9141118261122753,0.23333955707064652,0.4935749250993195,0.34558363625210586,0.30925086647480277,0.4620638028372079,0.141000630868386,0.3469836399629671,0.28169746456751066,0.4970806261026686,0.7059467394364076,0.8404766333036137,0.8500804185946,0.5204741140735726,0.6746291034653236,0.6629848739744292,0.11205028935027364,0.6916906763184697,0.6595899134437355,0.7219261657117754,0.9238167191604809,0.5903631373537249,0.6780158796525102,0.9298580287219278,0.7235391773685048,0.13464552253951612,0.25197974651352273,0.40089672979740304,0.8271082859985743,0.6681614409200592,0.5976178496798616
AZD80,0.6606688459105294,0.570669479649685,-0.05033644855675444,0.4843923746576628,0.7556133334536673,1.0000000000000018,0.7471083475235065,0.8027463257404523,0.78205975738881,0.6317760260856033,0.7357272115497001,0.636638454972418,0.42815234637993516,0.6067359451421819,0.2470066791520821,0.84612015843922,0.10010243472428533,0.5037051929864377,0.08803103758248323,0.5703629065722354,0.6836015097300875,0.7918188824462643,-0.08615441418592451,-0.0537425983321092,0.3522363993435516,0.6584213778550598,0.9177642529238954,0.6205277406820433,0.2285238041371795,0.38573870347154116,0.5989434958372895,-0.0602285135423927,0.3104176719940323,0.5737580389212984,0.31870139855954405,0.5146364290761507,0.5418508045009819,0.5166476746774765,0.7843173856343729,0.6529253753265374,-0.12683377180426897,-0.047981905410863716,0.10057811332159455,0.5209023401886788,0.33716797473311355,0.3192552668143403
Adavo,0.7618351498159004,0.7766075743766728,0.578828395694043,0.5738624182494134,0.8433856918885527,0.7471083475235065,1.0000000000000004,0.8464749445872732,0.7609758615894369,0.7766921313967322,0.7401350512980225,0.7376714954614987,0.7733018870715564,0.768314794930423,-0.1336755024353286,0.8306710632953973,0.33211198463075864,0.4963289014839315,0.4051810545994187,0.5743578567228481,0.44985543519831617,0.313493539495429,0.5288264334615949,0.245183392091312,0.6705281389952102,0.71135332412532,0.8360783089238857,0.8532306023023131,0.7036280653271334,0.7539124641408036,0.6249155692472667,0.08219937609000927,0.5400622352798325,0.640339206704105,0.614747591793051,0.667931056014651,0.6825041006825858,0.8323740348627673,0.7650426951179391,0.7412620007761672,0.20142114096232394,0.2554343380623761,0.48239038782419885,0.7483241826780729,0.7117784159206288,0.755694198320261
Afati,0.7707473826967907,0.6620521286794416,0.49129664138660667,0.6863631723442917,0.7697376000567426,0.8027463257404523,0.8464749445872732,1.0000000000000007,0.6316406103500158,0.6119589092751699,0.7926876653708068,0.7635603848009891,0.700455776131037,0.703491086017741,0.4154833004965829,0.8984500161016256,0.20918665162133987,0.7233573212715101,0.1912808631507224,0.6215405979580275,0.5212408545994655,0.6032011018508824,0.442296007202887,0.1397109960190922,0.4620183668561844,0.7773234541326473,0.8268218784262935,0.622340025370385,0.7403688173213387,0.45905725101832684,0.7507259019067116,0.42084591645335606,0.6452987460360582,0.5728209010217367,0.5428960210296894,0.5697589901019369,0.7637678843734234,0.7478708462704261,0.7215010033116247,0.7670156807292898,0.11650653676459136,0.09500337990964172,0.5611302232398148,0.7469062449533779,0.764453543645205,0.7550288454340192
Alpel,0.5299905308354076,0.7394394692654972,0.028344940505993607,0.4819814811655693,0.8199821418959272,0.78205975738881,0.7609758615894369,0.6316406103500158,1.0,0.354702899713095,0.7257939434068251,0.7737946202615041,0.19571533494565604,0.7606838920974828,0.0634863341015019,0.8167364102490275,-0.32431801215512446,0.41877703978231623,-0.1574168023283594,0.5004445223848261,0.39012796634253744,0.3797107854518879,-0.014234530764121954,-0.26513682510380643,0.15504250905359432,0.6710751966208024,0.8775248392963113,0.4248591220102902,0.28405795898492625,0.5212388070634044,0.6615191185630188,-0.15702648805925445,0.5154331757761346,0.12415383438679567,0.10586956726973668,0.8047376976547631,0.6275033209924322,0.27710268354840895,0.9575244595330976,0.646204820893376,0.0326777912830771,-0.27757241585478826,0.07698811957939261,0.2922340916618008,0.3393584381692215,0.3940360027973746
BMS-7,0.6565238504834899,0.41549959956910065,0.6485904525152907,0.503298899433083,0.9065279646277313,0.6317760260856033,0.7766921313967322,0.6119589092751699,0.354702899713095,1.0000000000000016,0.6757560059204725,0.6663727363018517,0.8711020513354142,0.5947814929469966,0.30494486379150043,0.5778144677785187,0.5224644506997904,0.28553094276909746,0.5870170158761785,0.4598442446201288,0.4100226244366192,0.6981943266220285,0.6350111708384578,0.6412320614370304,0.5863602311467855,0.6351965984784768,0.5010674490556922,0.8151990688456022,0.6530163034688263,0.29007332696629917,0.40490780961088635,0.11133835983495727,0.5966523794998861,0.5166309433192751,0.6191090595971553,0.44679146802939657,0.5217337908814125,0.5811023702780247,0.5618993548024207,0.6493166179040404,0.3202847645047959,0.5243598880707491,0.4672283166001079,0.7044134663652716,0.5363000823018707,0.6636864878057053
