barcode,seg_type,well,plane,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_objects,n_pred,depth_um,depth_bin
PB000137,cell,D12,1,HCT116,DMSO,0.7986391664894747,0.4991045272621907,0.7588490438655002,0.5166666666666667,0.5081967213114754,0.5123966942148761,31,30,29,61,60,5,0-20µm
PB000137,cell,D12,11,HCT116,DMSO,0.5898722166702225,0.287767346776653,0.7296845441768303,0.2562814070351759,0.2318181818181818,0.2434367541766109,51,169,148,220,199,55,40-60µm
PB000137,cell,D12,3,HCT116,DMSO,0.87038061577466,0.3328699518658767,0.7426652779850689,0.264,0.2538461538461538,0.2588235294117647,33,97,92,130,125,15,0-20µm
PB000137,cell,D12,5,HCT116,DMSO,0.8212284385463753,0.3430687511249211,0.7780069280598291,0.3290322580645161,0.281767955801105,0.3035714285714286,51,130,104,181,155,25,20-40µm
PB000137,cell,D12,7,HCT116,DMSO,0.7867153890253509,0.3399943502630886,0.7522036672126846,0.3142857142857143,0.2946428571428571,0.304147465437788,66,158,144,224,210,35,20-40µm
PB000137,cell,D12,9,HCT116,DMSO,0.6945932803570639,0.3004384914875449,0.7054502380546334,0.2437810945273631,0.2197309417040358,0.2311320754716981,49,174,152,223,201,45,40-60µm
PB000137,cell,F06,1,HCT116,DMSO,0.5493589815869293,0.5140590106230409,0.7206291703262943,0.5333333333333333,0.5333333333333333,0.5333333333333333,8,7,7,15,15,5,0-20µm
PB000137,cell,F06,11,HCT116,DMSO,0.2962194786549287,0.3018271878142458,0.6791910892373638,0.26,0.2549019607843137,0.2574257425742574,13,38,37,51,50,55,40-60µm
PB000137,cell,F06,3,HCT116,DMSO,0.7377088179319095,0.4414181291129907,0.7279932759974147,0.3880597014925373,0.3880597014925373,0.3880597014925373,26,41,41,67,67,15,0-20µm
PB000137,cell,F06,5,HCT116,DMSO,0.6704710546104071,0.3209432595302197,0.7376361835468563,0.275,0.2519083969465648,0.2629482071713147,33,98,87,131,120,25,20-40µm
