PC1,PC2,slice
-6.124671985907101,6.312621778578191,6
-6.974770743070019,4.779283691242598,7
-6.370410696643379,8.896527422902656,4
-6.7756255681568796,7.635703771615514,5
-5.792930508671795,8.150969115005902,3
-2.8802068857526075,3.1682920198180193,10
-1.1079006407069647,9.08413546936381,2
-3.005010809479245,2.8527069184858016,11
5.0117961352157625,11.436380920331267,1
4.042938252749183,10.824833806226001,0
-3.6012768034350735,3.8600018811471744,9
-4.346514302493713,3.699364219422729,8
2.9962699173954865,1.2700370270881394,6
0.9110765229028135,1.4856876058431567,7
8.994788368880116,4.2118931712672865,4
5.106116209275475,0.9543653734816011,5
13.635383540287538,2.613422282622083,3
-1.7701888398655266,1.351723554749068,10
19.69942837923631,1.5272997008594122,2
0.15033668762097108,2.49487895549046,11
25.09988881667997,3.8739308388330187,1
12.482671554529865,-4.351622320185631,0
-0.5186077530027395,1.8290461365630704,9
-1.0401042089171044,0.7987645836723984,8
-15.668867375900717,2.661982946166967,6
-11.440070439306153,3.6760231105627614,7
-18.2417412252683,4.369428813451579,4
-16.91835473185106,3.61486053499305,5
-16.80962393980467,3.2911832908574334,3
-8.003143802603915,1.2169577731946686,10
-17.757655823491614,7.26671994469671,2
-8.675862545956473,-0.4699820083879348,11
-15.804490788046987,9.30942936231937,1
-11.221718749223777,8.509532936348721,0
-8.04327616539743,2.120410108927987,9
-11.734802811752765,0.6128058491015627,8
-9.966817557250078,0.5646678483763818,6
-8.817897493415515,-0.4434379564406814,7
-11.462927877453257,-3.492900924679578,4
-9.59511038399734,-1.7814219708350096,5
-12.591614128330093,-3.920855478275864,3
-7.570374532664935,-0.016608836057250942,10
-10.0476937077272,-0.565745877531368,2
-6.930012476075209,0.48102081302981525,11
-11.359350504770092,-1.7894654136091395,1
-10.811025695876621,0.09048367533919388,0
-6.740234838611045,0.8847616793902018,9
-7.035595017212252,0.271107859866322,8
-5.219917702324498,4.625402096085006,6
-5.914520685129462,2.163060530346291,7
-6.995359629669355,8.129492942560656,4
-6.525046164239184,5.505163849400474,5
-8.416711219659579,8.68721221906292,3
-4.686919071667848,0.6405675275771565,10
-3.0615763900257704,10.210678770508935,2
-5.822948277322245,-0.5485362614442195,11
1.5654965533051324,12.99620934154446,1
7.531901596380706,15.676087389274434,0
-4.34026909399784,1.8810026777917168,9
-7.561309023479353,1.0436993890446509,8
-12.695149066150812,4.046838508678599,6
-14.562009560167226,2.2629445736685003,7
-13.570250569697624,6.406190565765956,4
-18.742920038158385,2.722515910367431,5
-11.470215408525037,7.425021686125982,3
-8.77590274276815,0.6504034809609547,10
-12.890386470522017,6.647268617104844,2
-7.691979235547208,0.5440985864814232,11
-14.539803521388315,14.685419631179531,1
-9.219884826962398,7.394136178159062,0
-9.135064427129121,2.529718797128953,9
-12.858965739293993,1.3090203311012891,8
0.9444189784405697,2.7436481217076976,6
-0.5477714321889611,-0.056265695052672815,7
6.622153342259719,5.286567607833941,4
2.3174503032137688,3.090091865662507,5
10.838141263736315,5.641150420035889,3
1.6490623679108234,2.789384587068895,10
10.61759561861784,2.816943752332464,2
1.136770864564907,2.278433453502341,11
11.028380648226278,2.507661764388196,1
6.035138294661432,-14.401461466043715,0
-0.23043093166620032,2.5409058796125636,9
-1.2120800817146087,0.2743838239598998,8
-2.7718370946664033,-1.110955055684679,6
-1.4545151114982744,-0.16007547800163874,7
-1.324491525017586,-1.3569047344659562,4
-1.8390949994705732,-0.5885385711620617,5
-2.0948297431766774,0.7898043747468575,3
-0.4188282565474468,0.15326330883857842,10
7.143056516718667,0.40640155348038953,2
2.6460450362752956,1.0441278172341493,11
0.6531762398317049,-2.4479824243869044,1
-0.5540782833375104,-3.6486315057462324,0
-0.5522371551748346,-1.6846308048502454,9
-0.9380940245219502,-3.185467461385297,8
-19.148670758486208,5.859420218197526,6
-16.51548695267036,5.561380645009143,7
-20.990689849547785,7.659988752476478,4
-19.878830014871042,5.719909483014535,5
-18.083348337184916,7.15874361721391,3
-15.138477424532525,3.141393515422351,10
-19.054232851875796,9.893582370707731,2
-12.950679305579769,2.326706596488152,11
-14.255803136572439,16.576432727474078,1
-4.14823616893529,14.01558653342404,0
-14.482145068585663,5.25677141193701,9
-14.7705841268501,5.656959566274718,8
-6.346000804211936,-0.7288143378746186,6
-4.516703472552749,-1.0315651634295788,7
-10.152751460293214,-4.061627516744818,4
-7.847778577999545,-0.7923441190068036,5
-12.602063379500372,-5.727754612354999,3
-0.07287027275873736,0.17530547082837344,10
-7.709853022363305,-5.399283833685963,2
-2.1219376691166847,-1.0749365499081982,11
-10.59932419935114,-3.6836136950004175,1
-15.321968877273129,-14.999822285083853,0
-2.0264515910241627,1.5316047538609971,9
-2.560273587310041,0.5249818676212967,8
-11.50350136388854,3.8859098000294026,6
-10.225699981842109,3.875232430619369,7
-14.968453516392817,4.594630987432852,4
-12.378321267959464,4.082588327904177,5
-12.100262915666086,6.197325293412058,3
-13.02567118884194,0.9548453494491886,10
-1.3281536361313693,4.72310754477447,2
-9.340259859202005,0.8033665463969968,11
5.738837710480828,9.120977273143318,1
3.8805262752072553,7.959327498604525,0
-10.913759832014012,1.64410438058329,9
-13.392607947230122,0.702337074808171,8
-10.539450054215202,6.00953136673864,6
-9.68082623173833,5.1251250583664785,7
-16.205294191760135,3.0370907879061875,4
-13.470336065582913,6.275379575018898,5
-11.543021531015441,7.037872587250563,3
-12.937494372404672,1.3116972236167335,10
-7.2815811507050725,8.204873322021262,2
-13.647254889928348,0.640997521850982,11
-9.192567910582884,3.9319124644986374,1
-15.239515488520304,-6.782489826868317,0
-12.278987985366001,3.441835074393306,9
-13.290292009244112,2.5935296102304397,8
0.6460180160645344,-2.7963271886355665,6
0.9582563247877052,-5.954783422175585,7
2.9082209169841304,-1.941622821802224,4
2.3229834774901987,-1.0890093632473883,5
-2.5782408537371735,-5.822869850568277,3
-4.835626292239654,-3.859564860568857,10
0.024851510904099428,-6.974172044025383,2
-3.187766076369174,-3.9086550594025438,11
5.563829290353084,-16.701162275631013,1
-9.577237877583597,-36.74347643186107,0
-2.588178303081624,-4.028298461903334,9
-3.037927225618221,-3.634462939286027,8
-2.9742925219077785,1.745864646901713,6
-3.093586384165122,-2.0352274341609,7
-3.3324816832878295,2.49048358993969,4
1.2764506716857955,1.6946269077950264,5
-1.2824607641851458,6.359133073566548,3
6.03380443563926,1.5300707687048154,10
-1.644158749862088,8.061951173765772,2
3.705757150850851,1.6391819398300964,11
6.080638477074676,11.814901914199266,1
0.03286179793456245,2.9444824163510237,0
0.7136356324704436,-1.2954913850542853,9
-0.2899335834960173,-0.9329218152558254,8
18.243121792869054,-6.750566430951854,6
19.030849203883253,-6.236671612655272,7
20.209950281042687,-10.386525163177136,4
20.169539037639982,-7.287833237591412,5
17.40882464968513,-4.404299607311209,3
13.048337609880203,-3.265162288954495,10
23.506431121660643,-3.3404486221870346,2
12.22827806949497,-3.824315306773433,11
25.92375456047548,0.35550871157831687,1
7.553632867787408,-4.470246945917488,0
15.916747303460465,-4.855619854592598,9
18.022758245804724,-5.52802769350276,8
7.275438341177479,-7.749848148972193,6
9.631507212203237,-7.589919329942411,7
8.984228815994094,-6.110967377796365,4
9.862481810972897,-5.6707809985218285,5
8.096061577502844,-6.360194055214429,3
11.199538450924958,-1.7624414516303115,10
8.333199296624278,-2.8853887636484874,2
12.901641433961778,-0.6669811187599313,11
2.9763965252991076,-8.523765085227415,1
-4.238543982018324,-10.246719159250627,0
10.504350086412868,-2.628052670002316,9
10.75681968133324,-5.2632516260358475,8
-3.9130402378694598,2.7155790498354078,6
-2.9391982805558676,2.078518065843105,7
-1.6245461801237822,3.473952428442235,4
-2.931122926272603,2.1155563351467483,5
3.8986407796748046,4.903814314326877,3
0.43055655126439785,4.050603172001056,10
6.701549717382093,2.68037037997654,2
-0.694405338754704,3.1940906008212124,11
9.131251154351405,2.670795935472145,1
17.358234057721184,-0.7245425491008884,0
-2.843690368930867,2.3409404640528706,9
-2.6823384110598596,2.1162167915121515,8
-15.993372151163292,-3.8079391457125897,6
-13.376966524298357,-3.354149486769275,7
-16.675222495813678,-4.061840239513394,4
-13.754590098873923,-4.363740402347966,5
-15.607426112571286,-2.875794111163823,3
-2.574400705246494,-3.6000410886660426,10
-11.165731586405744,1.7087475013213738,2
-1.4990063444653385,-7.287277520592872,11
-2.970955729873121,3.7449587348981863,1
0.12672722035850015,-3.7470833381750035,0
-6.741975563262745,-0.6415192362830657,9
-8.544588649294585,-1.155825859961642,8
-22.21074763837698,0.8933133617172653,6
-21.75010386623682,-1.197853831143407,7
-20.623349723861836,2.462998479850075,4
-19.211870040994846,3.765567004018454,5
-23.779108596807315,2.8127171951974477,3
-17.97712907904973,-8.291985005358498,10
-23.471114336480554,-1.0067500887452474,2
-13.313513340680753,-4.459065492002617,11
-15.717542073494315,-4.678953042412138,1
-8.739438782893526,-4.490194617939377,0
-16.434591436845604,-5.736765803856604,9
-20.2876696220163,-2.614397951776666,8
13.638914551425255,-2.8171506935650426,6
15.30654911509605,-3.678569643179995,7
14.487148361450167,-2.016622195629108,4
12.80460250911769,-4.964677030167479,5
19.625511370952545,-1.932941524547208,3
13.487973907762228,0.026711203013666474,10
19.088892986522804,-3.3455290858245714,2
12.282961859111822,0.3940998142628108,11
12.184841824487412,-7.509188214623147,1
1.0739675989916293,-32.63459529319579,0
13.505561531407448,-1.9473685110705263,9
15.603857763473938,-2.20033888260205,8
0.10367408453228943,1.5175014445872852,6
1.1435525583984578,1.0241708295906462,7
0.5976599354267087,0.584729456733553,4
-1.3106199224897743,2.3814193324418165,5
1.0265297851006836,1.5243586920426873,3
1.159099258918876,0.11387891086226609,10
5.496222484614785,2.257712133420574,2
0.9547671610079163,-1.850524814067167,11
14.586564573470904,4.384883649797601,1
13.188122244614302,-3.41188893999444,0
-1.1879520585543935,-1.0316202567423203,9
-0.7396272676089506,-1.1203951345933723,8
12.357088213664523,-6.33591647830685,6
12.081398969254398,-6.143944584518913,7
9.607001379295653,-7.379381962406953,4
9.728641377605308,-8.43978672704775,5
6.968927068530803,-7.140189353078339,3
7.633336796918952,-2.6593747662978915,10
3.0600209342551037,-8.551583865971242,2
6.757019714980357,-3.1422911058690186,11
17.59717904752871,-0.45091280929273386,1
7.286002116567924,7.138357380124491,0
9.613647791550243,-4.437749078981143,9
9.986815273463733,-6.524387557611717,8
-38.66520894085458,0.5319717467066887,6
-32.39420474173777,2.0098484472196336,7
-36.428870281365974,8.769965117154042,4
-39.13646498714288,4.187559790410063,5
-38.6244239465778,7.453408626027506,3
-34.15536100056785,-5.5549189803899655,10
-32.55090057911576,10.283679344705037,2
-36.49226308038854,-18.395931436731587,11
-23.97294921673483,13.508172355242769,1
-14.422938352315771,9.54293878403799,0
-31.494500436415656,-5.4676397142380075,9
-34.29589805718183,1.4952881503695574,8
1.1094486591157517,2.4652745807808163,6
-1.4242246554592457,2.0656199215315745,7
2.830251999197763,2.289647885060438,4
2.2019908825458225,3.5532567563536146,5
4.7689324616072355,1.5789383292364338,3
0.1449490315607571,2.484868071182219,10
13.022515054262293,4.900080619445418,2
0.07256826443371889,1.7221107838940573,11
14.310952892855017,4.444767172170745,1
15.729797292619509,-5.599296345296183,0
0.8891856808222136,2.0659983847753027,9
-0.7710240619750479,2.528966589016381,8
-9.218593241006815,-17.409558864255686,6
-11.605725818414651,-16.603084815779784,7
-11.906344701301542,-18.55370003851108,4
-8.516307102975901,-16.88507828440151,5
-7.863749990331776,-17.79311903737735,3
-14.318470765308817,-12.263633405645374,10
-9.19019294674633,-18.478553013662893,2
-18.200820786508917,-17.893413748200555,11
-16.59862155363637,-15.205242352702603,1
-18.73037006326416,-3.160429491659155,0
-12.801476277957232,-12.92861871098692,9
-12.036362258676569,-13.57873237449452,8
-8.99557918697845,6.275760042931708,6
-7.164786410651665,5.446064119166636,7
-13.248057361289533,7.839422228575989,4
-8.249439103587497,9.292679077457834,5
-11.92250201038961,8.419564635429229,3
-0.6863782750577494,2.4904910501911557,10
-14.527477673661348,6.882503686252097,2
-0.534817914820005,3.080995660269303,11
-11.722030172258634,8.819480841688385,1
-7.051046995283345,0.10395449098569776,0
-5.659919970230602,2.8549837335287442,9
-7.303622826538616,4.491525496209787,8
-9.94763729340074,5.476316746212136,6
-9.413962227484776,1.7243012791703298,7
-15.899995799727751,-0.7683908184888315,4
-11.84584927205001,1.3215908822592066,5
-14.567736921427418,2.841284083552008,3
-7.494092184996235,0.514152565741135,10
-10.83134893323531,7.241702800171628,2
-6.868493361209829,0.6087456537966653,11
-9.910048377548328,9.992203515473983,1
-5.052485389149849,4.98745025043461,0
-7.859000269747362,1.8313217418348595,9
-8.819880044202979,0.3712670978941697,8
-20.107407209580426,8.607212908900573,6
-17.22278373650535,7.956682531894254,7
-20.41540897876694,11.43886832349474,4
-21.725914660579548,9.509107888845396,5
-22.20830814114974,10.9652337293845,3
-11.689404121778809,3.331118595829028,10
-17.098490552357898,14.511468902273515,2
-10.617656883375862,2.3734160461544027,11
-15.574460959586773,17.288205536432525,1
-9.695659182427423,10.374166161995902,0
-15.993281752933289,4.269984204361695,9
-16.697808782584744,8.05387948214086,8
5.549716419858953,0.4558752646098656,6
4.324464783264865,1.317422530237769,7
2.5942828686194916,-2.6145059944525144,4
1.1630652911337718,-0.6250236769880778,5
0.20349900488910855,-2.5261872236201297,3
2.5758543069964284,-1.9469762392150338,10
2.97362303707881,-1.8555568108707339,2
2.4325656604845416,-1.6110630691886971,11
1.020466610566681,6.668044574696376,1
-9.562011467238259,9.223756508106362,0
2.1009192004791113,-3.398494798256114,9
5.174903367869841,0.07674203582372197,8
