name_y,5Z-7-,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Fluor,Gefit,Gemci,MK-22,Nutli,Olapa,Oxali,PD032,PI-10,Pacli,Palbo,Regor,SB505,SN-38,Soraf,Tanes,Tasel,Trame,Trifl,Velip,Vinor,Vorin,abema
5Z-7-,1.0000000000000002,0.326514990027025,0.6629638653724448,0.7323059425581154,0.6049489728206056,0.6300195389261205,0.711030641784939,0.7056289813894412,0.5873871927026393,0.8611139991235895,0.3993781690676358,0.7634145912166624,0.5069752938329058,0.7650188802667143,0.7649768658143967,0.3904121538437508,0.7360529022055584,0.4536807368958454,0.46340190693557426,0.2522129198970957,0.014097056463531325,0.6961841205007144,0.7633386329937828,0.6006680600910901,0.6093864235924369,0.27188544735867076,0.8094655766332861,0.3723174283977869,0.6928098363503278,0.8671597055266081,0.6451374343608924,0.7969995645269226,0.7300691961018415,0.36097716514492695,0.2861873823614967,0.6122679849447609,0.544296086712285,0.4092643587174489
AMG23,0.326514990027025,1.0000000000000004,0.35518337471442396,0.5094555692375167,0.03262654127163633,0.6267655501677316,0.2734910793101055,0.06364122079688614,0.7475034419191731,0.2753678144671584,0.7979583168816492,0.1228634807449385,0.596320418483482,0.2818641161085115,0.1251422957732885,0.7712482677894614,0.09815805841330894,0.7746895153643149,0.0049037103487633606,0.8807460095577633,0.5431940022026913,0.6089999637614317,0.2419562549826363,-0.09968337900913433,0.6723952877962798,0.7773908044453839,0.3100275399172748,0.3980161507711189,0.8312407951418515,0.28500826829310716,0.4826392046223915,0.07458695702702434,0.1691080138680022,0.7943793551012999,0.3323609585413036,0.8002003326915806,0.6858334721836157,0.7958284839694124
AZD45,0.6629638653724448,0.35518337471442396,0.9999999999999996,0.6902388132507695,0.4082367646842403,0.6474107620099561,0.6906228349049306,0.5580017959401784,0.6686480621824019,0.6537477141958019,0.3522985892042779,0.5641904526709383,0.6817768906641797,0.6224581722872284,0.7138889225468066,0.38251664353492026,0.7331611587716955,0.5626971591158019,0.328510286463428,0.3515453893888092,0.15609225483217024,0.4342406912589504,0.7028272216480944,0.4482183941387279,0.5886253925658741,0.36089478935351543,0.6401642810520518,0.43965989450606746,0.5983882632116507,0.6954213261406732,0.614705909938068,0.6176834681953046,0.555236830592766,0.44777455924207993,0.3373331559092425,0.4057977835832647,0.5177168346267988,0.5167243502058071
AZD77,0.7323059425581154,0.5094555692375167,0.6902388132507695,1.0000000000000007,0.4517422759420545,0.7217696672856765,0.6478728048697948,0.5166386094866404,0.6659771188057586,0.6306228710568963,0.6130590096804622,0.5403172813223204,0.6509379108568578,0.7512712334745784,0.650351442742445,0.4697901711894636,0.7111096238898903,0.6917894018625406,0.3516433120776775,0.4934854035268563,0.18718622481188105,0.5701987257122801,0.6557627870333591,0.5794911321692784,0.5750549837467214,0.38989163419207934,0.7734384919784486,0.5825305794801617,0.7347312478559311,0.7247805893304957,0.6823329513303504,0.602367165363044,0.5387155425580509,0.63043251946258,0.4996666391365844,0.6264919764120913,0.6677844078691257,0.4857421469482593
AZD80,0.6049489728206056,0.03262654127163633,0.4082367646842403,0.4517422759420545,1.0000000000000009,0.6966963791683123,0.6916089554556992,0.7813108798723184,0.4140355522999103,0.6928924121105016,0.13527582447819878,0.6879291264630258,0.1343395671766691,0.6740030489089216,0.6846166587796221,0.07606907247352804,0.5640135668207185,0.22650617657555475,0.4578109360705619,-0.02866558017464676,0.06259173013468369,0.5415238352189798,0.6769419809993825,0.7752427540686627,0.576213562231658,-0.17192366057707031,0.4819630153702198,0.2733182734030304,0.4165574689617643,0.6395902016989867,0.5612331748393509,0.7979163376250247,0.6868729055168613,0.014060388563667769,0.07233812126772358,0.291967890332382,0.33122779539473407,0.10367308089671215
Adavo,0.6300195389261205,0.6267655501677316,0.6474107620099561,0.7217696672856765,0.6966963791683123,1.000000000000001,0.6107847933115648,0.5417427222702531,0.7649755656275442,0.5675001971063718,0.7215304102140303,0.5711234004043417,0.5915667741130679,0.6048852239948443,0.5058802798322053,0.553126603857689,0.5058427365774382,0.734775423328007,0.34749080932517507,0.602951387695543,0.46569528523440457,0.7277574062685432,0.6094018152706715,0.5070574782687098,0.8107001963512763,0.36384917056312194,0.4290512791446853,0.6005352398997266,0.8345002206315316,0.6163710951183947,0.5810628730825169,0.6897694890987838,0.6679167038046185,0.712537081329002,0.3202961992678701,0.7605856447258815,0.6160407734703263,0.5801122994507932
Afati,0.711030641784939,0.2734910793101055,0.6906228349049306,0.6478728048697948,0.6916089554556992,0.6107847933115648,1.0000000000000002,0.7312516951481498,0.5575535637471389,0.6872127179699077,0.19573700752700762,0.7058679057626331,0.6560169792163023,0.8083513413506607,0.7748327055238826,0.39424567217944173,0.7883031705064723,0.4263873901093661,0.6039659960729142,0.19485773699931971,-0.06732125865155919,0.30729872099270206,0.7442299374507992,0.7691015667562127,0.6237607755183592,0.19385438762841237,0.737292910862727,0.4449618283821779,0.5990581342186949,0.7467186471347101,0.6638438515191945,0.8397163013373943,0.6037142855287256,0.28799760715418987,0.32224260091027956,0.3964209866216104,0.30115982147333864,0.552784780790363
Alpel,0.7056289813894412,0.06364122079688614,0.5580017959401784,0.5166386094866404,0.7813108798723184,0.5417427222702531,0.7312516951481498,1.000000000000001,0.46907109369887484,0.7587924400874441,0.04624805706476544,0.716054147549613,0.3628832542116811,0.6710538659563735,0.7671016644311974,0.289543781335889,0.6423493162906554,0.1680076407523615,0.4659614094606208,-0.025564413876555732,-0.21512146235443913,0.44024791149124465,0.707207588199979,0.7773852929665648,0.4949385464473479,-0.02406436619623225,0.5907380130782405,0.27719809859940847,0.5708748714130435,0.6673440896726895,0.5666737927714293,0.8698469465588319,0.6720952362429097,0.011267402778358894,0.018851489087051407,0.3608555722624883,0.19758836833340512,0.27120992751538875
BMS-7,0.5873871927026393,0.7475034419191731,0.6686480621824019,0.6659771188057586,0.4140355522999103,0.7649755656275442,0.5575535637471389,0.46907109369887484,1.0000000000000009,0.4638608158470524,0.6278656753100191,0.3890588484056809,0.7139861090616473,0.5304586693418007,0.4917129274422861,0.6410547304139621,0.5694535204504931,0.728859302589399,0.19862505913070705,0.6829776024325503,0.4279627008721274,0.5216175750694381,0.4901784736244333,0.37461547336196893,0.7573045664483425,0.5727820878105385,0.4707712109155897,0.5598833148187221,0.7882058001506547,0.5753434191509632,0.5153814943549861,0.519914842609815,0.4469607281919089,0.6777857381280948,0.43845230545426095,0.5969189949291683,0.754068711403624,0.6182468027206426
Binim,0.8611139991235895,0.2753678144671584,0.6537477141958019,0.6306228710568963,0.6928924121105016,0.5675001971063718,0.6872127179699077,0.7587924400874441,0.4638608158470524,1.0000000000000016,0.20514277832634836,0.9060063161240753,0.580059196578808,0.6697016642064892,0.8933337567078724,0.21562228717321874,0.7090903215452811,0.3360145997477777,0.6498938437779576,0.030978970711175835,-0.03457490692965649,0.525760256838709,0.8839298325403302,0.6022712490671998,0.5487141975848016,0.16569447908377885,0.7115905245257093,0.2995731308122094,0.658226222230557,0.8125632664463105,0.7631175143263331,0.8327458225636556,0.8383326437406549,0.18080477389463512,0.10170672109809809,0.4624007121283368,0.3172072162451946,0.29107668790194646
