,RadialDistribution_MeanFrac_SYTO_1of4_nuclei,Granularity_6_HOECHST_cytoplasm,Correlation_Overlap_HOECHST_SYTO_cells,RadialDistribution_ZernikePhase_HOECHST_7_5_cytoplasm,Granularity_6_HOECHST_nuclei,RadialDistribution_MeanFrac_HOECHST_2of4_cells,RadialDistribution_ZernikePhase_SYTO_6_6_nuclei,Intensity_IntegratedIntensity_SYTO_cytoplasm,RadialDistribution_ZernikePhase_HOECHST_8_0_cytoplasm,RadialDistribution_ZernikePhase_PHAandWGA_8_8_nuclei,RadialDistribution_RadialCV_CONC_1of4_nuclei,RadialDistribution_FracAtD_HOECHST_1of4_nuclei,RadialDistribution_FracAtD_HOECHST_1of4_cells,RadialDistribution_RadialCV_HOECHST_3of4_cells,RadialDistribution_ZernikePhase_MITO_8_8_nuclei,RadialDistribution_ZernikePhase_SYTO_8_8_nuclei,RadialDistribution_RadialCV_HOECHST_4of4_cytoplasm,RadialDistribution_ZernikePhase_MITO_7_5_cytoplasm,RadialDistribution_ZernikePhase_HOECHST_8_8_nuclei,AreaShape_BoundingBoxMaximum_Y_nuclei,RadialDistribution_ZernikePhase_PHAandWGA_8_0_cells,RadialDistribution_ZernikePhase_CONC_8_0_cytoplasm,RadialDistribution_ZernikePhase_CONC_8_8_nuclei,RadialDistribution_ZernikePhase_HOECHST_1_1_cytoplasm,RadialDistribution_ZernikeMagnitude_HOECHST_9_1_cells,Granularity_5_HOECHST_nuclei,Granularity_8_HOECHST_nuclei,Granularity_1_HOECHST_cells,AreaShape_ConvexArea_nuclei,RadialDistribution_ZernikePhase_MITO_4_4_nuclei,RadialDistribution_ZernikeMagnitude_HOECHST_0_0_nuclei,RadialDistribution_ZernikePhase_PHAandWGA_7_5_cytoplasm,AreaShape_Extent_cytoplasm,Correlation_Correlation_CONC_MITO_nuclei,Correlation_Overlap_HOECHST_SYTO_nuclei,RadialDistribution_ZernikeMagnitude_CONC_4_0_cytoplasm,Intensity_IntegratedIntensityEdge_PHAandWGA_cytoplasm,RadialDistribution_MeanFrac_CONC_1of4_nuclei,RadialDistribution_ZernikeMagnitude_HOECHST_4_0_cytoplasm,Correlation_K_PHAandWGA_HOECHST_nuclei
"5-FU
(1.0 µM)",0.05513915791797161,0.8505960144763912,0.4604532781141586,-1.0294008428168886,1.2666525637887156,-0.4324772112721162,-1.2920777888903379,0.13268487049558056,0.8526246472873119,0.8890987767889046,0.6292330384097512,-0.02405935497120671,0.019245317018091315,-0.515793928049843,0.6470187503116287,0.5805327532151963,0.04039456904941812,-0.6883963422368071,1.2020800273949315,0.7909697828382763,0.47098678598847316,0.4615397911980334,0.17341009087138426,-1.065736821187132,0.32804519488302974,-0.17822371346960073,-0.5706039112729607,-0.16650367559911697,0.45521144587533513,-0.4631622200498139,-0.15044685520761025,-0.8707979095366831,-0.0719228216139555,0.4405500076190867,0.1873761913740595,0.5345486912629395,-0.012865462370155921,0.171878005804297,0.5990534122300005,0.14203544518576283
"Olaparib
(1.0 µM)",0.057811166131705165,0.3515592129398758,0.3471376245652941,-1.547989458428075,0.7699144231085884,-0.40385485371471674,-0.6791871891106394,0.31075993744917657,0.9024828837292457,-1.1121113380954424,0.5258994044074914,-0.06897698008719036,0.04372129834171275,-0.4759560041938589,-0.9555234540710605,-1.0446066755779466,0.05933018369735475,-1.736417105911549,-0.4163814437211982,-0.3816097420555768,-0.13646863206944967,0.7773341140172463,-0.8646816623109036,-1.4284622812065568,0.29330460529701174,-0.30532046224217535,-0.4969008852954638,-0.16110536753962462,0.4986371039347324,-0.07755373021304346,0.07254994856887835,-1.214415834992447,-0.32269972468210145,0.3234592160723676,0.21760265185084351,0.7291431145146469,0.18013254803985868,0.08493489876695644,0.9736808992808957,0.11543730243321307
"Etoposide
(2.5 µM)",3.256581689395442,-2.660122088559011,-2.687704643298148,1.7157244628964181,-1.8993855651418745,2.465835783087302,1.7193037257494825,2.9579466280794864,-1.9614452165467402,-2.0252215419439556,-2.1604094740000814,-2.5577486987056877,-2.5598396420752714,2.080571495708443,-1.8487204939227535,-1.848826615576083,2.503422328299013,1.0994876226376755,-1.6011073774754097,0.22380841461746895,1.4265345806803635,-1.6312793153616496,-1.8865231316113316,1.0880383844418313,-1.966886595694014,-2.2948431244342853,1.5438367244279643,2.0415407393432616,2.500109095813965,1.8220441875725268,-2.222182871018079,1.1451320048078857,2.027634309478037,-1.7462565935243224,-1.7622123102566725,-1.5043771750134762,2.0283000873030876,-1.9919868237946254,-1.3353981006918476,-1.7836763092785226
"Nutlin
(1.0 µM)",-0.13896789975683618,0.6442382188686316,0.2991640902535286,0.5853169032418273,0.8979402067598435,-0.42070673459207114,-1.0540588906570882,0.08467472041519125,0.0836903089429361,0.11965689216804391,0.35425649852918134,0.098330857037105,-0.03018645496216427,-0.350818903174453,0.11913488164731063,-0.44975838324559797,0.07384033053632563,0.10589308265058843,-0.9973329177050203,-1.961021632016155,-1.4211252766895428,0.09796600398992782,-0.137428879651599,-0.08529609215125636,0.15134782763035814,-0.02692030831363557,-0.6475493921200441,-0.1053637460819008,0.3383051422269944,-0.024563139391022712,-0.14311773894504728,0.24933585418871723,0.21053300258358967,0.12023618810462801,0.04523426502697901,0.25993419957939,-0.1468839611779602,-0.15243219285524726,0.26381878402267456,0.4364977639180795
"AMG232
(0.3 µM)",-0.07956289300237106,0.1320595819487567,-0.894602641674726,-0.7565997586237025,0.7732396819782015,-0.05756258879576206,-0.8555173903086595,0.5243491998258768,-0.8479607551388854,0.25177886792351006,-0.42749250079832996,-0.06225385662792663,-0.23908214605835268,0.29815500361353503,0.6471196892567556,0.7241896554553049,0.2676750814582954,0.05945327215724033,-0.29566324307928693,-0.7336002392116323,-0.15158295324871537,-1.0847768039763637,0.6810368835670232,0.037422832355175045,-0.4802620693121819,-0.11399299459989935,-0.6591509088996756,0.34885823633209717,0.3508554538957023,-0.3524361050380011,-0.5510861988056595,-0.07039588163976507,0.47129426748551706,-0.3182620477076832,-1.043425774740289,0.15321906100119517,0.29739721963953714,-0.5927617227458801,-0.09297593866191219,-0.4222319724480365
