Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Nutli_2.0,0.026741857239766572,Nutli,2.0,HCT116,replicate
Olapa_2.0,0.011156374140657779,Olapa,2.0,HCT116,replicate
Oxali_2.0,0.46410344882212007,Oxali,2.0,HCT116,replicate
PD032_2.0,0.25701486646101207,PD032,2.0,HCT116,replicate
PI-10_2.0,0.0013285178933755567,PI-10,2.0,HCT116,replicate
Pacli_2.0,0.20802422655172423,Pacli,2.0,HCT116,replicate
Palbo_2.0,0.4499824686764281,Palbo,2.0,HCT116,replicate
Phenf_2.0,-0.013821803458455337,Phenf,2.0,HCT116,replicate
Rabus_2.0,0.06640690330805635,Rabus,2.0,HCT116,replicate
Regor_2.0,0.016360256437279917,Regor,2.0,HCT116,replicate
Ruxol_2.0,-0.004546324261660821,Ruxol,2.0,HCT116,replicate
SB216_2.0,0.12763349277466013,SB216,2.0,HCT116,replicate
SB505_2.0,-0.021534668425210096,SB505,2.0,HCT116,replicate
SN-38_2.0,0.6970682654001418,SN-38,2.0,HCT116,replicate
Sapit_2.0,0.08192629381601849,Sapit,2.0,HCT116,replicate
Soraf_2.0,0.06883135678707297,Soraf,2.0,HCT116,replicate
Tanes_2.0,0.21493432883730856,Tanes,2.0,HCT116,replicate
Tasel_2.0,0.5413272421534948,Tasel,2.0,HCT116,replicate
Temoz_2.0,-0.036689347267128865,Temoz,2.0,HCT116,replicate
Trame_2.0,-0.04138150703553667,Trame,2.0,HCT116,replicate
Trici_2.0,-0.024059026693249292,Trici,2.0,HCT116,replicate
Trifl_2.0,0.019677424750177027,Trifl,2.0,HCT116,replicate
Velip_2.0,-0.020456636891374565,Velip,2.0,HCT116,replicate
Vemur_2.0,-0.11727488652432469,Vemur,2.0,HCT116,replicate
Vinor_2.0,0.6249841815547397,Vinor,2.0,HCT116,replicate
Vorin_2.0,0.09050287837259598,Vorin,2.0,HCT116,replicate
abema_2.0,0.5144517124845303,abema,2.0,HCT116,replicate
5Z-7-_3.0,0.7293013627961553,5Z-7-,3.0,HCT116,replicate
ABT-7_3.0,-0.04179477631826103,ABT-7,3.0,HCT116,replicate
AMG23_3.0,0.5343707703679788,AMG23,3.0,HCT116,replicate
AZD45_3.0,0.17671605385555184,AZD45,3.0,HCT116,replicate
AZD77_3.0,0.28400273880692867,AZD77,3.0,HCT116,replicate
AZD80_3.0,0.2512952791797736,AZD80,3.0,HCT116,replicate
Adavo_3.0,0.2792737645755487,Adavo,3.0,HCT116,replicate
Afati_3.0,0.15427335727385935,Afati,3.0,HCT116,replicate
Alpel_3.0,0.47355900432142106,Alpel,3.0,HCT116,replicate
BMS-7_3.0,0.2404140943616888,BMS-7,3.0,HCT116,replicate
Binim_3.0,0.6040023129981894,Binim,3.0,HCT116,replicate
Cobim_3.0,0.8052286093972426,Cobim,3.0,HCT116,replicate
Crizo_3.0,0.6737229882902935,Crizo,3.0,HCT116,replicate
Dabra_3.0,0.5378842336558107,Dabra,3.0,HCT116,replicate
Doram_3.0,-0.048903723002829545,Doram,3.0,HCT116,replicate
Encor_3.0,0.7987507422737938,Encor,3.0,HCT116,replicate
Fluor_3.0,0.05805886368065438,Fluor,3.0,HCT116,replicate
