umap1,umap2,compound
7.3403134,9.566896,nocodazole
6.4039183,9.633924,nocodazole
5.3667784,9.623213,nocodazole
4.6244345,3.7120707,etoposide
6.1758037,1.400365,etoposide
10.088554,1.7976894,nocodazole
5.557819,1.6764728,etoposide
9.731686,-0.0511252,nocodazole
7.8583655,9.357174,nocodazole
4.9614,3.518261,etoposide
4.6430717,3.0659826,etoposide
4.0935597,0.967041,berberine chloride
4.4296923,1.7899327,berberine chloride
7.236452,1.714621,fenbendazole
4.7122164,2.1184945,berberine chloride
5.784481,9.250646,fenbendazole
4.9235263,1.3892972,fenbendazole
7.2453403,8.841577,fenbendazole
1.7330242,-0.93111587,DMSO
2.014241,-0.31162488,DMSO
3.1832225,-0.10996799,DMSO
3.7747536,0.26840693,DMSO
6.514857,7.734505,DMSO
2.4073296,-0.30617988,DMSO
5.983631,9.711651,DMSO
6.9625974,7.9698744,DMSO
6.863706,7.4621935,DMSO
2.072026,-1.1515726,DMSO
2.2498157,-0.78522396,DMSO
8.496671,0.43228543,DMSO
8.608563,4.2785797,fluphenazine
9.128593,4.091384,fluphenazine
9.148527,0.61018693,DMSO
8.113867,1.8411487,DMSO
8.032457,2.6058435,DMSO
8.345663,1.4358295,DMSO
11.765162,-0.4149851,DMSO
6.609197,8.675294,fluphenazine
6.9514136,5.6104755,fluphenazine
8.915408,3.812673,fluphenazine
8.801147,3.5335639,fluphenazine
12.092939,1.781166,DMSO
9.95416,1.19914,DMSO
8.910816,1.8886459,DMSO
10.953446,-0.1434417,DMSO
11.189355,-0.7415326,DMSO
11.119321,1.4517827,DMSO
10.879344,0.66703576,DMSO
11.807709,1.423021,DMSO
7.3188314,5.821631,fluphenazine
9.395732,0.2987472,DMSO
11.257566,0.7850456,DMSO
12.30083,1.2134954,DMSO
12.209263,0.348633,DMSO
12.29661,0.73540974,DMSO
