umap1,umap2,kmeans_cluster,pathway
20.528381,2.240864,2,PI3K/Akt/mTOR
24.113108,5.773946,2,PI3K/Akt/mTOR
-6.241191,12.666595,1,DNA Damage
12.216599,9.645574,0,PI3K/Akt/mTOR
-8.258783,12.984781,1,DNA Damage
-5.846831,14.137564,1,DNA Damage
15.288436,-1.3552113,6,Cell Cycle
-6.7170687,13.6411495,1,Protein Tyrosine Kinase
7.21004,6.6375017,0,Cell Cycle
17.862865,13.522099,5,Cytoskeletal Signaling
-5.489636,13.374382,1,DNA Damage
17.280434,13.4714365,5,MAPK
1.1330522,16.479641,3,Cell Cycle
5.3881273,14.727701,3,Cytoskeletal Signaling
19.020926,2.1064026,6,Cell Cycle
12.966566,4.4374013,0,Protein Tyrosine Kinase
12.310286,8.862199,0,PI3K/Akt/mTOR
9.191471,5.4828753,0,Protein Tyrosine Kinase
16.633223,11.141871,5,MAPK
13.240506,3.3751328,6,MAPK
18.695066,13.427414,5,MAPK
16.788643,-0.02211555,6,Protein Tyrosine Kinase
-5.5263667,9.973635,4,DNA Damage
-6.220752,16.315699,1,Protein Tyrosine Kinase
11.636992,8.382801,0,Protein Tyrosine Kinase
-6.142037,8.069862,4,Protein Tyrosine Kinase
8.609983,5.8426085,0,Protein Tyrosine Kinase
-5.1059847,16.366787,1,Cell Cycle
-6.1336017,11.604603,1,DNA Damage
22.750511,7.1490455,2,PI3K/Akt/mTOR
22.501692,2.263301,2,PI3K/Akt/mTOR
1.6723104,12.466254,3,Cell Cycle
24.379583,7.4747725,2,Protein Tyrosine Kinase
-7.8604603,13.44557,1,DNA Damage
22.924814,2.8522108,2,PI3K/Akt/mTOR
-5.1484404,15.251753,1,DNA Damage
23.376842,8.260856,2,Protein Tyrosine Kinase
19.750359,2.7640252,2,PI3K/Akt/mTOR
-6.6838923,14.447127,1,Apoptosis
-5.7608366,15.792543,1,DNA Damage
-5.369487,14.719449,1,DNA Damage
-8.589051,9.364646,4,Cell Cycle
22.449646,8.029774,2,PI3K/Akt/mTOR
18.146763,-1.476943,6,MAPK
6.3621416,16.887356,3,DNA Damage
16.357296,5.1547256,0,MAPK
14.057297,3.5497115,6,MAPK
-8.916404,10.485507,4,Cell Cycle
