,Drug1,Drug2,Similarity_2D,Pair,Match,Similarity_3D,difference,max,tail
0,5Z-7-,AMG23,0.480095870767142,"('5Z-7-', 'AMG23')",True,0.326514990027025,-0.153580880740117,0.480095870767142,False
1,5Z-7-,AZD45,0.5626711238885043,"('5Z-7-', 'AZD45')",True,0.6629638653724456,0.1002927414839413,0.6629638653724456,False
2,5Z-7-,AZD77,0.7524174781469458,"('5Z-7-', 'AZD77')",True,0.7323059425581153,-0.020111535588830498,0.7524174781469458,False
3,5Z-7-,AZD80,0.6606688459105301,"('5Z-7-', 'AZD80')",True,0.6049489728206053,-0.055719873089924765,0.6606688459105301,False
4,5Z-7-,Adavo,0.7618351498159017,"('5Z-7-', 'Adavo')",True,0.6300195389261205,-0.13181561088978122,0.7618351498159017,False
5,5Z-7-,Afati,0.770747382696791,"('5Z-7-', 'Afati')",True,0.7110306417849394,-0.05971674091185164,0.770747382696791,False
6,5Z-7-,Alpel,0.5299905308354077,"('5Z-7-', 'Alpel')",True,0.7056289813894409,0.17563845055403315,0.7056289813894409,False
7,5Z-7-,BMS-7,0.6565238504834898,"('5Z-7-', 'BMS-7')",True,0.5873871927026386,-0.06913665778085121,0.6565238504834898,False
8,5Z-7-,Binim,0.8307460360497725,"('5Z-7-', 'Binim')",True,0.8611139991235893,0.03036796307381684,0.8611139991235893,False
9,5Z-7-,Cobim,0.8879545257124102,"('5Z-7-', 'Cobim')",True,0.7634145912166622,-0.12453993449574796,0.8879545257124102,False
10,5Z-7-,Crizo,0.6391445535921696,"('5Z-7-', 'Crizo')",True,0.506975293832906,-0.13216925975926364,0.6391445535921696,False
11,5Z-7-,Dabra,0.6689523187790672,"('5Z-7-', 'Dabra')",True,0.7650188802667149,0.0960665614876477,0.7650188802667149,False
12,5Z-7-,Encor,0.7547200770012166,"('5Z-7-', 'Encor')",True,0.7649768658143968,0.010256788813180262,0.7649768658143968,False
13,5Z-7-,Fluor,0.6556353367313688,"('5Z-7-', 'Fluor')",True,0.3904121538437508,-0.265223182887618,0.6556353367313688,False
14,5Z-7-,Gefit,0.5178887371947201,"('5Z-7-', 'Gefit')",True,0.7360529022055585,0.21816416501083846,0.7360529022055585,False
15,5Z-7-,Gemci,0.6635986919189034,"('5Z-7-', 'Gemci')",True,0.4536807368958452,-0.2099179550230582,0.6635986919189034,False
16,5Z-7-,MK-22,0.40892725211573255,"('5Z-7-', 'MK-22')",True,0.4634019069355739,0.05447465481984137,0.4634019069355739,False
17,5Z-7-,Nutli,0.49870971423123067,"('5Z-7-', 'Nutli')",True,0.25221291989709577,-0.2464967943341349,0.49870971423123067,False
18,5Z-7-,Olapa,0.44712194410896566,"('5Z-7-', 'Olapa')",True,0.01409705646353136,-0.4330248876454343,0.44712194410896566,True
19,5Z-7-,Oxali,0.6530126780858507,"('5Z-7-', 'Oxali')",True,0.6961841205007141,0.04317144241486337,0.6961841205007141,False
