Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Nutli_2.0,0.19495638489436737,Nutli,2.0,HCT116,replicate
Olapa_2.0,0.06448893770068609,Olapa,2.0,HCT116,replicate
Oxali_2.0,0.7068670158157877,Oxali,2.0,HCT116,replicate
PD032_2.0,0.615468324230541,PD032,2.0,HCT116,replicate
PI-10_2.0,0.12604161654096424,PI-10,2.0,HCT116,replicate
Pacli_2.0,0.5923223821320485,Pacli,2.0,HCT116,replicate
Palbo_2.0,0.6059610420473392,Palbo,2.0,HCT116,replicate
Phenf_2.0,0.11639635699043013,Phenf,2.0,HCT116,replicate
Rabus_2.0,-0.04391633316300411,Rabus,2.0,HCT116,replicate
Regor_2.0,0.4532262904899848,Regor,2.0,HCT116,replicate
Ruxol_2.0,0.13309016268825946,Ruxol,2.0,HCT116,replicate
SB216_2.0,0.3421112646386563,SB216,2.0,HCT116,replicate
SB505_2.0,0.016298546940690585,SB505,2.0,HCT116,replicate
SN-38_2.0,0.70365443144712,SN-38,2.0,HCT116,replicate
Sapit_2.0,-0.008026276353364052,Sapit,2.0,HCT116,replicate
Soraf_2.0,0.1847332786222075,Soraf,2.0,HCT116,replicate
Tanes_2.0,0.6187884809959469,Tanes,2.0,HCT116,replicate
Tasel_2.0,0.5512861668371863,Tasel,2.0,HCT116,replicate
Temoz_2.0,0.08049169109814562,Temoz,2.0,HCT116,replicate
Trame_2.0,0.13659688700826395,Trame,2.0,HCT116,replicate
Trici_2.0,0.25346714058940256,Trici,2.0,HCT116,replicate
Trifl_2.0,0.39199634505666514,Trifl,2.0,HCT116,replicate
Velip_2.0,0.34265261424135396,Velip,2.0,HCT116,replicate
Vemur_2.0,-0.01738098832003419,Vemur,2.0,HCT116,replicate
Vinor_2.0,0.6181971474117081,Vinor,2.0,HCT116,replicate
Vorin_2.0,0.5684895690682945,Vorin,2.0,HCT116,replicate
abema_2.0,0.6986711662648362,abema,2.0,HCT116,replicate
5Z-7-_3.0,0.3878952291857175,5Z-7-,3.0,HCT116,replicate
ABT-7_3.0,0.0033256746769544307,ABT-7,3.0,HCT116,replicate
AMG23_3.0,0.5395460008144894,AMG23,3.0,HCT116,replicate
AZD45_3.0,0.2616101563706764,AZD45,3.0,HCT116,replicate
AZD77_3.0,0.5608255420506356,AZD77,3.0,HCT116,replicate
AZD80_3.0,0.48292875020372544,AZD80,3.0,HCT116,replicate
Adavo_3.0,0.5921897364030068,Adavo,3.0,HCT116,replicate
Afati_3.0,0.5340872601481887,Afati,3.0,HCT116,replicate
Alpel_3.0,0.6223510319460144,Alpel,3.0,HCT116,replicate
BMS-7_3.0,0.6952248385697767,BMS-7,3.0,HCT116,replicate
Binim_3.0,0.6442084138104909,Binim,3.0,HCT116,replicate
Cobim_3.0,0.8617909723755305,Cobim,3.0,HCT116,replicate
Crizo_3.0,0.8858783500421574,Crizo,3.0,HCT116,replicate
Dabra_3.0,0.5915898039672016,Dabra,3.0,HCT116,replicate
Doram_3.0,0.1786403852623389,Doram,3.0,HCT116,replicate
Encor_3.0,0.6319166611787848,Encor,3.0,HCT116,replicate
Fluor_3.0,0.19376519806550752,Fluor,3.0,HCT116,replicate
Gefit_3.0,0.38742815436654654,Gefit,3.0,HCT116,replicate
Gemci_3.0,0.6777557425119745,Gemci,3.0,HCT116,replicate
LGK-9_3.0,-0.02292634605920761,LGK-9,3.0,HCT116,replicate
Linsi_3.0,0.2110080131378736,Linsi,3.0,HCT116,replicate
MK-22_3.0,0.3328448937392186,MK-22,3.0,HCT116,replicate
Migli_3.0,-0.0260803288259084,Migli,3.0,HCT116,replicate
Navit_3.0,-0.03775552312115352,Navit,3.0,HCT116,replicate
