,Drug1,Drug2,Similarity_2D,Pair,Match,Similarity_3D,difference,max,tail
0,5Z-7-,AZD45,0.47755988989586934,"('5Z-7-', 'AZD45')",True,0.6434704576473069,0.1659105677514376,0.6434704576473069,False
1,5Z-7-,AZD77,0.3891848880165904,"('5Z-7-', 'AZD77')",True,0.6356731567197456,0.24648826870315516,0.6356731567197456,False
2,5Z-7-,AZD80,0.7690984586914469,"('5Z-7-', 'AZD80')",True,0.7670459686973135,-0.002052489994133433,0.7690984586914469,False
3,5Z-7-,Afati,0.6158119753602266,"('5Z-7-', 'Afati')",True,0.73096457396424,0.11515259860401339,0.73096457396424,False
4,5Z-7-,Alpel,0.7299531609889973,"('5Z-7-', 'Alpel')",True,0.7285703335130391,-0.0013828274759581927,0.7299531609889973,False
5,5Z-7-,BMS-7,0.6776156190929191,"('5Z-7-', 'BMS-7')",True,0.8247331650320738,0.14711754593915471,0.8247331650320738,False
6,5Z-7-,Binim,0.9400444234361598,"('5Z-7-', 'Binim')",True,0.9317408605629537,-0.008303562873206105,0.9400444234361598,False
7,5Z-7-,Borte,0.6662630099931706,"('5Z-7-', 'Borte')",True,0.4413208811232517,-0.22494212886991888,0.6662630099931706,False
8,5Z-7-,Cobim,0.9308846006348385,"('5Z-7-', 'Cobim')",True,0.8919112915643058,-0.03897330907053265,0.9308846006348385,False
9,5Z-7-,Crizo,0.5297567370819678,"('5Z-7-', 'Crizo')",True,0.5769522234542377,0.04719548637226989,0.5769522234542377,False
10,5Z-7-,Dabra,0.8954459550947799,"('5Z-7-', 'Dabra')",True,0.9319739220594278,0.036527966964647884,0.9319739220594278,False
11,5Z-7-,Encor,0.9359292103548471,"('5Z-7-', 'Encor')",True,0.9106169545864199,-0.025312255768427216,0.9359292103548471,False
12,5Z-7-,Fluor,0.4838943091866106,"('5Z-7-', 'Fluor')",True,0.40197114262915573,-0.08192316655745485,0.4838943091866106,False
13,5Z-7-,Gefit,0.7056526973343116,"('5Z-7-', 'Gefit')",True,0.8430906662795197,0.1374379689452081,0.8430906662795197,False
14,5Z-7-,Gemci,0.4501179790446836,"('5Z-7-', 'Gemci')",True,0.15685851490560393,-0.29325946413907966,0.4501179790446836,False
15,5Z-7-,Linsi,0.7036745122455861,"('5Z-7-', 'Linsi')",True,0.859849562278765,0.15617505003317889,0.859849562278765,False
16,5Z-7-,MK-22,0.7092008198292805,"('5Z-7-', 'MK-22')",True,0.6232825660733569,-0.08591825375592366,0.7092008198292805,False
17,5Z-7-,Oxali,0.5922067577246515,"('5Z-7-', 'Oxali')",True,0.6640287057033922,0.07182194797874075,0.6640287057033922,False
18,5Z-7-,PD032,0.8978923079588241,"('5Z-7-', 'PD032')",True,0.8854827302921688,-0.012409577666655291,0.8978923079588241,False
19,5Z-7-,Pacli,0.6341626848034708,"('5Z-7-', 'Pacli')",True,0.674131567185244,0.03996888238177321,0.674131567185244,False
20,5Z-7-,Palbo,0.5007734976675358,"('5Z-7-', 'Palbo')",True,0.2549547590041776,-0.24581873866335818,0.5007734976675358,False
21,5Z-7-,Rabus,0.733308902046335,"('5Z-7-', 'Rabus')",True,0.6685427005958395,-0.0647662014504955,0.733308902046335,False
22,5Z-7-,Regor,0.47652266848378483,"('5Z-7-', 'Regor')",True,0.6062672014535867,0.12974453296980187,0.6062672014535867,False
23,5Z-7-,SB505,0.8246806313631536,"('5Z-7-', 'SB505')",True,0.15977656650000918,-0.6649040648631445,0.8246806313631536,True
24,5Z-7-,SN-38,0.7857784932213105,"('5Z-7-', 'SN-38')",True,0.7052506240963492,-0.08052786912496135,0.7857784932213105,False
25,5Z-7-,Tanes,0.796824745626509,"('5Z-7-', 'Tanes')",True,0.7727290691094394,-0.024095676517069564,0.796824745626509,False
26,5Z-7-,Tasel,0.7448659359532264,"('5Z-7-', 'Tasel')",True,0.8589508614622273,0.11408492550900096,0.8589508614622273,False
27,5Z-7-,Trici,0.11916554470875707,"('5Z-7-', 'Trici')",True,-0.25305768222339786,-0.3722232269321549,0.11916554470875707,False
28,5Z-7-,Trifl,0.47906965381536254,"('5Z-7-', 'Trifl')",True,0.09963930644195179,-0.37943034737341075,0.47906965381536254,False
29,5Z-7-,Vemur,0.9187488986167385,"('5Z-7-', 'Vemur')",True,0.8681449828726557,-0.05060391574408274,0.9187488986167385,False
30,5Z-7-,Vorin,0.5353142520740957,"('5Z-7-', 'Vorin')",True,0.800158474145062,0.26484422207096636,0.800158474145062,False
31,5Z-7-,abema,0.5895512890292988,"('5Z-7-', 'abema')",True,0.08390505728108161,-0.5056462317482171,0.5895512890292988,True
32,AZD45,AZD77,0.3394549903930773,"('AZD45', 'AZD77')",True,0.7949766617587628,0.4555216713656855,0.7949766617587628,False
33,AZD45,AZD80,0.39555331875670363,"('AZD45', 'AZD80')",True,0.6403253139975195,0.24477199524081583,0.6403253139975195,False
34,AZD45,Afati,0.6948422227496129,"('AZD45', 'Afati')",True,0.6087000200943995,-0.08614220265521344,0.6948422227496129,False
35,AZD45,Alpel,0.40247027688390946,"('AZD45', 'Alpel')",True,0.7445640335830521,0.34209375669914266,0.7445640335830521,False
36,AZD45,BMS-7,0.4436487415965785,"('AZD45', 'BMS-7')",True,0.6776196055245467,0.23397086392796818,0.6776196055245467,False
37,AZD45,Binim,0.4555608130667066,"('AZD45', 'Binim')",True,0.6243501850887103,0.16878937202200373,0.6243501850887103,False
38,AZD45,Borte,0.5575975978932219,"('AZD45', 'Borte')",True,0.5480697024369474,-0.009527895456274527,0.5575975978932219,False
39,AZD45,Cobim,0.5851022901533469,"('AZD45', 'Cobim')",True,0.6073645860606013,0.02226229590725437,0.6073645860606013,False
40,AZD45,Crizo,0.5748938064395146,"('AZD45', 'Crizo')",True,0.662993329267036,0.08809952282752143,0.662993329267036,False
