drug_a,drug_b,s2,s3,cls_a,cls_b,pair_class
"Cobimetinib (GDC-0973, RG7420)",Sorafenib,0.6888458725916462,0.5660488995723966,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
"Cobimetinib (GDC-0973, RG7420)",Trametinib (GSK1120212),0.9688056923181309,0.6339526737467062,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
"Cobimetinib (GDC-0973, RG7420)","Vemurafenib (PLX4032, RG7204)",0.3574428154395654,-0.1120524403006913,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Dabrafenib (GSK2118436),Doramapimod (BIRB 796),0.3167670242653847,0.3722460404273162,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Dabrafenib (GSK2118436),Encorafenib (LGX818),0.7111404742718429,0.5444256793538633,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Dabrafenib (GSK2118436),PD0325901,0.6219281457545933,0.6237774541765579,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Dabrafenib (GSK2118436),Sorafenib,0.4149947154126629,0.6344126205822982,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Dabrafenib (GSK2118436),Trametinib (GSK1120212),0.4070214277951992,0.5060383621663971,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Dabrafenib (GSK2118436),"Vemurafenib (PLX4032, RG7204)",0.0040933768132681,-0.3453543438620793,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Doramapimod (BIRB 796),Encorafenib (LGX818),-0.1182233704654631,0.0966094431233502,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Doramapimod (BIRB 796),PD0325901,0.3278211480321864,0.1263292643147833,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Doramapimod (BIRB 796),Sorafenib,-0.0479403932355801,-0.0581528497428494,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Doramapimod (BIRB 796),Trametinib (GSK1120212),0.3242315251696176,0.5084006231803035,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Doramapimod (BIRB 796),"Vemurafenib (PLX4032, RG7204)",-0.3257160389779163,0.0683179296551258,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Encorafenib (LGX818),PD0325901,0.6362870929179959,0.7665781619165641,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Encorafenib (LGX818),Sorafenib,0.6217134568680881,0.6213806892292352,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Encorafenib (LGX818),Trametinib (GSK1120212),0.4732049751604134,0.7334744771832146,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Encorafenib (LGX818),"Vemurafenib (PLX4032, RG7204)",0.3610033978161232,-0.2287999722352967,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
PD0325901,Sorafenib,0.6111897837844865,0.7231035863124992,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
PD0325901,Trametinib (GSK1120212),0.9039377126140724,0.5987343224104773,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
PD0325901,"Vemurafenib (PLX4032, RG7204)",0.2426005641545097,-0.205305182029549,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Sorafenib,Trametinib (GSK1120212),0.6554106269023114,0.3051905814316892,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Sorafenib,"Vemurafenib (PLX4032, RG7204)",0.626194491744485,-0.3919828665756241,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
Trametinib (GSK1120212),"Vemurafenib (PLX4032, RG7204)",0.3049291578613876,-0.076794492872227,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
5Z-7-OXOZEAENOL,ABT-737,0.0518868340371161,-0.3590748757869527,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,AMG232 (Navtemadlin),0.1978470382325503,0.2613460249113067,MAPK inhibitor,MDM2 inhibitor,Other
5Z-7-OXOZEAENOL,AZD4547,0.3060766766965882,0.6696109479607097,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,AZD7762,0.751304020683129,0.7626190693096234,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,AZD8055,0.1403916314553855,0.5593060109128674,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Adavosertib （MK-1775）,0.5049390537930307,0.6220969039658045,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Afatinib (BIBW2992),0.462622430649449,0.569711933149871,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Alpelisib (BYL719),-0.1217311044880783,0.6881213840235404,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,BMS-754807,0.1433747836753827,0.4462917288491139,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Crizotinib (PF-02341066),0.4464676545336076,0.5005784636641758,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,"Fluorouracil (5-Fluoracil, 5-FU)",0.281927301152228,0.4367385771132039,MAPK inhibitor,Antimetabolite,Other
5Z-7-OXOZEAENOL,Gefitinib (ZD1839),0.3515845196271526,0.6221468997996735,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Gemcitabine,0.2928747672703378,0.4685822354435649,MAPK inhibitor,Antimetabolite,Other
5Z-7-OXOZEAENOL,LGK-974,0.26908762938526,0.0461461953515394,MAPK inhibitor,Other,Other
