umap1,umap2,compound
3.7104888,3.0937111,etoposide
3.9856155,3.3046455,etoposide
4.903193,4.047244,etoposide
8.885692,5.427116,etoposide
3.119051,1.9921956,etoposide
3.3330674,2.2687867,etoposide
4.3357544,3.5660868,etoposide
5.283071,5.054584,etoposide
5.7762265,4.4454904,etoposide
3.1057305,1.9465741,etoposide
3.6555111,2.7594528,etoposide
4.3648596,3.8834605,etoposide
4.3258166,6.3363657,etoposide
6.2689996,4.352254,etoposide
-0.07063927,8.224465,berberine chloride
-0.4869739,8.1210375,berberine chloride
1.9174733,8.215549,berberine chloride
3.7754974,7.0976853,berberine chloride
3.6438146,7.881629,berberine chloride
5.8130407,6.862652,fenbendazole
4.7781243,6.8148313,fenbendazole
0.012521879,8.335439,berberine chloride
0.8724785,8.218944,berberine chloride
0.3584894,7.8338943,berberine chloride
1.4580445,7.1631384,berberine chloride
3.1549332,8.004969,berberine chloride
5.9028554,6.8439054,fenbendazole
2.7891111,7.871469,fenbendazole
-0.35594696,8.487009,berberine chloride
0.97647005,7.6791863,berberine chloride
1.4446906,7.6250544,berberine chloride
1.1816001,7.979869,berberine chloride
3.3598752,7.6380076,berberine chloride
5.592867,7.257468,fenbendazole
5.0875845,7.217664,fenbendazole
7.8197317,4.409833,DMSO
9.102086,5.300993,DMSO
7.0858564,4.1825542,DMSO
8.924832,2.165092,DMSO
8.042202,3.9735296,DMSO
8.455602,4.911857,DMSO
9.5757475,1.8280439,DMSO
7.101909,6.4941525,DMSO
10.234266,1.2863886,DMSO
8.532191,1.2641767,DMSO
13.166731,3.5873232,DMSO
9.857219,5.494531,DMSO
8.831431,4.444702,DMSO
13.109908,2.6137064,DMSO
12.86581,4.8561106,fluphenazine
12.669646,6.0303636,fluphenazine
12.462093,6.225948,fluphenazine
8.665863,6.022243,DMSO
8.344151,1.8168097,DMSO
7.8822026,3.5329988,DMSO
8.860636,1.7034281,DMSO
9.672661,1.3977693,DMSO
10.923215,2.5079124,DMSO
11.584601,6.1238303,fluphenazine
12.182366,5.9284997,fluphenazine
11.460451,5.6828103,fluphenazine
8.901728,1.0590036,DMSO
11.124683,4.3692584,DMSO
12.554467,2.3473175,DMSO
13.560895,2.6034727,DMSO
11.872368,6.6337194,fluphenazine
11.890849,6.166314,fluphenazine
11.841618,5.4920487,fluphenazine
12.908736,4.468139,fluphenazine
11.218019,2.1174724,DMSO
11.293199,3.763371,DMSO
9.477887,5.4336004,DMSO
10.60898,1.7136929,DMSO
13.204316,2.3113692,DMSO
13.420566,2.3033006,DMSO
