,Drug1,Drug2,sim_2D,sim_3D,pair_class
38,AMG23,Adavo,0.5788283956940428,0.6267655501677313,Other
39,AMG23,Afati,0.4912966413866066,0.2734910793101056,Other
40,AMG23,Alpel,0.0283449405059936,0.0636412207968862,Other
41,AMG23,BMS-7,0.6485904525152911,0.7475034419191734,Other
42,AMG23,Binim,0.2988461336472965,0.2753678144671585,Other
43,AMG23,Cobim,0.4303665150901559,0.1228634807449384,Other
44,AMG23,Crizo,0.560065491649763,0.5963204184834818,Other
45,AMG23,Dabra,0.4612672788325919,0.2818641161085114,Other
46,AMG23,Encor,0.4484345105551064,0.1251422957732886,Other
48,AMG23,Gefit,0.1163455211054308,0.0981580584133089,Other
50,AMG23,MK-22,0.1951052890835164,0.0049037103487633,Other
51,AMG23,Nutli,0.963464378336111,0.8807460095577633,Other
52,AMG23,Olapa,0.7435896135866926,0.5431940022026909,Other
53,AMG23,Oxali,0.756118364910459,0.6089999637614318,Other
54,AMG23,PD032,0.4044506692076031,0.2419562549826363,Other
55,AMG23,PI-10,0.0729734167770495,-0.0996833790091345,Other
56,AMG23,Pacli,0.2968311995585662,0.6723952877962798,Other
57,AMG23,Palbo,0.9078006395966576,0.7773908044453841,Other
58,AMG23,Regor,0.143064659185605,0.3100275399172751,Other
59,AMG23,SB505,0.2517585642238148,0.3980161507711187,Other
60,AMG23,SN-38,0.7487066691973265,0.8312407951418513,Other
61,AMG23,Soraf,0.4358667423201623,0.2850082682931071,Other
62,AMG23,Tanes,0.657028384329647,0.482639204622392,Other
63,AMG23,Tasel,0.2250054677259639,0.074586957027024,Other
64,AMG23,Trame,0.3988111480225027,0.1691080138680019,Other
66,AMG23,Vinor,0.4783644904430915,0.8002003326915805,Other
67,AMG23,Vorin,0.5252968781474451,0.6858334721836159,Other
68,AMG23,abema,0.8682497524795665,0.7958284839694116,Other
69,AZD45,AZD77,0.6218932973851676,0.6902388132507695,Other
70,AZD45,AZD80,0.4843923746576624,0.4082367646842401,Other
71,AZD45,Adavo,0.5738624182494136,0.6474107620099558,Other
72,AZD45,Afati,0.6863631723442918,0.6906228349049307,Other
73,AZD45,Alpel,0.481981481165569,0.5580017959401782,Other
74,AZD45,BMS-7,0.5032988994330831,0.6686480621824019,Other
75,AZD45,Binim,0.6017113037537797,0.6537477141958019,Other
76,AZD45,Cobim,0.6751044891552671,0.5641904526709385,Other
77,AZD45,Crizo,0.6300768840504247,0.6817768906641797,Other
78,AZD45,Dabra,0.5645878744452242,0.6224581722872281,Other
79,AZD45,Encor,0.6920538717131751,0.7138889225468067,Other
80,AZD45,Fluor,-0.0365869714858423,0.3825166435349202,Other
81,AZD45,Gefit,0.787112465979674,0.7331611587716957,Other
82,AZD45,Gemci,0.1106422593238116,0.5626971591158019,Other
83,AZD45,MK-22,0.6750776302418129,0.3285102864634278,Other
84,AZD45,Nutli,0.3308663380339588,0.3515453893888093,Other
85,AZD45,Olapa,-0.106549508733753,0.1560922548321702,Other
86,AZD45,Oxali,0.4155411937017863,0.4342406912589507,Other
87,AZD45,PD032,0.5607872135004257,0.7028272216480941,Other
88,AZD45,PI-10,0.5594255720418959,0.4482183941387282,Other
89,AZD45,Pacli,0.4066168962976391,0.588625392565874,Other
90,AZD45,Palbo,0.7454655964449906,0.3608947893535157,Other
91,AZD45,Regor,0.7226944347927287,0.640164281052052,Other
92,AZD45,SB505,0.4282338312441008,0.4396598945060672,Other
93,AZD45,SN-38,0.262212002757718,0.5983882632116504,Other
94,AZD45,Soraf,0.720305047371189,0.6954213261406732,Other
95,AZD45,Tanes,0.5070955055464818,0.6147059099380685,Other
96,AZD45,Tasel,0.5856299159308662,0.617683468195305,Other
97,AZD45,Trame,0.6156436606758096,0.5552368305927657,Other
98,AZD45,Trifl,-0.0082506997047316,0.44777455924208,Other
99,AZD45,Vinor,0.457745941812732,0.4057977835832645,Other
100,AZD45,Vorin,0.569755351089178,0.5177168346267988,Other
101,AZD45,abema,0.6544535739286861,0.5167243502058074,Other
102,AZD77,AZD80,0.7556133334536671,0.4517422759420542,Other
103,AZD77,Adavo,0.8433856918885526,0.7217696672856758,Other
104,AZD77,Afati,0.7697376000567429,0.6478728048697957,Other
105,AZD77,Alpel,0.8199821418959273,0.5166386094866402,Other
106,AZD77,BMS-7,0.906527964627731,0.6659771188057587,Other
107,AZD77,Binim,0.7525365333512031,0.6306228710568962,Other
108,AZD77,Cobim,0.7680775538296611,0.5403172813223203,Other
109,AZD77,Crizo,0.825032974175659,0.6509379108568576,Other
110,AZD77,Dabra,0.7169961756647212,0.7512712334745781,Other
111,AZD77,Encor,0.9141118261122758,0.6503514427424453,Other
112,AZD77,Fluor,0.2333395570706465,0.4697901711894634,Other
113,AZD77,Gefit,0.493574925099319,0.7111096238898911,Other
114,AZD77,Gemci,0.3455836362521057,0.6917894018625406,Other
115,AZD77,MK-22,0.4620638028372077,0.3516433120776771,Other
116,AZD77,Nutli,0.3469836399629674,0.4934854035268561,Other
117,AZD77,Olapa,0.2816974645675108,0.1871862248118808,Other
118,AZD77,Oxali,0.4970806261026689,0.5701987257122799,Other
119,AZD77,PD032,0.7059467394364085,0.6557627870333591,Other
120,AZD77,PI-10,0.8404766333036142,0.5794911321692785,Other
121,AZD77,Pacli,0.8500804185946002,0.5750549837467207,Other
122,AZD77,Palbo,0.5204741140735727,0.3898916341920793,Other
123,AZD77,Regor,0.6629848739744297,0.7734384919784494,Other
124,AZD77,SB505,0.6595899134437353,0.5825305794801617,Other
125,AZD77,SN-38,0.7219261657117751,0.7347312478559309,Other
126,AZD77,Soraf,0.5903631373537251,0.7247805893304959,Other
127,AZD77,Tanes,0.6780158796525098,0.6823329513303507,Other
128,AZD77,Tasel,0.9298580287219278,0.602367165363044,Other
129,AZD77,Trame,0.7235391773685051,0.5387155425580505,Other
130,AZD77,Trifl,0.2519797465135229,0.6304325194625797,Other
131,AZD77,Vinor,0.8271082859985746,0.6264919764120911,Other
132,AZD77,Vorin,0.6681614409200581,0.6677844078691255,Other
133,AZD77,abema,0.5976178496798619,0.4857421469482592,Other
134,AZD80,Adavo,0.7471083475235063,0.6966963791683122,Other
135,AZD80,Afati,0.8027463257404521,0.6916089554556993,Other
136,AZD80,Alpel,0.7820597573888094,0.7813108798723187,Other
137,AZD80,BMS-7,0.6317760260856033,0.4140355522999102,Other
138,AZD80,Binim,0.7357272115496997,0.6928924121105018,Other
139,AZD80,Cobim,0.6366384549724178,0.6879291264630258,Other
140,AZD80,Crizo,0.4281523463799349,0.1343395671766687,Other
