,Drug1,Drug2,sim_2D,sim_3D,pair_class
392,Encor,Tanes,0.5765267442109201,0.8127478160503689,Other
393,Encor,Tasel,0.9184747612745608,0.9012696449575668,Other
395,Encor,Trifl,0.3323835416866195,0.1825856498727241,Other
396,Encor,Vinor,0.5274564037070366,0.3258638690499143,Other
397,Encor,Vorin,0.5191653376309817,0.2780004645064267,Other
398,Encor,abema,0.5935339912681481,0.3512492531839444,Other
399,Fluor,Gefit,-0.0442119272327795,0.107513881800677,Other
401,Fluor,MK-22,0.411795184890365,0.1167759175016733,Other
404,Fluor,Oxali,0.6409623581022856,0.5804386598751217,Other
405,Fluor,PD032,0.3800115809932689,0.2758277039367379,Other
406,Fluor,PI-10,-0.1467160700219316,0.1085316101794948,Other
407,Fluor,Pacli,0.3386718330841383,0.6600300541633782,Other
408,Fluor,Palbo,0.7923222247985685,0.541705955709171,Other
409,Fluor,Regor,-0.1672655683997771,0.2174797164135929,Other
410,Fluor,SB505,0.4618538022521098,0.4340691393559313,Other
412,Fluor,Soraf,0.2450804721066556,0.2229237663918793,Other
413,Fluor,Tanes,0.4951750114741866,0.3093587143235651,Other
414,Fluor,Tasel,-0.2675099271303893,0.2278205224525282,Other
415,Fluor,Trame,0.3305155418880594,0.1961124280796465,Other
417,Fluor,Vinor,0.3071144368038936,0.6374691068572418,Other
418,Fluor,Vorin,0.2918892513889743,0.5632384938023329,Other
419,Fluor,abema,0.7492672429231754,0.6792064496760479,Other
420,Gefit,Gemci,-0.0091103582625447,0.3404728656424733,Other
421,Gefit,MK-22,0.7626925972467571,0.3655876017226753,Other
422,Gefit,Nutli,0.1008592564970151,0.0755608095164517,Other
423,Gefit,Olapa,-0.248700896762585,0.0334159068016633,Other
424,Gefit,Oxali,0.2620826677333296,0.2092573737440171,Other
425,Gefit,PD032,0.6501437512310762,0.6962990877732188,Other
426,Gefit,PI-10,0.529201113941245,0.6450693922112577,Other
427,Gefit,Pacli,0.3655806455274656,0.3336354944693516,Other
428,Gefit,Palbo,0.5160285644193779,0.2132581483839726,Other
429,Gefit,Regor,0.7719098645302943,0.7452855296088523,Other
430,Gefit,SB505,0.4128110155239004,0.412237288539769,Other
431,Gefit,SN-38,0.2737574880841127,0.341913934035741,Other
432,Gefit,Soraf,0.7492576866749083,0.7630663668866163,Other
433,Gefit,Tanes,0.4610860051225121,0.6221804531586004,Other
434,Gefit,Tasel,0.481342870175314,0.7421214890495786,Other
435,Gefit,Trame,0.6579579539174965,0.5227068070249055,Other
436,Gefit,Trifl,-0.1071774925967035,0.1581450313741239,Other
437,Gefit,Vinor,0.2770724576797772,0.1535115277596387,Other
438,Gefit,Vorin,0.4357904870591773,0.4521682404457657,Other
439,Gefit,abema,0.5057460069957321,0.2943557677155883,Other
440,Gemci,MK-22,0.185851957991889,0.0949650068988625,Other
443,Gemci,Oxali,0.6966940052125989,0.5866583755912493,Other
444,Gemci,PD032,0.4818062876774371,0.4865854398162729,Other
445,Gemci,PI-10,-0.0474446392134881,0.0647733043684918,Other
446,Gemci,Pacli,0.4151208461807794,0.7670058439177222,Other
447,Gemci,Palbo,0.7046832652846983,0.7521999646549024,Other
448,Gemci,Regor,-0.0189288658099644,0.4577107340231344,Other
449,Gemci,SB505,0.4395583642421766,0.6236264014444901,Other
451,Gemci,Soraf,0.2732398332134138,0.4590277436197304,Other
452,Gemci,Tanes,0.5241271870140678,0.6023385390532461,Other
453,Gemci,Tasel,-0.0936955964667227,0.2546301029666653,Other
454,Gemci,Trame,0.458755015340626,0.4174906484388113,Other
456,Gemci,Vinor,0.4851043078111358,0.7360668563868142,Other
457,Gemci,Vorin,0.3045552726803694,0.6387627700963467,Other
458,Gemci,abema,0.6435122464565547,0.7637367399208819,Other
459,MK-22,Nutli,0.2449283341985536,-0.0972544763993907,Other
460,MK-22,Olapa,0.2884745929777418,-0.32861380585191,Other
461,MK-22,Oxali,0.1625472894947777,0.3658302637295426,Other
462,MK-22,PD032,0.5128172893104377,0.5667255946441755,Other
463,MK-22,PI-10,0.5464760843601277,0.2935846377708003,Other
464,MK-22,Pacli,0.4067809242513673,0.6243317732958329,Other
465,MK-22,Palbo,0.4488329987495196,-0.1888144548747071,Other
466,MK-22,Regor,0.5953717576003935,0.2852503669049802,Other
467,MK-22,SB505,0.3456222529503163,-0.0952524734832904,Other
468,MK-22,SN-38,0.3276001644015935,0.5139987958625393,Other
469,MK-22,Soraf,0.6831711435111335,0.3594090436675375,Other
470,MK-22,Tanes,0.3291703477083224,0.4940926633045766,Other
471,MK-22,Tasel,0.367090580294879,0.5613670250520318,Other
472,MK-22,Trame,0.5028641836958843,0.578892505597348,Other
473,MK-22,Trifl,0.2732768818254878,0.0064456212775036,Other
474,MK-22,Vinor,0.3339263063754255,0.3496815463020496,Other
475,MK-22,Vorin,0.4103359149414574,0.0012939828597921,Other
476,MK-22,abema,0.3596184222519851,0.1426338679154999,Other
477,Nutli,Olapa,0.8750432468619733,0.7418805952036405,Other
478,Nutli,Oxali,0.7321840152664332,0.452519986318753,Other
479,Nutli,PD032,0.3853923126164505,0.163022417600673,Other
480,Nutli,PI-10,0.0240637823298274,-0.1317249163499358,Other
481,Nutli,Pacli,0.2677113536211545,0.6177570258179126,Other
482,Nutli,Palbo,0.8679868710215577,0.7590652887385629,Other
483,Nutli,Regor,0.1245353913505506,0.1817042614038945,Other
484,Nutli,SB505,0.3932074891209959,0.5451863785354935,Other
485,Nutli,SN-38,0.7387404305143555,0.7900886297018119,Other
486,Nutli,Soraf,0.4007030774251811,0.1914957493964127,Other
487,Nutli,Tanes,0.58130390422845,0.3919406079835552,Other
488,Nutli,Tasel,0.1548336439866465,0.0580038041627952,Other
489,Nutli,Trame,0.3763102631452838,0.1085317203324851,Other
491,Nutli,Vinor,0.4358885204690421,0.6486604127535968,Other
492,Nutli,Vorin,0.4812551117247741,0.6964588547218282,Other
493,Nutli,abema,0.8309566046976422,0.7485775574232896,Other
494,Olapa,Oxali,0.3882352490203812,0.3333691182075833,Other
495,Olapa,PD032,0.1749854845681138,0.1467684882899013,Other
496,Olapa,PI-10,-0.2363914403375315,-0.1146169796758228,Other
497,Olapa,Pacli,0.2932626227849899,0.4154053487574609,Other
498,Olapa,Palbo,0.8137306532286845,0.574061905587635,Other
499,Olapa,Regor,-0.2009393999506167,0.0382322283146238,Other
500,Olapa,SB505,0.3095144781124646,0.5929245999797794,Other
501,Olapa,SN-38,0.7205909525528404,0.378716079633183,Other
502,Olapa,Soraf,0.2869524944107899,0.1387672129637089,Other
503,Olapa,Tanes,0.4054254444944025,0.2499403375884998,Other
504,Olapa,Tasel,-0.1924157745746322,0.0687569130285639,Other
505,Olapa,Trame,0.1521614279501714,0.1449103321389959,Other
507,Olapa,Vinor,0.3287285095701885,0.4282768950968348,Other
508,Olapa,Vorin,0.2320571741626745,0.6304162587617741,Other
509,Olapa,abema,0.7720082979736358,0.5329168224977187,Other
510,Oxali,PD032,0.6430025154756374,0.5551867727941021,Other
511,Oxali,PI-10,0.3062473053178427,0.2111130173598734,Other
512,Oxali,Pacli,0.5039922149554127,0.8168872147523548,Other
513,Oxali,Palbo,0.6131939534082999,0.1243873137280283,Other
514,Oxali,Regor,0.2591754924879983,0.2014374507209749,Other
515,Oxali,SB505,0.6127596300074891,0.2203523213014717,Other
516,Oxali,SN-38,0.6876323995810216,0.7915350718125849,Other
517,Oxali,Soraf,0.6118171678747412,0.43702915082648,Other
518,Oxali,Tanes,0.7882322643319731,0.3774815557523485,Other
519,Oxali,Tasel,0.2841518361519731,0.537275517420796,Other
520,Oxali,Trame,0.6433529735944512,0.6100198088082724,Other
521,Oxali,Trifl,0.5386263047007034,0.5373513082141685,Other
522,Oxali,Vinor,0.5040937642373229,0.7866817782068195,Other
523,Oxali,Vorin,0.4927209490671621,0.5634147403046947,Other
524,Oxali,abema,0.6621009205940088,0.3864544007974704,Other
525,PD032,PI-10,0.671896370093924,0.6115433398702093,Other
526,PD032,Pacli,0.598791916049848,0.6322995715107289,Other
527,PD032,Palbo,0.5394642396492093,0.1814691994851238,Other
529,PD032,SB505,0.7072177904067853,0.408415477439566,Other
530,PD032,SN-38,0.4520152572246242,0.6167463205460687,Other
532,PD032,Tanes,0.8069897735884946,0.8268721731537603,Other
533,PD032,Tasel,0.6964733325588639,0.7692494654229861,Other
535,PD032,Trifl,0.3148248913102343,0.3266427130887797,Other
536,PD032,Vinor,0.4680987962279979,0.4391609671561939,Other
537,PD032,Vorin,0.4857253607410554,0.3139444467395685,Other
538,PD032,abema,0.6537083632997978,0.3997720421747703,Other
539,PI-10,Pacli,0.5948065232507388,0.2275259631907644,Other
540,PI-10,Palbo,0.3278701506303148,-0.0075868764136337,Other
541,PI-10,Regor,0.6974088707563554,0.6441579851928524,Other
542,PI-10,SB505,0.3700781427087673,0.3888610943207504,Other
543,PI-10,SN-38,0.2357183678495837,0.2080913791309682,Other
544,PI-10,Soraf,0.5992476896583596,0.6745715178830761,Other
545,PI-10,Tanes,0.4396742404330817,0.5284519249654851,Other
546,PI-10,Tasel,0.8941591294429648,0.8165308051579238,Other
547,PI-10,Trame,0.7005509289233638,0.5001538807658861,Other
548,PI-10,Trifl,-0.2202282288594376,-0.125098339543186,Other
549,PI-10,Vinor,0.4821361241333797,-0.0117112967021416,Other
550,PI-10,Vorin,0.3992532182173543,0.2756467013595627,Other
551,PI-10,abema,0.4155519218713919,0.1382416182439602,Other
552,Pacli,Palbo,0.4591357696120222,0.4323844433734975,Other
553,Pacli,Regor,0.4137985909216138,0.3207507021873131,Other
554,Pacli,SB505,0.7149779332679794,0.517628674657048,Other
555,Pacli,SN-38,0.6443355307525284,0.7575560484183372,Other
556,Pacli,Soraf,0.4919312510678179,0.4393419355991774,Other
557,Pacli,Tanes,0.6321339696350449,0.5948258981565706,Other
558,Pacli,Tasel,0.6012530193394601,0.5665385257937714,Other
559,Pacli,Trame,0.6011159145976609,0.6991102624241614,Other
560,Pacli,Trifl,0.2936300579864529,0.6959075670943812,Other
561,Pacli,Vinor,0.8398348593127698,0.7605829284812435,Other
562,Pacli,Vorin,0.5765694505215796,0.4942143774006955,Other
563,Pacli,abema,0.547918445157007,0.7289019211051758,Other
564,Palbo,Regor,0.5086161601820641,0.409482258601172,Other
565,Palbo,SB505,0.4377941228205403,0.5653277275461486,Other
566,Palbo,SN-38,0.5936863307133289,0.6097742689233112,Other
567,Palbo,Soraf,0.660154214290658,0.2205198135335995,Other
568,Palbo,Tanes,0.6478951615781101,0.5512877412259254,Other
569,Palbo,Tasel,0.4570988996836598,0.0279414387627103,Other
570,Palbo,Trame,0.5617413553611972,-0.0495440323437204,Other
571,Palbo,Trifl,0.8542889920092173,0.7021684944633231,Other
572,Palbo,Vinor,0.5776754116592147,0.3424683185922591,Other
573,Palbo,Vorin,0.6559864457019451,0.554351117898672,Other
574,Palbo,abema,0.955842725652858,0.8976907356737934,Other
575,Regor,SB505,0.3778100364394752,0.5727305830319513,Other
576,Regor,SN-38,0.2514609120004901,0.2994143054351673,Other
578,Regor,Tanes,0.5156144103182934,0.7854444947340742,Other
579,Regor,Tasel,0.7248203656516722,0.7161245840785074,Other
581,Regor,Trifl,-0.1408264048230469,0.248787232253826,Other
582,Regor,Vinor,0.2850298113928333,0.0855799719773913,Other
583,Regor,Vorin,0.4037330348023881,0.4708124636026859,Other
584,Regor,abema,0.513370183724788,0.511712018764803,Other
585,SB505,SN-38,0.6014608719489142,0.3748864644087903,Other
586,SB505,Soraf,0.5953992848767911,0.4871908279784473,Other
587,SB505,Tanes,0.6634658022845336,0.6219410776798042,Other
588,SB505,Tasel,0.2749454304141073,0.461555141405356,Other
589,SB505,Trame,0.6545092830080261,0.2947702895328352,Other
590,SB505,Trifl,0.3313506982304719,0.5530136226710121,Other
591,SB505,Vinor,0.5736556029025339,0.2528716427848193,Other
592,SB505,Vorin,0.3711759046304261,0.6667022436429331,Other
593,SB505,abema,0.4266044443121583,0.6217297638449509,Other
594,SN-38,Soraf,0.4275470788819422,0.478209230635761,Other
595,SN-38,Tanes,0.7441176745688745,0.5560691108224982,Other
596,SN-38,Tasel,0.2721833177256494,0.469049807614902,Other
597,SN-38,Trame,0.3622403844381243,0.6699892653477034,Other
599,SN-38,Vinor,0.6743475879428246,0.8051065517884592,Other
600,SN-38,Vorin,0.529305386526696,0.8181001032040853,Other
601,SN-38,abema,0.5136227607208427,0.6800779495178533,Other
602,Soraf,Tanes,0.7128080516981191,0.6540325678832387,Other
603,Soraf,Tasel,0.6384502053013429,0.7717347595074896,Other
605,Soraf,Trifl,0.2911464657146443,0.2823937333830265,Other
606,Soraf,Vinor,0.483483544901031,0.2507823186521214,Other
607,Soraf,Vorin,0.5806493144523157,0.4997599212205081,Other
608,Soraf,abema,0.6211488147440222,0.3637899877598755,Other
609,Tanes,Tasel,0.4992053030915266,0.7674683109141424,Other
610,Tanes,Trame,0.7908893569769513,0.7911270882932366,Other
611,Tanes,Trifl,0.4345924762780784,0.4100059335673857,Other
612,Tanes,Vinor,0.6771087789671948,0.3520125813374781,Other
613,Tanes,Vorin,0.6792650361054037,0.5194383551740313,Other
614,Tanes,abema,0.6952769745743282,0.6364646208343482,Other
615,Tasel,Trame,0.6556617708683841,0.7876845330883036,Other
616,Tasel,Trifl,-0.1454568302453048,0.1158594303841003,Other
617,Tasel,Vinor,0.4449663786335859,0.3375747775413151,Other
618,Tasel,Vorin,0.510033771784534,0.3145033608339731,Other
619,Tasel,abema,0.5440081585510396,0.2939570416519708,Other
620,Trame,Trifl,0.3107623625556783,0.2403603021372261,Other
621,Trame,Vinor,0.4508416327505274,0.541780039681389,Other
622,Trame,Vorin,0.5351510369227788,0.3006063953673477,Other
623,Trame,abema,0.6619913247735685,0.299338715994342,Other
624,Trifl,Vinor,0.3776011788204108,0.7309467097060255,Other
625,Trifl,Vorin,0.3042262332336732,0.6992915752917233,Other
626,Trifl,abema,0.8247934865310985,0.7137234578016413,Other
627,Vinor,Vorin,0.7571609236670602,0.5660882104428901,Other
628,Vinor,abema,0.6776257309461873,0.6269426919730237,Other
629,Vorin,abema,0.7075608171267074,0.6393779754221112,Other
