umap1,umap2,kmeans_cluster,pathway
29.913742,16.023674,1,PI3K/Akt/mTOR
26.636915,10.870561,1,DNA Damage
23.23989,14.989247,4,Cytoskeletal Signaling
-11.079443,13.592034,0,DNA Damage
30.315826,11.401068,1,Protein Tyrosine Kinase
28.684158,13.8406315,1,Protein Tyrosine Kinase
41.242493,17.637575,5,MAPK
36.418484,23.25,2,MAPK
-9.835415,12.097176,0,DNA Damage
24.509464,16.603846,4,Cell Cycle
-12.63569,10.315256,0,PI3K/Akt/mTOR
-12.014395,10.403535,0,PI3K/Akt/mTOR
25.659985,8.397272,1,DNA Damage
-10.121876,10.945067,0,DNA Damage
33.552677,14.2673645,3,Cell Cycle
36.341457,14.302597,3,Protein Tyrosine Kinase
36.569736,10.127702,3,PI3K/Akt/mTOR
-12.85452,11.294196,0,PI3K/Akt/mTOR
31.12554,19.016703,2,PI3K/Akt/mTOR
-11.427465,11.935049,0,DNA Damage
33.86273,11.01723,3,MAPK
-9.650943,9.395595,0,DNA Damage
-10.825239,12.6565695,0,DNA Damage
24.938196,17.222305,4,Cell Cycle
-10.278582,13.700552,0,DNA Damage
29.461304,13.346199,1,Protein Tyrosine Kinase
35.73392,15.973847,3,MAPK
29.185524,20.610462,2,Protein Tyrosine Kinase
32.9055,12.119101,3,MAPK
36.96375,22.892761,2,MAPK
32.78143,19.81457,2,MAPK
31.62286,19.517838,2,MAPK
38.219826,10.236258,3,MAPK
36.227913,22.446321,2,MAPK
25.995474,9.98022,1,DNA Damage
22.508718,15.565621,4,Cytoskeletal Signaling
28.838856,14.919998,1,Protein Tyrosine Kinase
35.13006,10.030914,3,Protein Tyrosine Kinase
32.325684,20.232418,2,Protein Tyrosine Kinase
38.199123,11.6053915,3,Protein Tyrosine Kinase
-7.8395724,13.482315,0,DNA Damage
31.23004,20.13359,2,PI3K/Akt/mTOR
22.87119,16.916096,4,Cell Cycle
23.228712,16.133726,4,Cell Cycle
38.709328,13.923067,3,Protein Tyrosine Kinase
35.117966,13.8691225,3,Protein Tyrosine Kinase
34.72242,19.870802,2,Protein Tyrosine Kinase
-10.266637,12.374631,0,DNA Damage
34.42664,16.510191,2,Protein Tyrosine Kinase
30.366333,20.738749,2,Protein Tyrosine Kinase
32.22543,18.675135,2,PI3K/Akt/mTOR
36.920235,10.749067,3,Cytoskeletal Signaling
23.169697,17.49149,4,Cell Cycle
-8.317154,14.113201,0,DNA Damage
-11.302739,9.623625,0,DNA Damage
36.676422,18.17673,2,MAPK
-9.646153,10.3496065,0,DNA Damage
