,Drug1,Drug2,Similarity_2D,Pair,Match,Similarity_3D,difference,max,tail
0,5Z-7-,AMG23,0.48009587076714155,"('5Z-7-', 'AMG23')",True,0.326514990027025,-0.15358088074011655,0.48009587076714155,False
1,5Z-7-,AZD45,0.5626711238885043,"('5Z-7-', 'AZD45')",True,0.6629638653724454,0.10029274148394118,0.6629638653724454,False
2,5Z-7-,AZD77,0.7524174781469452,"('5Z-7-', 'AZD77')",True,0.7323059425581151,-0.020111535588830054,0.7524174781469452,False
3,5Z-7-,AZD80,0.6606688459105297,"('5Z-7-', 'AZD80')",True,0.6049489728206057,-0.05571987308992399,0.6606688459105297,False
4,5Z-7-,Adavo,0.7618351498159006,"('5Z-7-', 'Adavo')",True,0.6300195389261201,-0.13181561088978055,0.7618351498159006,False
5,5Z-7-,Afati,0.7707473826967904,"('5Z-7-', 'Afati')",True,0.7110306417849398,-0.05971674091185064,0.7707473826967904,False
6,5Z-7-,Alpel,0.5299905308354074,"('5Z-7-', 'Alpel')",True,0.705628981389441,0.1756384505540336,0.705628981389441,False
7,5Z-7-,BMS-7,0.6565238504834894,"('5Z-7-', 'BMS-7')",True,0.5873871927026388,-0.06913665778085054,0.6565238504834894,False
8,5Z-7-,Binim,0.8307460360497717,"('5Z-7-', 'Binim')",True,0.8611139991235895,0.03036796307381784,0.8611139991235895,False
9,5Z-7-,Cobim,0.8879545257124097,"('5Z-7-', 'Cobim')",True,0.7634145912166612,-0.12453993449574852,0.8879545257124097,False
10,5Z-7-,Crizo,0.6391445535921696,"('5Z-7-', 'Crizo')",True,0.5069752938329061,-0.13216925975926352,0.6391445535921696,False
11,5Z-7-,Dabra,0.6689523187790669,"('5Z-7-', 'Dabra')",True,0.7650188802667144,0.09606656148764747,0.7650188802667144,False
12,5Z-7-,Encor,0.7547200770012165,"('5Z-7-', 'Encor')",True,0.7649768658143976,0.01025678881318115,0.7649768658143976,False
13,5Z-7-,Fluor,0.6556353367313679,"('5Z-7-', 'Fluor')",True,0.3904121538437507,-0.26522318288761715,0.6556353367313679,False
14,5Z-7-,Gefit,0.5178887371947198,"('5Z-7-', 'Gefit')",True,0.7360529022055592,0.21816416501083935,0.7360529022055592,False
15,5Z-7-,Gemci,0.663598691918903,"('5Z-7-', 'Gemci')",True,0.45368073689584526,-0.2099179550230577,0.663598691918903,False
16,5Z-7-,MK-22,0.408927252115732,"('5Z-7-', 'MK-22')",True,0.46340190693557376,0.05447465481984176,0.46340190693557376,False
17,5Z-7-,Nutli,0.4987097142312304,"('5Z-7-', 'Nutli')",True,0.25221291989709577,-0.24649679433413463,0.4987097142312304,False
18,5Z-7-,Olapa,0.4471219441089653,"('5Z-7-', 'Olapa')",True,0.01409705646353135,-0.4330248876454339,0.4471219441089653,True
19,5Z-7-,Oxali,0.6530126780858498,"('5Z-7-', 'Oxali')",True,0.6961841205007142,0.04317144241486437,0.6961841205007142,False
20,5Z-7-,PD032,0.8664656726893686,"('5Z-7-', 'PD032')",True,0.7633386329937826,-0.10312703969558601,0.8664656726893686,False
21,5Z-7-,PI-10,0.6854315570956558,"('5Z-7-', 'PI-10')",True,0.6006680600910905,-0.08476349700456531,0.6854315570956558,False
22,5Z-7-,Pacli,0.6208887132602555,"('5Z-7-', 'Pacli')",True,0.6093864235924367,-0.011502289667818855,0.6208887132602555,False
23,5Z-7-,Palbo,0.5824586870773467,"('5Z-7-', 'Palbo')",True,0.27188544735867104,-0.3105732397186757,0.5824586870773467,False
24,5Z-7-,Regor,0.634049699195801,"('5Z-7-', 'Regor')",True,0.8094655766332872,0.1754158774374862,0.8094655766332872,False
25,5Z-7-,SB505,0.6306229124234033,"('5Z-7-', 'SB505')",True,0.3723174283977868,-0.2583054840256165,0.6306229124234033,False
26,5Z-7-,SN-38,0.7018662189941065,"('5Z-7-', 'SN-38')",True,0.6928098363503272,-0.009056382643779282,0.7018662189941065,False
27,5Z-7-,Soraf,0.649778572907684,"('5Z-7-', 'Soraf')",True,0.8671597055266086,0.21738113261892456,0.8671597055266086,False
28,5Z-7-,Tanes,0.7177674935536994,"('5Z-7-', 'Tanes')",True,0.6451374343608932,-0.07263005919280618,0.7177674935536994,False
29,5Z-7-,Tasel,0.5627976221233838,"('5Z-7-', 'Tasel')",True,0.7969995645269233,0.23420194240353953,0.7969995645269233,False
30,5Z-7-,Trame,0.8783151278966912,"('5Z-7-', 'Trame')",True,0.7300691961018407,-0.14824593179485046,0.8783151278966912,False
31,5Z-7-,Trifl,0.5514742880268136,"('5Z-7-', 'Trifl')",True,0.3609771651449267,-0.19049712288188692,0.5514742880268136,False
32,5Z-7-,Vinor,0.6154165623710806,"('5Z-7-', 'Vinor')",True,0.6122679849447606,-0.0031485774263199096,0.6154165623710806,False
33,5Z-7-,Vorin,0.602818698055795,"('5Z-7-', 'Vorin')",True,0.544296086712285,-0.05852261134351,0.602818698055795,False
34,5Z-7-,abema,0.6750518194811482,"('5Z-7-', 'abema')",True,0.40926435871744893,-0.2657874607636993,0.6750518194811482,False
35,AMG23,AZD45,0.36331792883420955,"('AMG23', 'AZD45')",True,0.3551833747144244,-0.008134554119785142,0.36331792883420955,False
36,AMG23,AZD77,0.3595649367041962,"('AMG23', 'AZD77')",True,0.5094555692375167,0.14989063253332047,0.5094555692375167,False
37,AMG23,AZD80,-0.0503364485567545,"('AMG23', 'AZD80')",True,0.032626541271636424,0.08296298982839093,0.032626541271636424,False
38,AMG23,Adavo,0.578828395694043,"('AMG23', 'Adavo')",True,0.6267655501677314,0.047937154473688404,0.6267655501677314,False
39,AMG23,Afati,0.4912966413866063,"('AMG23', 'Afati')",True,0.27349107931010536,-0.21780556207650092,0.4912966413866063,False
40,AMG23,Alpel,0.028344940505993593,"('AMG23', 'Alpel')",True,0.06364122079688625,0.035296280290892657,0.06364122079688625,False
41,AMG23,BMS-7,0.6485904525152907,"('AMG23', 'BMS-7')",True,0.7475034419191736,0.09891298940388293,0.7475034419191736,False
42,AMG23,Binim,0.2988461336472962,"('AMG23', 'Binim')",True,0.2753678144671583,-0.023478319180137874,0.2988461336472962,False
43,AMG23,Cobim,0.4303665150901558,"('AMG23', 'Cobim')",True,0.12286348074493851,-0.30750303434521725,0.4303665150901558,False
44,AMG23,Crizo,0.5600654916497629,"('AMG23', 'Crizo')",True,0.5963204184834818,0.03625492683371889,0.5963204184834818,False
45,AMG23,Dabra,0.46126727883259155,"('AMG23', 'Dabra')",True,0.2818641161085115,-0.17940316272408008,0.46126727883259155,False
46,AMG23,Encor,0.44843451055510625,"('AMG23', 'Encor')",True,0.1251422957732886,-0.3232922147818177,0.44843451055510625,False
47,AMG23,Fluor,0.7455246094907105,"('AMG23', 'Fluor')",True,0.7712482677894615,0.025723658298751007,0.7712482677894615,False
48,AMG23,Gefit,0.11634552110543075,"('AMG23', 'Gefit')",True,0.09815805841330888,-0.018187462692121875,0.11634552110543075,False
49,AMG23,Gemci,0.6631381149134101,"('AMG23', 'Gemci')",True,0.7746895153643159,0.11155140045090572,0.7746895153643159,False
50,AMG23,MK-22,0.1951052890835166,"('AMG23', 'MK-22')",True,0.004903710348763426,-0.19020157873475318,0.1951052890835166,False
51,AMG23,Nutli,0.9634643783361108,"('AMG23', 'Nutli')",True,0.8807460095577633,-0.08271836877834748,0.9634643783361108,False
52,AMG23,Olapa,0.7435896135866923,"('AMG23', 'Olapa')",True,0.5431940022026915,-0.20039561138400075,0.7435896135866923,False
53,AMG23,Oxali,0.7561183649104591,"('AMG23', 'Oxali')",True,0.6089999637614322,-0.14711840114902697,0.7561183649104591,False
54,AMG23,PD032,0.404450669207603,"('AMG23', 'PD032')",True,0.24195625498263634,-0.16249441422496663,0.404450669207603,False
55,AMG23,PI-10,0.0729734167770495,"('AMG23', 'PI-10')",True,-0.09968337900913446,-0.17265679578618395,0.0729734167770495,False
56,AMG23,Pacli,0.296831199558566,"('AMG23', 'Pacli')",True,0.6723952877962797,0.37556408823771364,0.6723952877962797,True
57,AMG23,Palbo,0.9078006395966569,"('AMG23', 'Palbo')",True,0.777390804445384,-0.1304098351512729,0.9078006395966569,False
58,AMG23,Regor,0.14306465918560518,"('AMG23', 'Regor')",True,0.310027539917275,0.16696288073166982,0.310027539917275,False
59,AMG23,SB505,0.2517585642238151,"('AMG23', 'SB505')",True,0.398016150771119,0.14625758654730392,0.398016150771119,False
60,AMG23,SN-38,0.7487066691973265,"('AMG23', 'SN-38')",True,0.8312407951418512,0.0825341259445247,0.8312407951418512,False
61,AMG23,Soraf,0.4358667423201625,"('AMG23', 'Soraf')",True,0.2850082682931071,-0.15085847402705538,0.4358667423201625,False
62,AMG23,Tanes,0.6570283843296472,"('AMG23', 'Tanes')",True,0.48263920462239174,-0.17438917970725543,0.6570283843296472,False
63,AMG23,Tasel,0.22500546772596375,"('AMG23', 'Tasel')",True,0.07458695702702411,-0.15041851069893963,0.22500546772596375,False
64,AMG23,Trame,0.3988111480225025,"('AMG23', 'Trame')",True,0.1691080138680021,-0.22970313415450042,0.3988111480225025,False
65,AMG23,Trifl,0.7815036216284892,"('AMG23', 'Trifl')",True,0.7943793551012999,0.01287573347281068,0.7943793551012999,False
66,AMG23,Vinor,0.47836449044309176,"('AMG23', 'Vinor')",True,0.8002003326915813,0.32183584224848955,0.8002003326915813,False
67,AMG23,Vorin,0.5252968781474452,"('AMG23', 'Vorin')",True,0.6858334721836161,0.16053659403617093,0.6858334721836161,False
68,AMG23,abema,0.8682497524795673,"('AMG23', 'abema')",True,0.7958284839694127,-0.07242126851015451,0.8682497524795673,False
69,AZD45,AZD77,0.6218932973851683,"('AZD45', 'AZD77')",True,0.6902388132507695,0.06834551586560123,0.6902388132507695,False
70,AZD45,AZD80,0.48439237465766294,"('AZD45', 'AZD80')",True,0.40823676468423986,-0.07615560997342308,0.48439237465766294,False
71,AZD45,Adavo,0.5738624182494134,"('AZD45', 'Adavo')",True,0.6474107620099553,0.07354834376054187,0.6474107620099553,False
72,AZD45,Afati,0.6863631723442913,"('AZD45', 'Afati')",True,0.6906228349049305,0.004259662560639144,0.6906228349049305,False
73,AZD45,Alpel,0.48198148116556866,"('AZD45', 'Alpel')",True,0.5580017959401782,0.07602031477460952,0.5580017959401782,False
74,AZD45,BMS-7,0.503298899433083,"('AZD45', 'BMS-7')",True,0.6686480621824014,0.16534916274931832,0.6686480621824014,False
75,AZD45,Binim,0.6017113037537791,"('AZD45', 'Binim')",True,0.6537477141958011,0.05203641044202201,0.6537477141958011,False
76,AZD45,Cobim,0.6751044891552673,"('AZD45', 'Cobim')",True,0.5641904526709378,-0.11091403648432951,0.6751044891552673,False
77,AZD45,Crizo,0.6300768840504245,"('AZD45', 'Crizo')",True,0.6817768906641797,0.05170000661375518,0.6817768906641797,False
78,AZD45,Dabra,0.5645878744452242,"('AZD45', 'Dabra')",True,0.622458172287228,0.057870297842003815,0.622458172287228,False
79,AZD45,Encor,0.6920538717131749,"('AZD45', 'Encor')",True,0.7138889225468062,0.021835050833631353,0.7138889225468062,False
80,AZD45,Fluor,-0.036586971485842404,"('AZD45', 'Fluor')",True,0.3825166435349202,0.4191036150207626,0.3825166435349202,True
81,AZD45,Gefit,0.7871124659796744,"('AZD45', 'Gefit')",True,0.7331611587716959,-0.05395130720797858,0.7871124659796744,False
82,AZD45,Gemci,0.11064225932381172,"('AZD45', 'Gemci')",True,0.5626971591158016,0.45205489979198993,0.5626971591158016,True
83,AZD45,MK-22,0.6750776302418127,"('AZD45', 'MK-22')",True,0.3285102864634277,-0.34656734377838494,0.6750776302418127,False
84,AZD45,Nutli,0.3308663380339588,"('AZD45', 'Nutli')",True,0.35154538938880875,0.02067905135484993,0.35154538938880875,False
85,AZD45,Olapa,-0.10654950873375313,"('AZD45', 'Olapa')",True,0.15609225483217024,0.2626417635659234,0.15609225483217024,False
86,AZD45,Oxali,0.41554119370178655,"('AZD45', 'Oxali')",True,0.43424069125895043,0.01869949755716388,0.43424069125895043,False
87,AZD45,PD032,0.5607872135004258,"('AZD45', 'PD032')",True,0.702827221648094,0.14204000814766815,0.702827221648094,False
88,AZD45,PI-10,0.5594255720418956,"('AZD45', 'PI-10')",True,0.44821839413872794,-0.11120717790316764,0.5594255720418956,False
