Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um
PB000139_C21,3,HT29,29.0,36.0,122834,PB000139,C21,15
PB000139_K09,3,HCT116,77.0,105.0,244514,PB000139,K09,15
PB000137_G02,3,HCT116,71.0,99.0,204920,PB000137,G02,15
PB000138_J03,3,HCT116,134.0,167.5,386015,PB000138,J03,15
PB000138_C05,3,HCT116,98.0,118.0,310997,PB000138,C05,15
PB000140_I17,3,HT29,42.0,47.0,166207,PB000140,I17,15
PB000140_I06,3,HCT116,103.0,122.0,317934,PB000140,I06,15
PB000137_F06,3,HCT116,77.0,91.0,217749,PB000137,F06,15
PB000138_D12,3,HCT116,77.0,109.0,268175,PB000138,D12,15
PB000142_O09,3,HT29,43.0,48.0,168461,PB000142,O09,15
PB000137_L18,3,HCT116,133.0,162.0,410636,PB000137,L18,15
PB000137_G13,3,HCT116,117.0,143.0,338101,PB000137,G13,15
PB000141_L18,3,HT29,55.0,70.0,205935,PB000141,L18,15
PB000142_E16,3,HT29,29.0,41.5,117266,PB000142,E16,15
PB000137_L07,3,HCT116,113.0,147.0,346631,PB000137,L07,15
PB000138_G13,3,HCT116,75.0,93.0,232742,PB000138,G13,15
PB000142_M23,3,HT29,30.0,38.0,114326,PB000142,M23,15
PB000137_H10,3,HCT116,48.0,66.0,144491,PB000137,H10,15
PB000142_F20,3,HT29,50.0,59.0,189696,PB000142,F20,15
PB000141_H10,3,HT29,40.0,45.0,152114,PB000141,H10,15
PB000138_N04,3,HCT116,15.0,22.5,53905,PB000138,N04,15
PB000138_L18,3,HCT116,139.0,172.5,429203,PB000138,L18,15
PB000139_G03,3,HCT116,86.0,108.0,276811,PB000139,G03,15
PB000139_I06,3,HCT116,106.0,126.0,323902,PB000139,I06,15
PB000142_K11,3,HT29,61.0,70.0,233800,PB000142,K11,15
PB000142_D12,3,HT29,60.0,75.0,248922,PB000142,D12,15
PB000139_B15,3,HT29,34.0,46.0,131373,PB000139,B15,15
PB000140_C10,3,HCT116,77.0,95.0,254220,PB000140,C10,15
PB000138_J14,3,HCT116,106.0,125.0,343600,PB000138,J14,15
PB000140_H23,3,HT29,73.0,86.0,258646,PB000140,H23,15
PB000137_J03,3,HCT116,105.0,133.0,329323,PB000137,J03,15
PB000140_O07,3,HCT116,70.0,89.0,259639,PB000140,O07,15
PB000138_N15,3,HCT116,116.0,149.0,341276,PB000138,N15,15
PB000140_E02,3,HCT116,110.0,130.0,369567,PB000140,E02,15
PB000140_K20,3,HT29,51.0,66.0,216738,PB000140,K20,15
PB000139_E13,3,HT29,61.0,79.0,218768,PB000139,E13,15
PB000142_I21,3,HT29,34.0,48.0,131725,PB000142,I21,15
PB000137_I21,3,HCT116,69.0,84.0,207435,PB000137,I21,15
PB000142_F06,3,HT29,56.0,69.0,211832,PB000142,F06,15
PB000139_O22,3,HT29,68.0,81.0,248838,PB000139,O22,15
PB000141_J14,3,HT29,42.0,52.0,154393,PB000141,J14,15
PB000137_F20,3,HCT116,107.0,133.0,304954,PB000137,F20,15
PB000139_O07,3,HCT116,84.0,109.0,277235,PB000139,O07,15
PB000137_E16,3,HCT116,94.0,119.0,273096,PB000137,E16,15
PB000137_D12,3,HCT116,115.0,137.5,339960,PB000137,D12,15
PB000142_H17,3,HT29,44.0,55.5,152922,PB000142,H17,15
PB000139_H12,3,HCT116,88.0,112.0,285749,PB000139,H12,15
PB000138_F06,3,HCT116,68.0,85.5,200189,PB000138,F06,15
PB000142_C05,3,HT29,15.0,21.0,55664,PB000142,C05,15
PB000139_H23,3,HT29,21.0,27.0,92146,PB000139,H23,15
PB000138_K11,3,HCT116,40.0,46.0,115340,PB000138,K11,15
PB000141_D12,3,HT29,41.0,48.5,163902,PB000141,D12,15
PB000137_J14,3,HCT116,60.0,76.0,191689,PB000137,J14,15
PB000139_K20,3,HT29,47.0,55.0,155168,PB000139,K20,15
PB000141_E16,3,HT29,54.0,75.0,217343,PB000141,E16,15
PB000140_H12,3,HCT116,97.0,118.0,312664,PB000140,H12,15
PB000141_M23,3,HT29,50.0,64.5,204025,PB000141,M23,15
PB000138_O09,3,HCT116,42.0,49.0,130458,PB000138,O09,15
PB000141_C05,3,HT29,70.0,82.0,267226,PB000141,C05,15
PB000138_B22,3,HCT116,118.0,149.0,349046,PB000138,B22,15
PB000139_N05,3,HCT116,49.0,59.0,152799,PB000139,N05,15
PB000139_I17,3,HT29,58.0,75.0,216818,PB000139,I17,15
PB000140_N05,3,HCT116,98.0,121.0,346354,PB000140,N05,15
PB000142_N15,3,HT29,58.0,72.0,204512,PB000142,N15,15
PB000142_J03,3,HT29,16.0,20.0,70802,PB000142,J03,15
PB000138_H17,3,HCT116,54.0,75.0,159758,PB000138,H17,15
PB000142_N04,3,HT29,59.0,73.0,222503,PB000142,N04,15
PB000139_B04,3,HCT116,59.0,73.0,184502,PB000139,B04,15
PB000137_B22,3,HCT116,71.0,87.0,239893,PB000137,B22,15
PB000137_H17,3,HCT116,71.0,88.0,214586,PB000137,H17,15
PB000137_C05,3,HCT116,124.0,153.0,395727,PB000137,C05,15
PB000140_G03,4,HCT116,101.0,129.0,316540,PB000140,G03,20
PB000137_F06,4,HCT116,104.0,120.0,305602,PB000137,F06,20
PB000141_G02,4,HT29,79.0,104.0,292098,PB000141,G02,20
PB000138_B22,4,HCT116,138.0,167.0,421325,PB000138,B22,20
PB000140_N05,4,HCT116,133.0,163.0,440724,PB000140,N05,20
PB000140_O11,4,HCT116,127.0,156.0,397574,PB000140,O11,20
PB000140_O22,4,HT29,61.0,78.0,236790,PB000140,O22,20
PB000142_L18,4,HT29,49.0,66.5,185130,PB000142,L18,20
PB000142_N15,4,HT29,64.0,83.0,244301,PB000142,N15,20
PB000139_N05,4,HCT116,56.0,73.0,164865,PB000139,N05,20
PB000140_B04,4,HCT116,60.0,67.0,191803,PB000140,B04,20
PB000140_I06,4,HCT116,125.0,167.0,396152,PB000140,I06,20
PB000139_H23,4,HT29,24.0,31.0,97899,PB000139,H23,20
PB000139_G14,4,HT29,72.0,88.0,251198,PB000139,G14,20
PB000138_L18,4,HCT116,154.0,201.0,476734,PB000138,L18,20
PB000142_J03,4,HT29,20.0,28.0,85276,PB000142,J03,20
PB000138_G02,4,HCT116,127.0,159.0,386437,PB000138,G02,20
PB000138_J03,4,HCT116,154.0,188.0,466570,PB000138,J03,20
PB000142_H17,4,HT29,47.0,61.333333333333336,159305,PB000142,H17,20
PB000140_I17,4,HT29,44.0,58.0,185123,PB000140,I17,20
PB000142_E16,4,HT29,40.0,52.0,143547,PB000142,E16,20
PB000138_F20,4,HCT116,106.0,129.5,323414,PB000138,F20,20
PB000141_J14,4,HT29,59.0,73.0,213025,PB000141,J14,20
PB000137_O09,4,HCT116,136.0,177.0,408712,PB000137,O09,20
PB000137_M23,4,HCT116,103.0,131.0,330129,PB000137,M23,20
PB000137_H17,4,HCT116,90.0,107.0,276744,PB000137,H17,20
PB000138_D12,4,HCT116,121.0,148.0,380808,PB000138,D12,20
PB000142_J14,4,HT29,61.0,80.66666666666667,235448,PB000142,J14,20
PB000137_L18,4,HCT116,154.0,190.0,471566,PB000137,L18,20
PB000141_L18,4,HT29,74.0,89.0,257587,PB000141,L18,20
PB000137_D12,4,HCT116,134.0,160.0,404181,PB000137,D12,20
PB000139_E13,4,HT29,90.0,104.0,296053,PB000139,E13,20
PB000142_H10,4,HT29,46.0,60.5,169896,PB000142,H10,20
PB000141_G13,4,HT29,73.0,96.0,286727,PB000141,G13,20
PB000137_J03,4,HCT116,128.0,149.0,371732,PB000137,J03,20
PB000141_I21,4,HT29,73.0,90.0,237744,PB000141,I21,20
PB000140_B15,4,HT29,43.0,52.0,140185,PB000140,B15,20
PB000142_F06,4,HT29,65.0,80.0,258302,PB000142,F06,20
PB000138_N04,4,HCT116,18.0,23.0,62072,PB000138,N04,20
PB000137_L07,4,HCT116,119.0,158.0,377844,PB000137,L07,20
PB000139_O22,4,HT29,65.0,91.0,253882,PB000139,O22,20
PB000141_N15,4,HT29,73.0,84.0,270135,PB000141,N15,20
PB000142_I21,4,HT29,38.0,55.0,145705,PB000142,I21,20
PB000138_F06,4,HCT116,88.0,102.0,260223,PB000138,F06,20
PB000139_C10,4,HCT116,108.0,136.0,304084,PB000139,C10,20
PB000138_J14,4,HCT116,137.0,164.0,417646,PB000138,J14,20
PB000138_O09,4,HCT116,43.0,55.0,152715,PB000138,O09,20
PB000141_H17,4,HT29,65.0,81.0,247734,PB000141,H17,20
PB000139_I06,4,HCT116,119.0,144.0,362879,PB000139,I06,20
PB000137_I21,4,HCT116,83.0,102.0,240374,PB000137,I21,20
PB000142_G13,4,HT29,59.0,68.0,233619,PB000142,G13,20
PB000141_C05,4,HT29,75.0,94.0,286541,PB000141,C05,20
PB000137_J14,4,HCT116,97.0,121.0,293987,PB000137,J14,20
PB000140_O18,4,HT29,72.0,92.0,288008,PB000140,O18,20
PB000138_N15,4,HCT116,136.0,158.0,409069,PB000138,N15,20
PB000137_K11,4,HCT116,91.0,115.0,297871,PB000137,K11,20
PB000141_O09,4,HT29,88.0,114.0,332719,PB000141,O09,20
PB000139_K09,4,HCT116,109.0,140.5,332166,PB000139,K09,20
PB000140_O07,4,HCT116,95.0,115.0,331795,PB000140,O07,20
PB000137_N15,4,HCT116,91.0,111.0,277311,PB000137,N15,20
PB000139_B15,4,HT29,46.0,58.0,184834,PB000139,B15,20
PB000138_M23,4,HCT116,109.0,130.5,343089,PB000138,M23,20
PB000140_C10,4,HCT116,99.0,117.0,300117,PB000140,C10,20
PB000138_H10,4,HCT116,134.0,175.0,418066,PB000138,H10,20
PB000140_H23,4,HT29,82.0,100.0,285551,PB000140,H23,20
PB000142_B22,4,HT29,50.0,63.0,186747,PB000142,B22,20
PB000141_F06,4,HT29,72.0,82.5,265444,PB000141,F06,20
PB000139_H12,4,HCT116,111.0,145.0,394206,PB000139,H12,20
PB000140_N16,4,HT29,61.0,74.0,231547,PB000140,N16,20
PB000141_M23,4,HT29,72.0,88.0,255135,PB000141,M23,20
PB000137_F20,4,HCT116,129.0,160.5,367588,PB000137,F20,20
PB000138_I21,4,HCT116,113.0,142.0,346329,PB000138,I21,20
PB000139_N16,4,HT29,60.0,75.0,231680,PB000139,N16,20
PB000139_C21,4,HT29,34.0,43.5,147331,PB000139,C21,20
PB000140_K09,4,HCT116,122.0,156.5,379731,PB000140,K09,20
PB000142_F20,4,HT29,59.0,74.0,232177,PB000142,F20,20
PB000142_D12,4,HT29,72.0,88.5,292034,PB000142,D12,20
PB000137_E16,4,HCT116,113.0,139.0,328469,PB000137,E16,20
PB000142_O09,4,HT29,56.0,65.0,212223,PB000142,O09,20
PB000137_B22,4,HCT116,80.0,95.0,241915,PB000137,B22,20
PB000140_G14,4,HT29,79.0,99.0,308309,PB000140,G14,20
PB000141_D12,4,HT29,65.0,79.0,252432,PB000141,D12,20
PB000137_G13,4,HCT116,135.0,182.0,375013,PB000137,G13,20
PB000138_K11,4,HCT116,45.0,65.0,129319,PB000138,K11,20
PB000142_L07,4,HT29,71.0,97.0,245422,PB000142,L07,20
PB000140_K20,4,HT29,71.0,88.0,272259,PB000140,K20,20
PB000142_M23,4,HT29,37.0,49.5,138283,PB000142,M23,20
PB000141_L07,4,HT29,65.0,74.0,246027,PB000141,L07,20
PB000137_H10,4,HCT116,73.0,87.0,219587,PB000137,H10,20
PB000137_G02,4,HCT116,99.0,125.0,290447,PB000137,G02,20
PB000139_O07,4,HCT116,98.0,119.0,305288,PB000139,O07,20
PB000139_B04,4,HCT116,77.0,103.0,236197,PB000139,B04,20
PB000138_E16,4,HCT116,93.0,110.0,290034,PB000138,E16,20
PB000139_O18,4,HT29,51.0,63.0,196950,PB000139,O18,20
PB000138_L07,4,HCT116,111.0,146.5,339606,PB000138,L07,20
PB000139_K20,4,HT29,47.0,55.0,159278,PB000139,K20,20
PB000140_E13,4,HT29,99.0,127.0,380875,PB000140,E13,20
PB000137_C05,4,HCT116,162.0,201.0,486288,PB000137,C05,20
PB000140_E02,4,HCT116,143.0,173.0,451473,PB000140,E02,20
PB000142_N04,4,HT29,68.0,93.0,258663,PB000142,N04,20
PB000141_K11,4,HT29,74.0,95.5,278659,PB000141,K11,20
PB000141_E16,4,HT29,70.0,89.0,258119,PB000141,E16,20
PB000141_B22,4,HT29,12.0,15.0,43603,PB000141,B22,20
PB000139_G03,4,HCT116,104.0,135.0,327275,PB000139,G03,20
PB000140_H12,4,HCT116,110.0,140.0,362554,PB000140,H12,20
PB000138_C05,4,HCT116,120.0,143.0,369189,PB000138,C05,20
PB000138_G13,4,HCT116,99.0,113.0,318439,PB000138,G13,20
PB000139_I17,4,HT29,64.0,87.0,258017,PB000139,I17,20
PB000139_O11,4,HCT116,110.0,134.0,356950,PB000139,O11,20
PB000142_C05,4,HT29,20.0,27.0,68600,PB000142,C05,20
PB000142_K11,4,HT29,65.0,79.0,247850,PB000142,K11,20
PB000141_H10,4,HT29,50.0,58.5,184929,PB000141,H10,20
PB000138_H17,4,HCT116,59.0,74.0,163489,PB000138,H17,20
PB000142_I21,5,HT29,37.0,59.0,143085,PB000142,I21,25
PB000137_C05,5,HCT116,167.0,212.0,543730,PB000137,C05,25
PB000140_O11,5,HCT116,136.0,179.0,441517,PB000140,O11,25
PB000138_K11,5,HCT116,50.0,62.0,150236,PB000138,K11,25
PB000140_I06,5,HCT116,133.0,186.0,427618,PB000140,I06,25
PB000141_I21,5,HT29,75.0,102.5,268093,PB000141,I21,25
PB000141_M23,5,HT29,77.0,93.0,275252,PB000141,M23,25
PB000140_O18,5,HT29,68.0,98.0,295021,PB000140,O18,25
PB000137_G02,5,HCT116,112.0,144.0,331665,PB000137,G02,25
PB000139_B04,5,HCT116,95.0,122.0,272822,PB000139,B04,25
PB000142_J14,5,HT29,61.0,76.0,229999,PB000142,J14,25
PB000138_H10,5,HCT116,141.0,187.0,435170,PB000138,H10,25
PB000142_O09,5,HT29,58.0,77.0,243173,PB000142,O09,25
PB000142_L18,5,HT29,59.0,76.0,209211,PB000142,L18,25
PB000140_C10,5,HCT116,117.0,150.0,351076,PB000140,C10,25
PB000142_H10,5,HT29,47.0,63.0,158364,PB000142,H10,25
PB000142_N04,5,HT29,71.0,100.5,258047,PB000142,N04,25
PB000141_G13,5,HT29,95.0,116.0,322535,PB000141,G13,25
PB000138_N04,5,HCT116,17.0,21.0,61846,PB000138,N04,25
PB000139_C10,5,HCT116,131.0,162.0,359796,PB000139,C10,25
PB000137_F20,5,HCT116,147.0,199.0,418982,PB000137,F20,25
PB000141_N15,5,HT29,75.0,95.0,283246,PB000141,N15,25
PB000138_E16,5,HCT116,114.0,133.5,349524,PB000138,E16,25
PB000141_D12,5,HT29,76.0,91.0,279465,PB000141,D12,25
PB000139_N16,5,HT29,77.0,100.0,271281,PB000139,N16,25
PB000142_H17,5,HT29,42.0,55.666666666666664,140522,PB000142,H17,25
PB000142_C05,5,HT29,23.0,29.0,86186,PB000142,C05,25
PB000139_G03,5,HCT116,121.0,150.5,382823,PB000139,G03,25
PB000138_H17,5,HCT116,51.0,69.0,148782,PB000138,H17,25
PB000142_M23,5,HT29,43.0,60.0,172153,PB000142,M23,25
PB000139_O18,5,HT29,57.0,81.0,227412,PB000139,O18,25
PB000137_L07,5,HCT116,126.0,161.0,389913,PB000137,L07,25
PB000142_F20,5,HT29,68.0,83.0,267378,PB000142,F20,25
PB000142_K11,5,HT29,76.0,96.0,292559,PB000142,K11,25
PB000138_D12,5,HCT116,150.0,191.0,446950,PB000138,D12,25
PB000142_B22,5,HT29,53.0,67.5,200501,PB000142,B22,25
PB000137_H10,5,HCT116,89.0,102.0,272858,PB000137,H10,25
PB000141_G02,5,HT29,80.0,112.0,304622,PB000141,G02,25
PB000142_L07,5,HT29,76.0,92.0,255951,PB000142,L07,25
PB000142_E16,5,HT29,47.0,60.0,155367,PB000142,E16,25
PB000141_L18,5,HT29,74.0,104.0,274205,PB000141,L18,25
PB000140_E02,5,HCT116,164.0,191.5,485613,PB000140,E02,25
PB000139_C21,5,HT29,54.0,66.0,213198,PB000139,C21,25
PB000138_O09,5,HCT116,50.0,62.0,172871,PB000138,O09,25
PB000137_B22,5,HCT116,91.0,112.0,265604,PB000137,B22,25
PB000140_B04,5,HCT116,61.0,71.0,196669,PB000140,B04,25
PB000137_J14,5,HCT116,118.0,147.0,358900,PB000137,J14,25
PB000137_L18,5,HCT116,164.0,210.0,506448,PB000137,L18,25
PB000139_H12,5,HCT116,134.0,163.5,467729,PB000139,H12,25
PB000140_G14,5,HT29,99.0,121.0,359421,PB000140,G14,25
PB000138_F20,5,HCT116,129.0,167.5,404934,PB000138,F20,25
PB000140_N16,5,HT29,83.0,94.0,295680,PB000140,N16,25
PB000140_B15,5,HT29,45.0,53.0,147304,PB000140,B15,25
PB000141_C05,5,HT29,83.0,104.0,301889,PB000141,C05,25
PB000137_E16,5,HCT116,117.0,153.5,347257,PB000137,E16,25
PB000140_O07,5,HCT116,120.0,144.0,387259,PB000140,O07,25
PB000138_C05,5,HCT116,132.0,163.0,434170,PB000138,C05,25
PB000139_E13,5,HT29,97.0,118.0,337770,PB000139,E13,25
PB000138_B22,5,HCT116,142.0,171.0,435673,PB000138,B22,25
PB000137_M23,5,HCT116,122.0,154.0,384366,PB000137,M23,25
PB000139_K20,5,HT29,44.0,55.0,148095,PB000139,K20,25
PB000139_H23,5,HT29,29.0,36.0,112738,PB000139,H23,25
PB000142_G13,5,HT29,63.0,83.0,255205,PB000142,G13,25
PB000140_K09,5,HCT116,141.0,192.0,429499,PB000140,K09,25
PB000140_H12,5,HCT116,111.0,156.5,351574,PB000140,H12,25
PB000137_H17,5,HCT116,121.0,149.0,359384,PB000137,H17,25
PB000141_H10,5,HT29,52.0,71.5,197707,PB000141,H10,25
PB000137_J03,5,HCT116,148.0,185.0,452628,PB000137,J03,25
PB000139_I06,5,HCT116,132.0,181.0,400890,PB000139,I06,25
PB000141_F06,5,HT29,84.0,104.0,307044,PB000141,F06,25
PB000140_N05,5,HCT116,151.0,183.0,483949,PB000140,N05,25
PB000138_J14,5,HCT116,159.0,197.0,471237,PB000138,J14,25
PB000137_I21,5,HCT116,105.0,140.0,281827,PB000137,I21,25
PB000141_J14,5,HT29,71.0,86.0,252303,PB000141,J14,25
PB000141_L07,5,HT29,61.0,87.0,252294,PB000141,L07,25
PB000137_G13,5,HCT116,149.0,201.0,434702,PB000137,G13,25
PB000139_O07,5,HCT116,114.0,150.0,352602,PB000139,O07,25
PB000139_O11,5,HCT116,130.0,157.0,406755,PB000139,O11,25
PB000140_H23,5,HT29,85.0,106.0,301224,PB000140,H23,25
PB000138_G02,5,HCT116,158.0,182.0,452496,PB000138,G02,25
PB000137_K11,5,HCT116,121.0,157.0,372294,PB000137,K11,25
PB000137_D12,5,HCT116,143.0,181.0,446500,PB000137,D12,25
PB000138_G13,5,HCT116,111.0,144.0,362140,PB000138,G13,25
PB000139_N05,5,HCT116,73.0,94.5,219180,PB000139,N05,25
PB000138_L07,5,HCT116,137.0,175.0,410691,PB000138,L07,25
PB000140_O22,5,HT29,72.0,91.0,263394,PB000140,O22,25
PB000142_N15,5,HT29,74.0,89.0,292004,PB000142,N15,25
PB000141_K11,5,HT29,85.0,112.5,311504,PB000141,K11,25
PB000140_E13,5,HT29,104.0,130.5,399710,PB000140,E13,25
PB000138_L18,5,HCT116,178.0,216.0,503189,PB000138,L18,25
PB000138_M23,5,HCT116,127.0,155.0,386703,PB000138,M23,25
PB000141_B22,5,HT29,17.0,22.5,65723,PB000141,B22,25
PB000140_I17,5,HT29,61.0,86.0,223651,PB000140,I17,25
PB000141_E16,5,HT29,77.0,105.0,282924,PB000141,E16,25
PB000140_G03,5,HCT116,122.0,157.0,398839,PB000140,G03,25
PB000139_K09,5,HCT116,132.0,162.0,368041,PB000139,K09,25
PB000137_O09,5,HCT116,160.0,207.0,486851,PB000137,O09,25
PB000137_N15,5,HCT116,112.0,146.0,341339,PB000137,N15,25
PB000139_B15,5,HT29,60.0,71.0,229503,PB000139,B15,25
PB000138_I21,5,HCT116,128.0,179.0,394184,PB000138,I21,25
PB000138_J03,5,HCT116,153.0,181.0,466692,PB000138,J03,25
PB000141_O09,5,HT29,111.0,143.0,382326,PB000141,O09,25
PB000142_F06,5,HT29,78.0,99.0,283675,PB000142,F06,25
PB000138_F06,5,HCT116,111.0,124.0,344679,PB000138,F06,25
PB000141_H17,5,HT29,75.0,101.0,286363,PB000141,H17,25
PB000139_O22,5,HT29,72.0,94.0,262042,PB000139,O22,25
PB000137_F06,5,HCT116,120.0,150.0,355742,PB000137,F06,25
PB000139_G14,5,HT29,80.0,107.0,284857,PB000139,G14,25
PB000138_N15,5,HCT116,155.0,190.5,449416,PB000138,N15,25
PB000142_D12,5,HT29,86.0,110.0,312027,PB000142,D12,25
PB000142_J03,5,HT29,26.0,33.0,87627,PB000142,J03,25
PB000139_I17,5,HT29,72.0,89.5,283737,PB000139,I17,25
PB000140_K20,5,HT29,75.0,102.0,289518,PB000140,K20,25
PB000142_F20,6,HT29,75.0,100.0,270443,PB000142,F20,30
PB000137_C05,6,HCT116,175.0,226.0,568276,PB000137,C05,30
PB000139_B04,6,HCT116,111.0,148.0,338581,PB000139,B04,30
PB000138_G13,6,HCT116,132.0,167.0,415005,PB000138,G13,30
PB000139_K20,6,HT29,54.0,68.0,187396,PB000139,K20,30
PB000140_H12,6,HCT116,129.0,168.0,399938,PB000140,H12,30
PB000138_N15,6,HCT116,150.0,203.5,448385,PB000138,N15,30
PB000141_G13,6,HT29,101.0,126.75,351117,PB000141,G13,30
PB000142_J03,6,HT29,31.0,36.0,102510,PB000142,J03,30
PB000141_E16,6,HT29,83.0,114.0,286953,PB000141,E16,30
PB000142_N15,6,HT29,83.0,95.0,298638,PB000142,N15,30
PB000142_L18,6,HT29,68.0,90.0,237491,PB000142,L18,30
PB000140_G03,6,HCT116,120.0,157.0,371583,PB000140,G03,30
PB000139_G03,6,HCT116,129.0,163.0,385608,PB000139,G03,30
PB000138_I21,6,HCT116,139.0,183.5,421427,PB000138,I21,30
PB000142_B22,6,HT29,58.0,72.0,202232,PB000142,B22,30
PB000142_E16,6,HT29,50.0,61.0,163979,PB000142,E16,30
PB000140_O11,6,HCT116,129.0,169.5,427885,PB000140,O11,30
PB000138_L18,6,HCT116,158.0,205.5,455996,PB000138,L18,30
PB000138_F06,6,HCT116,127.0,152.0,383180,PB000138,F06,30
PB000139_O07,6,HCT116,124.0,162.0,359545,PB000139,O07,30
PB000142_D12,6,HT29,98.0,132.0,342215,PB000142,D12,30
PB000139_N16,6,HT29,86.0,108.0,318833,PB000139,N16,30
PB000139_O11,6,HCT116,155.0,192.0,446670,PB000139,O11,30
PB000141_G02,6,HT29,81.0,105.5,330554,PB000141,G02,30
PB000141_L18,6,HT29,98.0,121.0,330862,PB000141,L18,30
PB000138_G02,6,HCT116,147.0,175.0,449678,PB000138,G02,30
PB000140_I17,6,HT29,78.0,100.0,278288,PB000140,I17,30
PB000139_O22,6,HT29,80.0,111.0,286397,PB000139,O22,30
PB000137_I21,6,HCT116,122.0,161.0,348038,PB000137,I21,30
PB000138_O09,6,HCT116,55.0,70.0,168812,PB000138,O09,30
PB000139_N05,6,HCT116,79.0,107.5,241301,PB000139,N05,30
PB000138_C05,6,HCT116,151.0,184.5,469555,PB000138,C05,30
PB000137_L07,6,HCT116,131.0,165.5,413092,PB000137,L07,30
PB000139_O18,6,HT29,65.0,86.0,244919,PB000139,O18,30
PB000141_D12,6,HT29,83.0,103.0,309657,PB000141,D12,30
PB000138_L07,6,HCT116,150.0,197.5,464211,PB000138,L07,30
PB000141_K11,6,HT29,88.0,117.0,336070,PB000141,K11,30
PB000138_B22,6,HCT116,160.0,193.0,449577,PB000138,B22,30
PB000139_I17,6,HT29,77.0,102.5,302594,PB000139,I17,30
PB000138_H10,6,HCT116,161.0,206.0,471201,PB000138,H10,30
PB000137_G13,6,HCT116,158.0,207.0,455949,PB000137,G13,30
PB000139_K09,6,HCT116,133.0,173.0,390836,PB000139,K09,30
PB000140_B04,6,HCT116,66.0,74.0,221828,PB000140,B04,30
PB000141_N15,6,HT29,92.0,117.0,316995,PB000141,N15,30
PB000142_C05,6,HT29,21.0,26.0,79039,PB000142,C05,30
PB000141_B22,6,HT29,17.0,20.0,69132,PB000141,B22,30
PB000137_J03,6,HCT116,157.0,184.5,467446,PB000137,J03,30
PB000142_I21,6,HT29,42.0,56.0,153699,PB000142,I21,30
PB000141_L07,6,HT29,81.0,107.0,277404,PB000141,L07,30
PB000141_H10,6,HT29,59.0,72.5,203636,PB000141,H10,30
PB000141_H17,6,HT29,95.0,117.0,328101,PB000141,H17,30
PB000138_J14,6,HCT116,167.0,201.0,493307,PB000138,J14,30
PB000139_B15,6,HT29,67.0,91.0,262104,PB000139,B15,30
PB000139_G14,6,HT29,95.0,124.0,342060,PB000139,G14,30
PB000140_G14,6,HT29,101.0,124.5,394655,PB000140,G14,30
PB000137_E16,6,HCT116,126.0,166.0,382791,PB000137,E16,30
PB000137_M23,6,HCT116,138.0,177.0,441245,PB000137,M23,30
PB000138_E16,6,HCT116,133.0,156.5,422320,PB000138,E16,30
PB000139_H23,6,HT29,35.0,42.0,132107,PB000139,H23,30
PB000138_D12,6,HCT116,178.0,220.5,544447,PB000138,D12,30
PB000141_I21,6,HT29,90.0,119.0,325497,PB000141,I21,30
PB000137_G02,6,HCT116,117.0,151.0,359429,PB000137,G02,30
PB000142_H10,6,HT29,50.0,76.0,185102,PB000142,H10,30
PB000139_C21,6,HT29,60.0,78.0,227213,PB000139,C21,30
PB000141_C05,6,HT29,90.0,125.0,329528,PB000141,C05,30
PB000137_O09,6,HCT116,179.0,224.0,549573,PB000137,O09,30
PB000142_L07,6,HT29,81.0,110.0,274172,PB000142,L07,30
PB000141_F06,6,HT29,92.0,117.0,334689,PB000141,F06,30
PB000137_B22,6,HCT116,86.0,115.0,275502,PB000137,B22,30
PB000139_C10,6,HCT116,135.0,181.0,396858,PB000139,C10,30
PB000142_G13,6,HT29,75.0,101.0,291055,PB000142,G13,30
PB000137_N15,6,HCT116,130.0,174.5,402855,PB000137,N15,30
PB000140_C10,6,HCT116,122.0,166.5,384012,PB000140,C10,30
PB000137_H17,6,HCT116,140.0,180.0,415121,PB000137,H17,30
PB000140_K20,6,HT29,87.0,110.0,351179,PB000140,K20,30
PB000141_O09,6,HT29,112.0,153.0,408220,PB000141,O09,30
PB000140_N16,6,HT29,99.0,111.0,336353,PB000140,N16,30
PB000137_J14,6,HCT116,144.0,181.0,423935,PB000137,J14,30
PB000137_K11,6,HCT116,129.0,179.5,396522,PB000137,K11,30
PB000139_H12,6,HCT116,147.0,199.0,497240,PB000139,H12,30
PB000137_D12,6,HCT116,154.0,194.0,477601,PB000137,D12,30
PB000142_N04,6,HT29,88.0,115.0,321949,PB000142,N04,30
PB000140_I06,6,HCT116,150.0,202.0,479660,PB000140,I06,30
PB000142_J14,6,HT29,71.0,99.0,271972,PB000142,J14,30
PB000140_E02,6,HCT116,169.0,208.0,539505,PB000140,E02,30
PB000142_M23,6,HT29,59.0,78.0,230621,PB000142,M23,30
PB000140_O22,6,HT29,73.0,87.0,257251,PB000140,O22,30
PB000137_F20,6,HCT116,161.0,214.5,462806,PB000137,F20,30
PB000138_N04,6,HCT116,20.0,29.5,66431,PB000138,N04,30
PB000139_E13,6,HT29,106.0,132.0,378578,PB000139,E13,30
PB000138_H17,6,HCT116,47.0,60.0,125506,PB000138,H17,30
PB000140_E13,6,HT29,112.0,138.5,393358,PB000140,E13,30
PB000138_K11,6,HCT116,52.0,66.0,149921,PB000138,K11,30
