site_id,n_nuclei,n_cells
B02_s1,149,166
B03_s1,29,33
B04_s1,93,102
B05_s1,160,158
B06_s1,176,187
B07_s1,67,77
B08_s1,201,206
B09_s1,198,181
B10_s1,71,64
B11_s1,63,58
B12_s1,203,210
B13_s1,91,85
B14_s1,109,108
B15_s1,83,79
B16_s1,131,113
B18_s1,109,102
B19_s1,202,187
B20_s1,152,136
B21_s1,6,1
B22_s1,73,73
B23_s1,103,103
C02_s1,167,154
C04_s1,73,78
C05_s1,64,72
C07_s1,191,208
C08_s1,217,242
C09_s1,159,159
C10_s1,214,233
C11_s1,50,48
C12_s1,50,63
C13_s1,142,131
C14_s1,47,72
C16_s1,93,91
C17_s1,64,53
C18_s1,211,193
C19_s1,195,185
C20_s1,106,99
C23_s1,43,47
D02_s1,132,134
D04_s1,157,167
D06_s1,73,80
D07_s1,25,37
D08_s1,34,28
D10_s1,79,83
D11_s1,8,2
D12_s1,256,240
D13_s1,239,233
D14_s1,31,56
D15_s1,167,148
D17_s1,66,61
D19_s1,7,1
D20_s1,89,76
D21_s1,88,91
D22_s1,33,47
D23_s1,63,71
E02_s1,293,288
E03_s1,44,47
E04_s1,282,273
E05_s1,268,247
E06_s1,211,192
E07_s1,132,167
E08_s1,4,1
E09_s1,238,225
E11_s1,215,198
E12_s1,293,260
E13_s1,230,219
E15_s1,221,204
E16_s1,165,136
E17_s1,182,157
E18_s1,174,157
E20_s1,103,80
E22_s1,98,76
E23_s1,146,133
F03_s1,155,158
F04_s1,32,40
F05_s1,146,153
F06_s1,99,101
F07_s1,219,223
F09_s1,308,286
F10_s1,237,236
F11_s1,279,270
F12_s1,298,294
F13_s1,126,119
F14_s1,105,96
F15_s1,36,54
F16_s1,117,105
F17_s1,113,109
F18_s1,179,163
F19_s1,45,35
F20_s1,147,135
F21_s1,187,177
F22_s1,207,172
F23_s1,197,182
G02_s1,156,155
G03_s1,165,190
G04_s1,177,172
G05_s1,43,72
G06_s1,253,250
G07_s1,168,173
G08_s1,97,101
G09_s1,152,148
G10_s1,127,111
G11_s1,95,91
G12_s1,166,166
G13_s1,139,118
G14_s1,238,217
G15_s1,123,109
G16_s1,6,1
G17_s1,87,85
G18_s1,115,95
G19_s1,95,94
G21_s1,114,111
G22_s1,58,67
G23_s1,203,184
H02_s1,107,88
H03_s1,151,156
H04_s1,42,44
H05_s1,253,229
H06_s1,219,216
H07_s1,237,223
H08_s1,237,228
H09_s1,150,150
H10_s1,240,220
H11_s1,241,226
H12_s1,197,189
H13_s1,143,138
H14_s1,218,193
H16_s1,189,162
H17_s1,170,148
H18_s1,159,140
H19_s1,161,130
H21_s1,203,184
H22_s1,156,136
H23_s1,192,182
I03_s1,219,209
I05_s1,228,203
I06_s1,222,230
I07_s1,83,87
I10_s1,65,65
I11_s1,238,230
I12_s1,247,250
I13_s1,50,72
I14_s1,156,143
I16_s1,113,97
I17_s1,199,189
I18_s1,206,183
I19_s1,65,65
I22_s1,177,163
I23_s1,162,154
J02_s1,90,103
J03_s1,169,166
J04_s1,89,105
J05_s1,162,146
J06_s1,70,71
J07_s1,272,249
J09_s1,149,164
J10_s1,98,91
J11_s1,41,42
J13_s1,203,198
J14_s1,94,87
J15_s1,78,76
J16_s1,76,75
J17_s1,85,76
J18_s1,197,177
J20_s1,84,80
J22_s1,35,51
J23_s1,136,128
K02_s1,114,158
K03_s1,216,201
K05_s1,223,221
K06_s1,174,168
K07_s1,50,33
K08_s1,138,133
K09_s1,219,229
K10_s1,213,213
K11_s1,51,57
K12_s1,133,135
K13_s1,122,116
K14_s1,207,198
K15_s1,87,74
K16_s1,102,92
K18_s1,90,81
K20_s1,207,196
K21_s1,113,103
K22_s1,59,63
K23_s1,194,181
L02_s1,30,36
L03_s1,192,181
L04_s1,144,149
L06_s1,168,165
L08_s1,19,2
L10_s1,266,269
L11_s1,126,94
L12_s1,239,214
L14_s1,83,83
L15_s1,69,74
L16_s1,35,38
L17_s1,115,101
L18_s1,118,106
L20_s1,75,79
L21_s1,169,165
L22_s1,64,82
M02_s1,0,2
M03_s1,185,223
M04_s1,112,123
M05_s1,160,147
M06_s1,163,140
M07_s1,242,240
M08_s1,37,51
M09_s1,167,146
M10_s1,153,137
M11_s1,202,180
M12_s1,265,255
M13_s1,230,206
M14_s1,227,206
M15_s1,143,130
M16_s1,124,100
M17_s1,181,167
M18_s1,189,166
M20_s1,90,80
M21_s1,109,95
M22_s1,21,2
M23_s1,120,102
N02_s1,178,198
N03_s1,135,119
N04_s1,47,57
N05_s1,273,260
N06_s1,78,69
N07_s1,50,70
N08_s1,157,166
N09_s1,170,155
N10_s1,289,261
N11_s1,173,182
N12_s1,94,87
N13_s1,257,235
N14_s1,134,122
N15_s1,88,83
N16_s1,188,176
N17_s1,190,171
N18_s1,108,87
N19_s1,171,168
N20_s1,62,46
N21_s1,203,173
N22_s1,157,136
N23_s1,173,157
O02_s1,51,89
O03_s1,41,31
O04_s1,112,110
O05_s1,93,120
O07_s1,193,186
O08_s1,94,91
O09_s1,94,81
O10_s1,140,129
O11_s1,209,223
O12_s1,174,150
O13_s1,123,106
O14_s1,206,203
O15_s1,148,140
O16_s1,46,49
O18_s1,200,187
O19_s1,51,51
O20_s1,167,137
O21_s1,20,24
O22_s1,163,135
