well,n_z_slices,n_unique_cells,n_total_detections,avg_detections_per_cell,min_detections,max_detections,median_detections,expected_z_span_slices,track_length_distribution
B04_s1,16,367,1122,3.0572207084468666,1,11,2.0,3.0,"{'1_slices': 106, '2_slices': 95, '3_slices': 45, '4_slices': 43, '5_slices': 25, '6_slices': 15, '7_slices': 14, '8_slices': 14, '9_slices': 7, '10_slices': 2, '11_slices': 1}"
B15_s1,16,268,853,3.1828358208955225,1,13,2.0,3.0,"{'1_slices': 74, '2_slices': 78, '3_slices': 35, '4_slices': 17, '5_slices': 13, '6_slices': 19, '7_slices': 9, '8_slices': 10, '9_slices': 6, '10_slices': 5, '11_slices': 1, '12_slices': 0, '13_slices': 1}"
C10_s1,16,592,2039,3.4442567567567566,1,12,3.0,3.0,"{'1_slices': 138, '2_slices': 125, '3_slices': 94, '4_slices': 79, '5_slices': 44, '6_slices': 45, '7_slices': 22, '8_slices': 20, '9_slices': 9, '10_slices': 11, '11_slices': 2, '12_slices': 3}"
E02_s1,16,898,3155,3.5133630289532296,1,15,3.0,3.0,"{'1_slices': 204, '2_slices': 230, '3_slices': 120, '4_slices': 97, '5_slices': 65, '6_slices': 62, '7_slices': 43, '8_slices': 21, '9_slices': 23, '10_slices': 12, '11_slices': 10, '12_slices': 6, '13_slices': 3, '14_slices': 1, '15_slices': 1}"
E13_s1,16,560,2337,4.173214285714286,1,16,3.0,3.0,"{'1_slices': 80, '2_slices': 135, '3_slices': 74, '4_slices': 73, '5_slices': 52, '6_slices': 43, '7_slices': 32, '8_slices': 19, '9_slices': 12, '10_slices': 10, '11_slices': 8, '12_slices': 11, '13_slices': 6, '14_slices': 3, '15_slices': 1, '16_slices': 1}"
G03_s1,16,437,1537,3.517162471395881,1,12,3.0,3.0,"{'1_slices': 111, '2_slices': 86, '3_slices': 57, '4_slices': 53, '5_slices': 37, '6_slices': 40, '7_slices': 21, '8_slices': 11, '9_slices': 6, '10_slices': 9, '11_slices': 5, '12_slices': 1}"
G14_s1,16,535,2204,4.119626168224299,1,16,3.0,3.0,"{'1_slices': 82, '2_slices': 134, '3_slices': 75, '4_slices': 58, '5_slices': 46, '6_slices': 37, '7_slices': 29, '8_slices': 21, '9_slices': 21, '10_slices': 6, '11_slices': 9, '12_slices': 8, '13_slices': 4, '14_slices': 1, '15_slices': 0, '16_slices': 4}"
H12_s1,16,542,2054,3.7896678966789668,1,15,3.0,3.0,"{'1_slices': 117, '2_slices': 95, '3_slices': 87, '4_slices': 65, '5_slices': 59, '6_slices': 40, '7_slices': 26, '8_slices': 23, '9_slices': 7, '10_slices': 7, '11_slices': 7, '12_slices': 5, '13_slices': 2, '14_slices': 1, '15_slices': 1}"
H23_s1,16,437,2066,4.727688787185355,1,15,4.0,3.0,"{'1_slices': 68, '2_slices': 68, '3_slices': 65, '4_slices': 43, '5_slices': 40, '6_slices': 38, '7_slices': 30, '8_slices': 25, '9_slices': 18, '10_slices': 10, '11_slices': 7, '12_slices': 13, '13_slices': 8, '14_slices': 2, '15_slices': 2}"
I06_s1,16,522,2089,4.001915708812261,1,12,3.0,3.0,"{'1_slices': 94, '2_slices': 100, '3_slices': 81, '4_slices': 63, '5_slices': 43, '6_slices': 46, '7_slices': 27, '8_slices': 30, '9_slices': 14, '10_slices': 14, '11_slices': 6, '12_slices': 4}"
I17_s1,16,412,1741,4.225728155339806,1,16,3.0,3.0,"{'1_slices': 82, '2_slices': 74, '3_slices': 59, '4_slices': 51, '5_slices': 33, '6_slices': 24, '7_slices': 24, '8_slices': 17, '9_slices': 19, '10_slices': 7, '11_slices': 9, '12_slices': 3, '13_slices': 2, '14_slices': 6, '15_slices': 1, '16_slices': 1}"
K03_s1,16,693,2348,3.388167388167388,1,15,3.0,3.0,"{'1_slices': 169, '2_slices': 154, '3_slices': 119, '4_slices': 69, '5_slices': 52, '6_slices': 52, '7_slices': 27, '8_slices': 22, '9_slices': 11, '10_slices': 6, '11_slices': 6, '12_slices': 4, '13_slices': 1, '14_slices': 0, '15_slices': 1}"
K09_s1,16,598,2138,3.5752508361204014,1,13,3.0,3.0,"{'1_slices': 154, '2_slices': 117, '3_slices': 99, '4_slices': 53, '5_slices': 49, '6_slices': 37, '7_slices': 24, '8_slices': 20, '9_slices': 21, '10_slices': 12, '11_slices': 8, '12_slices': 3, '13_slices': 1}"
K14_s1,16,469,2084,4.443496801705757,1,16,4.0,3.0,"{'1_slices': 76, '2_slices': 86, '3_slices': 68, '4_slices': 57, '5_slices': 50, '6_slices': 24, '7_slices': 32, '8_slices': 17, '9_slices': 19, '10_slices': 9, '11_slices': 10, '12_slices': 7, '13_slices': 6, '14_slices': 4, '15_slices': 3, '16_slices': 1}"
K20_s1,16,446,1914,4.291479820627803,1,16,4.0,3.0,"{'1_slices': 80, '2_slices': 80, '3_slices': 59, '4_slices': 62, '5_slices': 41, '6_slices': 32, '7_slices': 20, '8_slices': 23, '9_slices': 11, '10_slices': 14, '11_slices': 10, '12_slices': 8, '13_slices': 4, '14_slices': 0, '15_slices': 1, '16_slices': 1}"
N05_s1,16,778,2786,3.5809768637532136,1,14,3.0,3.0,"{'1_slices': 193, '2_slices': 157, '3_slices': 124, '4_slices': 79, '5_slices': 65, '6_slices': 46, '7_slices': 37, '8_slices': 30, '9_slices': 16, '10_slices': 11, '11_slices': 9, '12_slices': 7, '13_slices': 2, '14_slices': 2}"
N16_s1,16,414,1761,4.253623188405797,1,16,3.0,3.0,"{'1_slices': 61, '2_slices': 96, '3_slices': 64, '4_slices': 48, '5_slices': 39, '6_slices': 27, '7_slices': 15, '8_slices': 13, '9_slices': 13, '10_slices': 10, '11_slices': 14, '12_slices': 4, '13_slices': 4, '14_slices': 4, '15_slices': 1, '16_slices': 1}"
O07_s1,16,569,2052,3.606326889279438,1,14,3.0,3.0,"{'1_slices': 144, '2_slices': 123, '3_slices': 72, '4_slices': 52, '5_slices': 58, '6_slices': 41, '7_slices': 19, '8_slices': 21, '9_slices': 17, '10_slices': 8, '11_slices': 8, '12_slices': 1, '13_slices': 2, '14_slices': 3}"
O11_s1,16,653,2357,3.6094946401225116,1,15,3.0,3.0,"{'1_slices': 153, '2_slices': 124, '3_slices': 119, '4_slices': 64, '5_slices': 43, '6_slices': 53, '7_slices': 40, '8_slices': 22, '9_slices': 13, '10_slices': 12, '11_slices': 6, '12_slices': 3, '13_slices': 0, '14_slices': 0, '15_slices': 1}"
