well,n_z_slices,n_unique_cells,n_total_detections,avg_detections_per_cell,min_detections,max_detections,median_detections,expected_z_span_slices,track_length_distribution
B08_s1,16,356,1599,4.491573033707865,1,16,4.0,3.0,"{'1_slices': 69, '2_slices': 62, '3_slices': 43, '4_slices': 44, '5_slices': 33, '6_slices': 23, '7_slices': 19, '8_slices': 13, '9_slices': 14, '10_slices': 8, '11_slices': 8, '12_slices': 6, '13_slices': 7, '14_slices': 2, '15_slices': 4, '16_slices': 1}"
B22_s1,16,15,15,1.0,1,1,1.0,3.0,{'1_slices': 15}
C05_s1,16,435,1888,4.340229885057472,1,15,3.0,3.0,"{'1_slices': 71, '2_slices': 94, '3_slices': 70, '4_slices': 45, '5_slices': 32, '6_slices': 30, '7_slices': 20, '8_slices': 24, '9_slices': 9, '10_slices': 10, '11_slices': 6, '12_slices': 9, '13_slices': 5, '14_slices': 3, '15_slices': 7}"
D12_s1,16,387,1618,4.180878552971576,1,14,4.0,3.0,"{'1_slices': 64, '2_slices': 74, '3_slices': 53, '4_slices': 58, '5_slices': 35, '6_slices': 28, '7_slices': 18, '8_slices': 22, '9_slices': 10, '10_slices': 7, '11_slices': 10, '12_slices': 5, '13_slices': 2, '14_slices': 1}"
E16_s1,16,391,1827,4.672634271099744,1,16,4.0,3.0,"{'1_slices': 56, '2_slices': 60, '3_slices': 67, '4_slices': 48, '5_slices': 32, '6_slices': 33, '7_slices': 23, '8_slices': 22, '9_slices': 12, '10_slices': 10, '11_slices': 10, '12_slices': 5, '13_slices': 3, '14_slices': 6, '15_slices': 2, '16_slices': 2}"
F06_s1,16,468,1896,4.051282051282051,1,14,3.0,3.0,"{'1_slices': 76, '2_slices': 96, '3_slices': 74, '4_slices': 62, '5_slices': 51, '6_slices': 25, '7_slices': 22, '8_slices': 26, '9_slices': 9, '10_slices': 8, '11_slices': 7, '12_slices': 6, '13_slices': 3, '14_slices': 3}"
G02_s1,16,459,1894,4.126361655773421,1,16,3.0,3.0,"{'1_slices': 90, '2_slices': 109, '3_slices': 56, '4_slices': 43, '5_slices': 44, '6_slices': 24, '7_slices': 21, '8_slices': 20, '9_slices': 17, '10_slices': 7, '11_slices': 12, '12_slices': 5, '13_slices': 5, '14_slices': 0, '15_slices': 1, '16_slices': 5}"
G13_s1,16,440,1885,4.284090909090909,1,16,3.0,3.0,"{'1_slices': 88, '2_slices': 74, '3_slices': 79, '4_slices': 43, '5_slices': 38, '6_slices': 29, '7_slices': 16, '8_slices': 19, '9_slices': 17, '10_slices': 9, '11_slices': 9, '12_slices': 2, '13_slices': 5, '14_slices': 3, '15_slices': 5, '16_slices': 4}"
H10_s1,16,297,1238,4.168350168350169,1,16,3.0,3.0,"{'1_slices': 62, '2_slices': 42, '3_slices': 47, '4_slices': 38, '5_slices': 34, '6_slices': 18, '7_slices': 18, '8_slices': 10, '9_slices': 5, '10_slices': 7, '11_slices': 7, '12_slices': 2, '13_slices': 2, '14_slices': 3, '15_slices': 1, '16_slices': 1}"
H17_s1,16,434,1887,4.347926267281106,1,14,3.0,3.0,"{'1_slices': 60, '2_slices': 95, '3_slices': 69, '4_slices': 43, '5_slices': 37, '6_slices': 25, '7_slices': 35, '8_slices': 22, '9_slices': 17, '10_slices': 10, '11_slices': 10, '12_slices': 6, '13_slices': 3, '14_slices': 2}"
I21_s1,16,406,1810,4.458128078817734,1,16,3.0,3.0,"{'1_slices': 63, '2_slices': 69, '3_slices': 73, '4_slices': 46, '5_slices': 29, '6_slices': 32, '7_slices': 22, '8_slices': 24, '9_slices': 12, '10_slices': 9, '11_slices': 13, '12_slices': 6, '13_slices': 4, '14_slices': 3, '15_slices': 0, '16_slices': 1}"
J14_s1,16,381,1645,4.31758530183727,1,16,3.0,3.0,"{'1_slices': 66, '2_slices': 74, '3_slices': 56, '4_slices': 43, '5_slices': 34, '6_slices': 25, '7_slices': 23, '8_slices': 17, '9_slices': 9, '10_slices': 14, '11_slices': 3, '12_slices': 9, '13_slices': 3, '14_slices': 3, '15_slices': 1, '16_slices': 1}"
K11_s1,16,411,1759,4.2798053527980535,1,16,3.0,3.0,"{'1_slices': 58, '2_slices': 95, '3_slices': 64, '4_slices': 44, '5_slices': 38, '6_slices': 26, '7_slices': 17, '8_slices': 18, '9_slices': 25, '10_slices': 8, '11_slices': 7, '12_slices': 2, '13_slices': 3, '14_slices': 2, '15_slices': 3, '16_slices': 1}"
L07_s1,16,358,1592,4.446927374301676,1,16,4.0,3.0,"{'1_slices': 59, '2_slices': 69, '3_slices': 50, '4_slices': 42, '5_slices': 31, '6_slices': 27, '7_slices': 17, '8_slices': 11, '9_slices': 18, '10_slices': 14, '11_slices': 6, '12_slices': 4, '13_slices': 6, '14_slices': 2, '15_slices': 1, '16_slices': 1}"
L18_s1,16,417,1888,4.52757793764988,1,16,4.0,3.0,"{'1_slices': 68, '2_slices': 74, '3_slices': 66, '4_slices': 50, '5_slices': 29, '6_slices': 30, '7_slices': 20, '8_slices': 17, '9_slices': 22, '10_slices': 14, '11_slices': 10, '12_slices': 8, '13_slices': 3, '14_slices': 2, '15_slices': 2, '16_slices': 2}"
M23_s1,16,397,1790,4.508816120906801,1,16,4.0,3.0,"{'1_slices': 72, '2_slices': 57, '3_slices': 64, '4_slices': 49, '5_slices': 26, '6_slices': 32, '7_slices': 28, '8_slices': 18, '9_slices': 12, '10_slices': 17, '11_slices': 10, '12_slices': 2, '13_slices': 3, '14_slices': 3, '15_slices': 3, '16_slices': 1}"
N15_s1,16,408,1826,4.4754901960784315,1,16,3.0,3.0,"{'1_slices': 59, '2_slices': 85, '3_slices': 65, '4_slices': 35, '5_slices': 35, '6_slices': 34, '7_slices': 22, '8_slices': 21, '9_slices': 14, '10_slices': 7, '11_slices': 18, '12_slices': 5, '13_slices': 7, '14_slices': 0, '15_slices': 0, '16_slices': 1}"
O09_s1,16,524,2341,4.467557251908397,1,16,4.0,3.0,"{'1_slices': 79, '2_slices': 120, '3_slices': 62, '4_slices': 58, '5_slices': 56, '6_slices': 36, '7_slices': 19, '8_slices': 18, '9_slices': 21, '10_slices': 22, '11_slices': 7, '12_slices': 12, '13_slices': 5, '14_slices': 1, '15_slices': 6, '16_slices': 2}"
O20_s1,16,396,1764,4.454545454545454,1,15,4.0,3.0,"{'1_slices': 59, '2_slices': 70, '3_slices': 66, '4_slices': 44, '5_slices': 35, '6_slices': 31, '7_slices': 28, '8_slices': 13, '9_slices': 18, '10_slices': 9, '11_slices': 12, '12_slices': 3, '13_slices': 4, '14_slices': 2, '15_slices': 2}"
